rank	yeast_gene	ensemble_score
1	YGL208W	0.078227794
2	YCR008W	0.071537889
3	YLR094C	0.054042313
4	YHR195W	0.052587860
5	YLR248W	0.046331740
6	YLR120C	0.042414606
7	YPL192C	0.041956751
8	YOR233W	0.039925003
9	YGL197W	0.038594113
10	YDR181C	0.037736996
11	YER064C	0.037332993
12	YDR490C	0.035829490
13	YJL128C	0.034458664
14	YER132C	0.034340166
15	YHR032W	0.033130413
16	YHR004C	0.032919398
17	YEL013W	0.032595459
18	YLR253W	0.032240644
19	YDR223W	0.032141359
20	YPR075C	0.031814105
21	YAL055W	0.030808290
22	YMR080C	0.030669165
23	YER035W	0.028649546
24	YMR219W	0.027997328
25	YOL068C	0.027828706
26	YDL194W	0.027386362
27	YOL016C	0.027220251
28	YAL017W	0.027036544
29	YAL056W	0.025445255
30	YER176W	0.023837994
31	YLR221C	0.023827959
32	YNL020C	0.023652751
33	YBL006C	0.023255634
34	YOR358W	0.021460619
35	YML036W	0.021456090
36	YKR092C	0.021446123
37	YIR026C	0.020975408
38	YCL010C	0.020931292
39	YPL226W	0.020921136
40	YGL252C	0.020686717
41	YFR014C	0.020670126
42	YER164W	0.020409139
43	YOR064C	0.020264654
44	YPL154C	0.020242585
45	YGL163C	0.019274855
46	YLR398C	0.018570313
47	YBR245C	0.018318274
48	YOL006C	0.018048389
49	YOL080C	0.017856651
50	YML075C	0.017764749
51	YBR285W	0.016994003
52	YOR189W	0.016991655
53	YGR240C	0.016915994
54	YMR177W	0.016883251
55	YDL006W	0.016817192
56	YDR421W	0.016755001
57	YPL042C	0.016655759
58	YHR124W	0.016556283
59	YER106W	0.016157946
60	YOR338W	0.016136609
61	YPL213W	0.016000621
62	YER116C	0.015867516
63	YGL179C	0.015682895
64	YPL015C	0.015252833
65	YDR273W	0.015187352
66	YML061C	0.014921382
67	YNL032W	0.014849887
68	YOR213C	0.014532925
69	YPL109C	0.014469879
70	YKR072C	0.014338501
71	YGR152C	0.014289391
72	YOR179C	0.014001715
73	YDL035C	0.013802180
74	YOR304W	0.013751156
75	YER027C	0.013730538
76	YBL021C	0.013645979
77	YIL095W	0.013489094
78	YPL180W	0.013341902
79	YAL059W	0.013325432
80	YIL016W	0.013097330
81	YML123C	0.012979654
82	YLR329W	0.012855054
83	YPL202C	0.012393997
84	YBR112C	0.012305066
85	YDR022C	0.012092645
86	YLR021W	0.011891023
87	YLR102C	0.011823803
88	YML072C	0.011812959
89	YMR306W	0.011555168
90	YOL113W	0.011547802
91	YLR418C	0.011322872
92	YFR046C	0.011252285
93	YOR107W	0.010927690
94	YML109W	0.010856752
95	YCR073C	0.010653877
96	YBR203W	0.010577458
97	YML058W-A	0.010531172
98	YGL175C	0.010395549
99	YOR295W	0.010263566
100	YBL057C	0.009717448
101	YKL101W	0.009579081
102	YAL009W	0.009575837
103	YLL039C	0.009529292
104	YNL053W	0.009328548
105	YER030W	0.009107938
106	YDR219C	0.009067246
107	YNL223W	0.008885884
108	YJR021C	0.008771175
109	YPR152C	0.008700287
110	YGL168W	0.008625342
111	YPR111W	0.008547512
112	YMR138W	0.008389425
113	YKL171W	0.008373408
114	YDR334W	0.008249263
115	YPL133C	0.008235425
116	YCR091W	0.008223610
117	YNL155W	0.008163178
118	YLL002W	0.008093706
119	YDR217C	0.008048103
120	YJL098W	0.008006584
121	YMR273C	0.007988221
122	YER044C-A	0.007946871
123	YKL130C	0.007784845
124	YBR073W	0.007691801
125	YHR207C	0.007684758
126	YLR055C	0.007558247
127	YDR440W	0.007541262
128	YMR216C	0.007358014
129	YLR006C	0.007232714
130	YMR269W	0.007185109
131	YBL007C	0.007126697
132	YBL056W	0.007018989
133	YOL067C	0.006979979
134	YDR458C	0.006875242
135	YBL002W	0.006756454
136	YOR315W	0.006667170
137	YGL166W	0.006646622
138	YER089C	0.006646023
139	YMR180C	0.006642360
140	YOL012C	0.006604415
141	YHR031C	0.006597645
142	YDL214C	0.006551300
143	YHR034C	0.006500106
144	YDL019C	0.006462503
145	YNR051C	0.006432662
146	YBR273C	0.006351357
147	YFL028C	0.006271424
148	YBR062C	0.006261081
149	YCL011C	0.006241289
150	YDL138W	0.006173593
151	YDR457W	0.006058332
152	YER162C	0.006013813
153	YMR021C	0.006012788
154	YHR157W	0.006010548
155	YIL008W	0.005948476
156	YIL079C	0.005843740
157	YGL180W	0.005838730
158	YKL048C	0.005797718
159	YOR360C	0.005585072
160	YAL024C	0.005545884
161	YIL113W	0.005475076
162	YCL024W	0.005399993
163	YNL106C	0.005345914
164	YGR044C	0.005260330
165	YPL194W	0.005192346
166	YER092W	0.005095096
167	YNL023C	0.005085830
168	YKL027W	0.004928740
169	YKR028W	0.004907334
170	YDR001C	0.004876171
171	YBR066C	0.004805939
172	YDL036C	0.004759360
173	YHR006W	0.004750551
174	YAL027W	0.004747127
175	YJL095W	0.004713452
176	YPR023C	0.004588134
177	YIR017C	0.004578853
178	YDR507C	0.004574686
179	YLR304C	0.004565503
180	YHR146W	0.004559127
181	YLR342W	0.004526469
182	YDR423C	0.004496353
183	YPL038W	0.004485302
184	YML062C	0.004448298
185	YOL045W	0.004426443
186	YPL086C	0.004346244
187	YOL082W	0.004241440
188	YNL186W	0.004231417
189	YOR344C	0.004140904
190	YJL124C	0.004105198
191	YPL181W	0.004094184
192	YNL248C	0.004085695
193	YLR455W	0.003944084
194	YDL175C	0.003920662
195	YPR009W	0.003881971
196	YIL146C	0.003820055
197	YBR231C	0.003793540
198	YPL116W	0.003786330
199	YML027W	0.003698679
200	YNL299W	0.003666511
201	YLR136C	0.003643774
202	YNL215W	0.003626558
203	YGL216W	0.003621509
204	YIR002C	0.003602890
205	YBR010W	0.003587235
206	YDR517W	0.003582869
207	YDR139C	0.003564502
208	YKR010C	0.003534359
209	YIL112W	0.003532795
210	YLR135W	0.003514921
211	YLR451W	0.003491863
212	YIL107C	0.003468872
213	YNL098C	0.003448231
214	YLR219W	0.003447175
215	YFR001W	0.003396649
216	YMR285C	0.003378622
217	YPL157W	0.003369261
218	YPL024W	0.003368649
219	YER049W	0.003357340
220	YPL179W	0.003347223
221	YLR262C	0.003312865
222	YGR276C	0.003207359
223	YJL065C	0.003197167
224	YOR101W	0.003191143
225	YBR141C	0.003179533
226	YDR083W	0.003149956
227	YBR186W	0.003141639
228	YBR278W	0.003063133
229	YML068W	0.003060722
