rank	yeast_gene	ensemble_score
1	YDL188C	0.078600958
2	YBR285W	0.061772489
3	YDR022C	0.057202540
4	YDL134C	0.056197571
5	YLR019W	0.049748641
6	YLR094C	0.049641767
7	YNR032W	0.048612391
8	YGL163C	0.048173850
9	YHR195W	0.040306577
10	YJL115W	0.040103325
11	YOR339C	0.036242961
12	YML074C	0.034520986
13	YOR358W	0.031100007
14	YDR223W	0.030264411
15	YOR189W	0.029069738
16	YDL155W	0.028466686
17	YDR181C	0.028114468
18	YFR036W	0.027738435
19	YLL010C	0.027223512
20	YKL161C	0.026262611
21	YMR216C	0.024551027
22	YLR398C	0.024032029
23	YGL240W	0.023503437
24	YLR102C	0.023201702
25	YER089C	0.022953460
26	YLR433C	0.021930557
27	YKL166C	0.021492789
28	YPL015C	0.021397885
29	YLR449W	0.021300953
30	YMR021C	0.021282793
31	YLR210W	0.021269693
32	YER106W	0.020980643
33	YCR008W	0.020935667
34	YHR030C	0.020767080
35	YOL080C	0.020092406
36	YDL214C	0.018930237
37	YMR080C	0.018892063
38	YHR031C	0.018582127
39	YBL052C	0.018066194
40	YNL032W	0.018005722
41	YBL056W	0.017746423
42	YER035W	0.017008617
43	YML057W	0.016825449
44	YGL175C	0.016580244
45	YDL216C	0.016037253
46	YDR219C	0.015454426
47	YHR157W	0.015437005
48	YPR111W	0.015089141
49	YNL323W	0.015080294
50	YGL019W	0.014945595
51	YIR002C	0.014941409
52	YDL230W	0.014849592
53	YDR260C	0.014471054
54	YIR026C	0.014294455
55	YBR073W	0.014230785
56	YOR304W	0.013664021
57	YDR334W	0.013624722
58	YCR091W	0.013526877
59	YAL027W	0.013433916
60	YDL079C	0.013387046
61	YBR034C	0.013103409
62	YGL237C	0.013041509
63	YML006C	0.013032459
64	YGR275W	0.012946321
65	YPR093C	0.012456652
66	YGL087C	0.012257150
67	YOR107W	0.012033080
68	YMR273C	0.011891696
69	YNL288W	0.011178329
70	YGR152C	0.011123196
71	YIR025W	0.011028090
72	YGR108W	0.010847741
73	YDL076C	0.010824544
74	YEL012W	0.010791817
75	YFR015C	0.010626633
76	YGL208W	0.010579628
77	YKR017C	0.010342672
78	YPL026C	0.010185915
79	YBR245C	0.010066999
80	YER116C	0.009985833
81	YNL330C	0.009874358
82	YOR213C	0.009834731
83	YBR188C	0.009723744
84	YER164W	0.009604692
85	YDR110W	0.009539579
86	YLR021W	0.009479312
87	YER092W	0.009430270
88	YHR119W	0.009138254
89	YJL056C	0.009079790
90	YNL229C	0.008851703
91	YNL154C	0.008630663
92	YGR202C	0.008547722
93	YOL082W	0.008530844
94	YMR224C	0.008430998
95	YNL021W	0.008131795
96	YOL001W	0.007923741
97	YML068W	0.007911153
98	YNR004W	0.007839022
99	YNR032C-A	0.007708711
100	YLR016C	0.007654948
101	YPL086C	0.007581554
102	YDR075W	0.007556878
103	YNL311C	0.007449993
104	YLR260W	0.007420275
105	YMR069W	0.007373301
106	YHR135C	0.007180321
107	YDR074W	0.007146525
108	YNL223W	0.007117909
109	YKL160W	0.007044700
110	YPL179W	0.007029211
111	YMR219W	0.006905512
112	YGR206W	0.006727280
113	YKL091C	0.006389154
114	YFR014C	0.006144625
115	YGR040W	0.006100546
116	YGR133W	0.006066729
117	YHL027W	0.005968295
118	YJL106W	0.005859366
119	YJR119C	0.005762658
120	YBL057C	0.005709989
121	YLR221C	0.005555164
122	YDL194W	0.005552780
123	YBR114W	0.005471520
124	YOR064C	0.005445377
125	YMR100W	0.005443525
126	YDL138W	0.005411646
127	YLR224W	0.005376337
128	YJR094C	0.005264695
129	YOL054W	0.005259173
130	YPL042C	0.005134324
131	YER030W	0.005090688
132	YMR263W	0.004933081
133	YHR207C	0.004707254
134	YGR276C	0.004692657
135	YER176W	0.004669015
136	YMR304W	0.004553781
137	YMR285C	0.004526901
138	YOL081W	0.004507088
139	YDR291W	0.004484707
140	YPL186C	0.004384263
141	YBR125C	0.004383748
142	YHR034C	0.004368640
143	YCL040W	0.004224447
144	YGL166W	0.004121441
145	YPR023C	0.004107188
146	YOR368W	0.004083725
147	YPR120C	0.003934733
148	YML109W	0.003908779
149	YIL035C	0.003869389
150	YGL168W	0.003856460
151	YKR028W	0.003805051
152	YKR092C	0.003787936
153	YNR047W	0.003766316
154	YLL022C	0.003747022
155	YGL058W	0.003641318
156	YKR058W	0.003618156
157	YER100W	0.003563430
158	YPL157W	0.003538936
159	YAL055W	0.003528163
160	YGL216W	0.003475059
161	YLR421C	0.003461433
162	YPR119W	0.003449665
163	YDR120C	0.003438012
164	YPR040W	0.003437647
165	YDR523C	0.003401458
166	YBL021C	0.003385749
167	YCL010C	0.003360213
168	YOL006C	0.003292147
169	YMR042W	0.003269008
170	YBR203W	0.003267304
171	YBR062C	0.003132962
172	YER051W	0.003100895
173	YLR357W	0.003093534
174	YNL136W	0.003008276
175	YOR351C	0.002944063
176	YDR480W	0.002935328
177	YBR165W	0.002923260
178	YLR435W	0.002913612
179	YOL068C	0.002903964
180	YJL098W	0.002885311
181	YLR389C	0.002866088
182	YMR022W	0.002840577
183	YKL198C	0.002825256
184	YDR273W	0.002810660
185	YBR058C	0.002803203
186	YPR031W	0.002796231
187	YGL252C	0.002777115
188	YBR228W	0.002768477
189	YAR042W	0.002747728
190	YOL016C	0.002739161
191	YGL037C	0.002735084
192	YML072C	0.002709701
193	YLR013W	0.002669218
194	YDR469W	0.002635064
195	YNL106C	0.002618348
196	YPL181W	0.002527251
197	YPL192C	0.002496258
198	YGL100W	0.002481360
199	YGR109C	0.002462172
200	YFR053C	0.002454345
201	YPR160W	0.002449669
202	YDR247W	0.002414930
203	YPR152C	0.002402637
204	YER130C	0.002400214
205	YBR103W	0.002366835
206	YOR279C	0.002343502
207	YBL007C	0.002288330
208	YDL019C	0.002284430
209	YMR039C	0.002276180
210	YOR295W	0.002263440
211	YKR048C	0.002261077
212	YOR171C	0.002213938
213	YJL065C	0.002201659
214	YER027C	0.002174584
215	YOR039W	0.002174184
216	YPL213W	0.002161326
217	YBR274W	0.002153836
218	YDL080C	0.002127956
219	YBR105C	0.002120353
220	YLR385C	0.002071382
221	YJR110W	0.002067194
222	YPL116W	0.002056198
223	YLR059C	0.002055050
224	YLL019C	0.002052771
225	YNR051C	0.002048031
226	YHR079C	0.002045422
227	YIL130W	0.002044817
228	YNL116W	0.002043500
229	YOL067C	0.002031516
230	YNL023C	0.002002462
231	YDR423C	0.002001768
232	YFR040W	0.001961077
233	YNL186W	0.001936075
234	YKR072C	0.001929202
235	YPL194W	0.001920683
236	YOL115W	0.001918921
237	YMR261C	0.001908984
238	YDL179W	0.001904567
239	YOR315W	0.001883902
240	YOR032C	0.001881696
241	YPL167C	0.001872402
242	YLR055C	0.001863798
243	YJR059W	0.001851297
244	YDR191W	0.001800891
245	YPL180W	0.001794821
246	YDR490C	0.001751889
247	YNL215W	0.001751817
248	YER028C	0.001747898
249	YFR010W	0.001736705
250	YIL016W	0.001725077
251	YBR223C	0.001719144
252	YGL194C	0.001706095
253	YFL001W	0.001673307
254	YBR066C	0.001658078
255	YIL107C	0.001623087
256	YCR065W	0.001605273
257	YAL019W	0.001597969
258	YER016W	0.001573235
259	YML058W-A	0.001567473
260	YNL027W	0.001565448
261	YFR038W	0.001558444
262	YDR386W	0.001546117
263	YNL299W	0.001528368
264	YMR044W	0.001526141
265	YKL116C	0.001514152
266	YGL220W	0.001502081
267	YJL128C	0.001482949
268	YDR130C	0.001470301
269	YER044C-A	0.001467152
270	YHR187W	0.001426729
271	YJL105W	0.001426100
272	YGR200C	0.001421316
273	YER123W	0.001417544
274	YDR477W	0.001414448
275	YHR006W	0.001363349
276	YJR030C	0.001358599
277	YOR233W	0.001338149
278	YAR035W	0.001312236
279	YAR003W	0.001306448
280	YBR273C	0.001292008
281	YKR010C	0.001270775
282	YNL227C	0.001245612
283	YIL079C	0.001205138
284	YKR036C	0.001174241
285	YLR219W	0.001164163
286	YDR330W	0.001149981
287	YDR375C	0.001142499
288	YDR217C	0.001114241
289	YNL082W	0.001094272
290	YHR004C	0.001092110
291	YDR409W	0.001089678
292	YDL175C	0.001075956
293	YLR006C	0.001075542
294	YER049W	0.001056198
295	YPL049C	0.001042072
296	YBR001C	0.001014671
297	YDR043C	0.000998661
298	YOL043C	0.000996470
299	YGL192W	0.000961026
300	YBR140C	0.000949494
301	YKR093W	0.000943168
302	YNL289W	0.000941188
303	YGL003C	0.000936479
304	YHR146W	0.000934623
305	YER162C	0.000926806
306	YKR067W	0.000921510
307	YDR457W	0.000912730
308	YOL028C	0.000911835
309	YJR021C	0.000884036
310	YAL024C	0.000866644
311	YDL020C	0.000861703
312	YBR083W	0.000822596
313	YDL036C	0.000822241
314	YKL005C	0.000820309
315	YGL090W	0.000817392
316	YAL021C	0.000816835
317	YNL097C	0.000810559
318	YLR154C	0.000803693
319	YIL131C	0.000782822
320	YLR445W	0.000769957
321	YDR026C	0.000761176
322	YAR018C	0.000756081
323	YGL227W	0.000752473
324	YLR455W	0.000722627
325	YHL024W	0.000697707
326	YDR422C	0.000689513
327	YBR278W	0.000681422
328	YDR069C	0.000674507
329	YOR101W	0.000639417
330	YGL004C	0.000625944
331	YDR517W	0.000620240
332	YBR215W	0.000612812
333	YNL155W	0.000579328
334	YFR046C	0.000566858
335	YJL187C	0.000542859
336	YPR030W	0.000541098
337	YOR123C	0.000538697
338	YJL103C	0.000527302
339	YPL226W	0.000526640
340	YHR124W	0.000523221
341	YLR418C	0.000518588
342	YJL048C	0.000517776
343	YPL024W	0.000514076
344	YBR231C	0.000509902
345	YGL173C	0.000508636
346	YGL071W	0.000505576
347	YPL101W	0.000505363
348	YBR279W	0.000500784
349	YNL224C	0.000500259
350	YDL127W	0.000491324
351	YDL013W	0.000487435
352	YDR370C	0.000485480
353	YDL135C	0.000479625
354	YCL032W	0.000477671
355	YOR156C	0.000461843
356	YLR387C	0.000455151
357	YGR134W	0.000450910
358	YOR338W	0.000450666
359	YNL206C	0.000443937
360	YNR007C	0.000440813
361	YML062C	0.000427808
362	YML118W	0.000408459
363	YOR025W	0.000407739
364	YJL036W	0.000401569
365	YDR163W	0.000395517
366	YHR152W	0.000374158
367	YMR173W	0.000372915
368	YPR068C	0.000353183
369	YPL100W	0.000351052
370	YGR056W	0.000351045
371	YNL053W	0.000338161
372	YDR363W-A	0.000307373
373	YAL013W	0.000307328
374	YDR463W	0.000306070
375	YMR180C	0.000301871
376	YOL108C	0.000300011
377	YKR029C	0.000296936
378	YNL059C	0.000286353
379	YFR034C	0.000285914
380	YML082W	0.000285429
381	YAL015C	0.000283715
382	YGL179C	0.000264575
383	YBR217W	0.000252989
384	YOR014W	0.000240722
385	YPL138C	0.000238901
386	YMR137C	0.000230564
387	YLR288C	0.000230004
388	YJL083W	0.000226142
389	YDL070W	0.000221345
390	YKR019C	0.000214062
391	YKL109W	0.000213888
392	YOR386W	0.000210885
393	YGL131C	0.000209251
394	YMR036C	0.000209037
395	YHR134W	0.000207722
396	YDR143C	0.000202614
397	YBL054W	0.000202331
398	YLR133W	0.000200138
399	YBR239C	0.000199354
400	YJL168C	0.000194346
401	YOR001W	0.000193419
402	YKR001C	0.000188496
403	YPL187W	0.000183437
404	YMR233W	0.000181702
405	YGL229C	0.000173316
406	YOL045W	0.000169607
407	YDL002C	0.000164037
408	YHR108W	0.000162200
409	YOR042W	0.000161217
410	YDL106C	0.000159871
411	YKL149C	0.000158862
412	YNL107W	0.000153227
413	YPR018W	0.000151256
414	YGL133W	0.000145434
415	YNL072W	0.000136141
416	YKL043W	0.000133969
417	YER151C	0.000131167
418	YDR419W	0.000131112
419	YMR201C	0.000128050
420	YPL022W	0.000121067
421	YHR082C	0.000118743
422	YPR054W	0.000109116
423	YDR310C	0.000105710
424	YPL064C	0.000103266
425	YDR289C	0.000102777
426	YNL098C	0.000100262
427	YPR135W	0.000096893
428	YBL019W	0.000084618
429	YER169W	0.000081724
430	YOR173W	0.000070354
431	YFL033C	0.000055189
432	YDR363W	0.000055001
433	YML100W	0.000042240
434	YLR135W	0.000041580
435	YMR179W	0.000028783
436	YJL124C	0.000028094
437	YHL010C	0.000027348
438	YML032C	0.000027244
439	YLR014C	0.000023708
440	YML111W	0.000020802
441	YDR358W	0.000016732
442	YML029W	0.000011536
443	YOR047C	-0.000010447
444	YML007W	-0.000015500
445	YKR099W	-0.000017941
446	YOR195W	-0.000021226
447	YHR202W	-0.000028727
448	YDR057W	-0.000033785
449	YNR024W	-0.000034811
450	YMR048W	-0.000036350
451	YLR015W	-0.000039979
452	YER139C	-0.000043548
453	YHR156C	-0.000049172
454	YBR280C	-0.000051230
455	YDR451C	-0.000052957
456	YGL033W	-0.000055633
457	YLR085C	-0.000064714
458	YFL021W	-0.000067375
459	YKR034W	-0.000069326
460	YDL059C	-0.000075797
461	YIL119C	-0.000075873
462	YBR233W	-0.000106805
463	YLR131C	-0.000110414
464	YGR225W	-0.000118912
465	YGR270W	-0.000120325
466	YBR095C	-0.000122244
467	YLR429W	-0.000123960
468	YGR019W	-0.000138429
469	YMR127C	-0.000140279
470	YLR107W	-0.000143425
471	YFL031W	-0.000144353
472	YLR120C	-0.000145445
473	YMR075W	-0.000149811
474	YDR004W	-0.000152753
475	YMR269W	-0.000153322
476	YIL038C	-0.000155473
477	YLR425W	-0.000155720
478	YER075C	-0.000160789
479	YLR401C	-0.000168787
480	YMR172W	-0.000177033
481	YPL166W	-0.000184562
482	YGL115W	-0.000187317
483	YOR033C	-0.000187424
484	YDR364C	-0.000193273
485	YDR518W	-0.000196287
486	YCR033W	-0.000196506
487	YMR078C	-0.000201078
488	YJL176C	-0.000202858
489	YJR043C	-0.000204675
490	YIL084C	-0.000205614
491	YDR293C	-0.000206774
492	YML027W	-0.000216132
493	YIL113W	-0.000225155
494	YEL009C	-0.000229559
495	YLR427W	-0.000230410
496	YOL136C	-0.000230852
497	YIL072W	-0.000245239
498	YOR153W	-0.000246802
499	YIL112W	-0.000249569
500	YDR266C	-0.000249846
501	YPL123C	-0.000250499
502	YBR186W	-0.000254745
503	YNR023W	-0.000261311
504	YOR124C	-0.000261928
505	YOL087C	-0.000266096
506	YDR485C	-0.000272614
507	YDR392W	-0.000272762
508	YNR034W	-0.000273658
509	YCL061C	-0.000276537
510	YBL008W	-0.000276821
511	YDR146C	-0.000282920
512	YDR049W	-0.000288789
513	YCL024W	-0.000293394
514	YDL113C	-0.000293683
515	YDR244W	-0.000293944
516	YIR033W	-0.000295147
517	YOR005C	-0.000298567
518	YOR028C	-0.000304814
519	YGL094C	-0.000314916
520	YKL185W	-0.000319150
521	YGL181W	-0.000322106
522	YMR106C	-0.000323457
523	YBR290W	-0.000325628
524	YKR091W	-0.000327444
525	YDR169C	-0.000327536
526	YCR016W	-0.000327564
527	YGL251C	-0.000329624
528	YPR070W	-0.000331484
529	YJL058C	-0.000333138
530	YDR254W	-0.000340179
531	YEL015W	-0.000347135
532	YNL278W	-0.000347805
533	YOR038C	-0.000348078
534	YER088C	-0.000348216
535	YPL216W	-0.000354873
536	YPL155C	-0.000357743
537	YML097C	-0.000358841
538	YDL074C	-0.000359095
539	YDR323C	-0.000365203
540	YGR080W	-0.000379873
541	YDR137W	-0.000396272
542	YNL167C	-0.000398432
543	YDR176W	-0.000403644
544	YFL044C	-0.000404360
545	YDR320C	-0.000409067
