rank	yeast_gene	ensemble_score
1	YGR288W	0.098691571
2	YFL052W	0.090022976
3	YBR297W	0.081777651
4	YPR196W	0.076044600
5	YBR201W	0.073079250
6	YKL161C	0.071503583
7	YGL168W	0.070818958
8	YLR329W	0.070521811
9	YNL130C	0.067963287
10	YOR380W	0.067540484
11	YHR032W	0.059502870
12	YPL096C-A	0.059359832
13	YOL104C	0.054217841
14	YLR385C	0.053600412
15	YDR260C	0.053004520
16	YGL087C	0.052218045
17	YAL053W	0.051985860
18	YNL288W	0.049782114
19	YML058W-A	0.049759476
20	YBR062C	0.049323036
21	YGR275W	0.046686870
22	YPL274W	0.046664120
23	YER044C-A	0.046326854
24	YJR073C	0.045670754
25	YKR093W	0.045622988
26	YAL027W	0.045325026
27	YMR306W	0.044717597
28	YDR252W	0.043929189
29	YKL130C	0.043592265
30	YNR063W	0.042344157
31	YMR138W	0.041416261
32	YLR445W	0.041354024
33	YMR019W	0.041335324
34	YOR179C	0.041144363
35	YMR080C	0.040991528
36	YOR339C	0.040728132
37	YLR021W	0.040209671
38	YPL031C	0.040021930
39	YNL159C	0.039597298
40	YCR106W	0.039089047
41	YER184C	0.039060202
42	YPR054W	0.038305987
43	YOL013C	0.037858220
44	YKL222C	0.037724318
45	YDL076C	0.037336355
46	YLR224W	0.037203105
47	YML123C	0.037042925
48	YMR274C	0.036976593
49	YCR020W-B	0.035822235
50	YLR342W	0.035427783
51	YCR008W	0.035333130
52	YOR363C	0.034718615
53	YDL170W	0.034453360
54	YDR375C	0.034394836
55	YBR240C	0.033901195
56	YGR133W	0.033802061
57	YMR100W	0.033246666
58	YGR206W	0.032703508
59	YHR003C	0.032394178
60	YOR172W	0.032330406
61	YER092W	0.032288197
62	YJL149W	0.031869913
63	YKR001C	0.031194404
64	YNR032C-A	0.030900805
65	YHR195W	0.030834263
66	YPL046C	0.030714255
67	YLL054C	0.030306989
68	YLR368W	0.030257937
69	YNL142W	0.029480435
70	YLR233C	0.029170954
71	YIR026C	0.028608661
72	YAR018C	0.028093956
73	YLR451W	0.028074980
74	YML051W	0.028067985
75	YOR189W	0.027785937
76	YDR131C	0.027364392
77	YHR178W	0.027318127
78	YAL009W	0.027234927
79	YIL040W	0.027229667
80	YKR017C	0.027198428
81	YPL033C	0.026924540
82	YBL006C	0.026497905
83	YLR253W	0.026443833
84	YKL166C	0.026414653
85	YLR154C	0.026049924
86	YER100W	0.025777177
87	YGL237C	0.025774158
88	YBR285W	0.025177323
