rank	yeast_gene	ensemble_score
1	YAL009W	0.061420877
2	YPR155C	0.054799751
3	YLR207W	0.053876179
4	YNL288W	0.049769354
5	YPL176C	0.049580003
6	YAL053W	0.045784419
7	YJR066W	0.045775151
8	YMR302C	0.041666582
9	YCR077C	0.040787965
10	YKL034W	0.039689221
11	YIL040W	0.035527463
12	YMR065W	0.034663360
13	YPR149W	0.034644672
14	YJL030W	0.033225754
15	YHR200W	0.030816660
16	YLR381W	0.030611823
17	YJR073C	0.030508645
18	YOL013C	0.029795047
19	YPL203W	0.028394192
20	YKL166C	0.027846498
21	YJR091C	0.027712229
22	YIL030C	0.027386025
23	YPR042C	0.026707102
24	YLR258W	0.026193640
25	YDL190C	0.025995832
26	YBR290W	0.025359740
27	YDR335W	0.025177679
28	YPL031C	0.024996075
29	YFR015C	0.024958605
30	YGR157W	0.024053641
31	YKL057C	0.023157311
32	YKL190W	0.022668659
33	YPL199C	0.022006549
34	YDR375C	0.021983239
35	YDR099W	0.021750007
36	YKL010C	0.021674566
37	YDR244W	0.020471785
38	YER177W	0.020440561
39	YHL020C	0.020150131
40	YGR097W	0.019980995
41	YMR202W	0.019888968
42	YML124C	0.019793119
43	YOR197W	0.019758987
44	YBL079W	0.019691074
45	YJL058C	0.019640645
46	YML034W	0.019508567
47	YML075C	0.019337082
48	YNL130C	0.019206868
49	YLR319C	0.019116533
50	YBL051C	0.018857300
51	YNL142W	0.018221959
52	YLR180W	0.018196832
53	YGL016W	0.017780403
54	YBL078C	0.017711055
55	YKL002W	0.017530597
56	YDR395W	0.016777965
57	YJL204C	0.016542191
58	YDL149W	0.016538068
59	YBR201W	0.016517040
60	YGL060W	0.015840672
61	YPR185W	0.015447701
62	YML102W	0.015106062
63	YPL125W	0.015080496
64	YLR342W	0.014816679
65	YPL065W	0.014661174
66	YER110C	0.014654849
67	YDL113C	0.014648509
68	YBL066C	0.014570701
69	YML103C	0.014536437
70	YLR384C	0.014426367
71	YDL134C	0.014140264
72	YGL241W	0.014036203
73	YMR274C	0.014003131
74	YGL058W	0.013284652
75	YML128C	0.013137250
76	YER105C	0.012738277
77	YDR139C	0.012418647
78	YFL007W	0.012172826
79	YJL164C	0.011967823
80	YKR082W	0.011695601
81	YPL045W	0.011677738
82	YMR119W	0.011397026
83	YPL002C	0.011395663
84	YNL273W	0.011211743
85	YBR082C	0.011063577
86	YMR231W	0.010958246
87	YNL098C	0.010732613
88	YBR218C	0.010721953
89	YDR006C	0.010539151
90	YDR075W	0.010484377
91	YLR403W	0.010406383
92	YDR059C	0.010398223
93	YNL138W	0.010389757
94	YJL036W	0.010325137
95	YER031C	0.010168241
96	YGL062W	0.010034374
97	YKL205W	0.009677972
98	YLR234W	0.009643352
99	YLR423C	0.009638961
100	YBR097W	0.009621029
101	YDR206W	0.009541180
102	YBL021C	0.009021439
103	YNR063W	0.008829144
104	YDR392W	0.008729548
105	YJR031C	0.008707684
106	YLR019W	0.008701013
107	YJL210W	0.008548738
108	YMR055C	0.008541791
109	YPR075C	0.008517571
110	YDR517W	0.008517535
111	YLR262C	0.008370568
112	YGL070C	0.008217034
113	YDL236W	0.008208409
114	YAL002W	0.008203813
115	YPL123C	0.008081841
116	YJR096W	0.008059378
117	YIL128W	0.008054017
118	YHR192W	0.007905412
119	YOR101W	0.007878158
120	YPR160W	0.007774772
121	YGL087C	0.007582572
122	YMR276W	0.007574624
123	YNL307C	0.007556181
124	YBR111W-A	0.007504841
125	YNL236W	0.007300702
126	YMR019W	0.007285652
127	YMR312W	0.007061765
128	YGR003W	0.007025869
129	YJL178C	0.006999868
130	YNL008C	0.006990501
131	YJL153C	0.006924175
132	YLR176C	0.006909558
133	YPR030W	0.006904138
134	YGL181W	0.006899179
135	YKR059W	0.006791267
136	YLR427W	0.006670139
137	YNR032W	0.006661184
138	YGL208W	0.006649287
139	YAL039C	0.006563213
140	YDL188C	0.006534469
141	YDR001C	0.006530252
142	YNL257C	0.006403249
143	YDL106C	0.006340806
144	YDL005C	0.006332820
145	YDL091C	0.006185193
146	YIL132C	0.006121873
147	YGR152C	0.006112860
148	YMR275C	0.006101086
149	YOL145C	0.006089409
150	YKL032C	0.006069837
151	YKL025C	0.006065032
152	YMR026C	0.006007397
153	YDR073W	0.005990726
154	YML006C	0.005933028
155	YIL153W	0.005910065
156	YHR187W	0.005900318
157	YBR057C	0.005857556
158	YGR208W	0.005824118
159	YGL168W	0.005718500
160	YIL084C	0.005689024
161	YIL073C	0.005623835
162	YML076C	0.005548313
163	YGL110C	0.005344185
164	YGL043W	0.005296097
165	YGR067C	0.005286349
166	YHR077C	0.005259438
167	YPL120W	0.005255988
168	YOL004W	0.005244407
169	YAL013W	0.005129096
170	YDR155C	0.004966114
171	YDL088C	0.004888626
172	YNL242W	0.004852771
173	YGR109C	0.004606321
174	YPR189W	0.004562609
175	YPL149W	0.004533187
176	YNL278W	0.004529462
177	YBL005W	0.004507431
178	YOR106W	0.004468305
179	YMR247C	0.004325620
180	YJR102C	0.004325198
181	YMR264W	0.004206335
182	YHR108W	0.004190904
183	YGL125W	0.004136023
184	YOR295W	0.004110612
185	YPR184W	0.004082353
186	YDR022C	0.004079780
187	YBR112C	0.003964866
188	YOR191W	0.003870341
189	YIL056W	0.003829449
190	YML013W	0.003782531
191	YAL046C	0.003733299
192	YML111W	0.003716386
193	YMR012W	0.003712478
194	YOR209C	0.003643043
195	YGR180C	0.003614463
196	YER027C	0.003552465
197	YOR354C	0.003527915
198	YGL229C	0.003407607
199	YLR228C	0.003404797
200	YJL083W	0.003377819
201	YBR095C	0.003339342
202	YNL159C	0.003287621
203	YLR148W	0.003275327
204	YOL089C	0.003244748
205	YLR377C	0.003243103
206	YPL046C	0.003185230
207	YFR040W	0.003121500
208	YMR223W	0.003116933
209	YOL051W	0.003079058
210	YKL041W	0.003004303
211	YDR123C	0.002996033
212	YLR055C	0.002992980
213	YMR287C	0.002924362
214	YNL209W	0.002920717
215	YMR294W	0.002917293
216	YPL084W	0.002910027
217	YGL151W	0.002906554
218	YBL007C	0.002844542
219	YNL248C	0.002839463
220	YPR007C	0.002821062
221	YDL230W	0.002820818
222	YLR451W	0.002771939
223	YBL047C	0.002747718
224	YJL049W	0.002711438
225	YGL086W	0.002688939
226	YGL252C	0.002679425
227	YDR005C	0.002659881
228	YDR176W	0.002642856
229	YOR179C	0.002628180
230	YNR023W	0.002577770
