rank	yeast_gene	ensemble_score
1	YKL166C	0.113073593
2	YPL203W	0.110431235
3	YKR039W	0.091555184
4	YJL164C	0.086111111
5	YPL031C	0.085087136
6	YKR059W	0.080722760
7	YNL098C	0.068086884
8	YGR152C	0.065427259
9	YDL134C	0.061947149
10	YPL274W	0.060937181
11	YLR329W	0.060178526
12	YNL307C	0.058111952
13	YDL188C	0.057102672
14	YKR093W	0.054804879
15	YGL168W	0.051295042
16	YDL006W	0.051288974
17	YMR019W	0.051042753
18	YFR014C	0.050854532
19	YLR113W	0.050835276
20	YKL161C	0.050504549
21	YOR101W	0.049969605
22	YMR246W	0.049529173
23	YDR075W	0.049213412
24	YDL138W	0.047897931
25	YGR040W	0.047544743
26	YDR252W	0.046366386
27	YGR180C	0.045996531
28	YOL016C	0.045690606
29	YOL104C	0.044990378
30	YLR019W	0.044474790
31	YPR054W	0.044418814
32	YOR153W	0.043670691
33	YLR385C	0.043114618
34	YER031C	0.042276805
35	YKL190W	0.041941392
36	YNR032C-A	0.041526925
37	YDL079C	0.040421245
38	YER177W	0.039649792
39	YBR082C	0.038694047
40	YNR032W	0.038238669
41	YAL027W	0.037360077
42	YER044C-A	0.037184228
43	YOR197W	0.037071124
44	YHR032W	0.036750572
45	YPL192C	0.036480048
46	YDR059C	0.036075446
47	YDR139C	0.035949411
48	YOR179C	0.035041348
49	YDL236W	0.034714712
50	YNR063W	0.034698045
51	YHR030C	0.034619890
52	YGL253W	0.034407915
53	YDR155C	0.033826965
54	YDR099W	0.033630407
55	YHR195W	0.033565098
56	YKL130C	0.032433470
57	YOR185C	0.032418499
58	YML001W	0.032320095
59	YEL013W	0.031923575
60	YGL237C	0.031919837
61	YML123C	0.031697546
62	YGR208W	0.031579416
63	YDR022C	0.031405379
64	YBL005W	0.031248861
65	YNL209W	0.031102590
66	YJR096W	0.030796399
67	YPL096C-A	0.030604814
68	YGR067C	0.030565980
69	YGR288W	0.030546683
70	YPR173C	0.030082730
71	YNL142W	0.029960723
72	YGR275W	0.029509716
73	YPL154C	0.029282482
74	YPR093C	0.029161916
75	YPL037C	0.028492380
76	YFR053C	0.028354530
77	YBR297W	0.028224208
78	YDL194W	0.028003277
79	YER035W	0.027976190
80	YOR061W	0.027663231
81	YBL006C	0.027652077
82	YML076C	0.027136446
83	YFL052W	0.026971327
84	YNL130C	0.026884185
85	YML058W-A	0.026821632
86	YFR046C	0.026463519
87	YGL087C	0.026289705
88	YLR445W	0.026283027
89	YBR201W	0.025917224
90	YMR274C	0.025713054
91	YGR109C	0.025572950
92	YER184C	0.025481501
93	YLR234W	0.025409766
94	YER106W	0.025384249
95	YMR139W	0.025305443
96	YER179W	0.025141420
97	YPL086C	0.025094998
98	YDL076C	0.025089229
99	YGL163C	0.024717110
100	YDR334W	0.024570201
101	YJL206C	0.024275832
102	YEL066W	0.024137336
103	YBR285W	0.023817222
104	YJL149W	0.023776230
105	YER092W	0.023497708
106	YDR260C	0.023302445
107	YGR134W	0.023258737
108	YLR438W	0.023056425
109	YLR021W	0.022752660
110	YPR052C	0.022675817
111	YIL132C	0.022573442
112	YLR224W	0.022493630
113	YBR188C	0.021981897
114	YER089C	0.021703621
115	YLR094C	0.021699000
116	YOR189W	0.021557892
117	YLR433C	0.021557373
118	YPL199C	0.021356281
119	YNL159C	0.021233122
120	YOL082W	0.021222298
121	YBR114W	0.021138019
122	YHR135C	0.021100938
123	YNL311C	0.021065019
124	YIR013C	0.021037565
125	YPR196W	0.021010191
126	YKL091C	0.020752938
127	YNL210W	0.020723966
128	YLL048C	0.020553421
129	YLR102C	0.020325731
130	YBR272C	0.020309144
131	YAL054C	0.020209045
132	YEL018W	0.020139394
133	YDL155W	0.020101483
134	YGL058W	0.019941526
135	YLR262C	0.019835181
136	YAL055W	0.019534574
137	YJR073C	0.019409696
138	YML011C	0.019385559
139	YBR089C-A	0.019338492
140	YPR149W	0.019291742
141	YDR488C	0.019253383
142	YGL013C	0.019209764
143	YOR380W	0.019130886
144	YCR091W	0.019020819
145	YFR036W	0.018999120
146	YLR052W	0.018938774
147	YPL046C	0.018914658
148	YBR240C	0.018865863
149	YOR339C	0.018784524
150	YDL170W	0.018694078
151	YGL043W	0.018623650
152	YNR034W	0.018623142
153	YOR295W	0.018555835
154	YDR273W	0.018393849
155	YOL081W	0.018366283
156	YML057W	0.017991239
157	YNL154C	0.017937597
158	YNL241C	0.017871001
159	YHR200W	0.017796183
160	YPR111W	0.017702828
161	YDR079C-A	0.017573117
162	YLL002W	0.017507768
163	YBL021C	0.017397117
164	YER143W	0.017271221
165	YLR216C	0.017238594
166	YBR165W	0.017196266
167	YGR003W	0.017125440
168	YPR040W	0.017092144
169	YGR135W	0.016944936
170	YPR101W	0.016928086
171	YNL288W	0.016766348
172	YKL127W	0.016645673
173	YGR206W	0.016574858
174	YLL010C	0.016476061
175	YBR140C	0.016422989
176	YLR226W	0.016363969
177	YGL220W	0.016345100
178	YMR191W	0.016245620
179	YDL230W	0.016220952
180	YMR080C	0.016107473
181	YAL046C	0.016087681
182	YGL078C	0.016083901
183	YDR001C	0.015945754
184	YOR027W	0.015804463
185	YBR107C	0.015785811
186	YJR021C	0.015758916
187	YDR216W	0.015738571
188	YIR025W	0.015713618
189	YKR054C	0.015637896
190	YBR034C	0.015503216
191	YER110C	0.015486349
192	YDR181C	0.015471194
193	YGL070C	0.015340641
194	YHL025W	0.015237845
195	YPL033C	0.015156347
196	YDR223W	0.015091840
197	YMR105C	0.015083379
198	YCR020W-B	0.015049230
199	YOL080C	0.015034427
200	YOR191W	0.015033769
201	YMR315W	0.014961642
202	YBL057C	0.014770870
203	YOL089C	0.014710609
204	YDR110W	0.014700864
205	YIL130W	0.014689167
206	YDR523C	0.014665655
207	YNR004W	0.014653762
208	YMR022W	0.014626662
209	YEL037C	0.014551719
210	YCL040W	0.014525039
211	YLR154C	0.014487205
212	YDL080C	0.014428927
213	YBR275C	0.014338611
214	YKL114C	0.014304133
215	YNL330C	0.014289357
216	YLR210W	0.014229468
217	YLR059C	0.014132046
218	YDR490C	0.014110703
219	YGL062W	0.014085301
220	YHR033W	0.014053767
221	YER174C	0.014033256
222	YDR131C	0.013998641
223	YDR513W	0.013989569
224	YDR120C	0.013974565
225	YML102W	0.013939505
226	YKL067W	0.013884300
227	YOR358W	0.013880739
228	YML036W	0.013863186
229	YOL013C	0.013852180
230	YDR156W	0.013825771
231	YIL040W	0.013799737
232	YJL115W	0.013732252
233	YML068W	0.013566941
234	YFR038W	0.013390356
235	YCR106W	0.013384648
236	YDR098C	0.013333703
237	YMR293C	0.013322722
238	YBL088C	0.013270653
239	YDR253C	0.013242891
240	YPL042C	0.013196554
241	YBL024W	0.013075291
242	YHR004C	0.012910096
243	YBR028C	0.012874126
244	YHR031C	0.012850991
245	YHR157W	0.012815359
246	YMR219W	0.012763786
247	YMR223W	0.012757273
248	YMR138W	0.012702234
249	YDR263C	0.012692247
250	YBR218C	0.012634090
251	YKR017C	0.012568634
252	YLR364W	0.012504909
253	YIR005W	0.012480186
254	YOR290C	0.012433914
255	YPL038W	0.012410733
256	YGR071C	0.012403584
257	YJR127C	0.012386979
258	YGL240W	0.012329515
259	YML124C	0.012254256
260	YLL039C	0.012152536
261	YDR375C	0.012103105
262	YGR209C	0.012089926
263	YPR164W	0.012028794
264	YGL216W	0.011950508
265	YCR020C-A	0.011940292
266	YPR119W	0.011894435
267	YOR047C	0.011885679
268	YLR368W	0.011845970
269	YOR351C	0.011824390
270	YNL323W	0.011690735
271	YLL054C	0.011676857
272	YOR313C	0.011660042
273	YGL115W	0.011635257
274	YOR368W	0.011570062
275	YMR205C	0.011557008
276	YMR182C	0.011556893
277	YBR175W	0.011543231
278	YLR013W	0.011488513
279	YNL204C	0.011410150
280	YDL197C	0.011369366
281	YOL090W	0.011302728
282	YMR116C	0.011242060
283	YLR263W	0.011241946
284	YIL035C	0.011229061
285	YBR150C	0.011191039
286	YER007C-A	0.011154464
287	YLR315W	0.011120769
288	YIL010W	0.011074165
289	YNL021W	0.011034772
290	YMR100W	0.010998642
291	YDR158W	0.010976132
292	YLL022C	0.010963613
293	YJL073W	0.010945534
294	YNL072W	0.010930697
295	YGL100W	0.010910139
296	YDR291W	0.010893206
297	YJL030W	0.010847873
298	YAL053W	0.010824882
299	YLL040C	0.010804750
300	YBR112C	0.010799438
301	YBR073W	0.010799156
302	YGL175C	0.010768677
303	YLR398C	0.010761092
304	YGL211W	0.010745849
305	YGR019W	0.010715980
306	YLR043C	0.010707543
307	YPR120C	0.010683916
308	YLR389C	0.010672511
309	YHR127W	0.010648166
310	YPR199C	0.010645009
311	YDR179C	0.010617891
312	YKL160W	0.010616906
313	YAL044W-A	0.010477830
314	YDL090C	0.010470826
315	YBL078C	0.010410009
316	YMR030W	0.010407797
317	YHR167W	0.010388885
318	YMR021C	0.010321282
319	YMR202W	0.010288944
320	YBL056W	0.010279043
321	YGR108W	0.010257988
322	YOR363C	0.010253357
323	YLR453C	0.010215499
324	YMR145C	0.010162787
325	YML029W	0.010159979
326	YML081W	0.010152527
327	YPL109C	0.010133028
328	YER116C	0.010101718
329	YCR008W	0.010100122
330	YAL019W	0.010079167
331	YDR457W	0.010073286
332	YPL144W	0.010065520
333	YMR258C	0.010024272
334	YHL006C	0.010015110
335	YMR167W	0.009930338
336	YDR477W	0.009907085
337	YCR053W	0.009898236
338	YPL212C	0.009878493
339	YLR376C	0.009877341
340	YER142C	0.009779754
341	YOR304W	0.009747464
342	YDR448W	0.009724955
343	YIR002C	0.009711743
344	YKR067W	0.009693522
345	YBR245C	0.009648320
346	YDR035W	0.009646327
347	YPL248C	0.009632506
348	YKL213C	0.009592722
349	YDR009W	0.009548365
350	YDR265W	0.009532451
351	YIL146C	0.009501109
352	YIR019C	0.009489886
353	YLR258W	0.009486944
354	YPL213W	0.009465314
355	YGL252C	0.009442779
356	YPR015C	0.009429998
357	YFR010W	0.009418261
358	YAL021C	0.009367484
359	YLR342W	0.009352795
360	YMR276W	0.009317528
361	YLR253W	0.009293416
362	YPL187W	0.009286084
363	YHL027W	0.009247311
364	YKL017C	0.009245439
365	YHR111W	0.009231806
366	YPL179W	0.009215401
367	YLR048W	0.009192899
368	YJL137C	0.009130582
369	YKR064W	0.009109642
370	YPL226W	0.009088607
371	YLR320W	0.009063018
372	YDL135C	0.009040646
373	YIR026C	0.009034208
374	YBL039C	0.009017135
375	YJR035W	0.009002570
376	YMR186W	0.008995967
377	YHR119W	0.008987524
378	YLR174W	0.008981308
379	YER120W	0.008974906
380	YJL056C	0.008964763
381	YPL164C	0.008937346
382	YCL010C	0.008936471
383	YPL180W	0.008934370
384	YLR304C	0.008912190
385	YPL015C	0.008900982
386	YJR069C	0.008893693
387	YLR266C	0.008868559
388	YGR133W	0.008852008
389	YFR015C	0.008851392
390	YOL108C	0.008842523
391	YLL046C	0.008815404
392	YER028C	0.008771717
393	YDR213W	0.008769327
394	YBR010W	0.008754051
395	YMR069W	0.008725666
396	YML074C	0.008719990
397	YKL139W	0.008701911
398	YDR518W	0.008663955
399	YMR119W	0.008652024
400	YNL138W	0.008648225
401	YBR033W	0.008642800
402	YDR074W	0.008598777
403	YDR219C	0.008593355
404	YGL037C	0.008574957
405	YOR107W	0.008574392
406	YMR234W	0.008559509
407	YJL110C	0.008535156
408	YEL012W	0.008527144
409	YBR066C	0.008504048
410	YOL042W	0.008500812
411	YKL113C	0.008496195
412	YMR263W	0.008467438
413	YAL059W	0.008446744
414	YGR173W	0.008430800
415	YML099C	0.008421672
416	YMR306W	0.008419208
417	YLR233C	0.008396649
418	YMR136W	0.008361738
419	YCL011C	0.008356588
420	YLR035C	0.008343967
421	YER176W	0.008340137
422	YBR278W	0.008331604
423	YJL124C	0.008324502
424	YER123W	0.008314378
425	YKL002W	0.008297394
426	YKL015W	0.008272944
427	YBR182C	0.008251913
428	YGR200C	0.008219424
429	YMR133W	0.008219102
430	YMR273C	0.008193806
431	YIL033C	0.008105337
432	YLR221C	0.008104483
433	YJL128C	0.008092351
434	YBR228W	0.008089078
435	YLR119W	0.008083274
436	YDR466W	0.008073140
437	YGR232W	0.008064674
438	YJR084W	0.008000042
439	YML113W	0.007994372
440	YKL214C	0.007993245
441	YIL073C	0.007974593
442	YLR098C	0.007932496
443	YJR094C	0.007932207
444	YDR378C	0.007923369
445	YMR224C	0.007921840
446	YBR001C	0.007899872
447	YBL007C	0.007891144
448	YOR337W	0.007888107
449	YNL314W	0.007883043
450	YDL051W	0.007881011
451	YGR021W	0.007880298
452	YNL229C	0.007870458
453	YDL101C	0.007865956
454	YGR240C	0.007842850
455	YMR285C	0.007830732
456	YIL008W	0.007771214
457	YNR015W	0.007769805
458	YLR377C	0.007765080
459	YLR074C	0.007757669
460	YLR192C	0.007734986
461	YAL011W	0.007732572
462	YOR243C	0.007729839
463	YNL008C	0.007726845
464	YML070W	0.007706898
465	YCR014C	0.007702704
466	YHL022C	0.007683426
467	YNR074C	0.007638674
468	YBR195C	0.007614682
469	YBR009C	0.007614491
470	YHR193C	0.007585170
471	YBL003C	0.007579710
472	YPL021W	0.007544494
473	YFR032C	0.007499582
474	YLL062C	0.007482785
475	YGL089C	0.007474639
476	YDR423C	0.007463363
477	YFL014W	0.007453601
478	YIL009C-A	0.007419456
479	YPL127C	0.007415915
480	YKR058W	0.007401100
481	YBR125C	0.007389985
482	YBR062C	0.007387899
483	YLR384C	0.007355033
484	YER164W	0.007323269
485	YDR395W	0.007323223
486	YGR247W	0.007319649
487	YOR251C	0.007316055
488	YPL273W	0.007311749
489	YAR035W	0.007310238
490	YNL016W	0.007293525
