rank	yeast_gene	ensemble_score
1	YKR039W	0.013455609
2	YLR019W	0.012085887
3	YMR246W	0.011325410
4	YEL013W	0.010927875
5	YGR180C	0.010601577
6	YER177W	0.010148000
7	YNL142W	0.009672579
8	YKR059W	0.009491976
9	YDL134C	0.009134613
10	YDL188C	0.008759376
11	YGL253W	0.008709546
12	YDR099W	0.008392430
13	YDL006W	0.008072764
14	YFR053C	0.007982923
15	YBR201W	0.007881155
16	YML076C	0.007788416
17	YKL190W	0.007722645
18	YDR075W	0.007328005
19	YGR208W	0.007269473
20	YGR109C	0.007138608
21	YDR022C	0.006864978
22	YNR032W	0.006551300
23	YAL009W	0.006475238
24	YOR179C	0.006284497
25	YKL166C	0.006252254
26	YJR096W	0.006077431
27	YOR197W	0.005799225
28	YDL236W	0.005619485
29	YPL154C	0.005304573
30	YGL168W	0.005292250
31	YDR001C	0.005252501
32	YJR073C	0.004993207
33	YDR059C	0.004988723
34	YGL087C	0.004975888
35	YAL053W	0.004904225
36	YNL241C	0.004756962
37	YMR223W	0.004352024
38	YMR315W	0.004350481
39	YLR342W	0.004264510
40	YKL034W	0.004264188
41	YMR306W	0.003987253
42	YJL149W	0.003978723
43	YGR067C	0.003734470
44	YIL030C	0.003698521
45	YBL006C	0.003667645
46	YGR135W	0.003662426
47	YPL274W	0.003661426
48	YAL055W	0.003605416
49	YLR180W	0.003527421
50	YBL057C	0.003520649
51	YML075C	0.003480804
52	YBR001C	0.003470173
53	YDL149W	0.003440950
54	YNR034W	0.003429437
55	YBR285W	0.003284198
56	YOR039W	0.003236540
57	YJL153C	0.003202149
58	YDL079C	0.003189235
59	YPL176C	0.003158571
60	YER110C	0.003123849
61	YOR209C	0.003090546
62	YGL062W	0.003073527
63	YBR218C	0.003058264
64	YMR202W	0.003054497
65	YGR275W	0.003016768
66	YNL209W	0.003004381
67	YPR155C	0.003000136
68	YFR015C	0.002955286
69	YNL330C	0.002946711
70	YGR157W	0.002926715
71	YMR302C	0.002855144
72	YDR158W	0.002833806
73	YKR093W	0.002826418
74	YDR252W	0.002814235
75	YMR105C	0.002805087
76	YPR160W	0.002802719
77	YBR290W	0.002624712
78	YOR027W	0.002600580
79	YKR067W	0.002567494
80	YDR273W	0.002546477
81	YPR149W	0.002501109
82	YPL199C	0.002485709
83	YBR034C	0.002465419
84	YLR304C	0.002455314
85	YLL040C	0.002443092
86	YKL091C	0.002400555
87	YPR054W	0.002382545
88	YGL237C	0.002378543
89	YNL323W	0.002362292
90	YLR094C	0.002342385
91	YPR075C	0.002339334
92	YOL081W	0.002309267
93	YLR024C	0.002308266
94	YPL123C	0.002271496
95	YNL130C	0.002236521
96	YKL127W	0.002192227
97	YLR207W	0.002183863
98	YGR108W	0.002179853
99	YDR213W	0.002174857
100	YIR019C	0.002162167
101	YGL060W	0.002156611
102	YLR258W	0.002150762
103	YMR258C	0.002143104
104	YKL114C	0.002098335
105	YGL019W	0.002086085
106	YGR097W	0.002085273
107	YNL138W	0.002080805
108	YOR295W	0.002052310
109	YBR272C	0.002039582
110	YAL039C	0.002011743
111	YGR003W	0.002007534
112	YPL164C	0.001988151
113	YBL039C	0.001974101
114	YJR066W	0.001964256
115	YOR153W	0.001963073
116	YDR263C	0.001949359
117	YEL012W	0.001850253
118	YAL046C	0.001826311
119	YFR036W	0.001825443
120	YPR184W	0.001777077
121	YFL007W	0.001750219
122	YLR021W	0.001748169
123	YOR189W	0.001730225
124	YER027C	0.001724458
125	YDL171C	0.001714794
126	YGR229C	0.001713205
127	YKL067W	0.001683456
128	YNR063W	0.001650814
129	YLR174W	0.001649529
130	YIL073C	0.001647945
131	YBR165W	0.001641256
132	YLR102C	0.001629678
133	YCR077C	0.001625136
134	YJL178C	0.001625093
135	YMR119W	0.001566591
136	YFR019W	0.001551548
137	YDR179C	0.001549100
138	YMR205C	0.001548983
139	YNL257C	0.001543844
140	YJR021C	0.001529508
141	YML111W	0.001528263
142	YER035W	0.001514725
143	YLR381W	0.001508196
144	YBR275C	0.001506452
145	YMR065W	0.001469509
146	YHL020C	0.001468005
147	YNR031C	0.001466958
148	YMR275C	0.001441623
149	YLR427W	0.001440476
150	YKL029C	0.001440427
151	YGR184C	0.001436520
152	YML034W	0.001432488
153	YDR223W	0.001430573
154	YLR453C	0.001426386
155	YCR073C	0.001421724
156	YKL212W	0.001419644
157	YDL190C	0.001404831
158	YDR006C	0.001398235
159	YCR053W	0.001396339
160	YML070W	0.001352507
161	YKR057W	0.001331850
162	YKR058W	0.001323878
163	YML011C	0.001319882
164	YKL213C	0.001306373
165	YDR457W	0.001289846
166	YPL187W	0.001286597
167	YPR179C	0.001275717
168	YLR319C	0.001268661
169	YGL037C	0.001266450
170	YLR403W	0.001262137
171	YKR082W	0.001234782
172	YML103C	0.001231550
173	YGL229C	0.001219778
174	YLR418C	0.001219257
175	YLR018C	0.001214459
176	YGL197W	0.001211856
177	YLR384C	0.001206360
178	YGL208W	0.001194953
179	YDR518W	0.001187416
180	YJR031C	0.001182910
181	YDL135C	0.001181826
182	YER179W	0.001176582
183	YFR040W	0.001170889
184	YER092W	0.001169714
185	YDR260C	0.001160433
186	YIL130W	0.001160231
187	YBR082C	0.001151139
188	YBR182C	0.001141412
189	YGR173W	0.001136016
190	YOR032C	0.001118400
191	YPR093C	0.001118189
192	YFR030W	0.001111630
193	YPL065W	0.001111259
194	YJL083W	0.001109389
195	YBR140C	0.001108243
196	YNL273W	0.001100887
197	YHR202W	0.001078316
198	YGL194C	0.001076538
199	YCL055W	0.001075536
200	YGR240C	0.001074939
201	YKR028W	0.001060946
202	YDR005C	0.001057016
203	YDR057W	0.001056684
204	YGL089C	0.001050287
205	YMR284W	0.001047566
206	YOR014W	0.001036172
207	YOL004W	0.001036046
208	YJR091C	0.001034304
209	YIR025W	0.001029935
210	YHR033W	0.001020205
211	YMR037C	0.001019808
212	YLR253W	0.001015355
213	YER031C	0.001011174
214	YDR335W	0.001008434
215	YLR329W	0.001006663
216	YBL079W	0.001000222
217	YDR448W	0.000998322
218	YKL010C	0.000997631
219	YGL173C	0.000990212
220	YGL125W	0.000989149
221	YJL098W	0.000986766
222	YHR187W	0.000973845
223	YOL013C	0.000972385
224	YML128C	0.000971929
225	YJR140C	0.000960916
226	YPR008W	0.000953896
227	YDR035W	0.000944774
228	YPL167C	0.000942099
229	YGL110C	0.000940113
230	YIL010W	0.000938772
231	YMR219W	0.000937880
232	YMR129W	0.000935359
233	YAL056W	0.000921237
234	YML058W	0.000907665
