rank	yeast_gene	ensemble_score
1	YHR135C	0.053385380
2	YNL154C	0.053268777
3	YGR180C	0.050633146
4	YNL288W	0.049732918
5	YAL021C	0.040951391
6	YKR093W	0.040483871
7	YGL163C	0.036855652
8	YPL042C	0.036334938
9	YNL323W	0.034874826
10	YHL025W	0.032953656
11	YNL142W	0.032600002
12	YLR389C	0.028213596
13	YJL149W	0.028142338
14	YAL053W	0.028090087
15	YGR202C	0.027966711
16	YDR074W	0.027579423
17	YML076C	0.027305290
18	YMR263W	0.026483545
19	YDR375C	0.026467799
20	YBR073W	0.026360156
21	YGL066W	0.025782499
22	YLR385C	0.025504115
23	YDR291W	0.024603161
24	YMR224C	0.024498535
25	YGL237C	0.024241927
26	YPL031C	0.024212316
27	YDL080C	0.024128131
28	YML057W	0.023916873
29	YEL018W	0.023788174
30	YPR054W	0.022626064
31	YLR433C	0.022013969
32	YHR033W	0.021211282
33	YKR067W	0.020805334
34	YKR001C	0.020800142
35	YDL170W	0.020595213
36	YOR197W	0.019731864
37	YNL076W	0.019356157
38	YDL188C	0.019307665
39	YHR202W	0.019277486
40	YDR263C	0.018905009
41	YPL055C	0.018842050
42	YNL307C	0.018501843
43	YDR120C	0.018309133
44	YMR030W	0.017813404
45	YBL052C	0.017211650
46	YLL048C	0.017172208
47	YHR031C	0.016851615
48	YBR201W	0.016343834
49	YMR136W	0.016182739
50	YJR050W	0.016047208
51	YPR101W	0.015654034
52	YMR273C	0.015605103
53	YGR109C	0.014716076
54	YDL138W	0.014517911
55	YNL021W	0.014513941
56	YJL073W	0.014208535
57	YBR188C	0.014111264
58	YDR386W	0.013896799
59	YGL100W	0.013886135
60	YIL122W	0.013846822
61	YKL139W	0.013394815
62	YAR035W	0.013336525
63	YNR063W	0.013324588
64	YMR019W	0.013122801
65	YKL017C	0.013061556
66	YIR026C	0.013038500
67	YMR070W	0.012628779
68	YKL161C	0.012281726
69	YML081W	0.012273189
70	YDL155W	0.012196364
71	YMR022W	0.012083645
72	YAR018C	0.011932010
73	YDR097C	0.011785216
74	YNL072W	0.011723523
75	YPL049C	0.011658602
76	YHR108W	0.011551208
77	YKL166C	0.011489139
78	YLR019W	0.011460941
79	YLR260W	0.011185427
80	YPR120C	0.011106800
81	YER143W	0.010571433
82	YAL054C	0.010511571
83	YNL311C	0.010506774
84	YLR398C	0.010402816
85	YGR276C	0.010343407
86	YDR358W	0.010245276
87	YOR339C	0.010241095
88	YML099C	0.010232078
89	YGL173C	0.010211973
90	YML058W	0.010071838
91	YJL141C	0.010062322
92	YLR207W	0.010029742
93	YOR153W	0.009938764
94	YER100W	0.009897139
95	YBR059C	0.009846650
96	YPL109C	0.009324937
97	YCR020W-B	0.009304215
98	YML113W	0.009258809
99	YMR139W	0.009232878
100	YGL209W	0.009219286
101	YKL091C	0.009171028
102	YJR059W	0.009017142
103	YBL007C	0.009010836
104	YML100W	0.009006322
105	YPR196W	0.008957845
106	YHR134W	0.008593859
107	YPR164W	0.008552839
108	YOL089C	0.008435749
109	YNL130C	0.008349633
110	YPL164C	0.008309040
111	YBR034C	0.008228271
112	YNL009W	0.008103172
113	YNL159C	0.007854332
114	YAL024C	0.007832318
115	YGR070W	0.007829159
116	YGL181W	0.007803661
117	YIR025W	0.007795730
118	YBL019W	0.007756531
119	YMR182C	0.007701081
120	YOL042W	0.007684349
121	YDL035C	0.007646599
122	YBR057C	0.007551004
123	YGL248W	0.007548014
124	YNL106C	0.007487693
125	YPL033C	0.007289829
126	YPL008W	0.007266421
127	YBR112C	0.007168529
128	YMR293C	0.007072829
129	YER016W	0.007037234
130	YOL081W	0.007025433
131	YGR233C	0.007011496
132	YER179W	0.006940801
133	YKR017C	0.006820760
134	YGR135W	0.006708889
135	YPL179W	0.006704771
136	YMR164C	0.006687453
137	YLR154C	0.006647187
138	YPR031W	0.006598871
