rank	yeast_gene	ensemble_score
1	YKL166C	0.112742330
2	YPL203W	0.111095571
3	YPL031C	0.107982456
4	YKR039W	0.088531290
5	YJL164C	0.085254968
6	YNL307C	0.073733660
7	YKR059W	0.071574717
8	YNL098C	0.067800866
9	YDL134C	0.064890922
10	YPL274W	0.064080232
11	YOL016C	0.062383282
12	YGR180C	0.058448541
13	YDL188C	0.058333333
14	YFR014C	0.055489809
15	YKR093W	0.055087664
16	YDR075W	0.053821682
17	YMR019W	0.053463953
18	YNR032W	0.052078032
19	YGR152C	0.051544050
20	YLR329W	0.049969617
21	YPR054W	0.049110490
22	YGL168W	0.048455185
23	YDL006W	0.048182439
24	YLR019W	0.048005239
25	YKL190W	0.047979025
26	YMR246W	0.047765603
27	YKL161C	0.045661525
28	YDL138W	0.044305047
29	YOR101W	0.043191414
30	YLR113W	0.043136258
31	YDL079C	0.042982018
32	YOR185C	0.041779036
33	YNR063W	0.041453013
34	YHR030C	0.041353861
35	YOR197W	0.040801837
36	YGR040W	0.040306396
37	YBR201W	0.039058383
38	YLR385C	0.038936202
39	YDR252W	0.037574656
40	YOR153W	0.037308844
41	YGL087C	0.037308044
42	YDR139C	0.037200260
43	YLR234W	0.037031277
44	YER031C	0.036992958
45	YOL104C	0.036859907
46	YGL253W	0.036337368
47	YDL236W	0.036038375
48	YPR173C	0.033884162
49	YBR082C	0.033448894
50	YJR096W	0.033036551
51	YMR274C	0.032960065
52	YGR208W	0.032949243
53	YDR059C	0.032522440
54	YBL005W	0.032499236
55	YHR032W	0.032026379
56	YML076C	0.031878344
57	YOR179C	0.031615579
58	YNL130C	0.031172481
59	YPL192C	0.030807260
60	YPL096C-A	0.030794535
61	YER044C-A	0.030712886
62	YFR053C	0.030644232
63	YMR139W	0.030257398
64	YML001W	0.030028272
65	YER184C	0.029936540
66	YER177W	0.029886196
67	YNL142W	0.029582210
68	YEL066W	0.029253645
69	YPL037C	0.029237428
70	YGL058W	0.028965440
71	YGL043W	0.028443231
72	YGL237C	0.027963777
73	YIL132C	0.027704816
74	YAL027W	0.027685910
75	YDR022C	0.027664672
76	YPL154C	0.026926242
77	YKL130C	0.026913861
78	YFR046C	0.026687987
79	YEL018W	0.026635911
80	YGR067C	0.026550996
81	YGL163C	0.026471407
82	YLR262C	0.026430880
83	YBR297W	0.026315488
84	YDL194W	0.026165992
85	YML011C	0.025868419
86	YLL010C	0.025856567
87	YNL159C	0.025760512
88	YOR339C	0.025734545
89	YNL209W	0.025632942
90	YDL230W	0.025251224
91	YNL311C	0.025029612
92	YML123C	0.024921428
93	YDR334W	0.024777711
94	YFL052W	0.024420869
95	YDR099W	0.024243116
96	YBR272C	0.024238284
97	YDR155C	0.024177980
98	YGL013C	0.024079855
99	YOR061W	0.023840546
100	YLR052W	0.023651737
101	YDL170W	0.023438574
102	YOL089C	0.023366576
103	YJL206C	0.023180197
104	YML058W-A	0.023156788
105	YGR275W	0.023037713
106	YCR091W	0.022968074
107	YLR226W	0.022936093
108	YKL091C	0.022713267
109	YGR003W	0.022632216
110	YPR149W	0.022445885
111	YGR288W	0.022130943
112	YPR111W	0.022107860
113	YPL199C	0.021779580
114	YHR195W	0.021498430
115	YPR093C	0.021461277
116	YGR109C	0.021347525
117	YIR025W	0.021306841
118	YDR260C	0.020924638
119	YPL046C	0.020792504
120	YLL048C	0.020776740
121	YEL037C	0.020714533
122	YER179W	0.020674487
123	YNR032C-A	0.020663911
124	YBR188C	0.020596750
125	YJL149W	0.020592531
126	YHR200W	0.020523607
127	YIL040W	0.020485258
128	YER089C	0.020416643
129	YPR196W	0.020292058
130	YDR216W	0.020133560
131	YNL288W	0.020090977
132	YER143W	0.020072557
133	YJR073C	0.020070236
134	YOR380W	0.020003475
135	YMR293C	0.019708910
136	YML102W	0.019685958
137	YFR036W	0.019647548
138	YNR034W	0.019641914
139	YDL076C	0.019583709
140	YBL006C	0.019521345
141	YBR165W	0.019424054
142	YLR433C	0.019239589
143	YEL013W	0.019143164
144	YGL070C	0.019020039
145	YOR290C	0.018959989
146	YBL021C	0.018937243
147	YER110C	0.018869705
148	YML057W	0.018751398
149	YAL054C	0.018740905
150	YGR134W	0.018647110
151	YNL330C	0.018592602
152	YER035W	0.018531020
153	YDR263C	0.018477157
154	YLR216C	0.018404916
155	YDL155W	0.018376756
156	YGL078C	0.018311693
157	YDR131C	0.018263003
158	YBR028C	0.018242940
159	YJR127C	0.017796688
160	YER092W	0.017738886
161	YOR295W	0.017616836
162	YMR080C	0.017558300
163	YCL040W	0.017293710
164	YBR150C	0.017292131
165	YLR154C	0.017219718
166	YPL042C	0.017174689
167	YNL210W	0.016921277
168	YHL025W	0.016919559
169	YGR135W	0.016899858
170	YMR315W	0.016872662
171	YDR490C	0.016709992
172	YNL204C	0.016628231
173	YOL080C	0.016569267
174	YKL114C	0.016566094
175	YPL033C	0.016538687
176	YLR224W	0.016388449
177	YPR101W	0.016383156
178	YOR191W	0.016369978
179	YFR038W	0.016313610
180	YNL154C	0.016301953
181	YML068W	0.016212445
182	YNL241C	0.016110097
183	YBR114W	0.016097497
184	YDR120C	0.016085809
185	YBR285W	0.016077161
186	YBR240C	0.016017266
187	YGL220W	0.015880463
188	YMR022W	0.015832572
189	YBR034C	0.015784669
190	YMR182C	0.015735030
191	YLR364W	0.015647580
192	YHR135C	0.015620116
193	YAL046C	0.015516085
194	YML081W	0.015511939
195	YDR156W	0.015449404
196	YML124C	0.015412338
197	YOR358W	0.015333853
198	YOL081W	0.015332736
199	YLR021W	0.015264728
200	YLR094C	0.015043955
201	YBR278W	0.015024333
202	YLR059C	0.015018348
203	YBL057C	0.014897710
204	YBR107C	0.014876936
205	YCR106W	0.014874264
206	YBR140C	0.014859244
207	YGR071C	0.014805744
208	YDL080C	0.014800213
209	YKR054C	0.014715057
210	YMR223W	0.014645406
211	YOL082W	0.014621720
212	YDR110W	0.014587609
213	YER106W	0.014494874
214	YKL127W	0.014448066
215	YLL054C	0.014416483
216	YGR209C	0.014325520
217	YIR005W	0.014241194
218	YGL216W	0.014063635
219	YPR199C	0.013931213
220	YKR017C	0.013911522
221	YDR079C-A	0.013669131
222	YOR313C	0.013634166
223	YJL030W	0.013621385
224	YOL013C	0.013604895
225	YOR027W	0.013600744
226	YER174C	0.013555647
227	YMR191W	0.013549145
228	YDR488C	0.013493362
229	YJL073W	0.013485657
230	YDR513W	0.013464386
231	YBL024W	0.013414404
232	YAL055W	0.013414013
233	YDR001C	0.013390727
234	YHR004C	0.013382095
235	YJR021C	0.013274067
236	YCR020W-B	0.013268985
237	YKL067W	0.013086589
238	YPR052C	0.013079771
239	YGL240W	0.013074409
240	YNL323W	0.013056850
241	YPL086C	0.013012331
242	YIR013C	0.012979130
243	YLR438W	0.012947861
244	YBR275C	0.012935105
245	YHR033W	0.012925611
246	YLR102C	0.012898779
247	YCR020C-A	0.012862144
248	YNL072W	0.012817912
249	YMR030W	0.012765246
250	YOL042W	0.012574809
251	YLR453C	0.012445638
252	YLR445W	0.012348015
253	YHR031C	0.012324187
254	YDR179C	0.012316460
255	YPR164W	0.012265615
256	YBL088C	0.012263117
257	YLL002W	0.012173582
258	YPR040W	0.012166385
259	YPL179W	0.012102201
260	YDR375C	0.012095734
261	YBR175W	0.012059736
262	YDR098C	0.012027643
263	YOR368W	0.012023504
264	YMR105C	0.011997551
265	YLR210W	0.011923020
266	YDR523C	0.011868530
267	YBR112C	0.011858396
268	YMR119W	0.011848640
269	YLR376C	0.011815931
270	YIL146C	0.011758382
271	YGL100W	0.011736658
272	YOR363C	0.011725715
273	YDR265W	0.011724450
274	YKR067W	0.011710931
275	YAL021C	0.011598517
276	YHL022C	0.011571283
277	YIL130W	0.011564137
278	YOR189W	0.011562815
279	YIR026C	0.011511352
280	YGL211W	0.011432052
281	YLR258W	0.011405598
282	YDR273W	0.011344313
283	YGL062W	0.011328051
284	YDL197C	0.011318606
285	YAL053W	0.011308906
286	YEL012W	0.011304233
287	YLR368W	0.011262583
288	YLR398C	0.011102818
289	YLR389C	0.011026826
290	YLR266C	0.011003095
291	YHR127W	0.011001170
292	YFR010W	0.010981313
293	YBR218C	0.010941408
294	YDR213W	0.010940740
295	YDR223W	0.010934296
296	YHL006C	0.010853577
297	YBR089C-A	0.010848214
298	YOR351C	0.010840795
299	YMR234W	0.010810613
300	YAL019W	0.010734009
301	YNL021W	0.010730785
302	YLL040C	0.010626260
303	YML029W	0.010623554
304	YMR116C	0.010623392
305	YPL164C	0.010619483
306	YPL038W	0.010614778
307	YBL078C	0.010612862
308	YMR205C	0.010591280
309	YOR337W	0.010577136
310	YPL144W	0.010576476
311	YAL044W-A	0.010573062
312	YPL213W	0.010437276
313	YDR291W	0.010412541
314	YNR004W	0.010394833
315	YMR138W	0.010392815
316	YDR253C	0.010388717
317	YPL226W	0.010346106
318	YNL008C	0.010279162
319	YPL015C	0.010261740
320	YBR073W	0.010231566
321	YPR120C	0.010157127
322	YNR047W	0.010155978
323	YMR219W	0.010155034
324	YDL090C	0.010150075
325	YPR119W	0.010112615
326	YLR043C	0.010106141
327	YCL010C	0.010096802
328	YPR125W	0.010083468
329	YOL090W	0.010041057
330	YGR206W	0.010039925
331	YJR084W	0.010022396
332	YPL212C	0.010014691
333	YFR015C	0.010014251
334	YMR258C	0.009974520
335	YPL248C	0.009940233
336	YLR263W	0.009830656
337	YKL139W	0.009799811
338	YIR002C	0.009786607
339	YJL115W	0.009759827
340	YKR064W	0.009744005
341	YGR133W	0.009723677
342	YKL214C	0.009721759
343	YCR014C	0.009686892
344	YLR233C	0.009675983
345	YLL022C	0.009651752
346	YOR304W	0.009633594
347	YGL252C	0.009617915
348	YLR098C	0.009597045
349	YMR145C	0.009561874
350	YDR074W	0.009550712
351	YLR048W	0.009544742
352	YMR276W	0.009535333
353	YGL037C	0.009528840
354	YKL213C	0.009520004
355	YJR035W	0.009511165
356	YNL138W	0.009500236
357	YOL108C	0.009493414
358	YLR315W	0.009484542
359	YLR342W	0.009483350
360	YDR518W	0.009471111
361	YML036W	0.009425136
362	YBR245C	0.009415302
363	YDR477W	0.009387302
364	YDL135C	0.009383504
365	YBR182C	0.009376423
366	YOR032C	0.009367505
367	YPL180W	0.009350690
368	YDR457W	0.009350461
369	YER028C	0.009321036
370	YJL210W	0.009277292
371	YER120W	0.009257287
372	YJL137C	0.009233130
373	YMR202W	0.009229219
374	YKL017C	0.009164973
375	YMR306W	0.009160937
376	YKL160W	0.009136282
377	YCL011C	0.009117841
378	YLR320W	0.009074185
379	YBR009C	0.009054915
380	YLL062C	0.009027828
381	YLR013W	0.009024639
382	YDR009W	0.009017147
383	YBL056W	0.009003497
384	YMR136W	0.008993717
385	YJR069C	0.008972014
386	YHL002W	0.008955704
387	YLR174W	0.008953821
388	YBR228W	0.008944780
389	YLL046C	0.008935781
390	YMR167W	0.008888230
391	YMR285C	0.008855932
392	YGL115W	0.008847161
393	YMR186W	0.008840985
394	YDR448W	0.008816327
395	YER142C	0.008805639
396	YBL007C	0.008789299
397	YHR119W	0.008761724
398	YMR224C	0.008738918
399	YNR074C	0.008733962
400	YGR021W	0.008724311
401	YGR247W	0.008714833
402	YGR200C	0.008686236
403	YIL035C	0.008662213
404	YPL109C	0.008660942
405	YDR181C	0.008651000
406	YKL002W	0.008635004
407	YHR157W	0.008634825
408	YJL056C	0.008598844
409	YHR111W	0.008585129
410	YLR381W	0.008579932
411	YLR192C	0.008553481
412	YPL187W	0.008532616
413	YLR035C	0.008497956
414	YKL198C	0.008496510
415	YGR232W	0.008455331
416	YDR395W	0.008442113
417	YOR047C	0.008419462
418	YPL273W	0.008415566
419	YLR384C	0.008415438
420	YGR108W	0.008406784
421	YCR008W	0.008402898
422	YOR113W	0.008386185
423	YMR100W	0.008367810
424	YOR106W	0.008356144
425	YOR107W	0.008342740
426	YMR263W	0.008340799
427	YDR158W	0.008329074
428	YIL010W	0.008318734
429	YIL073C	0.008299072
430	YHR167W	0.008260174
431	YGR173W	0.008240468
432	YPR015C	0.008237645
433	YLR018C	0.008234359
434	YBR033W	0.008201232
435	YBR125C	0.008201201
436	YML074C	0.008193166
437	YLL039C	0.008178416
438	YLR253W	0.008168245
439	YDL101C	0.008147668
440	YNL147W	0.008115516
441	YOR251C	0.008086282
442	YIL128W	0.008073142
443	YKL113C	0.008035843
444	YGL254W	0.008034748
445	YLR228C	0.008033481
446	YIL033C	0.008028553
447	YDR219C	0.008012282
448	YGL209W	0.008005492
449	YOR243C	0.007992631
450	YLR265C	0.007987843
451	YGR276C	0.007972877
452	YBL039C	0.007930437
453	YAL002W	0.007885949
454	YDR466W	0.007877233
455	YDR378C	0.007870838
456	YBR058C	0.007855858
457	YGL175C	0.007845660
458	YER176W	0.007840929
459	YLR024C	0.007836814
460	YJL103C	0.007827177
461	YGR019W	0.007797315
462	YKL009W	0.007790638
463	YMR190C	0.007763430
464	YDL051W	0.007690677
465	YGL248W	0.007674505
466	YPL125W	0.007672826
467	YKL212W	0.007657683
468	YJL065C	0.007612567
469	YKL222C	0.007609749
470	YML099C	0.007608737
471	YNL199C	0.007551307
472	YJL124C	0.007537948
473	YNL016W	0.007530649
474	YDR364C	0.007530463
475	YKL015W	0.007522734
476	YOR172W	0.007519577
477	YBR195C	0.007479050
478	YIR019C	0.007473146
479	YML051W	0.007452567
480	YML113W	0.007444111
481	YHR193C	0.007437090
482	YER164W	0.007436405
483	YPR160W	0.007424439
484	YER116C	0.007417761
485	YMR264W	0.007379679
486	YMR021C	0.007376139
487	YER007C-A	0.007374875
488	YHR178W	0.007372366
489	YCR053W	0.007371822
490	YBR001C	0.007371807
491	YFL014W	0.007368273
492	YNL009W	0.007351162
493	YPL021W	0.007343786
494	YNL314W	0.007340580
495	YKL041W	0.007323685
496	YPR031W	0.007305045
497	YDR035W	0.007290395
498	YNR015W	0.007283045
499	YNL097C	0.007273810
500	YMR069W	0.007259253
501	YAR035W	0.007256263
502	YMR164C	0.007236267
503	YJR094C	0.007234469
504	YNL229C	0.007221950
505	YJL141C	0.007218151
506	YBR062C	0.007180580
507	YML070W	0.007175836
508	YJL089W	0.007162357
509	YLR119W	0.007156190
510	YPL018W	0.007154565
511	YMR180C	0.007141464
512	YNL023C	0.007132191
513	YMR070W	0.007108390
514	YER100W	0.007075675
515	YOR162C	0.007074609
516	YGL089C	0.007068393
517	YKL029C	0.007053635
518	YDL077C	0.007052126
519	YGR240C	0.007042347
520	YKR001C	0.007029963
521	YNL076W	0.007027989
522	YJL128C	0.007013720
523	YEL061C	0.007009411
524	YML095C	0.006990636
525	YHR108W	0.006976926
526	YFL007W	0.006973612
527	YFL021W	0.006966574
528	YGR157W	0.006960335
529	YHR202W	0.006957723
530	YGL066W	0.006948587
531	YLR304C	0.006945415
532	YIL009C-A	0.006940534
533	YOL086W-A	0.006935202
534	YPL047W	0.006928244
535	YAR018C	0.006907099
536	YLR449W	0.006889334
537	YBR258C	0.006862356
538	YBR010W	0.006839591
539	YDL190C	0.006827895
540	YOL067C	0.006825402
541	YIL030C	0.006804512
542	YMR026C	0.006795767
543	YHL034C	0.006763945
544	YPL127C	0.006761161
545	YFR032C	0.006759016
546	YJL110C	0.006758677
547	YLR377C	0.006754049
548	YJR014W	0.006743411
549	YDL154W	0.006741976
550	YOL093W	0.006731195
551	YGR184C	0.006711795
552	YDR482C	0.006701580
553	YPL008W	0.006695673
554	YOR213C	0.006681395
555	YOR209C	0.006636411
556	YPR057W	0.006615497
557	YLR278C	0.006610705
558	YGL141W	0.006586475
559	YLR248W	0.006583363
560	YJL092W	0.006578340
561	YFL033C	0.006576113
562	YOR354C	0.006572786
563	YIL017C	0.006563133
564	YDR386W	0.006543203
565	YKR058W	0.006530387
566	YGR202C	0.006529448
567	YDR147W	0.006512455
568	YMR273C	0.006511066
569	YFL001W	0.006501624
570	YER123W	0.006490595
571	YLR429W	0.006475963
572	YLR074C	0.006467971
573	YHR034C	0.006447106
574	YLR435W	0.006397987
575	YPL049C	0.006378528
576	YDR073W	0.006371458
577	YLR231C	0.006315132
578	YAL051W	0.006310530
579	YDR392W	0.006305608
580	YHL027W	0.006296491
581	YGL060W	0.006288826
582	YOL117W	0.006280567
583	YML088W	0.006278624
584	YMR133W	0.006263488
585	YGL251C	0.006259733
586	YGL181W	0.006234653
587	YBR066C	0.006229151
588	YBR274W	0.006208930
589	YKL038W	0.006185810
590	YBL003C	0.006177023
591	YOR360C	0.006176600
592	YML032C	0.006166761
593	YML075C	0.006128333
594	YHR134W	0.006127652
595	YGR229C	0.006107788
596	YHR187W	0.006105774
597	YNL022C	0.006104062
598	YMR074C	0.006089257
599	YDR423C	0.006084355
600	YML072C	0.006082864
601	YJR059W	0.006076237
602	YKL027W	0.006066866
603	YDR083W	0.006066863
604	YOL006C	0.006037981
605	YML058W	0.006032326
606	YJR119C	0.005999999
607	YER016W	0.005988368
608	YLR055C	0.005984812
609	YFL028C	0.005978380
610	YGR122W	0.005974529
611	YNR051C	0.005962854
612	YBR223C	0.005959670
613	YOL001W	0.005951648
614	YDL035C	0.005943961
615	YOR091W	0.005941904
616	YLR107W	0.005940617
617	YPR141C	0.005938813
618	YAL039C	0.005930624
619	YGL232W	0.005911242
620	YGL033W	0.005909420
621	YAL011W	0.005907203
622	YPL045W	0.005901746
623	YJR030C	0.005901701
624	YOR033C	0.005875079
625	YHR041C	0.005873188
626	YGL208W	0.005870896
627	YER051W	0.005864055
628	YLR401C	0.005854050
629	YKL043W	0.005846548
630	YLR421C	0.005843945
631	YJL153C	0.005843030
632	YPL230W	0.005840065
633	YCR087C-A	0.005831461
634	YGL241W	0.005831299
635	YGL014W	0.005830204
636	YIR001C	0.005828955
637	YOR298C-A	0.005827818
638	YNL201C	0.005826822
639	YDR432W	0.005813588
640	YIL008W	0.005812312
641	YMR291W	0.005810229
642	YAL009W	0.005807117
643	YDR121W	0.005802889
644	YLR207W	0.005782503
645	YKL034W	0.005780755
646	YMR304W	0.005776186
647	YNL049C	0.005768489
648	YDR130C	0.005752785
649	YKR034W	0.005747966
650	YDL200C	0.005744420
651	YLR014C	0.005737947
652	YDR163W	0.005729271
653	YGR070W	0.005726688
654	YGL016W	0.005722490
655	YBL055C	0.005715334
656	YDL036C	0.005711549
657	YMR137C	0.005709278
658	YKL086W	0.005702201
659	YOL113W	0.005701994
660	YDR096W	0.005691771
661	YHR171W	0.005689754
662	YKL101W	0.005688445
663	YIL016W	0.005686780
664	YDR335W	0.005686223
665	YNL242W	0.005686151
666	YOL068C	0.005681981
667	YGL019W	0.005678836
668	YDR383C	0.005676244
669	YPL055C	0.005673696
670	YNL286W	0.005672192
671	YLR221C	0.005658806
672	YGL246C	0.005653800
673	YDR143C	0.005639683
674	YPL002C	0.005637815
675	YPL149W	0.005633388
676	YBR233W	0.005624699
677	YFR030W	0.005621947
678	YIR017C	0.005611381
679	YBR186W	0.005608394
680	YDL213C	0.005594625
681	YBL002W	0.005588944
682	YGR270W	0.005585318
683	YER063W	0.005581335
684	YIL153W	0.005576373
685	YML082W	0.005573007
686	YNL223W	0.005555644
687	YML061C	0.005540093
688	YMR037C	0.005535144
689	YDR192C	0.005533959
690	YLR135W	0.005515834
691	YKL062W	0.005513342
692	YPR152C	0.005510249
693	YJR099W	0.005498072
694	YMR280C	0.005492216
695	YLR097C	0.005486003
696	YPL236C	0.005464967
697	YDR507C	0.005458453
698	YMR042W	0.005457594
699	YGL229C	0.005451425
700	YDR283C	0.005447493
701	YKR010C	0.005446739
702	YGL151W	0.005446327
703	YMR233W	0.005440947
704	YLR247C	0.005437674
705	YPL026C	0.005426852
706	YLR325C	0.005424322
707	YLR025W	0.005400879
708	YDR289C	0.005395317
709	YDR247W	0.005388234
710	YOL012C	0.005384777
711	YLR120C	0.005383514
712	YDR191W	0.005376601
713	YOL116W	0.005376184
714	YAL059W	0.005369690
715	YNR010W	0.005347409
716	YER162C	0.005346820
717	YOL115W	0.005342352
718	YMR302C	0.005337713
719	YMR065W	0.005336454
720	YMR025W	0.005327603
721	YBR059C	0.005309579
722	YOL054W	0.005304751
723	YOL051W	0.005300628
724	YGL003C	0.005299218
725	YJR060W	0.005296903
726	YLL042C	0.005295487
727	YDR004W	0.005295112
728	YBL063W	0.005289420
729	YDR206W	0.005288084
730	YLR180W	0.005274384
731	YNL253W	0.005268196
732	YNL082W	0.005246104
733	YOL145C	0.005245518
734	YHR003C	0.005241801
735	YNL025C	0.005239352
736	YER045C	0.005236008
737	YLR288C	0.005227731
738	YJR135C	0.005209013
739	YGL166W	0.005204885
740	YDR066C	0.005194717
741	YLR136C	0.005190241
742	YNL248C	0.005183910
743	YDR370C	0.005165012
744	YNL218W	0.005150116
745	YDR315C	0.005117110
746	YPL186C	0.005109961
747	YCL024W	0.005107738
748	YOL028C	0.005090271
749	YNL004W	0.005088940
750	YFL044C	0.005071930
751	YOL043C	0.005071222
752	YMR127C	0.005070656
753	YNL299W	0.005068325
754	YBL019W	0.005065563
755	YBR057C	0.005061527
756	YER040W	0.005057237
757	YCR028C-A	0.005054353
758	YML118W	0.005045030
759	YDR358W	0.005037077
760	YDR330W	0.005019715
761	YDL214C	0.005018853
762	YPR023C	0.005017274
763	YNL106C	0.005015683
764	YJL168C	0.005013489
765	YLR032W	0.005011223
766	YIL042C	0.005009984
767	YDR259C	0.005008368
768	YER027C	0.005004482
769	YAL015C	0.004995859
770	YGL179C	0.004986127
771	YMR016C	0.004980549
772	YPL140C	0.004968062
773	YHR066W	0.004967125
774	YML006C	0.004961526
775	YBL052C	0.004960464
776	YPL024W	0.004944674
777	YDR469W	0.004940481
778	YBR290W	0.004939973
779	YNL059C	0.004939084
780	YNL236W	0.004937247
781	YIL113W	0.004933152
782	YBL047C	0.004924966
783	YLR451W	0.004915862
784	YAR042W	0.004913963
785	YMR284W	0.004890836
786	YLR418C	0.004889857
787	YIL079C	0.004880767
788	YPL241C	0.004879484
789	YPR189W	0.004867610
790	YJR050W	0.004863941
791	YMR312W	0.004853291
792	YOR076C	0.004847700
793	YOR005C	0.004841326
794	YPL167C	0.004830827
795	YNL215W	0.004829346
796	YOR064C	0.004823325
797	YPR022C	0.004821978
798	YKL205W	0.004814592
799	YDR123C	0.004801652
800	YML097C	0.004798819
801	YMR173W	0.004796092
802	YBR103W	0.004778704
803	YKL116C	0.004775892
804	YGL094C	0.004775849
805	YOR039W	0.004774621
806	YJL178C	0.004760673
807	YAR003W	0.004757804
808	YPL177C	0.004757441
809	YGL096W	0.004747930
810	YOR173W	0.004740403
811	YMR055C	0.004735249
812	YGR080W	0.004724016
813	YMR216C	0.004721552
814	YJR066W	0.004714631
815	YLL013C	0.004711501
816	YNL155W	0.004686891
817	YLR219W	0.004680265
818	YDR097C	0.004679926
819	YPL100W	0.004668323
