rank	yeast_gene	ensemble_score
1	YHR032W	0.096625114
2	YPL031C	0.082582583
3	YDL138W	0.080531948
4	YPL274W	0.079964727
5	YKL166C	0.072574153
6	YDL194W	0.072348664
7	YHR178W	0.068581237
8	YML001W	0.064669950
9	YLR262C	0.062579931
10	YGR152C	0.062295752
11	YMR080C	0.062243724
12	YOR380W	0.059632398
13	YLL048C	0.057792299
14	YFR014C	0.057622420
15	YOL016C	0.055480620
16	YMR138W	0.054675716
17	YOR185C	0.054465101
18	YNL098C	0.054404595
19	YOR351C	0.053186538
20	YKR039W	0.052360500
21	YDR477W	0.051929321
22	YKL222C	0.051782125
23	YNL130C	0.051120643
24	YNL021W	0.048387979
25	YOR101W	0.047406647
26	YML123C	0.046955624
27	YLR248W	0.046876457
28	YJL164C	0.045060803
29	YIR005W	0.044971890
30	YAR018C	0.044274708
31	YDR490C	0.043625454
32	YKL015W	0.043323332
33	YJL206C	0.043233210
34	YER031C	0.042979896
35	YGL087C	0.042796822
36	YKR001C	0.041351961
37	YDL035C	0.040711809
38	YGR040W	0.040691009
39	YPL203W	0.039067142
40	YCR008W	0.038975183
41	YDL006W	0.038527973
42	YGL078C	0.037939109
43	YOL113W	0.037440229
44	YKR059W	0.036280552
45	YPL154C	0.036240053
46	YNL229C	0.035890529
47	YJL149W	0.035741885
48	YJL128C	0.035693423
49	YDL079C	0.035068426
50	YNL154C	0.034431004
51	YGR209C	0.034213351
52	YKL161C	0.033959297
53	YLR014C	0.033809923
54	YMR019W	0.033787815
55	YCR106W	0.032890385
56	YOR172W	0.032086796
57	YIR026C	0.031343725
58	YNR063W	0.031160479
59	YNL307C	0.031016604
60	YFR032C	0.030921204
61	YDR375C	0.030739726
62	YLR113W	0.030695662
63	YPR111W	0.030690347
64	YOR363C	0.030363156
65	YIL017C	0.030183470
66	YMR246W	0.029725689
67	YHR135C	0.029614237
68	YLR451W	0.029341787
69	YDR074W	0.029027657
70	YBR274W	0.028923978
71	YOL068C	0.028785347
72	YLR043C	0.028411936
73	YLR253W	0.028175630
74	YMR022W	0.028104906
75	YBR073W	0.027847403
76	YCL011C	0.027767199
77	YHR030C	0.027627671
78	YPR054W	0.026910558
79	YLR233C	0.026656326
80	YPR196W	0.026603142
81	YPL037C	0.026591873
82	YLR098C	0.026551355
83	YMR274C	0.026460942
84	YPL192C	0.026391080
85	YMR139W	0.026237275
86	YBR028C	0.026167367
87	YDR156W	0.025720654
88	YKR064W	0.025223591
89	YLR266C	0.025040853
90	YDR131C	0.024933795
91	YPR173C	0.024847379
92	YIL130W	0.024735608
93	YLL054C	0.024683352
94	YGL100W	0.024617626
95	YHR031C	0.024497881
96	YOL013C	0.024350595
97	YHL034C	0.024285168
98	YMR285C	0.023873942
99	YKR093W	0.023675926
100	YCR020C-A	0.023667958
101	YDR252W	0.023596400
102	YIL040W	0.023482935
103	YDL188C	0.023478810
104	YOR337W	0.023298491
105	YPR149W	0.023291439
106	YOR162C	0.023258474
107	YDR513W	0.023140994
108	YMR291W	0.023048169
109	YHR004C	0.023017524
110	YAL019W	0.022948672
111	YDL134C	0.022915526
112	YDL230W	0.022849950
113	YPL140C	0.022802993
114	YNR032W	0.022750323
115	YGL252C	0.022389694
116	YGL168W	0.022364789
117	YHR127W	0.022244874
118	YDR291W	0.022172821
119	YNL008C	0.022049541
120	YPL248C	0.021753184
121	YIL035C	0.021316323
122	YFL052W	0.021195490
123	YBR150C	0.021093462
124	YLR052W	0.021075088
125	YOL080C	0.020916905
126	YLR329W	0.020742393
127	YMR315W	0.020547912
128	YKL027W	0.020530830
129	YLR364W	0.020526348
130	YKL034W	0.020526085
131	YNL311C	0.020502600
132	YDR334W	0.020455904
133	YER089C	0.020426619
134	YDR523C	0.020385714
135	YMR306W	0.020337545
136	YPL236C	0.020140927
137	YDL101C	0.020032082
138	YEL013W	0.019986312
139	YGR288W	0.019845143
140	YGL241W	0.019714997
141	YOL089C	0.019633660
142	YBR034C	0.019453754
143	YBR245C	0.019411126
144	YDR518W	0.019376028
145	YMR119W	0.019295124
146	YAL059W	0.019252047
147	YJR073C	0.019191267
148	YBR297W	0.019133030
149	YOR304W	0.019117322
150	YBR201W	0.019041136
151	YPL226W	0.018693352
152	YAL053W	0.018659501
153	YLL046C	0.018648735
154	YMR258C	0.018624414
155	YAL054C	0.018383320
156	YKL017C	0.018210329
157	YIL009C-A	0.018101372
158	YDR520C	0.017954569
159	YMR177W	0.017935264
160	YLR059C	0.017866104
161	YOR360C	0.017830625
162	YAL051W	0.017764071
163	YNL016W	0.017758770
164	YJL106W	0.017682084
165	YHR120W	0.017675608
166	YFR038W	0.017506690
167	YOR339C	0.017342238
168	YAL055W	0.017332007
169	YPL186C	0.017297831
170	YLR019W	0.017237625
171	YER164W	0.017105238
172	YNL288W	0.017101806
173	YER092W	0.016909326
174	YER176W	0.016792799
175	YCR091W	0.016779553
176	YDR147W	0.016475263
177	YAL027W	0.016424486
178	YPL042C	0.016353261
179	YOR061W	0.016351697
180	YAR042W	0.016349617
181	YDR075W	0.016207132
182	YPL046C	0.016096406
183	YGR133W	0.016082502
184	YLR021W	0.015908410
185	YBL002W	0.015807716
186	YGR275W	0.015595732
187	YHR003C	0.015472679
188	YOR313C	0.015372987
189	YKL190W	0.015358742
190	YBR114W	0.015321784
191	YDL170W	0.015317705
192	YML074C	0.015314702
193	YGL251C	0.015270786
194	YPL164C	0.015263397
195	YGL179C	0.015198380
196	YIL030C	0.015181920
197	YLR368W	0.015061517
198	YDR263C	0.015000880
199	YKL214C	0.014941963
200	YML076C	0.014940091
201	YOR208W	0.014828617
202	YML118W	0.014699758
203	YJR035W	0.014691003
204	YPL033C	0.014641257
205	YOR179C	0.014637741
206	YMR116C	0.014533198
207	YOR197W	0.014503516
208	YMR224C	0.014473901
209	YMR100W	0.014469233
210	YLR385C	0.014378543
211	YML099C	0.014335810
212	YBR062C	0.014323929
213	YLR278C	0.014304840
214	YOL090W	0.014270155
215	YNL223W	0.014260770
216	YDR378C	0.014079987
217	YNL298W	0.014059188
218	YOR189W	0.013976462
219	YHR195W	0.013858617
220	YMR223W	0.013854619
221	YNL142W	0.013833497
222	YIL033C	0.013802295
223	YLR449W	0.013789820
224	YER035W	0.013765156
225	YHR207C	0.013738603
226	YPL194W	0.013729568
227	YPL015C	0.013639659
228	YDL155W	0.013358557
229	YKL130C	0.013280809
230	YER100W	0.013220219
231	YPL176C	0.013186356
232	YGR276C	0.013118162
233	YIR002C	0.013088437
234	YBR058C	0.013080889
235	YPL127C	0.012987528
236	YJL137C	0.012877947
237	YDR247W	0.012783840
238	YGL163C	0.012720564
239	YFL028C	0.012718267
240	YBL005W	0.012691965
241	YBR001C	0.012663848
242	YDR265W	0.012616590
243	YLR192C	0.012470553
244	YDR507C	0.012458730
245	YIL073C	0.012415135
246	YLR154C	0.012286156
247	YBR240C	0.012135183
248	YGR157W	0.012020924
249	YGR270W	0.011988486
250	YDR097C	0.011984155
251	YDR466W	0.011937727
252	YOR231W	0.011922663
253	YBR175W	0.011858635
254	YKR017C	0.011820784
255	YLR224W	0.011698109
256	YDR216W	0.011669700
257	YJL124C	0.011658964
258	YDL213C	0.011615802
259	YML011C	0.011582664
260	YER143W	0.011579340
261	YCL024W	0.011576560
262	YLR398C	0.011573348
263	YPL096C-A	0.011493128
264	YKL198C	0.011491924
265	YBL003C	0.011449084
266	YOL042W	0.011425775
267	YER110C	0.011420464
268	YDR383C	0.011386565
269	YHR192W	0.011380143
270	YOL104C	0.011352763
271	YPR057W	0.011275491
272	YOL115W	0.011249624
273	YIR023W	0.011214736
274	YER184C	0.011210792
275	YER120W	0.011185980
276	YDR395W	0.011121298
277	YLR226W	0.011112986
278	YKL139W	0.011095412
279	YNL299W	0.011089277
280	YBR125C	0.011015069
281	YER044C-A	0.011014412
282	YDL154W	0.010982894
283	YOR171C	0.010970600
284	YKL091C	0.010960440
285	YHR202W	0.010945918
286	YIR001C	0.010935171
287	YML072C	0.010924560
288	YHR119W	0.010910866
289	YHL002W	0.010886915
290	YMR280C	0.010868909
291	YDR315C	0.010864965
292	YNL004W	0.010842641
293	YHR108W	0.010814533
294	YIL113W	0.010788357
295	YNR047W	0.010785201
296	YLR352W	0.010728147
297	YDR206W	0.010680794
298	YDR306C	0.010677953
299	YMR145C	0.010661078
300	YER123W	0.010612190
301	YIL146C	0.010608681
302	YNR034W	0.010559464
303	YCR092C	0.010548555
304	YPL109C	0.010461108
305	YMR216C	0.010460948
306	YML081W	0.010445310
307	YOL136C	0.010436629
308	YPL179W	0.010429957
309	YOR290C	0.010384609
310	YPR120C	0.010374416
311	YMR191W	0.010372599
312	YNL210W	0.010361966
313	YJL073W	0.010358962
314	YLR210W	0.010355197
315	YLR342W	0.010349620
316	YNL082W	0.010345013
317	YJR059W	0.010300229
318	YHR015W	0.010299704
319	YDL214C	0.010295108
320	YML051W	0.010256205
321	YLR389C	0.010202579
322	YCR073C	0.010150691
323	YLL022C	0.010139244
324	YDR001C	0.010126471
325	YMR255W	0.010120153
326	YCL040W	0.010106940
327	YHR167W	0.010023919
328	YPL101W	0.010016685
329	YPL018W	0.009941531
330	YLL002W	0.009927365
331	YEL018W	0.009878521
332	YNL025C	0.009843669
333	YLR381W	0.009820404
334	YHR134W	0.009812055
335	YDR191W	0.009793335
336	YLR133W	0.009793259
337	YGR247W	0.009755028
338	YMR065W	0.009716601
339	YLL010C	0.009692239
340	YNR051C	0.009666892
341	YDL197C	0.009661497
342	YFL014W	0.009637941
343	YNR074C	0.009595153
344	YOR153W	0.009557809
345	YMR287C	0.009556816
346	YNL020C	0.009552798
347	YAL021C	0.009545829
348	YJL178C	0.009535577
349	YPL008W	0.009525414
350	YDR079C-A	0.009514406
351	YPR052C	0.009483182
352	YER027C	0.009480285
353	YNL286W	0.009470552
354	YGR200C	0.009459297
355	YDL077C	0.009425643
356	YOR106W	0.009364234
357	YBR272C	0.009361935
358	YDR139C	0.009356427
359	YPL165C	0.009337771
360	YNL323W	0.009331819
361	YFR023W	0.009293945
362	YBR089C-A	0.009263400
363	YBR223C	0.009241202
364	YMR202W	0.009239799
365	YMR312W	0.009160600
366	YOR001W	0.009114234
367	YDL019C	0.009084817
368	YBR278W	0.009083644
369	YML068W	0.009049778
370	YGL240W	0.009042375
371	YGR067C	0.009032244
372	YML058W-A	0.009027106
373	YEL066W	0.009026011
374	YJR096W	0.009025430
375	YNR015W	0.009012292
376	YML121W	0.009011709
377	YLR055C	0.008987769
378	YGR202C	0.008973203
379	YBL056W	0.008942377
380	YDR289C	0.008926735
381	YPL026C	0.008890639
382	YNL253W	0.008803262
383	YOL012C	0.008790099
384	YHR111W	0.008789737
385	YPL213W	0.008784627
386	YDL236W	0.008773355
387	YNL186W	0.008764683
388	YLR150W	0.008752512
389	YLR207W	0.008750002
390	YGL058W	0.008719983
391	YML075C	0.008707878
392	YGR232W	0.008689044
393	YBL006C	0.008664763
394	YBR276C	0.008645824
395	YJR127C	0.008639537
396	YGL208W	0.008560335
397	YGR109C	0.008550918
398	YBR258C	0.008527049
399	YKL057C	0.008496996
400	YLR120C	0.008492959
401	YBR097W	0.008487063
402	YIL016W	0.008473837
403	YGL180W	0.008472178
404	YDR421W	0.008459118
405	YPR040W	0.008449213
406	YBL007C	0.008431590
407	YNL159C	0.008419907
408	YGL013C	0.008398239
409	YOL001W	0.008368533
410	YDR009W	0.008354455
411	YCR020W-B	0.008336370
412	YIL008W	0.008317196
413	YIL132C	0.008306716
414	YGL016W	0.008267033
415	YBL019W	0.008266725
416	YBR107C	0.008244016
417	YJL168C	0.008241789
418	YNL236W	0.008234090
419	YKR067W	0.008214141
420	YDR110W	0.008206777
421	YGL115W	0.008206039
422	YOR173W	0.008175974
423	YGL243W	0.008162823
424	YDR219C	0.008144927
425	YGL229C	0.008127728
426	YMR205C	0.008098650
427	YNL201C	0.008062767
428	YBL047C	0.008060516
429	YBR273C	0.008044513
430	YDR098C	0.008018346
431	YDL179W	0.007990408
432	YNL049C	0.007970595
433	YLR357W	0.007945514
434	YKR058W	0.007928276
435	YJL056C	0.007914423
436	YDL090C	0.007899628
437	YFR053C	0.007898357
438	YER075C	0.007889483
439	YOR233W	0.007879248
440	YGR071C	0.007878735
441	YGL151W	0.007858293
442	YGR229C	0.007851661
443	YBR103W	0.007844794
444	YER174C	0.007843158
445	YML029W	0.007802746
446	YPL184C	0.007801728
447	YLR182W	0.007774188
448	YPR119W	0.007758411
449	YLR039C	0.007754080
450	YGL216W	0.007752377
451	YHR154W	0.007741046
452	YDL051W	0.007728476
453	YAR035W	0.007728111
454	YPL144W	0.007710344
455	YGR122W	0.007691940
456	YFR010W	0.007690636
457	YLR270W	0.007678519
458	YOR205C	0.007678486
459	YPR152C	0.007659576
460	YMR078C	0.007645312
461	YOR354C	0.007637191
462	YAL002W	0.007629092
463	YAL011W	0.007612637
464	YPL125W	0.007609437
465	YGL089C	0.007609167
466	YBR010W	0.007605820
467	YGL060W	0.007588232
468	YGR206W	0.007563669
469	YAL009W	0.007536689
470	YML082W	0.007524283
471	YJL115W	0.007514928
472	YMR072W	0.007505873
473	YDR318W	0.007492320
474	YPL116W	0.007479379
475	YBL066C	0.007465193
476	YLR032W	0.007461201
477	YBR285W	0.007432432
478	YBR233W	0.007421045
479	YPL066W	0.007420140
480	YPL199C	0.007419456
481	YNL330C	0.007416615
482	YLR136C	0.007400332
483	YGR134W	0.007397481
484	YGL237C	0.007385896
485	YML128C	0.007364025
486	YGL253W	0.007358390
487	YEL012W	0.007348609
488	YBR186W	0.007336056
489	YBL057C	0.007329958
490	YGR240C	0.007322092
491	YIL042C	0.007321588
492	YLR199C	0.007307484
493	YFR046C	0.007301625
494	YHR082C	0.007300206
495	YDR120C	0.007265572
496	YGR208W	0.007260875
497	YKL101W	0.007258190
498	YBR082C	0.007253010
499	YCL010C	0.007251178
500	YHL025W	0.007231234
501	YDL076C	0.007231064
502	YNL242W	0.007218590
503	YGR108W	0.007206951
504	YER142C	0.007202434
505	YLL040C	0.007192936
506	YLR048W	0.007190951
507	YNR004W	0.007187059
508	YMR304W	0.007167087
509	YDR432W	0.007165510
510	YDR260C	0.007155180
511	YHR206W	0.007150386
512	YLR024C	0.007142245
513	YOR269W	0.007125838
514	YOR230W	0.007123550
515	YAL046C	0.007122180
516	YBR033W	0.007121043
517	YLR455W	0.007111780
518	YDR488C	0.007102004
519	YNL155W	0.007085269
520	YJL092W	0.007075347
521	YDR370C	0.007056085
522	YPR125W	0.007054704
523	YER063W	0.007052908
524	YFR015C	0.007050878
525	YKL116C	0.007045374
526	YDL080C	0.006996603
527	YKL213C	0.006988996
528	YNL106C	0.006967044
529	YKL048C	0.006966294
530	YMR055C	0.006960569
531	YER051W	0.006959583
532	YHL022C	0.006921298
533	YJR119C	0.006904766
534	YER016W	0.006889654
535	YGR044C	0.006881286
536	YPL157W	0.006875906
537	YGL213C	0.006866898
538	YOR371C	0.006866424
539	YML061C	0.006815943
540	YJL036W	0.006799033
541	YLR453C	0.006793979
542	YLR216C	0.006791170
543	YDR358W	0.006786650
544	YBR112C	0.006772310
545	YLR315W	0.006761024
546	YLR018C	0.006760149
