rank	yeast_gene	ensemble_score
1	YPL203W	0.120182806
2	YPL031C	0.117552335
3	YKL166C	0.106250000
4	YJL164C	0.097502738
5	YLR113W	0.095798319
6	YGR040W	0.082683983
7	YOR061W	0.077982456
8	YGR152C	0.075944171
9	YHR030C	0.074500500
10	YKR059W	0.072200861
11	YNL098C	0.069225255
12	YFR014C	0.063953094
13	YKR039W	0.063008972
14	YDR523C	0.062276055
15	YOR185C	0.061938349
16	YML123C	0.061318681
17	YDL138W	0.058755854
18	YHR032W	0.057740002
19	YPR111W	0.053802883
20	YDL194W	0.050606580
21	YOL016C	0.050419845
22	YKR093W	0.049868062
23	YPR173C	0.049567758
24	YNL307C	0.048326304
25	YPL274W	0.047838921
26	YDL079C	0.046989658
27	YER031C	0.045791483
28	YOR351C	0.045727701
29	YDL006W	0.045372743
30	YML001W	0.045356857
31	YOR153W	0.044769688
32	YMR019W	0.044591501
33	YKL161C	0.042136300
34	YMR069W	0.041561171
35	YOL113W	0.041461011
36	YEL013W	0.040559163
37	YEL066W	0.039539609
38	YPR054W	0.039391487
39	YDR075W	0.038572232
40	YOR101W	0.038561094
41	YBR114W	0.038360032
42	YPR093C	0.038172053
43	YIL113W	0.037626184
44	YCR091W	0.037089685
45	YHR135C	0.036622807
46	YAL054C	0.036425869
47	YDL134C	0.035714944
48	YKL190W	0.035503074
49	YPL042C	0.035092199
50	YPL192C	0.034978370
51	YDR490C	0.034121825
52	YLL048C	0.034117336
53	YDR099W	0.033003521
54	YOR380W	0.032800892
55	YDL188C	0.032627688
56	YDL035C	0.031974680
57	YGL163C	0.031952797
58	YER035W	0.031459195
59	YER177W	0.031002785
60	YNL154C	0.030677503
61	YOR197W	0.030572429
62	YNR032C-A	0.030547832
63	YDL155W	0.030528450
64	YIL035C	0.030384110
65	YJL206C	0.030263806
66	YHR127W	0.030088137
67	YLR019W	0.030006902
68	YNL142W	0.029920900
69	YNL130C	0.029529864
70	YDR252W	0.028387727
71	YLR385C	0.028280543
72	YOR064C	0.028195308
73	YBR082C	0.027788366
74	YBR240C	0.027762587
75	YIR013C	0.027755886
76	YDR253C	0.027239877
77	YNL097C	0.027108305
78	YPL096C-A	0.026764214
79	YDR375C	0.026629256
80	YMR080C	0.026340886
81	YAL027W	0.026126653
82	YJL149W	0.025708318
83	YIR005W	0.025660567
84	YMR246W	0.025242138
85	YDR477W	0.024958736
86	YGL087C	0.024911808
87	YCL011C	0.024336172
88	YLR234W	0.024325209
89	YML099C	0.024184909
90	YNR032W	0.023537737
91	YNL288W	0.023497268
92	YDR334W	0.023026394
93	YMR274C	0.023025748
94	YNL311C	0.022935427
95	YPL037C	0.022683128
96	YCR008W	0.022659175
97	YLR329W	0.022588874
98	YDR059C	0.022457866
99	YNL314W	0.022035644
100	YBR010W	0.021801853
101	YPL086C	0.021276034
102	YNL209W	0.021098380
103	YPL154C	0.020967757
104	YBR028C	0.020901321
105	YKL198C	0.020893304
106	YBL078C	0.020715889
107	YBR089C-A	0.020464486
108	YHR178W	0.020356152
109	YPL199C	0.020150611
110	YKR017C	0.020122529
111	YGL043W	0.020089833
112	YBL005W	0.020031191
113	YBR188C	0.019524268
114	YFR053C	0.019485496
115	YGL237C	0.019469351
116	YGL168W	0.019413172
117	YPL026C	0.019411628
118	YER089C	0.019390129
119	YGL100W	0.019322903
120	YLR059C	0.019320423
121	YLL019C	0.019248599
122	YJL056C	0.019244307
123	YLL046C	0.019227611
124	YDR001C	0.019208541
125	YDL214C	0.019175597
126	YOL080C	0.019150013
127	YOR304W	0.019115042
128	YLR224W	0.019024786
129	YMR216C	0.019004451
130	YLR258W	0.018993501
131	YLR094C	0.018841517
132	YML102W	0.018742798
133	YLR368W	0.018696596
134	YOL104C	0.018667619
135	YHR200W	0.018655561
136	YBL003C	0.018636226
137	YPR052C	0.018604852
138	YCR106W	0.018576875
139	YGL115W	0.018475690
140	YLR262C	0.018445017
141	YDR079C-A	0.018375238
142	YAL055W	0.018298007
143	YML011C	0.018236915
144	YJL128C	0.018140090
145	YJR073C	0.018112079
146	YLR210W	0.018081739
147	YDR488C	0.018039332
148	YDR216W	0.018036759
149	YDL230W	0.017905099
150	YOL090W	0.017711818
151	YNL330C	0.017692895
152	YKL139W	0.017680115
153	YGL253W	0.017675405
154	YGL058W	0.017618644
155	YAL011W	0.017587951
156	YBR218C	0.017395943
157	YBR274W	0.017370641
158	YDR110W	0.017329542
159	YMR138W	0.017287854
160	YHR195W	0.017250302
161	YOL012C	0.017211414
162	YBR034C	0.017137186
163	YLR253W	0.017101150
164	YGR275W	0.016981263
165	YGL062W	0.016937491
166	YLR438W	0.016823146
167	YLR052W	0.016751052
168	YDR155C	0.016659097
169	YML068W	0.016657822
170	YCL010C	0.016623997
171	YGR288W	0.016622114
172	YFR015C	0.016585771
173	YLR013W	0.016446823
174	YNL289W	0.016372459
175	YLR098C	0.016311031
176	YAR018C	0.016291814
177	YPL236C	0.016286866
178	YIL130W	0.016261193
179	YCL040W	0.016127957
180	YGL078C	0.016006615
181	YML058W-A	0.015867744
182	YBR285W	0.015853893
183	YPR149W	0.015819044
184	YGR206W	0.015604919
185	YMR159C	0.015520444
186	YDL101C	0.015507664
187	YLR398C	0.015453702
188	YDR291W	0.015356860
189	YFL052W	0.015305002
190	YBR245C	0.015302067
191	YOL013C	0.015288606
192	YML057W	0.015140748
193	YCR020C-A	0.015125253
194	YKL214C	0.015030063
195	YNR034W	0.015028341
196	YMR255W	0.015002641
197	YAR035W	0.014980209
198	YER092W	0.014956147
199	YBR073W	0.014953421
200	YLL054C	0.014879737
201	YDL080C	0.014869214
202	YPL015C	0.014782409
203	YJL030W	0.014697257
204	YBL021C	0.014640106
205	YJR127C	0.014636562
206	YGR208W	0.014578226
207	YMR205C	0.014561679
208	YDL197C	0.014554680
209	YER044C-A	0.014390095
210	YMR022W	0.014364369
211	YAL053W	0.014305915
212	YOR313C	0.014302224
213	YBR297W	0.014299121
214	YMR139W	0.014271414
215	YLR433C	0.014267820
216	YLR248W	0.014186343
217	YLR445W	0.014094698
218	YHR031C	0.013916655
219	YOR179C	0.013831850
220	YGL179C	0.013755242
221	YGL070C	0.013617737
222	YDR181C	0.013567068
223	YBL002W	0.013523697
224	YER123W	0.013516338
225	YKL015W	0.013481122
226	YOR295W	0.013475933
227	YMR202W	0.013326610
228	YOR339C	0.013290885
229	YDR131C	0.013268409
230	YDL179W	0.013185375
231	YHL025W	0.013183848
232	YBL006C	0.013153060
233	YJL137C	0.013125863
234	YIL009C-A	0.013118409
235	YGL220W	0.013100876
236	YER143W	0.013091124
237	YDR139C	0.013075025
238	YDR448W	0.013039452
239	YNL021W	0.012986605
240	YFR038W	0.012915999
241	YLL010C	0.012871433
242	YLR014C	0.012802761
243	YLR021W	0.012780154
244	YML124C	0.012766378
245	YDR260C	0.012666584
246	YAL019W	0.012644485
247	YLR216C	0.012608683
248	YPL046C	0.012443374
249	YGL211W	0.012420786
250	YMR291W	0.012415156
251	YMR285C	0.012315031
252	YLR342W	0.012304833
253	YMR263W	0.012296960
254	YDR074W	0.012266742
255	YMR191W	0.012247782
256	YOL001W	0.012220322
257	YLR451W	0.012219055
258	YPR040W	0.012185519
259	YNL298W	0.012090666
260	YER179W	0.012061540
261	YGR134W	0.012011514
262	YIR002C	0.012006520
263	YNL229C	0.012006053
264	YDR147W	0.011994504
265	YNL323W	0.011924218
266	YER176W	0.011919534
267	YBR150C	0.011909756
268	YOR360C	0.011900299
269	YCR087C-A	0.011900046
270	YER174C	0.011744660
271	YBL024W	0.011706997
272	YGL240W	0.011684726
273	YKL222C	0.011653074
274	YLL002W	0.011623780
275	YGL252C	0.011607580
276	YKL130C	0.011606208
277	YCR020W-B	0.011553886
278	YDR156W	0.011509268
279	YDR247W	0.011491534
280	YMR258C	0.011460237
281	YIR026C	0.011459493
282	YPL226W	0.011422469
283	YHL006C	0.011413671
284	YJR096W	0.011338577
285	YMR306W	0.011325545
286	YER184C	0.011317572
287	YPR196W	0.011255902
288	YNL241C	0.011237516
289	YDR120C	0.011127222
290	YGR200C	0.011087048
291	YOR107W	0.011065890
292	YLR364W	0.011020220
293	YDL090C	0.011013942
294	YGL216W	0.010963125
295	YJL106W	0.010859217
296	YNL016W	0.010841180
297	YPL179W	0.010819030
298	YBR066C	0.010743195
299	YFR032C	0.010699031
300	YOR027W	0.010676494
301	YGR202C	0.010653267
302	YLL022C	0.010646851
303	YLR055C	0.010595243
304	YPR120C	0.010573418
305	YPL248C	0.010526840
306	YJL124C	0.010437911
307	YGL013C	0.010432519
308	YHL027W	0.010415238
309	YNL159C	0.010409771
310	YJL115W	0.010405585
311	YBR033W	0.010400721
312	YGR044C	0.010395090
313	YBR001C	0.010386492
314	YBL057C	0.010382870
315	YOR189W	0.010380077
316	YML075C	0.010365698
317	YDR022C	0.010364024
318	YMR116C	0.010355694
319	YNR047W	0.010348905
320	YPL038W	0.010335880
321	YMR021C	0.010243720
322	YBR009C	0.010243042
323	YLL039C	0.010230072
324	YOL068C	0.010211317
325	YNL210W	0.010208881
326	YHR119W	0.010195931
327	YKR064W	0.010194829
328	YPR152C	0.010164463
329	YER106W	0.010107450
330	YIL017C	0.010104073
331	YAL021C	0.010056121
332	YER110C	0.009991111
333	YOR172W	0.009982183
334	YPL213W	0.009971668
335	YKL086W	0.009954649
336	YGR019W	0.009925269
337	YOR358W	0.009898948
338	YIL040W	0.009898430
339	YGR180C	0.009889216
340	YKL027W	0.009843193
341	YEL018W	0.009838054
342	YPL157W	0.009837309
343	YLR119W	0.009829774
344	YOR363C	0.009819122
345	YPL109C	0.009791200
346	YIR017C	0.009782301
347	YIL030C	0.009773797
348	YHR004C	0.009760179
349	YDL036C	0.009726680
350	YMR224C	0.009701220
351	YIL033C	0.009688370
352	YLR043C	0.009654204
353	YHR157W	0.009654029
354	YER164W	0.009639814
355	YJL210W	0.009621199
356	YBR228W	0.009602259
357	YDR098C	0.009578252
358	YJR084W	0.009576825
359	YBR112C	0.009573169
360	YKL127W	0.009562382
361	YBL056W	0.009550424
362	YDL213C	0.009543843
363	YJR069C	0.009543195
364	YLR154C	0.009504163
365	YML076C	0.009484526
366	YNL008C	0.009470690
367	YPR119W	0.009432218
368	YNL004W	0.009412088
369	YGL254W	0.009411067
370	YGR247W	0.009390412
371	YGR109C	0.009361548
372	YKL091C	0.009321858
373	YKL116C	0.009300099
374	YOL082W	0.009269127
375	YGR135W	0.009243834
376	YMR100W	0.009220974
377	YDR263C	0.009202862
378	YDL154W	0.009201854
379	YER007C-A	0.009199249
380	YNR015W	0.009128528
381	YER116C	0.009072400
382	YDR009W	0.009068565
383	YNL072W	0.009040610
384	YJR035W	0.009031712
385	YMR145C	0.009017071
386	YNR004W	0.009009281
387	YDL236W	0.008949573
388	YCR073C	0.008944002
389	YHL002W	0.008900298
390	YKR001C	0.008882433
391	YLR233C	0.008878874
392	YKL213C	0.008872705
393	YBR201W	0.008864993
394	YDR273W	0.008843356
395	YBR175W	0.008813380
396	YKL113C	0.008797796
397	YFR036W	0.008779005
398	YOR337W	0.008754876
399	YLR384C	0.008749643
400	YDR466W	0.008735368
401	YJL168C	0.008709776
402	YGR240C	0.008705434
403	YDR163W	0.008676780
404	YGL208W	0.008620395
405	YBR107C	0.008579692
406	YPR101W	0.008569065
407	YOR162C	0.008498328
408	YDR513W	0.008481004
409	YHR003C	0.008445613
410	YDR219C	0.008444371
411	YPR015C	0.008422441
412	YPL140C	0.008419145
413	YLR120C	0.008371682
414	YLR377C	0.008353270
415	YPR160W	0.008335947
416	YLR192C	0.008286123
417	YLR315W	0.008273500
418	YLR278C	0.008272842
419	YDR158W	0.008270083
420	YKL171W	0.008254803
421	YMR055C	0.008252905
422	YKL160W	0.008244782
423	YBL039C	0.008233814
424	YGR209C	0.008222300
425	YML081W	0.008211479
426	YAL059W	0.008209520
427	YEL037C	0.008198156
428	YMR105C	0.008160348
429	YDR026C	0.008062182
430	YDL051W	0.008049446
431	YMR234W	0.008046066
432	YBR062C	0.008044934
433	YLR102C	0.008041027
434	YNL020C	0.008019154
435	YNR051C	0.008003440
436	YDL076C	0.008002426
437	YNL025C	0.007998096
438	YOR233W	0.007984138
439	YMR177W	0.007900530
440	YHR111W	0.007897715
441	YPL177C	0.007880228
442	YBL007C	0.007839841
443	YOR213C	0.007836188
444	YFL028C	0.007824451
445	YAL044W-A	0.007824072
446	YOL006C	0.007819624
447	YBR280C	0.007792986
448	YHR207C	0.007792385
449	YAL046C	0.007789563
450	YPL212C	0.007788484
451	YML036W	0.007766448
452	YKL034W	0.007766150
453	YJL065C	0.007757299
454	YOL115W	0.007741047
455	YDR223W	0.007732819
456	YDR083W	0.007692394
457	YPL144W	0.007663563
458	YLR389C	0.007612887
459	YIR001C	0.007601905
460	YFL014W	0.007592206
461	YER142C	0.007570509
462	YNL286W	0.007559951
463	YGR173W	0.007533432
464	YOR231W	0.007532648
465	YLR074C	0.007520732
466	YDR423C	0.007520678
467	YDR265W	0.007489506
468	YML074C	0.007449978
469	YIR023W	0.007413605
470	YIL010W	0.007413198
471	YBR165W	0.007405453
472	YJR021C	0.007405193
473	YKL017C	0.007399691
474	YMR127C	0.007387148
475	YDR306C	0.007381171
476	YMR182C	0.007377259
477	YOR290C	0.007357215
478	YLR266C	0.007341002
479	YIL079C	0.007332339
480	YPL187W	0.007323397
481	YMR186W	0.007317104
482	YGR157W	0.007314045
483	YGR067C	0.007305204
484	YBR125C	0.007301390
485	YNL299W	0.007296242
486	YPL127C	0.007274431
487	YAR003W	0.007208293
488	YHR192W	0.007206925
489	YLR048W	0.007198430
490	YNL204C	0.007178002
491	YMR280C	0.007140754
492	YFL001W	0.007140182
493	YMR167W	0.007133333
494	YGR229C	0.007129352
495	YKL114C	0.007126383
496	YBR276C	0.007084711
497	YKL067W	0.007082676
498	YGL181W	0.007082446
499	YOL089C	0.007076574
500	YMR315W	0.007071513
501	YDR507C	0.007064547
502	YGR232W	0.007061545
503	YPL184C	0.007057071
504	YDR392W	0.007055239
505	YOR243C	0.007052852
506	YLR304C	0.007052258
507	YKL002W	0.007035769
508	YJL073W	0.007015452
509	YNR063W	0.007010447
510	YDR520C	0.006990695
511	YLR429W	0.006982185
512	YFR010W	0.006972765
513	YLR219W	0.006958428
514	YMR180C	0.006951341
515	YJR014W	0.006949437
516	YHR202W	0.006949412
517	YBR233W	0.006947856
518	YHR034C	0.006946085
519	YGL037C	0.006906534
520	YGR108W	0.006904950
521	YOR191W	0.006890666
522	YLR455W	0.006887967
523	YBR203W	0.006878596
