rank	yeast_gene	ensemble_score
1	YBR245C	0.111513571
2	YOR304W	0.107905983
3	YDR490C	0.104988047
4	YPL226W	0.090233932
5	YNL154C	0.086153846
6	YLR248W	0.085568506
7	YGR202C	0.081131491
8	YFR014C	0.077681088
9	YHR135C	0.077065296
10	YJL164C	0.073840793
11	YIL033C	0.073621934
12	YIL035C	0.068265185
13	YJL168C	0.066651924
14	YPR111W	0.065794574
15	YDL194W	0.063015699
16	YDR334W	0.062379726
17	YHR030C	0.060213941
18	YLR398C	0.059475967
19	YAL019W	0.057842284
20	YML123C	0.057542458
21	YJL124C	0.055586996
22	YDL035C	0.054580216
23	YLR052W	0.054337841
24	YJL128C	0.052536318
25	YLR113W	0.051778820
26	YLL048C	0.051662611
27	YML074C	0.051034948
28	YHR032W	0.050602723
29	YDR083W	0.049211235
30	YER164W	0.048323379
31	YOL016C	0.046011654
32	YDR181C	0.044164905
33	YJL106W	0.043958840
34	YGR152C	0.043588728
35	YDL138W	0.042901123
36	YGL163C	0.042196067
37	YML072C	0.040425379
38	YCL011C	0.039995699
39	YNL032W	0.039951955
40	YPL037C	0.039789062
41	YER092W	0.039409366
42	YNR004W	0.038863040
43	YPL042C	0.038778438
44	YLR253W	0.037180912
45	YNL098C	0.037112380
46	YMR285C	0.036737613
47	YPR040W	0.036135074
48	YKL166C	0.036054336
49	YMR304W	0.035260337
50	YMR080C	0.035210795
51	YCR008W	0.034998575
52	YMR177W	0.033931600
53	YPL015C	0.033647177
54	YER176W	0.033316466
55	YOL113W	0.033112037
56	YNL020C	0.033050400
57	YJR035W	0.032728141
58	YDR477W	0.032727273
59	YDL036C	0.032547974
60	YOL006C	0.032508446
61	YAL017W	0.032353884
62	YLR449W	0.032204557
63	YKR039W	0.032158674
64	YOR153W	0.031966493
65	YPR173C	0.031788397
66	YDR507C	0.031633409
67	YGR040W	0.031192381
68	YLL002W	0.031147763
69	YGR270W	0.030951517
70	YAL027W	0.030678495
71	YLR221C	0.030298090
72	YOR189W	0.030166017
73	YGL180W	0.030145826
74	YOL080C	0.029700378
75	YLR429W	0.029361666
76	YIL112W	0.028701403
77	YDL079C	0.028326226
78	YKR072C	0.028049249
79	YMR246W	0.027297177
80	YDR074W	0.027295967
81	YLR455W	0.027151125
82	YMR100W	0.026993422
83	YDR110W	0.026968105
84	YPL203W	0.026811799
85	YMR202W	0.026624309
86	YBR114W	0.026591387
87	YOR061W	0.026419178
88	YMR044W	0.026144070
89	YOL068C	0.025889226
90	YKR001C	0.025833597
91	YHR154W	0.025688355
92	YBR073W	0.024793475
93	YLR055C	0.024644362
94	YER106W	0.024608444
95	YFR046C	0.024581061
96	YCL010C	0.024489502
97	YAR042W	0.024238189
98	YER089C	0.024069061
99	YHR119W	0.023877166
100	YCL024W	0.023710249
101	YMR039C	0.023705645
102	YIL107C	0.023546781
103	YDR421W	0.023370561
104	YOL115W	0.023264333
105	YML061C	0.023238249
106	YOL045W	0.023179017
107	YPR152C	0.023135214
108	YAL059W	0.023072602
109	YFR038W	0.023056294
110	YIR023W	0.022955048
111	YIR002C	0.022739541
