rank	yeast_gene	ensemble_score
1	YKR059W	0.063892674
2	YOR185C	0.046355084
3	YDL006W	0.042264197
4	YKL190W	0.041969945
5	YML001W	0.041638157
6	YEL013W	0.040502991
7	YOR351C	0.039473137
8	YPR173C	0.033218495
9	YDL194W	0.030476601
10	YML123C	0.028018497
11	YOL113W	0.027990441
12	YCR020C-A	0.027909975
13	YLR113W	0.027033245
14	YDL138W	0.026863307
15	YIR005W	0.024835673
16	YER031C	0.024626834
17	YGR152C	0.023390828
18	YBL002W	0.020886744
19	YIL017C	0.020672159
20	YMR080C	0.020498108
21	YCR106W	0.020343943
22	YLR248W	0.018569340
23	YDR477W	0.018507450
24	YMR258C	0.018373308
25	YFR014C	0.017681771
26	YDL035C	0.017288589
27	YHR178W	0.017138517
28	YKL222C	0.017109028
29	YHR032W	0.016332916
30	YFR032C	0.016276131
31	YBL003C	0.016240733
32	YLL046C	0.016167604
33	YGL078C	0.016140039
34	YNL098C	0.015071960
35	YCL011C	0.014842868
36	YOR172W	0.014641284
37	YHR127W	0.014579070
38	YOL013C	0.014548317
39	YIL009C-A	0.014155030
40	YOR380W	0.013977413
41	YMR138W	0.013692221
42	YER177W	0.013609600
43	YNL130C	0.013148977
44	YMR116C	0.013096839
45	YNL209W	0.012892121
46	YFL028C	0.012854761
47	YJL124C	0.012767377
48	YOL012C	0.012563214
49	YBR089C-A	0.012443604
50	YPR149W	0.012350086
51	YLL054C	0.012181933
52	YER176W	0.012175951
53	YJL206C	0.012134488
54	YLR368W	0.012025633
55	YLL048C	0.011601983
56	YKR039W	0.011494354
57	YOR101W	0.011364698
58	YDR520C	0.011177087
59	YMR100W	0.011117298
60	YDR099W	0.010903518
61	YPR052C	0.010485691
62	YGL087C	0.010433816
63	YJL149W	0.010328775
64	YGL179C	0.010287897
65	YHR030C	0.010066873
66	YPR152C	0.009851323
67	YPL274W	0.009757247
68	YKL214C	0.009734328
69	YDR131C	0.009350563
70	YJR073C	0.009235128
71	YPL192C	0.009133474
72	YPR196W	0.008875846
73	YOL016C	0.008805924
74	YKL015W	0.008737093
75	YIL008W	0.008670561
76	YNL004W	0.008655375
77	YLR233C	0.008429040
78	YAL059W	0.008194329
79	YMR019W	0.008074711
80	YBR274W	0.007992083
81	YHL034C	0.007934623
82	YML102W	0.007833201
83	YOR061W	0.007771662
84	YMR274C	0.007716678
85	YGR040W	0.007675004
86	YDR110W	0.007564560
87	YER110C	0.007141764
88	YKR064W	0.007140549
89	YCL010C	0.006639308
90	YML099C	0.006587788
91	YPR093C	0.006584084
92	YMR177W	0.006380953
93	YOR363C	0.006164292
94	YLR262C	0.006151515
95	YLR234W	0.005958582
96	YPL248C	0.005917304
97	YBR033W	0.005907229
98	YLR043C	0.005733026
99	YDL213C	0.005708427
100	YMR246W	0.005665994
101	YHR003C	0.005639125
102	YFL052W	0.005581950
103	YEL066W	0.005545632
104	YPL236C	0.005534731
105	YGL060W	0.005515662
106	YDR289C	0.005415865
107	YNR051C	0.005110727
108	YJL115W	0.005060966
109	YOR360C	0.004971509
110	YOL017W	0.004965383
111	YJR014W	0.004901159
112	YPL213W	0.004865184
113	YJL030W	0.004863026
114	YGR209C	0.004809737
115	YHR207C	0.004745579
116	YKL034W	0.004627483
117	YDL079C	0.004614566
118	YLR266C	0.004596499
119	YIR017C	0.004475922
120	YOR162C	0.004299168
121	YBR062C	0.004293975
122	YBR010W	0.004222444
123	YDR147W	0.004123037
124	YKL057C	0.004093913
125	YHR200W	0.004056117
126	YBR258C	0.004010262
127	YPR009W	0.003996240
128	YPL194W	0.003976863
129	YDR253C	0.003943439
130	YPL186C	0.003839094
131	YDR306C	0.003565781
132	YDL101C	0.003501877
133	YER063W	0.003490033
134	YER116C	0.003354562
135	YOR064C	0.003333128
136	YOR304W	0.003323431
137	YIL030C	0.003321943
138	YFR001W	0.003288914
139	YLR182W	0.003268721
140	YML011C	0.003252878
141	YPR057W	0.003238645
142	YJL106W	0.003190017
143	YBR297W	0.003183083
144	YDR156W	0.003182096
145	YNL008C	0.003168040
146	YGR288W	0.003155839
147	YNL311C	0.003090481
148	YMR055C	0.003063709
149	YJL137C	0.003045896
150	YMR133W	0.003038226
151	YLR221C	0.002979346
152	YHR015W	0.002932423
153	YMR287C	0.002883594
154	YML062C	0.002850607
155	YGR247W	0.002820639
156	YIL073C	0.002819748
157	YLR039C	0.002802887
158	YPL226W	0.002792649
159	YLR278C	0.002786344
160	YAR018C	0.002774366
161	YFR053C	0.002759601
162	YOL080C	0.002757621
163	YLR014C	0.002746008
164	YLR381W	0.002712857
165	YDR121W	0.002663584
166	YMR291W	0.002642727
167	YLR253W	0.002630984
168	YAL055W	0.002590863
169	YBR175W	0.002588585
170	YIR026C	0.002557429
