rank	yeast_gene	ensemble_score
1	YPL086C	0.044763524
2	YLR120C	0.044347184
3	YDL194W	0.041949260
4	YMR219W	0.040462730
5	YLR329W	0.038680261
6	YPL154C	0.035910358
7	YDR273W	0.034940678
8	YML074C	0.034528705
9	YEL013W	0.031813132
10	YPL192C	0.031020315
11	YDR334W	0.030629618
12	YKR059W	0.030499219
13	YNR032C-A	0.029951401
14	YBR114W	0.028768501
15	YHR004C	0.028692441
16	YNL098C	0.027967774
17	YOR061W	0.027878084
18	YML036W	0.027551175
19	YKR058W	0.027301065
20	YGR152C	0.027156661
21	YOR380W	0.024344884
22	YER176W	0.024313706
23	YLR021W	0.024288158
24	YGL078C	0.024180475
25	YNL209W	0.023790186
26	YLR221C	0.023748173
27	YGR067C	0.023728458
28	YHR146W	0.023684203
29	YIR019C	0.023385725
30	YLR278C	0.022684645
31	YOR179C	0.022649180
32	YDL035C	0.021648510
33	YOR153W	0.020689389
34	YLR263W	0.020528797
35	YDL006W	0.020521697
36	YKL130C	0.020446737
37	YDL138W	0.019833876
38	YMR186W	0.019287324
39	YLR449W	0.019270148
40	YBR073W	0.019108183
41	YMR133W	0.018865327
42	YOL082W	0.018436820
43	YIL130W	0.018320174
44	YJL115W	0.017761649
45	YLR253W	0.017183231
46	YFR046C	0.017160071
47	YHR127W	0.016800488
48	YPL037C	0.016760117
49	YER177W	0.016719827
50	YML061C	0.016462757
51	YER044C-A	0.016107504
52	YML123C	0.016092005
53	YBR240C	0.015798911
54	YGL168W	0.015756254
55	YOL006C	0.015627515
56	YPL186C	0.015331467
57	YMR080C	0.014664116
58	YDR099W	0.014440704
59	YHR031C	0.013735300
60	YKL190W	0.013485022
61	YDR423C	0.012795757
62	YMR191W	0.012714611
63	YOL001W	0.012548228
64	YGR208W	0.012357817
65	YKR092C	0.012179275
66	YDR001C	0.012132102
67	YHR006W	0.012118223
68	YGR044C	0.012067064
69	YMR273C	0.011768709
70	YLR006C	0.011670431
71	YLL002W	0.011577838
72	YLR438W	0.011464617
73	YBR186W	0.011400311
74	YIL146C	0.011219498
75	YMR216C	0.011032113
76	YKR010C	0.010825745
77	YLR113W	0.010683449
78	YGL251C	0.010305605
79	YLR135W	0.010166371
80	YAL055W	0.010141649
81	YAL011W	0.009907280
82	YPR009W	0.009387881
83	YLR154C	0.009344780
84	YLR451W	0.009154514
85	YNL032W	0.009136609
86	YNR034W	0.009023870
87	YKL160W	0.008908813
88	YLR014C	0.008879212
89	YPL199C	0.008621596
90	YER089C	0.008602121
91	YIR002C	0.008584101
92	YGL253W	0.008556378
93	YDR223W	0.008555999
94	YFR053C	0.008399822
95	YHR079C	0.008309420
96	YPR173C	0.008090664
97	YLR265C	0.008042754
98	YPL226W	0.007949343
99	YLR248W	0.007855954
100	YDR079C-A	0.007740129
101	YOL104C	0.007640524
102	YAL053W	0.007633432
103	YAL019W	0.007512950
104	YNL241C	0.007496480
105	YDR022C	0.007329039
106	YNR004W	0.007242933
107	YOR191W	0.007215449
108	YDL213C	0.007191382
109	YML109W	0.006792136
110	YDR217C	0.006647710
111	YGR040W	0.006556397
112	YNL020C	0.006542711
113	YML099C	0.006447572
114	YLR384C	0.006289967
115	YDR409W	0.006169189
116	YOR360C	0.006154335
117	YJL106W	0.006124540
118	YPL127C	0.006004767
119	YCR008W	0.005944042
120	YDL214C	0.005898824
121	YAL027W	0.005766855
122	YER120W	0.005675468
123	YBR275C	0.005576238
124	YGL062W	0.005572347
125	YHR030C	0.005522804
126	YKL101W	0.005521559
127	YJL073W	0.005449062
128	YOL068C	0.005344124
129	YPL236C	0.005319912
130	YLL046C	0.005238507
131	YNL053W	0.005237600
132	YPR040W	0.005149329
133	YGR229C	0.005071231
134	YML102W	0.005057818
135	YPL248C	0.005039123
136	YMR021C	0.005034068
137	YPL180W	0.004990068
138	YDR463W	0.004820433
139	YER064C	0.004757721
