rank	yeast_gene	ensemble_score
1	YDR155C	0.016742586
2	YNL209W	0.015631627
3	YER177W	0.012993729
4	YLR019W	0.011214879
5	YNR032W	0.009811535
6	YDL134C	0.009740513
7	YGR180C	0.009213967
8	YDR139C	0.009139732
9	YKR059W	0.008368045
10	YKL190W	0.008169012
11	YDR059C	0.007845528
12	YDL188C	0.007750117
13	YDR075W	0.007456411
14	YBR082C	0.007275545
15	YAL009W	0.007211479
16	YDR099W	0.007162019
17	YDR022C	0.006835157
18	YLR234W	0.006829281
19	YJR021C	0.006492110
20	YEL037C	0.006431856
21	YER179W	0.005958875
22	YGR067C	0.005894868
23	YNR032C-A	0.005740551
24	YMR276W	0.005542364
25	YGR208W	0.005457969
26	YGR209C	0.005386627
27	YPL203W	0.005308604
28	YGL062W	0.005192661
29	YLL039C	0.005122323
30	YLR342W	0.005051083
31	YMR306W	0.004733010
32	YOR295W	0.004728817
33	YKL034W	0.004634046
34	YMR116C	0.004605289
35	YGL070C	0.004533681
36	YPR093C	0.004516806
37	YKL067W	0.004484077
38	YAL053W	0.004439305
39	YPL086C	0.004372466
40	YBL021C	0.004210644
41	YBR218C	0.004187412
42	YBR089C-A	0.004183522
43	YLR180W	0.004167458
44	YOR179C	0.003999631
45	YIL030C	0.003982435
46	YML075C	0.003871135
47	YOR039W	0.003866149
48	YNL241C	0.003791687
49	YPR052C	0.003762139
50	YLR258W	0.003678628
51	YKR057W	0.003609009
52	YBL006C	0.003602050
53	YDL149W	0.003555376
54	YFR015C	0.003547724
55	YIL146C	0.003526179
56	YFR046C	0.003429920
57	YGL216W	0.003422985
58	YPR155C	0.003364500
59	YPL176C	0.003359153
60	YOR298C-A	0.003328125
61	YOR027W	0.003319994
62	YJL030W	0.003259614
63	YPL038W	0.003238283
64	YOL082W	0.003237147
65	YOR191W	0.003187092
66	YFR053C	0.003131718
67	YIR019C	0.003116687
68	YDR260C	0.003100996
69	YGL253W	0.003066476
70	YBR290W	0.003045654
71	YHR200W	0.003028913
72	YJL153C	0.003002627
73	YDL236W	0.002999199
74	YAL046C	0.002982696
75	YDR213W	0.002962835
76	YBR001C	0.002953958
77	YGL058W	0.002948800
78	YER174C	0.002895392
79	YMR302C	0.002894014
80	YIR025W	0.002875323
81	YLR043C	0.002858242
82	YPR160W	0.002830867
83	YPR075C	0.002819908
84	YCR091W	0.002818056
85	YKL130C	0.002803855
86	YGR003W	0.002758998
87	YDR158W	0.002738295
88	YPL199C	0.002734037
89	YOR209C	0.002700651
90	YKL002W	0.002686714
91	YMR186W	0.002630628
92	YAL039C	0.002586902
93	YLR207W	0.002558312
94	YGL019W	0.002547135
95	YBR240C	0.002540183
96	YDR273W	0.002518215
97	YGR157W	0.002497450
98	YHR033W	0.002473347
99	YMR202W	0.002461369
100	YLR329W	0.002435225
101	YOR101W	0.002428308
102	YER028C	0.002422011
103	YJL110C	0.002400855
104	YJR096W	0.002395873
105	YER031C	0.002384625
106	YBR188C	0.002371856
107	YMR219W	0.002358788
108	YPL123C	0.002356510
109	YDL006W	0.002335104
110	YNL138W	0.002334044
111	YGR097W	0.002330722
112	YIR013C	0.002316606
113	YML102W	0.002312779
114	YPL187W	0.002308001
115	YNL323W	0.002300913
116	YHR193C	0.002230895
117	YML124C	0.002193093
118	YER007C-A	0.002155023
119	YOR197W	0.002154659
120	YJR127C	0.002140969
121	YJR066W	0.002112484
122	YER027C	0.002064746
123	YPR184W	0.002025239
124	YDR001C	0.001976723
125	YCR073C	0.001967288
126	YCR077C	0.001945816
127	YKL029C	0.001934315
128	YDL190C	0.001917673
129	YBR182C	0.001917214
130	YIL153W	0.001917057
131	YOR358W	0.001913087
132	YBL039C	0.001889786
133	YMR223W	0.001886562
134	YBL024W	0.001880354
135	YBR165W	0.001875440
136	YER184C	0.001873460
137	YKL212W	0.001843415
138	YGR173W	0.001824156
139	YLR304C	0.001812277
140	YGL208W	0.001793794
141	YNR031C	0.001791329
142	YKL127W	0.001784843
143	YLR384C	0.001754092
144	YML111W	0.001740903
145	YJR073C	0.001726378
146	YKL009W	0.001713021
147	YDL171C	0.001706927
148	YPR015C	0.001706037
149	YLR381W	0.001644544
150	YHL020C	0.001635880
151	YMR275C	0.001624920
152	YDR488C	0.001612109
153	YDR006C	0.001608036
154	YLR427W	0.001590539
155	YNL257C	0.001589242
156	YLR319C	0.001584531
157	YML034W	0.001567025
158	YGL197W	0.001566891
159	YLL040C	0.001537016
160	YFR019W	0.001493023
161	YDL170W	0.001489029
162	YJL178C	0.001488702
163	YDR179C	0.001456487
164	YPR008W	0.001427326
165	YJL083W	0.001422957
166	YOL016C	0.001413035
167	YNL204C	0.001406796
168	YAL044W-A	0.001389106
169	YLR403W	0.001384218
170	YNL159C	0.001355537
171	YKR019C	0.001355074
172	YGR184C	0.001326290
173	YMR164C	0.001323784
174	YGL125W	0.001321786
175	YHR202W	0.001317419
176	YNL273W	0.001306391
177	YCL055W	0.001292239
178	YDR392W	0.001290334
179	YOL004W	0.001280146
180	YGL110C	0.001279081
181	YJR014W	0.001265679
182	YPR199C	0.001262963
183	YLR418C	0.001257361
184	YDR005C	0.001255865
185	YMR105C	0.001254675
186	YGL173C	0.001253416
187	YFR040W	0.001239029
188	YDR035W	0.001237235
189	YGR134W	0.001236192
190	YOR014W	0.001235037
191	YLR018C	0.001222544
192	YLR445W	0.001219893
193	YIL132C	0.001213569
194	YMR065W	0.001195211
195	YJR091C	0.001169396
196	YMR136W	0.001158221
197	YJL098W	0.001143343
198	YGR229C	0.001134706
199	YPL065W	0.001134556
200	YDR057W	0.001123177
201	YMR030W	0.001119770
202	YGL181W	0.001111461
203	YIL133C	0.001103964
204	YKR067W	0.001100995
205	YPR179C	0.001099740
206	YPL180W	0.001090424
207	YBR275C	0.001086788
208	YGL066W	0.001084636
209	YMR264W	0.001072528
210	YKL010C	0.001068430
211	YER162C	0.001045858
212	YAL056W	0.001043165
213	YGL229C	0.001041049
214	YGL194C	0.001038447
215	YHR066W	0.001035180
216	YKR082W	0.001030079
217	YDR448W	0.001029368
218	YDL135C	0.001025118
219	YLR438W	0.001024727
220	YER132C	0.001020624
221	YKR028W	0.001016079
222	YGR135W	0.001014839
223	YLR094C	0.001009873
224	YFL007W	0.000997993
225	YPL089C	0.000994125
226	YEL013W	0.000988692
227	YIR023W	0.000985216
228	YML006C	0.000982131
229	YPR149W	0.000978398
230	YLR135W	0.000973794
231	YPR185W	0.000966054
232	YJR031C	0.000964303
233	YKL041W	0.000961059
234	YFL033C	0.000957644
235	YOR091W	0.000954683
236	YKR054C	0.000950134
237	YBL078C	0.000947414
238	YHR077C	0.000939295
239	YDR098C	0.000929248
240	YML128C	0.000927258
241	YML100W	0.000924739
242	YLR055C	0.000922773
243	YGL089C	0.000919856
244	YDR223W	0.000916942
245	YPL133C	0.000914048
246	YML113W	0.000912651
247	YMR129W	0.000911799
248	YJL204C	0.000906534
249	YLR048W	0.000905104
250	YPL167C	0.000897485
251	YNL199C	0.000890773
252	YMR201C	0.000881320
253	YNL278W	0.000880908
254	YBR107C	0.000874975
255	YHR195W	0.000871120
256	YDR176W	0.000868738
257	YNL248C	0.000867776
258	YML103C	0.000867429
259	YLR315W	0.000865828
260	YLR228C	0.000864675
261	YDR073W	0.000864666
262	YBR097W	0.000858978
263	YDR312W	0.000853989
264	YDL106C	0.000850094
