rank	yeast_gene	ensemble_score
1	YBL003C	0.052579438
2	YML102W	0.038137517
3	YNR032C-A	0.037354761
4	YOR061W	0.033777658
5	YLR329W	0.033120182
6	YCR020W-B	0.032873951
7	YDR252W	0.032170647
8	YEL018W	0.031631613
9	YHL006C	0.031290720
10	YOL012C	0.030842022
11	YBR059C	0.030221894
12	YGL070C	0.029684659
13	YOR185C	0.029092737
14	YEL066W	0.028782388
15	YFL052W	0.027849121
16	YML123C	0.027108057
17	YLR234W	0.026226931
18	YBL002W	0.025888091
19	YMR202W	0.025388078
20	YGL211W	0.025013217
21	YHR127W	0.024123334
22	YGR288W	0.023942649
23	YPL096C-A	0.023806350
24	YBR010W	0.023356615
25	YAL054C	0.022753959
26	YLR231C	0.022513232
27	YHR200W	0.022374401
28	YMR069W	0.022054002
29	YPL192C	0.021196439
30	YPL037C	0.020963716
31	YLR385C	0.020436416
32	YKL190W	0.020093618
33	YPR040W	0.019692100
34	YLR021W	0.019521239
35	YBL078C	0.019503576
36	YNL209W	0.019245868
37	YER035W	0.019197080
38	YBR297W	0.018970109
39	YMR116C	0.018958034
40	YAR018C	0.018223424
41	YML058W-A	0.017859239
42	YNL314W	0.017667259
43	YDL035C	0.017553722
44	YJL030W	0.017531803
45	YGR247W	0.017312442
46	YCR106W	0.017261620
47	YDR260C	0.017019068
48	YHR195W	0.017004517
49	YOR380W	0.016922139
50	YOR298C-A	0.016816760
51	YJL128C	0.016490269
52	YMR191W	0.016274887
53	YAL055W	0.016169801
54	YLR258W	0.015797984
55	YKL027W	0.015751199
56	YPL236C	0.015119291
57	YBR276C	0.014893896
58	YKL086W	0.014836065
59	YML082W	0.013962195
60	YKR059W	0.013718102
61	YMR019W	0.013695404
62	YKR057W	0.013673654
63	YDR523C	0.013519013
64	YNL098C	0.013119476
65	YLL002W	0.013060567
66	YOR179C	0.012803747
67	YJR069C	0.012523868
68	YCR020C-A	0.012466547
69	YBR009C	0.012008950
70	YER177W	0.011980524
71	YCR008W	0.011663931
72	YDR156W	0.011637470
73	YPR149W	0.011573487
74	YLR224W	0.011471710
75	YDR155C	0.011304063
76	YML075C	0.011300682
77	YMR274C	0.011079283
78	YHR193C	0.011045522
79	YCL010C	0.011012600
80	YML051W	0.010997405
81	YDR488C	0.010973666
82	YML099C	0.010940878
83	YHR030C	0.010906710
84	YPR101W	0.010795724
85	YOL086W-A	0.010741354
86	YER179W	0.010137648
87	YLR113W	0.009916576
88	YGL248W	0.009838299
89	YLR048W	0.009768059
90	YDR121W	0.009767763
91	YPR196W	0.009541875
92	YML036W	0.009331470
93	YGR044C	0.009196245
94	YGL252C	0.009161254
95	YLR074C	0.009123010
96	YHR041C	0.009055306
97	YBL006C	0.009011161
98	YGL058W	0.008931009
99	YJR073C	0.008776594
100	YPL042C	0.008737812
101	YOR189W	0.008692011
102	YPL226W	0.008272213
103	YEL037C	0.008200307
104	YER184C	0.008194572
105	YGR173W	0.008188627
106	YCR087C-A	0.008074067
107	YLR154C	0.007886147
108	YGL078C	0.007813567
109	YML011C	0.007455434
110	YGL062W	0.007420857
111	YJR014W	0.007412521
112	YHR202W	0.007411424
113	YDL214C	0.007399355
114	YHR157W	0.007368535
115	YPR173C	0.007307837
116	YBL021C	0.007286679
117	YMR055C	0.007250171
118	YKL002W	0.006912348
119	YIR013C	0.006897272
120	YHR003C	0.006793741
121	YGR275W	0.006667478
122	YER044C-A	0.006418355
123	YHR032W	0.006385373
124	YLR325C	0.005963504
125	YPL015C	0.005950463
126	YIL133C	0.005870968
127	YBR089C-A	0.005761267
128	YGL220W	0.005758866
129	YOL104C	0.005748180
130	YLR377C	0.005741719
131	YBR033W	0.005363928
132	YBR240C	0.005250416
133	YGR206W	0.005222422
134	YMR315W	0.005165896
135	YNL020C	0.005017723
136	YIL095W	0.004990354
137	YDR163W	0.004946272
138	YOR360C	0.004921201
139	YMR276W	0.004843011
140	YDR101C	0.004755072
141	YDL213C	0.004717855
142	YER002W	0.004639163
143	YKL009W	0.004602669
144	YML058W	0.004591303
145	YDR099W	0.004507641
146	YHR167W	0.004470976
147	YKL171W	0.004449610
148	YLR445W	0.004434578
149	YJL124C	0.004294002
150	YGR019W	0.004272641
151	YCL011C	0.004221305
152	YBR218C	0.004161073
153	YKL067W	0.004159437
154	YKL160W	0.004116132
155	YOR231W	0.004073038
156	YKL198C	0.004031513
157	YMR186W	0.003958744
