rank	yeast_gene	ensemble_score
1	YLR113W	0.051707575
2	YGR040W	0.049334595
3	YHR030C	0.043690530
4	YDR490C	0.039688633
5	YPL031C	0.034301404
6	YPL042C	0.030593185
7	YNL307C	0.030026398
8	YML123C	0.029737589
9	YMR139W	0.029673700
10	YHR178W	0.028094865
11	YNL154C	0.027757439
12	YJL164C	0.027177628
13	YOR061W	0.027070281
14	YDL079C	0.026676257
15	YKR064W	0.025809792
16	YPL203W	0.025072671
17	YNL098C	0.024892820
18	YHR135C	0.024006196
19	YLL054C	0.020343431
20	YAL051W	0.019684667
21	YIL130W	0.018602123
22	YKL015W	0.017675688
23	YML001W	0.015032568
24	YHR032W	0.014834938
25	YDR466W	0.014677730
26	YLR052W	0.014632753
27	YLR059C	0.014587321
28	YLR266C	0.013167050
29	YGL013C	0.013107293
30	YGL087C	0.013076641
31	YIL017C	0.012925593
32	YBR059C	0.012540072
33	YDL035C	0.012262589
34	YKR039W	0.012169222
35	YOR185C	0.012127421
36	YPR054W	0.011720617
37	YOR172W	0.011158634
38	YOR363C	0.010905729
39	YMR280C	0.010823436
40	YLR278C	0.010796299
41	YHR127W	0.010763550
42	YLR192C	0.010758403
43	YBR150C	0.010696420
44	YKL166C	0.010515505
45	YMR080C	0.010484162
46	YEL018W	0.010373092
47	YOR162C	0.010058961
48	YDR513W	0.009917986
49	YLR014C	0.009727081
50	YOR380W	0.009661218
51	YJL106W	0.009502403
52	YJL206C	0.009365303
53	YLR226W	0.009295591
54	YIL035C	0.009221621
55	YCR106W	0.009207549
56	YDR156W	0.009167269
57	YGL222C	0.009156760
58	YCR020W-B	0.009108996
59	YOR313C	0.009080447
60	YDL138W	0.009045686
61	YKL222C	0.008635399
62	YKL139W	0.008576213
63	YOL089C	0.008525018
64	YJL141C	0.008294473
65	YGR152C	0.008251057
66	YNL130C	0.008069385
67	YER110C	0.007601022
68	YBL066C	0.007598655
69	YLL048C	0.007567819
70	YPL140C	0.007564318
71	YLR216C	0.007526955
72	YFR014C	0.007467117
73	YPL037C	0.007429670
74	YDR520C	0.007335073
75	YPL199C	0.007264359
76	YJL073W	0.007220966
77	YGL100W	0.007218882
78	YNL288W	0.007130769
79	YOR231W	0.007061270
80	YMR246W	0.007038779
81	YMR145C	0.007037821
82	YMR315W	0.006910632
83	YMR291W	0.006910423
84	YPR101W	0.006787767
85	YAL059W	0.006767980
86	YPL274W	0.006757617
87	YPR149W	0.006697298
88	YMR191W	0.006615774
89	YDR216W	0.006389484
90	YER123W	0.006331585
91	YLR154C	0.006277496
92	YIL040W	0.006227786
93	YKL038W	0.006223554
94	YLR256W	0.006111090
95	YOR337W	0.006008438
96	YLR136C	0.005937352
97	YAR018C	0.005912475
98	YJR059W	0.005911015
99	YPL248C	0.005810708
100	YPL226W	0.005759367
101	YBR010W	0.005671072
102	YJR127C	0.005658702
103	YNR034W	0.005571658
104	YMR285C	0.005414452
105	YNL016W	0.005371194
106	YOR197W	0.005322518
107	YLR098C	0.005119438
108	YML076C	0.005104759
109	YIR001C	0.004906475
110	YML081W	0.004894100
111	YKL205W	0.004859147
112	YBR073W	0.004726718
