rank	yeast_gene	ensemble_score
1	YKL166C	0.120182806
2	YPL203W	0.114583333
3	YPL031C	0.112745098
4	YKR039W	0.083750000
5	YJL164C	0.083689459
6	YKR059W	0.077033493
7	YNL098C	0.075005682
8	YDL134C	0.068637110
9	YNL307C	0.068064182
10	YGR152C	0.064304344
11	YPL274W	0.062334887
12	YOL016C	0.061531521
13	YFR014C	0.058850914
14	YDL188C	0.058371168
15	YER031C	0.058255735
16	YMR019W	0.055379806
17	YLR329W	0.053322756
18	YOR101W	0.052671797
19	YDR075W	0.051893939
20	YGL168W	0.051781692
21	YDL006W	0.049960956
22	YDL138W	0.049947833
23	YNR032W	0.049931156
24	YLR019W	0.048844523
25	YKR093W	0.047833822
26	YLR262C	0.047205930
27	YKL190W	0.047102206
28	YHR032W	0.045172994
29	YOR185C	0.044741114
30	YLR113W	0.044060217
31	YKL161C	0.043202460
32	YNR063W	0.041676650
33	YOR197W	0.041575780
34	YGL087C	0.041569588
35	YMR246W	0.040891866
36	YPR054W	0.040797536
37	YDL079C	0.040270447
38	YDR252W	0.040003879
39	YGR040W	0.039436220
40	YHR030C	0.038467372
41	YML001W	0.038303631
42	YMR274C	0.038278857
43	YPR173C	0.037511427
44	YBR082C	0.037040220
45	YDR139C	0.036605290
46	YOR179C	0.036184431
47	YPL192C	0.035415652
48	YLR385C	0.034580771
49	YGR180C	0.034228778
50	YDR059C	0.033193169
51	YIL132C	0.032869375
52	YLR234W	0.032824707
53	YJL206C	0.032518596
54	YOL104C	0.032233229
55	YGL058W	0.032160110
56	YER044C-A	0.032064511
57	YNL130C	0.031389006
58	YDL194W	0.030776515
59	YBR201W	0.030142617
60	YGL043W	0.030134719
61	YDL236W	0.029546569
62	YGL163C	0.029388631
63	YER184C	0.029379582
64	YMR139W	0.029350500
65	YAL027W	0.028752425
66	YBL005W	0.028746417
67	YOR153W	0.028568553
68	YOR339C	0.027992398
69	YPL037C	0.027728806
70	YJR096W	0.027583742
71	YDR334W	0.027453699
72	YGR208W	0.027338865
73	YDL230W	0.027028151
74	YPL154C	0.026943912
75	YBR028C	0.026564845
76	YER177W	0.026538872
77	YJL149W	0.026419982
78	YBR297W	0.025715171
79	YGR288W	0.025623386
80	YPL096C-A	0.025579359
81	YCR091W	0.025505941
82	YDR099W	0.025320413
83	YGR275W	0.025227246
84	YGR067C	0.025211807
85	YKL130C	0.025183083
86	YDL170W	0.024933994
87	YML076C	0.024788011
88	YOR380W	0.024750063
89	YGL253W	0.024743109
90	YNL142W	0.024636975
91	YGL078C	0.024624106
92	YFL052W	0.024452618
93	YOR061W	0.024279709
94	YHR195W	0.023998849
95	YFR046C	0.023664868
96	YEL018W	0.023624495
97	YLL010C	0.023435398
98	YML123C	0.023314145
99	YDR022C	0.023123956
100	YGR109C	0.023036722
101	YNL311C	0.022972181
102	YLL048C	0.022907648
103	YGR003W	0.022866295
104	YOL089C	0.022828985
105	YNL288W	0.022748992
106	YMR080C	0.022725848
107	YFR053C	0.022557169
108	YOR191W	0.022554390
109	YBL021C	0.022446727
110	YML058W-A	0.022296400
111	YDR490C	0.022228816
112	YPL046C	0.022154418
113	YPR111W	0.022012294
114	YOL080C	0.021996206
115	YBR240C	0.021922123
116	YER143W	0.021825720
117	YEL013W	0.021625980
118	YEL066W	0.021569634
119	YPL199C	0.021532408
120	YPR196W	0.021365627
121	YOR295W	0.021301775
122	YGL237C	0.021213240
123	YER089C	0.021187563
124	YNL209W	0.021164895
125	YDR155C	0.020870143
126	YPR149W	0.020557960
127	YLR052W	0.020387996
128	YIR005W	0.020356520
129	YPR093C	0.020218953
130	YER035W	0.020162598
131	YGR209C	0.020008262
132	YHR200W	0.020002081
133	YMR223W	0.019938647
134	YHR004C	0.019935642
135	YIL040W	0.019841863
136	YML102W	0.019685365
137	YGL070C	0.019573623
138	YBL006C	0.019488426
139	YOR290C	0.019312006
140	YAL046C	0.019241518
141	YBR165W	0.019200100
142	YDR263C	0.019159076
143	YLR226W	0.019078195
