rank	yeast_gene	ensemble_score
1	YPL031C	0.113781291
2	YPL203W	0.112773362
3	YKL166C	0.112762238
4	YJL164C	0.085207313
5	YKR039W	0.082104150
6	YKR059W	0.077997315
7	YNL307C	0.076258913
8	YNL098C	0.071466337
9	YDL134C	0.070881472
10	YPL274W	0.062478596
11	YOL016C	0.062404774
12	YDL188C	0.060923093
13	YER031C	0.059694910
14	YFR014C	0.058477222
15	YDR075W	0.058356824
16	YGR152C	0.057587150
17	YMR019W	0.057416021
18	YNR032W	0.056528167
19	YOR101W	0.052695034
20	YDL006W	0.052028977
21	YKR093W	0.051525054
22	YGL168W	0.051423002
23	YLR019W	0.051160817
24	YOR185C	0.050039296
25	YKL190W	0.049493503
26	YLR262C	0.047788947
27	YDL138W	0.047247916
28	YLR329W	0.046622770
29	YLR113W	0.045729465
30	YDL079C	0.044204738
31	YKL161C	0.043718611
32	YGR180C	0.043585977
33	YNR063W	0.043365271
34	YML001W	0.043143043
35	YOR197W	0.042900261
36	YMR246W	0.042064542
37	YGL087C	0.041540568
38	YPR054W	0.040199784
39	YHR030C	0.038999060
40	YBR201W	0.038869048
41	YDR139C	0.038623538
42	YMR274C	0.037093998
43	YBR082C	0.036886523
44	YDR252W	0.035921778
45	YLR385C	0.035693434
46	YLR234W	0.035450089
47	YGR040W	0.035368346
48	YPR173C	0.035087924
49	YGL058W	0.035057921
50	YNL130C	0.034846863
51	YHR032W	0.034452666
52	YMR139W	0.034151766
53	YDR059C	0.033844685
54	YIL132C	0.032218031
55	YDL236W	0.031985384
56	YGL043W	0.030878900
57	YER177W	0.030744901
58	YOR179C	0.030744207
59	YOL104C	0.030058371
60	YJR096W	0.030007053
61	YDR099W	0.029840237
62	YJL206C	0.029699830
63	YPL192C	0.028778786
64	YGR208W	0.028713151
65	YDL170W	0.028608192
66	YOR153W	0.028519564
67	YGL253W	0.028117390
68	YPL096C-A	0.028108030
69	YER184C	0.028039501
70	YOR339C	0.027804601
71	YDL230W	0.027667549
72	YDL194W	0.027548064
73	YNL142W	0.027375473
74	YLL010C	0.027281856
75	YML076C	0.027060731
76	YPL154C	0.026648370
77	YBR028C	0.026553731
78	YGR288W	0.026505165
79	YAL027W	0.026498414
80	YFL052W	0.026487984
81	YGL163C	0.026370564
82	YBL021C	0.026269509
83	YBR297W	0.025886088
84	YJL149W	0.025406693
85	YBL005W	0.025392801
86	YDR155C	0.025287324
87	YER044C-A	0.024912731
88	YDR022C	0.024758143
89	YBR272C	0.024713619
90	YCR091W	0.024386047
91	YPL037C	0.024373566
92	YDR334W	0.024317445
93	YFR053C	0.024185566
94	YPR093C	0.024075348
95	YEL066W	0.024064118
96	YNL209W	0.023902643
97	YOR380W	0.023798615
98	YKL130C	0.023776163
99	YEL018W	0.023572244
100	YIR005W	0.023419818
101	YGR003W	0.023402896
102	YOL089C	0.023356750
103	YGL237C	0.023196023
104	YGR067C	0.023156323
105	YOR061W	0.022952347
106	YPR196W	0.022865036
107	YNL159C	0.022851689
108	YPR111W	0.022686836
109	YGR275W	0.022602674
110	YNL288W	0.022427213
111	YIL040W	0.022262399
112	YLR226W	0.022187893
113	YML123C	0.022123757
114	YPL046C	0.022000870
115	YFR046C	0.021972374
116	YGL078C	0.021875098
117	YGR109C	0.021711456
118	YJR073C	0.021486096
119	YPR149W	0.021437561
120	YPL199C	0.021265974
121	YLR052W	0.021197538
122	YLL048C	0.021169814
123	YBR240C	0.020784488
124	YNL311C	0.020672056
125	YER089C	0.020608107
126	YER143W	0.020588109
127	YBR165W	0.020383768
128	YBR188C	0.020303343
129	YML058W-A	0.020283980
130	YGR209C	0.020240656
131	YEL013W	0.020225842
132	YBR278W	0.020206541
133	YGL070C	0.020023881
134	YML011C	0.019855659
135	YOR295W	0.019593689
136	YML102W	0.019424383
137	YHR200W	0.019322953
138	YKL091C	0.019299914
139	YNR032C-A	0.019018000
140	YOR191W	0.018956943
141	YMR080C	0.018946744
142	YGR135W	0.018854840
143	YFR038W	0.018570609
144	YDR260C	0.018568196
145	YOR290C	0.018489490
146	YOL080C	0.018342847
147	YER110C	0.018294504
148	YLR224W	0.018213206
149	YGL013C	0.018064109
150	YNL210W	0.018047653
151	YEL037C	0.018000773
152	YHR195W	0.017961368
153	YDL155W	0.017887518
154	YDR490C	0.017883657
155	YBR150C	0.017878104
156	YLR216C	0.017839920
157	YFR036W	0.017830732
158	YER092W	0.017714938
159	YPR052C	0.017671809
160	YHR135C	0.017559075
161	YDL076C	0.017557602
162	YDR131C	0.017474664
163	YNR034W	0.017404043
164	YDR120C	0.017390214
165	YCR106W	0.017379575
166	YDR263C	0.017293340
167	YMR022W	0.017221423
168	YBR114W	0.017123157
169	YBR034C	0.017040549
170	YNL330C	0.017009233
171	YER179W	0.016987817
172	YPL042C	0.016912267
173	YMR223W	0.016906385
174	YNL154C	0.016859812
175	YOL013C	0.016779330
176	YAL046C	0.016705925
177	YML068W	0.016598050
178	YAL054C	0.016509360
179	YGL216W	0.016474802
180	YDR216W	0.016444950
181	YML124C	0.016422410
182	YER035W	0.016322167
183	YCR020C-A	0.016016793
184	YBL057C	0.015985814
185	YPL033C	0.015965750
186	YGR134W	0.015876520
187	YGL220W	0.015862216
188	YJL030W	0.015775854
189	YDR253C	0.015615596
190	YLR021W	0.015568195
191	YOL082W	0.015553982
192	YLR433C	0.015544695
193	YML057W	0.015429412
194	YDR488C	0.015209441
195	YCL040W	0.015199753
196	YIR025W	0.015196160
197	YMR182C	0.015180534
198	YJR127C	0.015066906
199	YJR021C	0.015017839
200	YLR059C	0.014958949
201	YHR004C	0.014914114
202	YLR445W	0.014795919
203	YLR364W	0.014687658
204	YDR477W	0.014678066
205	YKL114C	0.014632173
206	YDR375C	0.014570125
207	YLR043C	0.014515489
208	YER106W	0.014382767
