rank	yeast_gene	ensemble_score
1	YOR061W	0.044218124
2	YOR153W	0.039333037
3	YGR040W	0.038455498
4	YLR329W	0.038162796
5	YML123C	0.037137027
6	YPR054W	0.030766148
7	YOL104C	0.030177701
8	YLR385C	0.029906368
9	YKL161C	0.029263601
10	YGL168W	0.028846793
11	YER044C-A	0.028738090
12	YCR020W-B	0.028325035
13	YLR113W	0.027021363
14	YAL027W	0.026699498
15	YPR093C	0.026213209
16	YPR101W	0.025511026
17	YDR252W	0.025291476
18	YGL237C	0.025038740
19	YDL080C	0.024403717
20	YEL018W	0.024234707
21	YLR445W	0.022382305
22	YHR030C	0.021225509
23	YKR093W	0.021121674
24	YHL025W	0.020369070
25	YDR260C	0.020283020
26	YNR032C-A	0.019844714
27	YAL054C	0.019352424
28	YPR040W	0.019240929
29	YGR288W	0.019005309
30	YHR032W	0.018662491
31	YNL142W	0.017771722
32	YBR297W	0.017070697
33	YHR157W	0.016864124
34	YDL076C	0.016857560
35	YGL115W	0.015709805
36	YML058W-A	0.015474182
37	YOL081W	0.015448224
38	YIR025W	0.015055368
39	YBL006C	0.014630413
40	YGR019W	0.014525262
41	YMR191W	0.013978003
42	YBR140C	0.013318305
43	YNL159C	0.013238427
44	YBR114W	0.012654955
45	YER035W	0.012580990
46	YFL052W	0.012447511
47	YGR067C	0.012136087
48	YIL035C	0.012044260
49	YOR360C	0.011792053
50	YLL002W	0.011377842
51	YFR046C	0.011012594
52	YOR380W	0.010917472
53	YPL096C-A	0.010778522
54	YJR069C	0.010766924
55	YNL330C	0.010740957
56	YGR275W	0.010720230
57	YDR375C	0.010706815
58	YNL288W	0.010316055
59	YPR196W	0.010073870
60	YEL066W	0.009770670
61	YGR206W	0.009702945
62	YBR201W	0.009687795
63	YBR010W	0.009657343
64	YLR377C	0.009561068
65	YGR134W	0.009497769
66	YLR438W	0.009356807
67	YPL031C	0.009230750
68	YKR039W	0.009132294
69	YFR036W	0.009122575
70	YBR165W	0.009088703
71	YLR231C	0.008978167
72	YLR102C	0.008729565
73	YDR001C	0.008672633
74	YPL086C	0.008664533
75	YBR275C	0.008464842
76	YLR052W	0.008437396
77	YBR285W	0.008317081
78	YLR224W	0.008260727
79	YBL039C	0.008256922
80	YDR156W	0.008248227
81	YBL088C	0.008103171
82	YNL210W	0.008067563
83	YGL240W	0.007530590
84	YBR218C	0.007488659
85	YBL078C	0.007338234
86	YMR274C	0.007255937
87	YMR202W	0.007176741
88	YML058W	0.006959201
89	YBR059C	0.006928635
90	YKR054C	0.006899374
91	YPL033C	0.006655956
92	YNL025C	0.006508866
93	YOR179C	0.006402506
94	YPL037C	0.006129436
95	YML036W	0.006079931
96	YGL062W	0.006003231
97	YHR200W	0.006002932
98	YPR015C	0.005966924
99	YDL154W	0.005957222
100	YNR004W	0.005953709
101	YML113W	0.005948391
102	YER092W	0.005935752
103	YLR021W	0.005878396
104	YBR107C	0.005863216
105	YKR059W	0.005752640
106	YBR188C	0.005653945
107	YPL236C	0.005652906
108	YLR315W	0.005509843
109	YJR073C	0.005302845
110	YMR055C	0.005296546
111	YLR453C	0.005251981
112	YDR181C	0.005212361
113	YKL130C	0.005159025
114	YDR079C-A	0.005093262
115	YBL005W	0.005061753
116	YDR216W	0.005058728
117	YML051W	0.005058702
118	YKL127W	0.004917655
119	YHR202W	0.004897200
120	YOR368W	0.004778177
121	YGL013C	0.004642447
122	YIL008W	0.004528069
