rank	yeast_gene	ensemble_score
1	YPL203W	0.116974341
2	YKL166C	0.109340970
3	YPL031C	0.104478854
4	YJL164C	0.088827839
5	YNL307C	0.078843583
6	YNL098C	0.071600331
7	YKR059W	0.070630830
8	YKR039W	0.068967997
9	YFR014C	0.066101096
10	YOR185C	0.063968254
11	YDL134C	0.061911765
12	YOL016C	0.060917160
13	YLR329W	0.060218539
14	YPL274W	0.059368726
15	YER031C	0.058412709
16	YGR152C	0.056493693
17	YGL168W	0.055951957
18	YMR019W	0.055816219
19	YDL188C	0.052994362
20	YKL190W	0.050296034
21	YDL138W	0.050144164
22	YDL006W	0.048706132
23	YNR032W	0.048563218
24	YOR101W	0.048201142
25	YLR262C	0.048088992
26	YLR019W	0.046645171
27	YDR075W	0.045511613
28	YMR246W	0.045112382
29	YLR234W	0.044588082
30	YDR139C	0.044387537
31	YML001W	0.044156878
32	YNR063W	0.043518213
33	YHR032W	0.042355310
34	YDL079C	0.042316834
35	YLR113W	0.041497626
36	YGL058W	0.040927785
37	YGL087C	0.040352665
38	YKR093W	0.038909552
39	YOL104C	0.038903562
40	YER177W	0.036649940
41	YHR030C	0.036307692
42	YBL005W	0.035639392
43	YCR091W	0.035313654
44	YDR252W	0.035064599
45	YOR179C	0.035040605
46	YPR054W	0.034890926
47	YBR082C	0.034394020
48	YPR173C	0.033866080
49	YGL043W	0.033849266
50	YER044C-A	0.033484057
51	YDR155C	0.033409892
52	YEL066W	0.032864427
53	YMR274C	0.032806970
54	YJL206C	0.032509156
55	YLR385C	0.032316452
56	YKL161C	0.032146842
57	YGR040W	0.031314698
58	YNL130C	0.030972441
59	YDR059C	0.030934214
60	YER184C	0.030722137
61	YBR028C	0.030559420
62	YDL194W	0.030490920
63	YGR180C	0.030340786
64	YGR067C	0.030173659
65	YGL253W	0.029527202
66	YNL209W	0.029374102
67	YIL132C	0.029349365
68	YDR099W	0.029066278
69	YPL192C	0.028727688
70	YML058W-A	0.028509891
71	YMR139W	0.028493272
72	YAL027W	0.028458449
73	YGL078C	0.028060481
74	YOR197W	0.028020815
75	YJR096W	0.027935128
76	YDL230W	0.027821723
77	YNL311C	0.027224610
78	YPL037C	0.026790847
79	YGL070C	0.026651622
80	YML102W	0.026490141
81	YDL236W	0.026463697
82	YLR226W	0.026452020
83	YGR209C	0.026278048
84	YPL096C-A	0.026009845
85	YHR195W	0.025820900
86	YPL154C	0.025813099
87	YDR334W	0.025676905
88	YFL052W	0.025452692
89	YFR053C	0.025314723
90	YML076C	0.025286651
91	YGR208W	0.024893462
92	YGL220W	0.024862120
93	YLL010C	0.024568815
94	YGL163C	0.024478336
95	YPR111W	0.024441059
96	YBR201W	0.024387115
97	YOR153W	0.024187554
98	YBR297W	0.024091369
99	YDR022C	0.024054291
100	YBR240C	0.023884680
101	YJL149W	0.023841352
102	YDR490C	0.023720624
103	YJR127C	0.023623434
104	YKL130C	0.023568726
105	YDL170W	0.023511121
106	YPR149W	0.023493515
107	YDR513W	0.023458409
108	YER089C	0.023345896
109	YOL080C	0.023090600
110	YOR339C	0.022860619
111	YGL013C	0.022514511
112	YNL210W	0.022347160
113	YLR224W	0.022263874
114	YGR288W	0.021746178
115	YFR046C	0.021696658
116	YOR191W	0.021671835
117	YIR005W	0.021552449
118	YNL142W	0.021218467
119	YLR052W	0.020773076
120	YDR131C	0.020726677
121	YOR061W	0.020685494
122	YML123C	0.020650645
123	YER110C	0.020479664
124	YOR380W	0.020459209
125	YPL199C	0.020381002
126	YEL013W	0.020342798
127	YBR278W	0.020334173
128	YHR200W	0.020251589
129	YNR032C-A	0.020182724
130	YDR216W	0.020132935
131	YAL046C	0.020055831
132	YNL288W	0.020011710
133	YGR275W	0.019915460
134	YCR106W	0.019882346
135	YOL089C	0.019630623
136	YPL046C	0.019508833
137	YPR196W	0.019440833
138	YBR272C	0.019361837
139	YLL048C	0.019259829
140	YBL021C	0.019252145
141	YHR004C	0.019222396
142	YPR052C	0.019183452
143	YGL216W	0.019115100
144	YLR216C	0.019104078
145	YOR295W	0.019035314
146	YCR020C-A	0.018933320
147	YBR150C	0.018864521
148	YMR080C	0.018845875
149	YEL018W	0.018779867
150	YGR134W	0.018736406
151	YGL237C	0.018626808
152	YFR038W	0.018561046
153	YLR043C	0.018429276
154	YDL076C	0.018308028
155	YER035W	0.018221223
156	YER143W	0.018202168
157	YNL159C	0.017933248
158	YER106W	0.017893235
159	YGR109C	0.017796935
160	YEL037C	0.017765787
161	YJL030W	0.017719879
162	YER179W	0.017628153
163	YGR003W	0.017607733
164	YMR116C	0.017395785
165	YOR290C	0.017316630
166	YLL002W	0.017236845
167	YLR021W	0.017106823
168	YBR285W	0.016965492
169	YOL082W	0.016927148
170	YDR477W	0.016910809
171	YDR253C	0.016810542
172	YML068W	0.016747252
173	YNR034W	0.016732957
174	YPL179W	0.016714652
175	YDR120C	0.016706522
176	YDL155W	0.016664964
177	YER174C	0.016491465
178	YDR156W	0.016428061
179	YMR315W	0.016268409
180	YFR036W	0.016237560
181	YGR135W	0.016222435
182	YBR089C-A	0.016195195
183	YLR364W	0.016181635
184	YPR093C	0.016137225
185	YDR263C	0.016096717
186	YJR073C	0.015931193
187	YLR094C	0.015898144
188	YNL330C	0.015791344
189	YIL040W	0.015642111
190	YCL010C	0.015636977
191	YPL042C	0.015558903
192	YBL057C	0.015511550
193	YPL038W	0.015448090
194	YCL040W	0.015376723
195	YMR293C	0.015297642
196	YDR260C	0.015295515
197	YDR488C	0.015096126
198	YOR027W	0.015094833
199	YIR026C	0.015064110
200	YLR154C	0.015009687
201	YNL241C	0.014892056
202	YML057W	0.014891101
203	YBR188C	0.014881307
204	YER092W	0.014852550
205	YBL024W	0.014828087
206	YML124C	0.014790588
207	YBR165W	0.014700572
208	YNL154C	0.014680059
209	YML011C	0.014666180
210	YAL054C	0.014532201
211	YHR135C	0.014441292
212	YKL091C	0.014405532
213	YMR022W	0.014348126
214	YOL013C	0.014311780
215	YKL114C	0.014311630
216	YDL101C	0.014275104
217	YMR191W	0.014262339
218	YLR433C	0.014190619
219	YBL006C	0.014130982
220	YBR114W	0.014119591
221	YHL022C	0.014077812
222	YAL019W	0.014036799
223	YGR071C	0.013912843
224	YLR059C	0.013909197
225	YMR223W	0.013773756
226	YIL130W	0.013762484
227	YIR013C	0.013717988
228	YLR266C	0.013702641
229	YBR034C	0.013698989
230	YOR189W	0.013630676
231	YPR040W	0.013605660
232	YLL054C	0.013550764
233	YIL146C	0.013273569
234	YHL006C	0.013226503
235	YHR031C	0.013199816
236	YHR127W	0.013193514
237	YNR047W	0.013137014
238	YPL144W	0.013107263
239	YDR273W	0.013103053
240	YDR098C	0.013073718
241	YML081W	0.013064916
242	YOR337W	0.012976338
243	YLR263W	0.012933046
244	YOR351C	0.012797744
245	YMR234W	0.012683682
246	YMR182C	0.012613430
247	YKL214C	0.012607386
248	YLR248W	0.012587803
249	YAL055W	0.012552973
250	YLL046C	0.012519562
251	YKL067W	0.012501170
252	YLR258W	0.012455138
253	YPL226W	0.012396738
254	YJL137C	0.012361198
255	YLR368W	0.012307315
256	YBL078C	0.012298793
257	YOR363C	0.012291389
258	YPR199C	0.012255864
259	YNL204C	0.012253951
260	YNL323W	0.012089545
261	YDR265W	0.012083597
262	YGL211W	0.012003240
263	YER120W	0.011975904
264	YPR101W	0.011888477
265	YLR098C	0.011879825
266	YKR017C	0.011751870
267	YDR223W	0.011745549
268	YNL072W	0.011687951
269	YOL042W	0.011611767
270	YML029W	0.011549213
271	YCR014C	0.011544200
272	YKL127W	0.011510173
273	YDR375C	0.011502138
274	YDR110W	0.011495718
275	YPR164W	0.011488606
276	YJR021C	0.011418234
277	YBR107C	0.011361950
278	YKL160W	0.011338289
279	YGR247W	0.011297723
280	YGL240W	0.011273275
281	YLR398C	0.011256426
282	YGL254W	0.011176654
283	YMR219W	0.011162429
284	YOR304W	0.011157925
285	YGL100W	0.011136755
286	YLR210W	0.011129316
287	YPL164C	0.011123151
288	YJR035W	0.011046422
289	YBR275C	0.011032813
290	YJL073W	0.011031591
291	YKR054C	0.011005624
292	YMR276W	0.011001548
293	YPL248C	0.010959960
294	YAL044W-A	0.010937265
295	YPL086C	0.010838919
296	YDR001C	0.010829070
297	YNL138W	0.010819064
298	YPR119W	0.010797884
299	YOR358W	0.010743889
300	YDR466W	0.010712118
301	YFR010W	0.010688855
302	YDR523C	0.010683069
303	YBR245C	0.010669825
304	YJL056C	0.010562165
305	YEL012W	0.010562143
306	YBR073W	0.010554327
307	YOL108C	0.010551613
