rank	yeast_gene	ensemble_score
1	YEL013W	0.082108075
2	YMR116C	0.077620884
3	YKL190W	0.072034368
4	YCR020C-A	0.062772150
5	YKR059W	0.060820939
6	YGR232W	0.046628551
7	YNL209W	0.046415648
8	YOR185C	0.045232728
9	YDR306C	0.044473561
10	YJR052W	0.044170508
11	YPL213W	0.042192805
12	YNL004W	0.039897824
13	YBL003C	0.039144616
14	YML001W	0.037888848
15	YER031C	0.034596986
16	YPR173C	0.033078985
17	YDR518W	0.031720351
18	YNR032C-A	0.031442877
19	YLR182W	0.030674783
20	YMR080C	0.030264961
21	YPL226W	0.029832522
22	YMR258C	0.029686104
23	YPL176C	0.029401351
24	YDR139C	0.029309541
25	YCL011C	0.028503254
26	YER177W	0.026108183
27	YCL010C	0.024938798
28	YHR192W	0.024320614
29	YOL012C	0.024067669
30	YMR138W	0.023286943
31	YKL214C	0.023008610
32	YDR099W	0.022551412
33	YBR089C-A	0.022384600
34	YML099C	0.022066890
35	YLR352W	0.021802137
36	YIR005W	0.021356974
37	YGL078C	0.020643895
38	YNL314W	0.020237531
39	YML034W	0.019955960
40	YLR207W	0.019951558
41	YDR520C	0.019839857
42	YML102W	0.019476149
43	YPR052C	0.019042679
44	YLR043C	0.018987121
45	YDR378C	0.018431146
46	YOR172W	0.018145803
47	YBR272C	0.017254652
48	YKL222C	0.017040265
49	YLR262C	0.016688282
50	YEL037C	0.016203573
51	YFR032C	0.016100171
52	YGR209C	0.015949659
53	YOR380W	0.015922617
54	YFL028C	0.015785394
55	YMR276W	0.014932555
56	YDR421W	0.014515448
57	YPL154C	0.014221765
58	YBR175W	0.013262307
59	YJL073W	0.012935996
60	YDR131C	0.012759016
61	YLL046C	0.012648261
62	YML128C	0.012599528
63	YPR152C	0.012534402
64	YNL253W	0.012462159
65	YOR162C	0.012460275
66	YML013W	0.012137830
67	YGL004C	0.012134138
68	YMR065W	0.012036628
69	YER007C-A	0.012015654
70	YBL002W	0.011902869
71	YOR298C-A	0.011892921
72	YHL034C	0.011742508
73	YBR062C	0.011716039
74	YHR207C	0.011687478
75	YJL137C	0.011629257
76	YGL197W	0.011602915
77	YHR193C	0.011415621
78	YGL087C	0.011340710
79	YNL016W	0.011305633
80	YDL006W	0.011210955
81	YLR364W	0.011151165
82	YLR234W	0.010901343
83	YNL098C	0.010898433
84	YJL124C	0.010826579
85	YGL070C	0.010258671
86	YBR103W	0.010211562
87	YBR082C	0.009943983
88	YHL006C	0.009791336
89	YOR027W	0.009706282
90	YHR200W	0.009636225
91	YOR354C	0.009273104
92	YGL252C	0.009020304
93	YJR014W	0.008806467
94	YDL035C	0.008541094
95	YJL178C	0.008390500
96	YLR120C	0.008302350
97	YNL286W	0.008131767
98	YML088W	0.008085994
99	YML011C	0.008036779
100	YHR120W	0.007907938
101	YBL066C	0.007851760
102	YDR289C	0.007836719
103	YKL074C	0.007761216
104	YDR253C	0.007757777
105	YGL213C	0.007708942
106	YJL030W	0.007700257
107	YOR229W	0.007672447
108	YER110C	0.007578533
109	YNR074C	0.007461491
110	YML062C	0.007385419
111	YDR383C	0.007011537
112	YLR315W	0.006981715
113	YIL008W	0.006929858
114	YER174C	0.006735776
115	YBL047C	0.006621799
116	YDR363W	0.006558649
117	YDR318W	0.006527119
118	YDR059C	0.006480124
119	YDR079C-A	0.006444071
120	YOL054W	0.006372469
121	YGR152C	0.006260062
122	YLR451W	0.006217758
123	YDR121W	0.006212577
124	YHR003C	0.006168784
125	YDR155C	0.006018131
126	YMR159C	0.005973167
127	YPR189W	0.005935292
128	YMR129W	0.005892323
129	YMR119W	0.005845253
130	YBL021C	0.005780391
131	YFR030W	0.005734856
132	YHR127W	0.005614105
133	YOR371C	0.005595519
134	YLR074C	0.005485281
135	YOL117W	0.005467448
136	YKL086W	0.005449746
137	YAL055W	0.005446284
138	YER179W	0.005399428
139	YOR101W	0.005344018
140	YDL213C	0.005322762
141	YCR106W	0.005247223
142	YOR205C	0.005187786
143	YGR270W	0.005086267
144	YGR173W	0.005036044
145	YGL211W	0.004993560
146	YDR098C	0.004880704
147	YHR015W	0.004721369
148	YOL145C	0.004704124
149	YGL195W	0.004640727
150	YGR044C	0.004631540
151	YDR057W	0.004628616
152	YIL017C	0.004595602
153	YJL204C	0.004526655
154	YMR264W	0.004501981
155	YNL186W	0.004441700
156	YBR273C	0.004422051
157	YMR153W	0.004378077
158	YBR010W	0.004313070
159	YJL210W	0.004281110
160	YLR039C	0.004259161
161	YNR034W	0.004249293
162	YIR001C	0.004204307
163	YHR178W	0.004170199
164	YPL199C	0.004167761
165	YKL017C	0.004163099
166	YAL051W	0.004002718
167	YML029W	0.003988560
168	YCL029C	0.003955066
169	YPR075C	0.003947580
170	YCR086W	0.003919372
171	YDR513W	0.003910097
