rank	yeast_gene	ensemble_score
1	YPR111W	0.078991597
2	YDR490C	0.074343411
3	YFR014C	0.072572665
4	YOL016C	0.063084741
5	YGR152C	0.062511563
6	YHR032W	0.062123988
7	YDL138W	0.062007023
8	YMR080C	0.060357711
9	YDL194W	0.058568138
10	YOR380W	0.057916310
11	YLR248W	0.056545764
12	YHR030C	0.052762121
13	YJL164C	0.052684157
14	YKL166C	0.052241703
15	YIL033C	0.049700985
16	YOR358W	0.048588706
17	YIR026C	0.048075125
18	YCL011C	0.047375832
19	YNL098C	0.047268908
20	YGL163C	0.046646130
21	YNL314W	0.046229922
22	YOL113W	0.046003794
23	YNL288W	0.045785134
24	YCR091W	0.045665584
25	YEL013W	0.045560514
26	YLR262C	0.045375602
27	YLL002W	0.045086600
28	YGR044C	0.044758274
29	YER031C	0.043051778
30	YPL203W	0.042993365
31	YPR173C	0.042703362
32	YHR004C	0.042694434
33	YPL031C	0.042688865
34	YHR195W	0.041646064
35	YCL010C	0.041543560
36	YAL017W	0.041522732
37	YCR020C-A	0.041221034
38	YML099C	0.040538452
39	YGL197W	0.040036626
40	YGL087C	0.039417416
41	YPL154C	0.039040504
42	YHR135C	0.039024456
43	YDR507C	0.037274015
44	YMR306W	0.036946551
45	YML001W	0.036475101
46	YGL179C	0.036313203
47	YDL197C	0.035881662
48	YJL206C	0.035678311
49	YER089C	0.035299855
50	YBR112C	0.034845326
51	YLR398C	0.034312261
52	YNL154C	0.034223269
53	YPL042C	0.033895678
54	YML123C	0.033798391
55	YDR523C	0.033737683
56	YPL226W	0.032674523
57	YOR185C	0.032563197
58	YGL208W	0.032147152
59	YKL222C	0.031844348
60	YDL006W	0.031749411
61	YFR046C	0.031288995
62	YMR069W	0.030800259
63	YPL015C	0.030376553
64	YBR245C	0.030052162
65	YLL048C	0.029744014
66	YKR039W	0.029641616
67	YDR477W	0.029182043
68	YNL307C	0.029009104
69	YDR375C	0.028764613
70	YER176W	0.028753778
71	YJL124C	0.028705706
72	YGL078C	0.028474005
73	YHR178W	0.028405211
74	YDR334W	0.028333129
75	YCR106W	0.028277211
76	YMR019W	0.028147473
77	YAL056W	0.027959888
78	YDR074W	0.027747225
79	YMR205C	0.027199213
80	YER132C	0.026940082
81	YML074C	0.026830418
82	YPL274W	0.026446017
83	YML061C	0.026428812
84	YOR304W	0.025849151
85	YLR329W	0.025801247
86	YER164W	0.025784392
87	YIL113W	0.025608376
88	YAR035W	0.025356755
89	YMR224C	0.025262145
90	YKL190W	0.025220168
91	YIL146C	0.025048774
92	YJR084W	0.024346217
93	YJR035W	0.024308442
94	YOR351C	0.024305422
95	YKL086W	0.024258583
96	YKL101W	0.023985282
97	YCL024W	0.023973214
98	YGR270W	0.023954930
99	YLR342W	0.023943862
100	YGR209C	0.023926118
101	YGL100W	0.023826791
102	YBR028C	0.023736706
103	YFL028C	0.023571522
104	YLR451W	0.023480189
105	YLR449W	0.023472828
106	YER064C	0.022921989
107	YOR371C	0.022919153
108	YDL035C	0.022895269
109	YLL046C	0.022650189
110	YGR040W	0.022316728
111	YBR073W	0.022281872
112	YBR062C	0.022173779
113	YBL021C	0.021997892
114	YPL213W	0.021886979
115	YKL214C	0.021840411
116	YER116C	0.021770122
117	YOR101W	0.021693498
118	YAR018C	0.021520560
119	YGL252C	0.021512717
120	YMR285C	0.021485884
121	YNL004W	0.021221456
122	YOL080C	0.021174991
123	YBR274W	0.020854903
124	YER044C-A	0.020758363
125	YAL019W	0.020560146
126	YLR224W	0.020313842
127	YDL101C	0.020287748
128	YOR339C	0.020135826
129	YBR276C	0.020045867
130	YPL037C	0.019992935
131	YOR360C	0.019902343
132	YHR031C	0.019757454
133	YCL040W	0.019672708
134	YGL220W	0.019406033
135	YLR368W	0.019391708
136	YGL058W	0.018981534
137	YER174C	0.018929916
138	YDR101C	0.018840287
139	YOL006C	0.018505340
140	YPL192C	0.018501501
141	YOR213C	0.018435411
142	YJL128C	0.018423750
143	YBL056W	0.018340355
144	YKR001C	0.018313770
145	YNR047W	0.018310048
146	YDL188C	0.018252666
147	YKR059W	0.018211475
148	YDR383C	0.018170741
149	YLR221C	0.018160662
150	YGL216W	0.018133786
151	YGL240W	0.018098067
152	YGR240C	0.018020028
153	YPL096C-A	0.017860080
154	YNL053W	0.017857028
155	YNR063W	0.017813342
156	YHR127W	0.017766612
157	YMR202W	0.017763625
158	YDR392W	0.017548979
159	YBR240C	0.017536751
160	YPL140C	0.017416202
161	YER035W	0.017400453
162	YKL161C	0.017304531
163	YKL198C	0.017207371
164	YLR043C	0.017125861
165	YPL133C	0.017106954
166	YBR228W	0.016949383
167	YPL180W	0.016892418
168	YLR094C	0.016855823
169	YCR008W	0.016818462
170	YNL209W	0.016771706
171	YFR015C	0.016751415
172	YER092W	0.016735906
173	YDR378C	0.016659656
174	YLL054C	0.016534868
175	YLR120C	0.016443448
176	YGR247W	0.016356871
177	YAL059W	0.016350548
178	YDR421W	0.016312582
179	YLR258W	0.016289461
180	YMR219W	0.016237823
181	YDR386W	0.016201226
182	YFL052W	0.016172570
183	YJL030W	0.016143944
184	YAL021C	0.016062199
185	YPL144W	0.016009996
186	YGR288W	0.016004050
187	YBL007C	0.015954303
188	YML102W	0.015891853
189	YDL155W	0.015852923
190	YGL168W	0.015820823
191	YDL230W	0.015766404
192	YBR278W	0.015701256
193	YGR134W	0.015646984
194	YLR113W	0.015634651
195	YER184C	0.015615257
196	YHR108W	0.015490917
197	YLR014C	0.015374819
198	YML075C	0.015239678
199	YKL027W	0.015226484
200	YOR172W	0.015175379
201	YDL076C	0.015083633
202	YAL027W	0.015069930
203	YER143W	0.015027162
204	YOR191W	0.015025189
205	YPL186C	0.015021273
206	YDR488C	0.015019820
207	YPR152C	0.015009296
208	YOR231W	0.014941810
209	YML124C	0.014863554
210	YNR032C-A	0.014798218
211	YOL001W	0.014796736
212	YML072C	0.014758277
213	YHR119W	0.014714367
214	YLR019W	0.014670718
215	YLR055C	0.014652458
216	YGL115W	0.014601102
217	YLL022C	0.014566856
218	YJL095W	0.014566815
219	YDL134C	0.014549503
220	YHR120W	0.014538369
221	YHL002W	0.014389283
222	YAL054C	0.014381403
223	YCR073C	0.014165899
224	YOR179C	0.014061686
225	YKR093W	0.013980657
226	YOR153W	0.013823494
227	YIR005W	0.013811540
228	YML011C	0.013753598
229	YJL073W	0.013674973
230	YMR274C	0.013460417
231	YHR167W	0.013445571
232	YIL009C-A	0.013404313
233	YMR246W	0.013335304
234	YDR265W	0.013314442
235	YDR513W	0.013178240
236	YMR263W	0.013148661
237	YBR033W	0.013049692
238	YMR180C	0.013007407
239	YGR200C	0.012998611
240	YDR181C	0.012952952
241	YLR253W	0.012750949
242	YLR136C	0.012732355
243	YNL286W	0.012684672
244	YLR059C	0.012672131
245	YNL210W	0.012634230
246	YDR216W	0.012616196
247	YHL006C	0.012588731
248	YMR021C	0.012569297
249	YOR171C	0.012534055
250	YNL147W	0.012521418
251	YBR089C-A	0.012481298
252	YMR216C	0.012425426
253	YNL204C	0.012414007
254	YML058W-A	0.012396268
255	YKL171W	0.012378445
256	YOR337W	0.012298880
257	YOL012C	0.012204737
258	YOR162C	0.012180803
259	YDR120C	0.012160053
260	YLR021W	0.012129981
261	YPL236C	0.012103318
262	YOR189W	0.012088273
263	YDR291W	0.012084872
264	YBL005W	0.012083670
265	YPL046C	0.012019829
266	YNL323W	0.012002643
267	YPR052C	0.011999734
268	YAL039C	0.011982706
269	YIR002C	0.011944402
270	YBR297W	0.011936082
271	YLR260W	0.011813868
272	YPR164W	0.011787305
273	YDR518W	0.011764218
274	YBL078C	0.011747213
275	YHR207C	0.011742463
276	YNL311C	0.011692181
277	YLR364W	0.011638912
278	YML068W	0.011635223
279	YDR260C	0.011607919
280	YOR106W	0.011593593
281	YBR273C	0.011588020
282	YDR223W	0.011490832
283	YGR202C	0.011475418
284	YNR032W	0.011460817
285	YER100W	0.011460142
286	YOR107W	0.011420252
287	YOL082W	0.011393544
288	YHR200W	0.011384068
289	YLL040C	0.011353057
290	YOR197W	0.011281395
291	YJL106W	0.011277019
292	YDR358W	0.011273220
293	YMR100W	0.011264432
294	YNR004W	0.011226502
295	YGR276C	0.011216749
296	YOR233W	0.011193570
297	YDR520C	0.011164088
298	YLR098C	0.011153832
299	YJL065C	0.011151169
300	YML118W	0.011136714
301	YLR384C	0.011128786
302	YAL009W	0.011104076
303	YDL036C	0.011091365
304	YLR192C	0.011046477
305	YNR051C	0.011038369
306	YNL223W	0.011001526
307	YDL079C	0.010984415
308	YDR219C	0.010965983
309	YMR138W	0.010953488
310	YKL130C	0.010952070
311	YLR006C	0.010928109
312	YLR263W	0.010925434
313	YJL137C	0.010924418
314	YNL298W	0.010883320
315	YBR223C	0.010876170
316	YMR039C	0.010854889
317	YGL248W	0.010849840
318	YBL057C	0.010849759
319	YGL180W	0.010842175
320	YDR457W	0.010841345
321	YJL168C	0.010838325
322	YMR280C	0.010837437
323	YMR022W	0.010826634
324	YNL299W	0.010809386
325	YPL179W	0.010795518
326	YER106W	0.010786345
327	YBR285W	0.010740099
328	YDR098C	0.010708439
329	YFR038W	0.010690194
330	YKL048C	0.010677779
331	YOR061W	0.010669254
332	YLR352W	0.010570056
333	YOL067C	0.010564925
334	YOL068C	0.010500932
335	YHR041C	0.010492216
336	YBL006C	0.010436761
337	YDL200C	0.010431204
338	YLR455W	0.010407559
339	YOR363C	0.010405584
340	YDR075W	0.010401579
341	YDL090C	0.010349108
342	YPL101W	0.010312499
343	YER162C	0.010277867
344	YIL030C	0.010239834
345	YMR078C	0.010202576
346	YER027C	0.010172615
347	YNL021W	0.010144981
348	YML062C	0.010120324
349	YKR017C	0.010098391
350	YNL248C	0.010061020
351	YOL090W	0.010040566
352	YMR177W	0.009998150
353	YOR313C	0.009992370
354	YBR114W	0.009844548
355	YMR191W	0.009843695
356	YOR290C	0.009812261
357	YHR192W	0.009811790
358	YLR035C	0.009768960
359	YNL159C	0.009727038
360	YIL153W	0.009721927
361	YBL002W	0.009711472
362	YPR040W	0.009699715
363	YOR064C	0.009679584
364	YPL194W	0.009675453
365	YDR466W	0.009633906
366	YKL116C	0.009626401
367	YOR295W	0.009582881
368	YGL181W	0.009570963
369	YMR159C	0.009543863
370	YBR203W	0.009537809
371	YDR110W	0.009517229
372	YBL003C	0.009469554
373	YLR429W	0.009456941
374	YFL033C	0.009444553
375	YLR320W	0.009443192
376	YMR258C	0.009436485
377	YPL164C	0.009399118
378	YDR121W	0.009394931
379	YBR125C	0.009394927
380	YLR182W	0.009350319
381	YDR147W	0.009345499
382	YGR135W	0.009311101
383	YMR291W	0.009309550
384	YPL038W	0.009301419
385	YBR188C	0.009282829
386	YGR275W	0.009282167
387	YPL109C	0.009268900
388	YLR154C	0.009266497
389	YGL213C	0.009265523
390	YDR083W	0.009257156
391	YIL016W	0.009252266
392	YLR119W	0.009246415
393	YMR119W	0.009176241
394	YML109W	0.009163227
395	YJL210W	0.009159145
396	YIL130W	0.009114708
397	YPL002C	0.009100299
398	YPR196W	0.009048413
399	YJL092W	0.009012107
400	YER030W	0.009000169
401	YDR252W	0.008988481
402	YBR140C	0.008985484
403	YBR186W	0.008979568
404	YDR423C	0.008968516
405	YEL066W	0.008965785
406	YOR058C	0.008952385
407	YNL155W	0.008948447
408	YDR139C	0.008912465
409	YJR021C	0.008888416
410	YAR042W	0.008865160
411	YPR119W	0.008846521
412	YOL086W-A	0.008827454
413	YOL136C	0.008806346
414	YPL253C	0.008770048
415	YDR283C	0.008753151
416	YPR160W	0.008734705
417	YLR433C	0.008731179
418	YKL029C	0.008729155
419	YPL248C	0.008726061
420	YOL081W	0.008706759
421	YDR323C	0.008673693
422	YHR015W	0.008669066
423	YMR055C	0.008639942
424	YPL199C	0.008636793
425	YOL045W	0.008631411
426	YIR013C	0.008629688
427	YDR263C	0.008623816
428	YDR458C	0.008617316
429	YKR067W	0.008579191
430	YDL019C	0.008551515
431	YBL008W	0.008545626
432	YBR058C	0.008518044
433	YBR103W	0.008508323
434	YFR010W	0.008494437
435	YEL037C	0.008463839
436	YLR265C	0.008439631
437	YPL127C	0.008421051
438	YDR253C	0.008408102
439	YDR273W	0.008404464
440	YNL242W	0.008380998
441	YNL008C	0.008350234
442	YBR082C	0.008310816
443	YNR034W	0.008308211
444	YBR141C	0.008302521
445	YLR234W	0.008301858
446	YMR176W	0.008285065
447	YNR006W	0.008267933
448	YNL106C	0.008245038
449	YML036W	0.008237584
450	YMR139W	0.008233091
451	YLR210W	0.008231186
452	YGL166W	0.008225582
453	YBR175W	0.008189427
454	YKL113C	0.008175369
455	YIL107C	0.008167233
456	YNL229C	0.008167188
457	YNL072W	0.008165593
458	YHR006W	0.008161506
459	YJR127C	0.008156044
460	YLR266C	0.008154985
461	YDR312W	0.008151054
462	YLR135W	0.008140841
463	YFR023W	0.008138270
464	YDL190C	0.008133455
465	YNL020C	0.008124636
466	YDR364C	0.008100620
467	YHR202W	0.008099675
468	YLR385C	0.008087976
469	YKR092C	0.008086255
470	YJR030C	0.008067763
471	YER063W	0.008062189
472	YFR032C	0.008061790
473	YPR120C	0.008060664
474	YOL104C	0.008060370
475	YHR033W	0.008053847
476	YPR093C	0.008042090
477	YNL130C	0.008027584
478	YHR146W	0.008024742
479	YPR023C	0.008021502
480	YBR258C	0.008002453
481	YFR053C	0.007968618
482	YGL043W	0.007933420
483	YLR315W	0.007899029
484	YCR014C	0.007884583
485	YER142C	0.007866268
486	YDR370C	0.007855868
487	YHR124W	0.007829892
488	YGL175C	0.007828359
489	YDR448W	0.007821999
490	YKR054C	0.007801704
491	YMR116C	0.007798775
492	YNL076W	0.007797928
493	YPR141C	0.007794878
494	YMR201C	0.007793066
495	YBR010W	0.007780354
496	YKL015W	0.007767200
497	YBL047C	0.007760759
498	YFL014W	0.007756485
499	YKL212W	0.007751644
500	YDR217C	0.007747769
501	YKL034W	0.007719992
502	YLR418C	0.007713109
503	YLR032W	0.007711767
504	YMR255W	0.007708070
505	YJL036W	0.007697847
506	YAL051W	0.007688914
507	YJR119C	0.007685800
508	YNL206C	0.007649959
509	YGL070C	0.007645626
510	YHL034C	0.007623096
511	YLL010C	0.007621480
512	YIL035C	0.007604142
513	YML029W	0.007596405
514	YMR304W	0.007556417
515	YGL173C	0.007555833
516	YDR191W	0.007540465
517	YJL115W	0.007525311
518	YDL213C	0.007504085
519	YKL160W	0.007503443
520	YOR208W	0.007475103
521	YOL089C	0.007436087
522	YAL053W	0.007422426
523	YNL023C	0.007419531
524	YDR155C	0.007406638
525	YIR025W	0.007394389
526	YHR034C	0.007386409
527	YBR280C	0.007383901
528	YOL108C	0.007370414
529	YIL079C	0.007350889
530	YGL211W	0.007347234
531	YHR003C	0.007332204
532	YOL054W	0.007326719
533	YPR149W	0.007296552
534	YNL142W	0.007292892
535	YHR066W	0.007292001
536	YDR079C-A	0.007283493
537	YIL112W	0.007278798
538	YIL042C	0.007275581
539	YDL051W	0.007271020
540	YNL227C	0.007264523
541	YDR097C	0.007257900
542	YNL257C	0.007241005
543	YLR438W	0.007226285
544	YML013W	0.007223131
545	YLR052W	0.007207918
546	YER016W	0.007189966
547	YNL224C	0.007176139
548	YLR199C	0.007158352
549	YMR190C	0.007141797
550	YDR001C	0.007139133
551	YNL025C	0.007135494
552	YNL082W	0.007135196
553	YGL174W	0.007134948
554	YLR216C	0.007132468
555	YHL010C	0.007127754
556	YBR218C	0.007121901
557	YGL110C	0.007112371
558	YOL115W	0.007087252
559	YEL061C	0.007083200
560	YMR127C	0.007076197
561	YLR133W	0.007064801
562	YPR054W	0.007057371
563	YML057W	0.007039454
564	YMR234W	0.007021534
565	YLR102C	0.007014117
566	YPR075C	0.007005343
567	YDR277C	0.007003649
568	YDR517W	0.006992490
569	YPL086C	0.006984763
570	YKR010C	0.006980387
571	YOL041C	0.006923238
