rank	yeast_gene	ensemble_score
1	YKR039W	0.095804989
2	YDL188C	0.089309347
3	YGL163C	0.085735875
4	YDL134C	0.082285906
5	YPR111W	0.079334139
6	YJL164C	0.077692308
7	YER164W	0.075541845
8	YDR334W	0.074450549
9	YAL019W	0.073610878
10	YOR304W	0.065597148
11	YDR075W	0.065417076
12	YPL203W	0.063852814
13	YDR490C	0.063301054
14	YKR059W	0.061444517
15	YNR032W	0.061191696
16	YDL194W	0.061071353
17	YPL274W	0.060336498
18	YBR245C	0.058196669
19	YFR014C	0.058179145
20	YOR153W	0.057512371
21	YFR038W	0.055210490
22	YLR113W	0.055129468
23	YPL179W	0.054729239
24	YKL166C	0.054393082
25	YBR114W	0.053997195
26	YMR246W	0.053653004
27	YPR173C	0.053499566
28	YDL006W	0.053484051
29	YOR290C	0.053374101
30	YDR219C	0.053364743
31	YHR031C	0.052023243
32	YNL323W	0.051781283
33	YDL138W	0.050467899
34	YDR181C	0.049414006
35	YHR032W	0.048926108
36	YPL154C	0.047940888
37	YJR035W	0.047428699
38	YLR398C	0.046951659
39	YML061C	0.046130283
40	YER089C	0.045826832
41	YKR093W	0.043252724
42	YIR002C	0.042069288
43	YDR099W	0.041632173
44	YOR185C	0.041499440
45	YKL190W	0.041268688
46	YOL080C	0.040934127
47	YER031C	0.040757460
48	YML057W	0.040617716
49	YLR094C	0.040328406
50	YOL016C	0.039163667
51	YLL048C	0.039059439
52	YKL091C	0.038695644
53	YDL155W	0.038446737
54	YLR433C	0.038414011
55	YML001W	0.037933539
56	YJL092W	0.037517713
57	YER177W	0.036186508
58	YEL013W	0.036108977
59	YGL253W	0.035221780
60	YCR091W	0.034365624
61	YFR053C	0.034201923
62	YLR248W	0.033028217
63	YGR040W	0.032474180
64	YOR061W	0.031995329
65	YKR067W	0.031746032
66	YGR152C	0.031683785
67	YLR234W	0.031665430
68	YKL034W	0.031470512
69	YPL086C	0.031303603
70	YHR030C	0.030869292
71	YHR119W	0.030652384
72	YGL087C	0.030453427
73	YNL098C	0.030205097
74	YBR082C	0.029802860
75	YDR059C	0.028964674
76	YML123C	0.028850061
77	YBR028C	0.028786649
78	YNL154C	0.028620556
79	YIL107C	0.028588823
80	YML074C	0.028348827
81	YAL011W	0.027784906
82	YNL142W	0.027739173
83	YLR059C	0.027730880
84	YOR197W	0.027519304
85	YGL175C	0.026885958
86	YLR210W	0.026736933
87	YBL057C	0.026604782
88	YLR216C	0.026571158
89	YNL241C	0.026517112
90	YPR120C	0.026051264
91	YDL035C	0.025921678
92	YMR080C	0.025882462
93	YBL056W	0.025470474
94	YDR001C	0.025424311
95	YNL209W	0.025208553
96	YDR477W	0.024923417
97	YOR101W	0.024727377
98	YGL058W	0.024395776
99	YDL230W	0.024335926
100	YNR047W	0.023971917
101	YDR291W	0.023890210
102	YGL078C	0.023886084
103	YOL113W	0.023747144
104	YBR034C	0.023682666
105	YLR449W	0.023465463
106	YKL101W	0.023149381
107	YNR034W	0.023067005
108	YLR019W	0.022996477
109	YNL330C	0.022990777
110	YHR135C	0.022868483
111	YER106W	0.022656799
112	YJL124C	0.022512087
113	YPL199C	0.022306292
114	YNL307C	0.022018311
115	YDR155C	0.021513501
116	YOR191W	0.021489115
117	YPL037C	0.021023177
118	YDL216C	0.020931637
119	YPL031C	0.020717364
120	YNL299W	0.020442590
121	YGR270W	0.020168300
122	YPL180W	0.020067575
123	YGR202C	0.020021115
124	YMR022W	0.019933171
125	YPL212C	0.019836236
126	YPL192C	0.019813793
127	YHR004C	0.019644835
128	YNR004W	0.019593211
129	YHR200W	0.019495895
130	YDR057W	0.019463542
131	YER176W	0.019413307
132	YER051W	0.019340127
133	YBR073W	0.019034028
134	YGL062W	0.018917779
135	YCL040W	0.018818162
136	YJL168C	0.018790935
137	YPR119W	0.018756154
138	YLR262C	0.018546458
139	YBL024W	0.018532312
140	YGR208W	0.018530006
141	YFR046C	0.018415087
142	YEL066W	0.018402224
143	YLR014C	0.018386222
144	YBR218C	0.018319398
145	YLR438W	0.018148347
146	YOR027W	0.018075915
147	YBR188C	0.018014691
148	YLR052W	0.017956969
149	YPL042C	0.017847333
150	YER169W	0.017769779
151	YDR375C	0.017676404
152	YAL053W	0.017494306
153	YER007C-A	0.017381201
154	YMR190C	0.017222389
155	YHR178W	0.017194684
156	YNL229C	0.016981901
157	YER100W	0.016929931
158	YMR306W	0.016707998
159	YDR120C	0.016522713
160	YJL106W	0.016353666
161	YBR150C	0.016326332
162	YDR507C	0.016325594
163	YDR263C	0.016297671
164	YGL237C	0.016115379
165	YNL076W	0.016060691
166	YBL052C	0.016044430
167	YLR192C	0.015939784
168	YER179W	0.015880596
169	YGL216W	0.015815638
170	YDR448W	0.015787161
171	YER143W	0.015704987
172	YHR034C	0.015622785
173	YNL130C	0.015591013
174	YDL079C	0.015584564
175	YMR186W	0.015552476
176	YJR119C	0.015541562
177	YMR291W	0.015520174
178	YML102W	0.015502095
179	YIR026C	0.015383561
180	YJL030W	0.015293917
181	YOR213C	0.015278164
182	YGR206W	0.015245365
183	YMR202W	0.015203446
184	YLR260W	0.015018693
185	YBR278W	0.014963329
186	YPR052C	0.014679884
187	YNL021W	0.014603938
188	YER035W	0.014595025
189	YGR229C	0.014571300
190	YGL240W	0.014468412
191	YIL033C	0.014430894
192	YGR180C	0.014416822
193	YCR008W	0.014396358
194	YOR171C	0.014275125
195	YMR145C	0.014170770
196	YDR277C	0.014167947
197	YDR074W	0.014141757
198	YCL010C	0.014111972
199	YOR047C	0.014050288
200	YOR380W	0.014000474
201	YMR205C	0.013974044
202	YNR032C-A	0.013939725
203	YAL054C	0.013928823
204	YMR285C	0.013817388
205	YKL113C	0.013791065
206	YJR096W	0.013790607
207	YER142C	0.013707845
208	YGR108W	0.013687682
209	YOL115W	0.013643593
210	YOR233W	0.013624990
211	YOL090W	0.013560974
212	YOR339C	0.013524141
213	YBR001C	0.013515949
214	YDR110W	0.013489879
215	YER123W	0.013421128
216	YNL072W	0.013405896
217	YPR149W	0.013372968
218	YCL024W	0.013344019
219	YLR342W	0.013336514
220	YJL073W	0.013325581
221	YLR120C	0.013305663
222	YGR109C	0.013248436
223	YDR083W	0.013239611
224	YMR224C	0.013198722
225	YBR203W	0.013164714
226	YGL220W	0.013017076
227	YDL036C	0.012992676
228	YOR107W	0.012950183
229	YPL109C	0.012947507
230	YLR329W	0.012918506
231	YML068W	0.012737657
232	YAL059W	0.012669325
233	YLR258W	0.012657234
234	YDL019C	0.012620946
235	YBL078C	0.012603269
236	YGL100W	0.012587064
237	YIL035C	0.012570201
238	YGL070C	0.012424497
239	YLL010C	0.012424379
240	YFR036W	0.012411137
241	YMR180C	0.012390456
242	YDR079C-A	0.012368130
243	YGR135W	0.012351621
244	YMR021C	0.012323502
245	YKR001C	0.012297662
246	YDL135C	0.012296000
247	YJR073C	0.012275235
248	YPL226W	0.012244576
249	YKL127W	0.012240996
250	YLR102C	0.012208746
251	YIL130W	0.012185164
252	YER092W	0.012144180
253	YLR136C	0.012098391
254	YMR065W	0.012092037
255	YEL012W	0.012074706
256	YGL043W	0.012065360
257	YLR385C	0.012061759
258	YDL236W	0.012016428
259	YIR013C	0.011993559
260	YPL157W	0.011963465
261	YDL149W	0.011959283
262	YNL032W	0.011941639
263	YAR042W	0.011881717
264	YAL021C	0.011795859
265	YLR226W	0.011763123
266	YAL017W	0.011627871
267	YJL128C	0.011511583
268	YDR252W	0.011504266
269	YJR059W	0.011503989
270	YBR089C-A	0.011500562
271	YLR221C	0.011493573
272	YPL015C	0.011481737
273	YKR064W	0.011480018
274	YFR015C	0.011412249
275	YAL027W	0.011408443
276	YML124C	0.011395190
277	YAL024C	0.011384288
278	YKL213C	0.011372004
