rank	yeast_gene	ensemble_score
1	YAL021C	0.060696090
2	YNL130C	0.048055615
3	YLR018C	0.047747162
4	YKR067W	0.042096877
5	YBR289W	0.040161368
6	YMR070W	0.039873302
7	YGL066W	0.038118178
8	YML100W	0.037098796
9	YNL142W	0.036544353
10	YMR016C	0.036413715
11	YBR201W	0.034233969
12	YGR249W	0.032652956
13	YMR136W	0.032229546
14	YOR197W	0.032054247
15	YJL141C	0.030390013
16	YMR261C	0.030357863
17	YNL288W	0.030172457
18	YOR153W	0.029249623
19	YER040W	0.027510624
20	YPR125W	0.027490325
21	YMR274C	0.027147993
22	YLR256W	0.026105808
23	YFL036W	0.026075831
24	YKL043W	0.025002450
25	YML057W	0.024996555
26	YOL051W	0.024923327
27	YLR207W	0.024726071
28	YMR164C	0.024430479
29	YAL053W	0.024397236
30	YDR099W	0.024261704
31	YPL203W	0.023887220
32	YNL323W	0.023066984
33	YDL149W	0.022773199
34	YKR093W	0.022768007
35	YIL036W	0.022747923
36	YKL032C	0.022193293
37	YJR127C	0.022108449
38	YKL034W	0.021630911
39	YPL089C	0.021527451
40	YOR140W	0.021201960
41	YLR228C	0.020645384
42	YPR022C	0.020542764
43	YKR039W	0.020027522
44	YBR057C	0.019596521
45	YMR172W	0.019339471
46	YNL330C	0.019107185
47	YLR234W	0.018932797
48	YLR403W	0.018719442
49	YMR065W	0.017406358
50	YFL021W	0.017011040
51	YIL122W	0.016665669
52	YBR082C	0.016655364
53	YNL239W	0.016262760
54	YLR433C	0.016256954
55	YGL035C	0.016114405
56	YJL210W	0.016055917
57	YOR113W	0.015980427
58	YNL154C	0.015905359
59	YBR203W	0.015750705
60	YKR059W	0.015520427
61	YDR059C	0.015461741
62	YPL086C	0.015385297
63	YML075C	0.015347662
64	YDR096W	0.014501737
65	YGR180C	0.014374728
66	YIL153W	0.014117962
67	YHR079C	0.014095984
68	YMR074C	0.013973319
69	YBR114W	0.013937715
70	YGL192W	0.013857595
71	YPL199C	0.013428752
72	YCR077C	0.013394756
73	YGL209W	0.013339430
74	YKL025C	0.013329437
75	YNL008C	0.013277406
