rank	yeast_gene	ensemble_score
1	YPL203W	0.109639017
2	YKL166C	0.108540649
3	YPL031C	0.102027027
4	YJL164C	0.085808967
5	YKR039W	0.077496160
6	YKR059W	0.076556777
7	YNL098C	0.068867925
8	YDL134C	0.068746367
9	YOL016C	0.066671838
10	YNL307C	0.064725533
11	YDR075W	0.061143348
12	YFR014C	0.061015982
13	YPL274W	0.060379919
14	YDL188C	0.060297280
15	YNR032W	0.059724576
16	YMR019W	0.057549686
17	YLR019W	0.057142668
18	YER031C	0.056201960
19	YGR152C	0.054314744
20	YGL168W	0.053445718
21	YGR180C	0.052536031
22	YDL006W	0.052093995
23	YKL190W	0.051357696
24	YLR329W	0.050580720
25	YKR093W	0.050380809
26	YOR185C	0.049957476
27	YKL161C	0.047648983
28	YOR101W	0.046741683
29	YMR246W	0.046307217
30	YPR054W	0.043750283
31	YNR063W	0.043252152
32	YLR113W	0.042688936
33	YDL079C	0.041762048
34	YDR139C	0.041412354
35	YER177W	0.040793112
36	YLR262C	0.038747480
37	YGL087C	0.038725840
38	YDR252W	0.038648308
39	YLR385C	0.038389415
40	YDL138W	0.038080770
41	YML001W	0.036456606
42	YBR082C	0.036223368
43	YOR197W	0.035131719
44	YDR059C	0.034939653
45	YOR179C	0.034912456
46	YOL104C	0.034208315
47	YLR234W	0.033922729
48	YIL132C	0.033920967
49	YCR091W	0.033495072
50	YGR040W	0.033095381
51	YNL209W	0.032971710
52	YDL236W	0.032885157
53	YDR022C	0.032857828
54	YPL192C	0.032736364
55	YGR208W	0.032706093
56	YPR173C	0.032613208
57	YMR274C	0.031890910
58	YHR030C	0.031651337
59	YBL005W	0.031640240
60	YGL058W	0.031628620
61	YDR099W	0.031614864
62	YER184C	0.030990817
63	YJR096W	0.030623589
64	YOR339C	0.030299851
65	YML076C	0.029520304
66	YAL027W	0.029440726
67	YGL253W	0.029389296
68	YNL311C	0.029334992
69	YBR201W	0.029253893
70	YKL130C	0.028920674
71	YOR295W	0.028869279
72	YDR155C	0.028634074
73	YGR067C	0.028521544
74	YHR195W	0.028334267
75	YOR153W	0.028271601
76	YER044C-A	0.028080371
77	YHR032W	0.028027046
78	YGL043W	0.027653770
79	YNR032C-A	0.027437682
80	YEL013W	0.027254022
81	YMR139W	0.027135099
82	YPL096C-A	0.026827997
83	YNL130C	0.026704343
84	YDL170W	0.026145610
85	YJL206C	0.026139177
86	YLL010C	0.026098522
87	YGR288W	0.025955283
88	YNL142W	0.025936532
89	YBR297W	0.025777632
90	YFL052W	0.025663257
91	YPL037C	0.025547323
92	YEL066W	0.025428427
93	YFR053C	0.025414337
94	YJL149W	0.025393914
95	YPL154C	0.025219618
96	YGR275W	0.024842178
97	YPL046C	0.024648490
98	YGR003W	0.024609430
99	YPR093C	0.024524893
100	YFR046C	0.024459845
101	YBL021C	0.024174242
102	YDL230W	0.023968703
103	YML058W-A	0.023891045
104	YGL237C	0.023656754
105	YOR061W	0.023268019
106	YDL194W	0.022782940
107	YER179W	0.022616655
108	YBR285W	0.022550210
109	YBR240C	0.022528554
110	YML123C	0.022272962
111	YGL163C	0.022172387
112	YGR109C	0.022027849
113	YGL070C	0.022018683
114	YGL216W	0.021954378
115	YER089C	0.021950890
116	YPL199C	0.021523729
117	YPR149W	0.021287235
118	YML011C	0.021286199
119	YDR260C	0.021234391
120	YBR272C	0.021147035
121	YDR334W	0.021107865
122	YJR021C	0.020965723
123	YNL159C	0.020787294
124	YGR209C	0.020687244
125	YBL006C	0.020611983
126	YOL089C	0.020611948
127	YBR028C	0.020600414
128	YPR196W	0.020559611
129	YER035W	0.020465942
130	YML102W	0.020438390
