symbol	status	accession	seq_len	in_pairs	in_norman
AAK1	ok	Q2M2I8	961	1	0
ABCF3	ok	Q9NUQ8	709	1	0
ACAA1	ok	P09110	424	1	0
ACAA2	ok	P42765	397	1	0
ACAT1	ok	P24752	427	1	0
ACAT2	ok	Q9BWD1	397	1	0
ACO2	ok	Q99798	780	1	0
ACP1	ok	P24666	158	1	0
ACSL3	ok	O95573	720	1	0
ACSL4	ok	O60488	711	1	0
ACSS2	ok	Q9NR19	701	1	0
ACTR5	ok	Q9H9F9	607	1	0
ACTR6	ok	Q9GZN1	396	1	0
ACTR8	ok	Q9H981	624	1	0
ADCK2	ok	Q7Z695	626	1	0
ADCK5	ok	Q3MIX3	580	1	0
AEN	ok	Q8WTP8	325	1	0
AGL	ok	P35573	1532	1	0
AHR	ok	P35869	848	0	1
AKR1A1	ok	P14550	325	1	0
AKR1C1	ok	Q04828	323	1	0
AKR1C2	ok	P52895	323	1	0
AKR1E2	ok	Q96JD6	320	1	0
ALX1	ok	Q15699	326	1	0
ALX3	ok	O95076	343	1	0
ANAPC10	ok	Q9UM13	185	1	0
ANKZF1	ok	Q9H8Y5	726	1	0
APEX2	ok	Q9UBZ4	518	1	0
AR	ok	P10275	920	1	0
ARF1	ok	P84077	181	1	0
ARF3	ok	P61204	181	1	0
ARF4	ok	P18085	180	1	0
ARF5	ok	P84085	180	1	0
ARF6	ok	P62330	175	1	0
ARFGAP3	ok	Q9NP61	516	1	0
ARHGDIA	ok	P52565	204	1	0
ARHGDIB	ok	P52566	201	1	0
ARID1A	ok	O14497	2285	0	1
ARIH1	ok	Q9Y4X5	557	1	0
ARIH2	ok	O95376	493	1	0
ARL1	ok	P40616	181	1	0
ARL11	ok	Q969Q4	196	1	0
ARL3	ok	P36405	182	1	0
ARL4A	ok	P40617	200	1	0
ARL4D	ok	P49703	201	1	0
ARL5A	ok	Q9Y689	179	1	0
ARL5B	ok	Q96KC2	179	1	0
ASF1A	ok	Q9Y294	204	1	0
ASF1B	ok	Q9NVP2	202	1	0
ATAD2	ok	Q6PL18	1390	1	0
ATAD2B	ok	Q9ULI0	1458	1	0
ATG3	ok	Q9NT62	314	1	0
ATG4A	ok	Q8WYN0	398	1	0
ATG4B	ok	Q9Y4P1	393	1	0
ATG4C	ok	Q96DT6	458	1	0
ATG4D	ok	Q86TL0	474	1	0
ATG5	ok	Q9H1Y0	275	1	0
ATG7	ok	O95352	703	1	0
ATG9A	ok	Q7Z3C6	839	1	0
ATL1	ok	Q8WXF7	558	0	1
BAK1	ok	Q16611	211	0	1
BCKDK	ok	O14874	412	1	0
BCL2L11	ok	O43521	198	0	1
BCORL1	ok	Q5H9F3	1785	0	1
BCS1L	ok	Q9Y276	419	1	0
BECN1	ok	Q14457	450	1	0
BLMH	ok	Q13867	455	1	0
BOLA1	ok	Q9Y3E2	137	1	0
BOLA3	ok	Q53S33	107	1	0
BPGM	ok	P07738	259	0	1
BRAP	ok	Q6UWU4	347	1	0
BRD2	ok	P25440	801	1	0
BRD3	ok	Q15059	726	1	0
BRD4	ok	O60885	1362	1	0
BTF3	ok	O00478	584	1	0
BTF3L4	ok	Q96K17	158	1	0
C1D	ok	Q13901	141	1	0
CAMK1	ok	Q14012	370	1	0
CAMKK2	ok	Q96RR4	588	1	0
CAP1	ok	Q01518	475	1	0
CBFA2T3	ok	O75081	653	0	1
CBL	ok	P22681	906	0	1
CCDC150	ok	Q8NCX0	1101	1	0
CCDC77	ok	Q9BR77	488	1	0
CCNB1	ok	P14635	433	1	0
CCNB2	ok	O95067	398	1	0
CCNC	ok	P24863	283	1	0
CD2BP2	ok	O95400	341	1	0
CDC40	ok	O60508	579	1	0
CDK19	ok	Q9BWU1	502	1	0
CDK5	ok	Q00535	292	1	0
CDK8	ok	P49336	464	1	0
CDK9	ok	P50750	372	1	0
CDKN1A	ok	P38936	164	0	1
CDKN1B	ok	P46527	198	0	1
CEBPA	ok	P49715	358	0	1
CEBPB	ok	P17676	345	0	1
CEBPE	ok	Q15744	281	0	1
CELF1	ok	Q92879	486	1	0
CELF2	ok	O95319	508	1	1
CFDP1	ok	Q9UEE9	299	1	0
CHAF1B	ok	Q13112	559	1	0
CHD1	ok	O14646	1710	1	0
CHD2	ok	O14647	1828	1	0
CHEK1	ok	O14757	476	1	0
CHKA	ok	P35790	457	1	0
CHKB	ok	Q9Y259	395	1	0
CHMP2A	ok	O43633	222	1	0
CHMP2B	ok	Q9UQN3	213	1	0
CHMP3	ok	Q9Y3E7	222	1	0
CHMP4A	ok	Q9BY43	222	1	0
CHMP4B	ok	Q9H444	224	1	0
CHRAC1	ok	Q9NRG0	131	1	0
CHTF18	ok	Q8WVB6	975	1	0
CITED1	ok	Q99966	193	0	1
CKS1B	ok	P61024	79	0	1
