rank	yeast_gene	ensemble_score
1	YOR153W	0.090429670
2	YOR061W	0.081932773
3	YGR040W	0.079925373
4	YML123C	0.078393413
5	YKR039W	0.074765056
6	YKR093W	0.074014116
7	YLR329W	0.069585627
8	YKL161C	0.067221720
9	YLR113W	0.066658972
10	YPL031C	0.064060887
11	YPR054W	0.060992034
12	YNR032C-A	0.058634006
13	YHR032W	0.058351872
14	YLR385C	0.057502947
15	YPL274W	0.056090950
16	YPL203W	0.055326786
17	YOL104C	0.053855193
18	YKR059W	0.053479853
19	YNL142W	0.052645797
20	YDR252W	0.051409386
21	YGR180C	0.050109801
22	YHR030C	0.048934703
23	YAL027W	0.048396198
24	YGL237C	0.047663060
25	YCR020W-B	0.045266671
26	YGL168W	0.045200373
27	YKL166C	0.044563259
28	YGR288W	0.043899782
29	YDL138W	0.043617809
30	YPL086C	0.043303919
31	YDR260C	0.043042183
32	YAL054C	0.040856606
33	YDL006W	0.040508417
34	YPR101W	0.040482549
35	YEL018W	0.040447638
36	YGL115W	0.039496008
37	YBR114W	0.039088180
38	YER044C-A	0.038013677
39	YDL080C	0.037836486
40	YLR438W	0.037183103
41	YDL076C	0.036547972
42	YBR297W	0.036455801
43	YPL096C-A	0.036357502
44	YHL025W	0.036238239
45	YIL035C	0.036163365
46	YNL159C	0.035945303
47	YMR246W	0.035874082
48	YIR025W	0.035632647
49	YGR019W	0.035580339
50	YLR445W	0.035273648
51	YJL164C	0.035192982
52	YNL288W	0.034596112
53	YEL013W	0.034559199
54	YPR040W	0.034521913
55	YDR075W	0.033849358
56	YPR093C	0.033808531
57	YOL081W	0.033763666
58	YMR019W	0.033394437
59	YML058W-A	0.032964478
60	YFL052W	0.032865555
61	YOR179C	0.032606853
62	YNL307C	0.032149676
63	YBR201W	0.032130544
64	YNL130C	0.031619771
65	YBL006C	0.031178192
66	YER092W	0.031014155
67	YER035W	0.030942674
68	YBL005W	0.030027701
69	YGR275W	0.029844487
70	YJR073C	0.029743849
71	YOR197W	0.028665832
72	YGR206W	0.028299224
73	YMR191W	0.027982333
74	YOR380W	0.027731803
75	YDL134C	0.027381621
76	YDR001C	0.026987200
77	YBR082C	0.026418735
78	YGR067C	0.026227224
79	YPL037C	0.026206940
80	YHR157W	0.026167260
81	YBR285W	0.026160492
82	YDL079C	0.026127076
83	YLL048C	0.026012479
84	YPR196W	0.025974398
85	YGR152C	0.025881542
86	YLL002W	0.025735391
87	YMR202W	0.025645445
