rank	yeast_gene	ensemble_score
1	YJL164C	0.083160801
2	YPL086C	0.081289889
3	YPL203W	0.079289216
4	YNL154C	0.073189150
5	YGL163C	0.071127946
6	YPR111W	0.070084034
7	YOR153W	0.069845641
8	YLR113W	0.069444444
9	YHR030C	0.068493909
10	YLR433C	0.066749566
11	YNL098C	0.063147296
12	YKR039W	0.061739130
13	YML057W	0.059348767
14	YOR185C	0.057045105
15	YOR358W	0.056103324
16	YHR135C	0.055539017
17	YKL190W	0.054418732
18	YKR059W	0.053022615
19	YOL016C	0.052401387
20	YEL013W	0.051967593
21	YJR035W	0.051360544
22	YER177W	0.050088608
23	YHR032W	0.049972107
24	YDL194W	0.049806138
25	YDL035C	0.048917319
26	YPR173C	0.048446805
27	YNR032C-A	0.047974277
28	YOR101W	0.047482288
29	YDL188C	0.047239548
30	YBR114W	0.046331461
31	YML123C	0.044356353
32	YDR099W	0.043864220
33	YDL138W	0.043502009
34	YLR234W	0.041649189
35	YNL209W	0.041027607
36	YOR290C	0.040750899
37	YPL042C	0.040156053
38	YFR014C	0.039902148
39	YML061C	0.039598117
40	YAL053W	0.039367050
41	YDR334W	0.039171938
42	YDL134C	0.038733674
43	YDR490C	0.038688387
44	YOR197W	0.037588814
45	YKR093W	0.036554116
46	YDL149W	0.036273106
47	YOR061W	0.035834992
48	YNL323W	0.035733018
49	YNL288W	0.035304156
50	YDL155W	0.034929321
51	YNR032W	0.034672897
52	YGR040W	0.034583950
53	YKL166C	0.034424616
54	YLR398C	0.034156588
55	YER179W	0.033946733
56	YGL062W	0.033499950
57	YNL097C	0.033232041
58	YHR200W	0.033041916
59	YAL019W	0.032965187
60	YPL199C	0.032891414
61	YDR001C	0.032704570
62	YDL006W	0.032597696
63	YER164W	0.032403886
64	YDR421W	0.032058064
65	YLR451W	0.031910203
66	YLR192C	0.031586321
67	YKR067W	0.031411339
68	YER031C	0.031284393
69	YKL034W	0.031071888
70	YDR507C	0.030415573
71	YPL274W	0.030068514
72	YIR025W	0.029952213
73	YAL011W	0.029900140
74	YOR298C-A	0.029417825
75	YNR047W	0.029382229
76	YOR304W	0.029325712
77	YAR035W	0.028918902
78	YGR152C	0.028737872
79	YPR075C	0.028277931
80	YBR218C	0.028013280
81	YDR075W	0.027886497
82	YML102W	0.027740780
83	YFL036W	0.027360289
84	YCR008W	0.026685257
85	YBR089C-A	0.026636444
86	YAL021C	0.026473490
87	YBR059C	0.026027875
88	YBR203W	0.025990863
89	YHL025W	0.025853467
90	YFR053C	0.025847720
91	YOR233W	0.025706026
92	YMR186W	0.025662123
93	YNL307C	0.025584467
94	YGL070C	0.025576371
95	YBR245C	0.025521828
96	YLR258W	0.025461756
97	YMR276W	0.025413977
98	YGR229C	0.025046257
99	YBR188C	0.024923246
100	YER089C	0.024669740
101	YMR202W	0.024651074
102	YDR059C	0.024626918
103	YIL030C	0.024557191
104	YGL253W	0.024294464
105	YGR180C	0.024257869
106	YBR082C	0.024163742
107	YLR210W	0.024155026
108	YBR028C	0.023963466
109	YCL010C	0.023879528
110	YNL241C	0.023732107
111	YFR038W	0.023503365
112	YLR019W	0.023001714
113	YKL139W	0.022952181
114	YLR120C	0.022916838
115	YNL142W	0.022840028
116	YNL314W	0.022686979
117	YER007C-A	0.022651666
118	YFR046C	0.022522076
119	YJL030W	0.022380860
120	YPR052C	0.022124078
121	YML001W	0.022017358
122	YKL002W	0.021656519
123	YBL056W	0.021653016
124	YPL154C	0.021541708
125	YNL299W	0.021475916
126	YBR001C	0.021471868
127	YPL179W	0.021409890
128	YMR246W	0.021399843
129	YHR031C	0.021345367
130	YNL229C	0.021288904
131	YMR216C	0.021249549
132	YMR190C	0.020617208
133	YLR342W	0.020358524
134	YDR155C	0.020319124
135	YGL244W	0.020276282
136	YGL216W	0.020151640
137	YGL078C	0.020151486
138	YOR027W	0.020132969
139	YML011C	0.019783765
140	YIL107C	0.019750164
141	YML075C	0.019501351
142	YEL037C	0.019343909
143	YPL212C	0.019176595
144	YIR002C	0.019135706
145	YOR091W	0.019128143
146	YOL054W	0.018995547
147	YKL160W	0.018955439
148	YNL159C	0.018881570
149	YLL010C	0.018866537
150	YMR139W	0.018583973
151	YLR438W	0.018576995
152	YDR477W	0.018548529
153	YNL330C	0.018423605
154	YKR019C	0.018398944
155	YLR059C	0.018381550
156	YMR116C	0.018315594
157	YLL048C	0.018289094
158	YNL076W	0.018237174
159	YPR022C	0.018216988
160	YPR120C	0.018142879
161	YKL041W	0.018100574
162	YGR202C	0.018027694
163	YEL066W	0.017986555
164	YGL087C	0.017831927
165	YLR248W	0.017784977
166	YPR125W	0.017761400
167	YGL208W	0.017460758
168	YPL109C	0.017447552
169	YMR205C	0.017364334
170	YML124C	0.017318586
171	YDR448W	0.017207526
172	YJL128C	0.017163456
173	YOL115W	0.016933387
174	YMR080C	0.016805991
175	YLL039C	0.016734716
176	YCL032W	0.016724422
177	YJR050W	0.016629329
178	YNL227C	0.016571819
179	YFR015C	0.016518988
180	YOR106W	0.016474418
181	YJR073C	0.016312749
182	YGL197W	0.016120194
183	YKR057W	0.016052263
184	YGL019W	0.016049186
185	YGL058W	0.015970761
186	YHR193C	0.015967925
187	YMR306W	0.015947994
188	YLR207W	0.015912300
189	YBL078C	0.015795814
190	YJL141C	0.015619205
191	YBL021C	0.015581749
192	YKL067W	0.015478408
193	YNR034W	0.015471873
194	YIL033C	0.015372575
195	YBR258C	0.015338259
196	YMR074C	0.015254966
197	YMR224C	0.015242649
198	YML074C	0.015241820
199	YKR072C	0.015193945
200	YDR291W	0.015187158
201	YNR031C	0.015149390
202	YDR375C	0.015130983
203	YDR181C	0.015037111
204	YER027C	0.014981038
205	YAL017W	0.014924331
206	YDR392W	0.014775223
207	YBL052C	0.014749787
208	YPL031C	0.014625714
209	YGL211W	0.014607882
