yeast_systematic	yeast_common	yeast_uniprot	human_symbol	human_uniprot	ortholog_type	cluster_id	cluster_score	yeast_confidence	human_confidence	source
YHR165C	PRP8	P33334	PRPF8	Q6P2Q9	1:1	1	3010	1.0	1.0	InParanoid9
YJL130C	URA2	P07259	CAD	P27708	1:1	2	2084	1.0	1.0	InParanoid9
YKR054C	DYN1	P36022	DYNC1H1	Q14204	1:1	3	1909	1.0	1.0	InParanoid9
YMR207C	HFA1	P32874	ACACB	O00763	m:n	4	1855	0.227	1.0	InParanoid9
YMR207C	HFA1	P32874	ACACA	Q13085	m:n	4	1855	0.227	0.547	InParanoid9
YNR016C	ACC1	Q00955	ACACB	O00763	m:n	4	1855	1.0	1.0	InParanoid9
YNR016C	ACC1	Q00955	ACACA	Q13085	m:n	4	1855	1.0	0.547	InParanoid9
YKL203C	TOR2	P32600	MTOR	P42345	m:n	5	1818	1.0	1.0	InParanoid9
YJR066W	TOR1	P35169	MTOR	P42345	m:n	5	1818	0.483	1.0	InParanoid9
YLR106C	MDN1	Q12019	MDN1	Q9NU22	1:1	6	1748	1.0	1.0	InParanoid9
YGL206C	CHC1	P22137	CLTCL1	P53675	m:n	7	1630	1.0	0.702	InParanoid9
YGL206C	CHC1	P22137	CLTC	Q00610	m:n	7	1630	1.0	1.0	InParanoid9
YNL262W	POL2	P21951	POLE	Q07864	1:1	8	1598	1.0	1.0	InParanoid9
YGR271W	SLH1	P53327	ASCC3	Q8N3C0	1:1	9	1493	1.0	1.0	InParanoid9
YDL140C	RPO21	P04050	POLR2A	P24928	1:1	10	1493	1.0	1.0	InParanoid9
YER172C	BRR2	P32639	SNRNP200	O75643	1:1	11	1492	1.0	1.0	InParanoid9
YOR151C	RPB2	P08518	POLR2B	P30876	1:1	12	1395	1.0	1.0	InParanoid9
YOR207C	RET1	P22276	POLR3B	Q9NW08	1:1	13	1384	1.0	1.0	InParanoid9
YOR116C	RPO31	P04051	POLR3A	O14802	1:1	14	1365	1.0	1.0	InParanoid9
YHR099W	TRA1	P38811	TRRAP	Q9Y4A5	1:1	15	1338	1.0	1.0	InParanoid9
YGL062W	PYC1	P11154	PC	P11498	m:n	16	1216	1.0	1.0	InParanoid9
YBR218C	PYC2	P32327	PC	P11498	m:n	16	1216	0.883	1.0	InParanoid9
YBL076C	ILS1	P09436	IARS1	P41252	1:1	17	1199	1.0	1.0	InParanoid9
YOR133W	EFT1; EFT2	P32324	EEF2	P13639	1:1	18	1146	1.0	1.0	InParanoid9
YKL215C	OXP1	P28273	OPLAH	O14841	1:1	19	1144	1.0	1.0	InParanoid9
YDL126C	CDC48	P25694	VCP	P55072	1:1	20	1140	1.0	1.0	InParanoid9
YPL082C	MOT1	P32333	BTAF1	O14981	1:1	21	1140	1.0	1.0	InParanoid9
YNL132W	KRE33	P53914	NAT10	Q9H0A0	1:1	22	1107	1.0	1.0	InParanoid9
YER070W	RNR1	P21524	RRM1	P23921	m:n	23	1084	0.581	1.0	InParanoid9
YIL066C	RNR3	P21672	RRM1	P23921	m:n	23	1084	1.0	1.0	InParanoid9
YNL088W	TOP2	P06786	TOP2A	P11388	m:n	24	1082	1.0	1.0	InParanoid9
YNL088W	TOP2	P06786	TOP2B	Q02880	m:n	24	1082	1.0	0.51	InParanoid9
YJL050W	MTR4	P47047	MTREX	P42285	1:1	25	1066	1.0	1.0	InParanoid9
YDR135C	YCF1	P39109	ABCC3	O15438	m:n	26	1065	1.0	0.337	InParanoid9
YDR135C	YCF1	P39109	ABCC6	O95255	m:n	26	1065	1.0	0.118	InParanoid9
YDR135C	YCF1	P39109	ABCC1	P33527	m:n	26	1065	1.0	1.0	InParanoid9
YDR135C	YCF1	P39109	ABCC2	Q92887	m:n	26	1065	1.0	0.156	InParanoid9
YKL210W	UBA1	P22515	UBA1	P22314	1:1	27	1053	1.0	1.0	InParanoid9
YOR341W	RPA190	P10964	POLR1A	O95602	1:1	28	1051	1.0	1.0	InParanoid9
YLR304C	ACO1	P19414	ACO2	Q99798	1:1	29	1048	1.0	1.0	InParanoid9
YGR204W	ADE3	P07245	MTHFD1	P11586	m:n	30	1046	1.0	1.0	InParanoid9
YGR204W	ADE3	P07245	MTHFD1L	Q6UB35	m:n	30	1046	1.0	0.086	InParanoid9
YBR084W	MIS1	P09440	MTHFD1	P11586	m:n	30	1046	0.349	1.0	InParanoid9
YBR084W	MIS1	P09440	MTHFD1L	Q6UB35	m:n	30	1046	0.349	0.086	InParanoid9
YMR189W	GCV2	P49095	GLDC	P23378	1:1	31	994	1.0	1.0	InParanoid9
YGR218W	CRM1	P30822	XPO1	O14980	1:1	32	993	1.0	1.0	InParanoid9
YAL026C	DRS2	P39524	ATP8A2	Q9NTI2	m:n	33	991	1.0	0.463	InParanoid9
YAL026C	DRS2	P39524	ATP8A1	Q9Y2Q0	m:n	33	991	1.0	1.0	InParanoid9
YGL195W	GCN1	P33892	GCN1	Q92616	1:1	34	984	1.0	1.0	InParanoid9
YDL102W	POL3	P15436	POLD1	P28340	1:1	35	980	1.0	1.0	InParanoid9
YGR094W	VAS1	P07806	VARS1	P26640	1:1	36	972	1.0	1.0	InParanoid9
YIL048W	NEO1	P40527	ATP9B	O43861	m:n	37	952	1.0	1.0	InParanoid9
