rank	yeast_gene	ensemble_score
1	YLR368W	0.069407951
2	YMR100W	0.067250613
3	YMR306W	0.053854687
4	YLR253W	0.046648732
5	YML068W	0.039560015
6	YMR258C	0.039057891
7	YOL117W	0.035472914
8	YDR131C	0.033631151
9	YJR084W	0.031725100
10	YLR233C	0.030875173
11	YIR026C	0.030563756
12	YPL216W	0.029252042
13	YJL149W	0.029052834
14	YOL006C	0.028899397
15	YPL015C	0.028563175
16	YBR272C	0.027856270
17	YCR073C	0.026845323
18	YLR342W	0.026705734
19	YDL077C	0.025413866
20	YLR398C	0.024972520
21	YFR015C	0.024653652
22	YER044C-A	0.024455586
23	YGR202C	0.023487781
24	YGL163C	0.023390258
25	YPR075C	0.023111101
26	YJL115W	0.022440399
27	YBR223C	0.022387097
28	YDR495C	0.022175094
29	YER092W	0.022126510
30	YOR213C	0.021264688
31	YPR160W	0.021146081
32	YFR053C	0.020711055
33	YBR245C	0.020670242
34	YGL229C	0.020525705
35	YOL104C	0.020324251
36	YKR017C	0.019904166
37	YBR285W	0.019594988
38	YJL098W	0.019487332
39	YBR073W	0.019079155
40	YLL022C	0.018668431
41	YER176W	0.018597049
42	YOR339C	0.017689130
43	YGR276C	0.017523184
44	YGR275W	0.017406843
45	YKL130C	0.017256369
46	YPL109C	0.017188974
47	YOL016C	0.016956694
48	YPR111W	0.016832020
49	YLR024C	0.016793934
50	YKR028W	0.016549396
51	YPL096C-A	0.016393777
52	YKR064W	0.015807383
53	YLL048C	0.015555266
54	YDR386W	0.015170437
55	YOR304W	0.014798704
56	YLR445W	0.014563063
57	YMR080C	0.014543685
58	YPL042C	0.014224341
59	YER164W	0.014046423
60	YER106W	0.014033996
61	YOR189W	0.014018041
62	YOR360C	0.013867861
63	YMR273C	0.013497741
64	YIL017C	0.013464688
65	YNL311C	0.013435055
66	YHR207C	0.013408317
67	YDL230W	0.013380317
68	YHR032W	0.013279288
69	YJR066W	0.013128216
70	YBR228W	0.013051042
71	YDR457W	0.013037152
72	YDR022C	0.013029015
73	YCR008W	0.013014609
74	YGR134W	0.013014109
75	YOL054W	0.012957142
76	YPL157W	0.012695494
77	YMR285C	0.012341011
78	YDR074W	0.011598282
79	YNL307C	0.011521461
80	YKL166C	0.011151346
81	YGL240W	0.011004610
82	YMR186W	0.010914553
83	YOL080C	0.010822822
84	YER100W	0.010592830
85	YDR110W	0.010575709
86	YIL112W	0.010157615
87	YNR004W	0.009944268
88	YNL223W	0.009859485
89	YDR001C	0.009793890
90	YDR490C	0.009574748
91	YGL208W	0.009569447
92	YLR224W	0.009504547
93	YMR039C	0.009484742
94	YDR147W	0.009483099
95	YMR069W	0.009275887
96	YGR184C	0.009242833
97	YLR182W	0.009147384
98	YHR195W	0.008789764
99	YJR073C	0.008757246
100	YFR040W	0.008699764
101	YMR224C	0.008637819
102	YLR263W	0.008584426
103	YBR062C	0.008514475
104	YLR247C	0.008495125
105	YNL032W	0.008416047
106	YAL027W	0.008061510
107	YMR180C	0.007985771
108	YLR258W	0.007901228
109	YFL028C	0.007893642
110	YPL213W	0.007870060
111	YIR002C	0.007835317
112	YNL201C	0.007834739
113	YDR181C	0.007733362
114	YDR260C	0.007731351
115	YNR032W	0.007620632
116	YDR370C	0.007448013
117	YPL046C	0.007389357
118	YIL073C	0.007382598
119	YPL031C	0.007333122
