rank	yeast_gene	ensemble_score
1	YML123C	0.110961768
2	YHR032W	0.099575863
3	YKR039W	0.092203035
4	YDL138W	0.086559821
5	YPL274W	0.081214443
6	YDL194W	0.074689441
7	YOR380W	0.066548463
8	YGL087C	0.065784996
9	YLR113W	0.059562432
10	YNL130C	0.051290323
11	YKR059W	0.050317638
12	YPL037C	0.049728052
13	YDR252W	0.049645292
14	YOR061W	0.049256607
15	YPL031C	0.049202607
16	YGR040W	0.047897916
17	YMR080C	0.047851008
18	YLL048C	0.047712503
19	YOR313C	0.047587403
20	YMR274C	0.047033253
21	YPL154C	0.046153846
22	YEL013W	0.045879121
23	YPL096C-A	0.045748239
24	YAL054C	0.044724315
25	YPL203W	0.044398843
26	YLR329W	0.044188506
27	YJR073C	0.042842110
28	YOR185C	0.041921505
29	YDR490C	0.040999088
30	YDR375C	0.040949383
31	YPR173C	0.040686994
32	YGR209C	0.040471515
33	YJL164C	0.039972350
34	YKL222C	0.039881748
35	YMR246W	0.039669670
36	YMR306W	0.039620047
37	YHR003C	0.039559049
38	YDR156W	0.038679642
39	YPR149W	0.038439012
40	YML075C	0.038312638
41	YDL006W	0.037534473
42	YML001W	0.037419306
43	YHR030C	0.037289089
44	YLR021W	0.037159903
45	YDL035C	0.036919329
46	YKL166C	0.036816902
47	YNL142W	0.036395782
48	YGR152C	0.036076704
49	YKR093W	0.035834443
50	YLR043C	0.035347506
51	YOR179C	0.035256841
52	YCL011C	0.034304670
53	YAL027W	0.034213475
54	YOR153W	0.034039075
55	YCR106W	0.033574979
56	YMR258C	0.033196370
57	YLR052W	0.032418001
58	YGR288W	0.032399898
59	YOR360C	0.031660090
60	YMR205C	0.030925305
61	YKL027W	0.030396639
62	YGR157W	0.029169859
63	YHR135C	0.028860651
64	YGR275W	0.028680289
65	YNL098C	0.028671197
66	YGL252C	0.028458319
67	YLR385C	0.028122055
68	YOR197W	0.027988767
69	YIL040W	0.027841257
70	YLR154C	0.027708705
71	YMR202W	0.027702842
72	YKL190W	0.027639697
73	YIL017C	0.027536249
74	YPL226W	0.027182891
75	YER031C	0.027004293
76	YFL052W	0.026932622
77	YBR082C	0.026914057
78	YLR364W	0.026876559
79	YEL018W	0.026849903
80	YGL100W	0.026784299
81	YJL073W	0.026762894
82	YJL149W	0.026483435
83	YER092W	0.026391485
84	YFR014C	0.026171465
85	YBR114W	0.025970382
86	YNL154C	0.025752221
87	YMR022W	0.025589506
88	YDR079C-A	0.025477966
89	YMR019W	0.025285866
90	YFL028C	0.025244231
91	YHR178W	0.025186467
92	YKL130C	0.024900093
93	YMR100W	0.024854388
94	YIR005W	0.024811463
95	YPL192C	0.024786280
96	YBR297W	0.024777874
97	YKL086W	0.024090615
98	YAL053W	0.023885708
99	YHR127W	0.023871307
100	YPR196W	0.023605937
101	YDR147W	0.023489699
102	YLR266C	0.023438466
103	YLR253W	0.023226350
104	YLR342W	0.023135333
105	YCR020C-A	0.022951428
106	YDR001C	0.022937565
107	YCR020W-B	0.022872375
108	YDR099W	0.022793086
109	YLL002W	0.022623295
110	YJL128C	0.022493567
111	YDR059C	0.021927011
112	YOL016C	0.021926048
113	YGL168W	0.021919542
114	YLR438W	0.021853945
115	YMR191W	0.021799388
116	YER035W	0.021760461
117	YDR075W	0.021563531
118	YOR172W	0.021557356
119	YPL033C	0.021329004
120	YHR195W	0.021252592
121	YCL040W	0.021246100
122	YBR240C	0.021203298
123	YEL066W	0.021148699
124	YIL035C	0.021076475
125	YLR224W	0.020914599
126	YNL008C	0.020837267
127	YDL076C	0.020823845
128	YBR201W	0.020794655
129	YCR008W	0.020680630
130	YJL206C	0.020666916
131	YML099C	0.020380153
132	YML011C	0.020306382
133	YIL009C-A	0.020216631
134	YLL054C	0.020187134
135	YDL134C	0.020104668
136	YLR174W	0.020036955
137	YML058W-A	0.019692547
138	YFR053C	0.019591926
139	YGR240C	0.019433988
140	YDR513W	0.019360406
141	YMR138W	0.019328008
142	YER110C	0.019179122
143	YKR001C	0.019148303
144	YPL199C	0.018999507
145	YNL288W	0.018847272
146	YPR040W	0.018750965
147	YOL104C	0.018717926
148	YJR066W	0.018550573
149	YGR206W	0.018189329
150	YDL188C	0.018161373
151	YNL307C	0.018158941
152	YLR233C	0.018080265
153	YOR351C	0.017894569
154	YPR052C	0.017726193
155	YLR368W	0.017641066
156	YDR291W	0.017633105
157	YGL253W	0.017627758
158	YGL078C	0.017546367
159	YLR352W	0.017517393
160	YDR074W	0.017479438
161	YNL016W	0.017424406
162	YOL090W	0.017359135
