rank	yeast_gene	ensemble_score
1	YDR001C	0.051802466
2	YMR306W	0.042868867
3	YIL030C	0.039532722
4	YLR253W	0.038634251
5	YML075C	0.037912940
6	YBR001C	0.036805142
7	YKL034W	0.036333861
8	YJR073C	0.033041412
9	YMR202W	0.031506220
10	YKR039W	0.031469842
11	YFR015C	0.031144362
12	YPR160W	0.030010080
13	YKL166C	0.029622922
14	YLR342W	0.029203991
15	YDR375C	0.028951522
16	YGR157W	0.027241872
17	YPL203W	0.027158221
18	YAL009W	0.026798024
19	YDL149W	0.024911006
20	YGL087C	0.022997994
21	YMR258C	0.022504158
22	YAL053W	0.021228137
23	YOR153W	0.021127467
24	YPL274W	0.020868476
25	YDL035C	0.020858915
26	YLR368W	0.020583488
27	YJL153C	0.019694082
28	YPL176C	0.019296707
29	YOL068C	0.019009727
30	YKL027W	0.018630194
31	YPL031C	0.017784024
32	YLR258W	0.017308332
33	YPL109C	0.017243939
34	YDL134C	0.016896613
35	YNL257C	0.016403591
36	YER027C	0.016149443
37	YKR028W	0.015944172
38	YKR067W	0.015921328
39	YDR075W	0.015908435
40	YKL190W	0.015819347
41	YLL048C	0.015743134
42	YAL056W	0.015638348
43	YPR184W	0.015393869
44	YJL164C	0.015333155
45	YNL130C	0.015168566
46	YKR059W	0.014985823
47	YKR093W	0.014957797
48	YJL098W	0.014886629
49	YMR274C	0.014709382
50	YOL013C	0.014683286
51	YOR371C	0.014246127
52	YHR003C	0.013935474
53	YJL149W	0.013843152
54	YGL229C	0.013663750
55	YOR209C	0.013413395
56	YML123C	0.013254384
57	YER031C	0.013181780
58	YOR197W	0.012846429
59	YMR287C	0.012843559
60	YGR152C	0.012613828
61	YOR061W	0.012304029
62	YMR205C	0.011911601
63	YKR064W	0.011904673
64	YML111W	0.011733493
65	YNL142W	0.011691971
66	YDL006W	0.010978590
67	YDR099W	0.010758031
68	YLR113W	0.010722819
69	YBR218C	0.010684212
70	YNL241C	0.010566826
71	YHR032W	0.010544293
72	YEL013W	0.010538501
73	YDR139C	0.010426612
74	YMR080C	0.010234335
75	YDL171C	0.010199363
76	YBR114W	0.010167193
77	YPR155C	0.009933378
78	YML128C	0.009652590
79	YNL330C	0.009603814
80	YDL188C	0.009505866
81	YMR246W	0.009457451
82	YGL252C	0.009391843
83	YML001W	0.009358263
84	YDR131C	0.009331529
85	YNL098C	0.009130697
86	YGR240C	0.009110199
87	YLR233C	0.008843472
88	YAL039C	0.008768063
89	YCL055W	0.008653207
90	YJL178C	0.008644373
91	YIL038C	0.008582132
92	YGL062W	0.008380675
93	YNR032W	0.008326059
94	YFR040W	0.008293809
95	YNR034W	0.008270641
96	YPR075C	0.008174085
97	YDL236W	0.008151850
98	YLR262C	0.008123386
99	YFR013W	0.007953777
100	YJR096W	0.007838463
101	YPL199C	0.007652006
102	YGR208W	0.007586991
103	YNR063W	0.007562169
104	YLR304C	0.007392739
105	YBR082C	0.007112955
106	YLR180W	0.007093482
107	YHR202W	0.006996537
108	YOR101W	0.006928980
109	YLR019W	0.006864559
110	YIR019C	0.006657023
111	YDR059C	0.006631047
112	YPR173C	0.006626637
113	YGL168W	0.006489724
114	YMR302C	0.006179600
115	YMR275C	0.006011991
116	YDR517W	0.005962585
117	YNL229C	0.005929071
118	YNL008C	0.005908333
119	YBR034C	0.005790976
120	YML076C	0.005671687
121	YFR053C	0.005666761
122	YML082W	0.005625922
123	YGL253W	0.005618969
124	YMR100W	0.005556244
125	YML034W	0.005487625
126	YHL020C	0.005446047
127	YCL040W	0.005435470
128	YDR022C	0.005195249
129	YDR457W	0.005192319
130	YIL132C	0.005165112
131	YIL133C	0.005154999
