rank	yeast_gene	ensemble_score
1	YPL203W	0.114749647
2	YKL166C	0.111095571
3	YPL031C	0.108115468
4	YJL164C	0.091364160
5	YKR039W	0.085837335
6	YKR059W	0.077034417
7	YNL098C	0.071137796
8	YDL134C	0.068493909
9	YNL307C	0.068289735
10	YPL274W	0.064935389
11	YER031C	0.064671415
12	YOL016C	0.061114945
13	YDL188C	0.059574154
14	YGR152C	0.058977313
15	YFR014C	0.057631305
16	YDR075W	0.055696798
17	YMR019W	0.054113727
18	YDL138W	0.052167407
19	YNR032W	0.051184885
20	YKR093W	0.051119757
21	YOR101W	0.050712795
22	YLR019W	0.050343690
23	YDL006W	0.050342901
24	YLR262C	0.049538350
25	YOR185C	0.048888964
26	YKL190W	0.047684700
27	YLR329W	0.046809697
28	YGL168W	0.046280848
29	YHR032W	0.045939077
30	YML001W	0.045260712
31	YLR113W	0.045183815
32	YDR139C	0.044686606
33	YBR082C	0.043671566
34	YNR063W	0.041718875
35	YMR246W	0.040728811
36	YDR059C	0.040224586
37	YPR173C	0.039741121
38	YMR274C	0.039655378
39	YDL079C	0.037941775
40	YOR197W	0.036826659
41	YDR252W	0.035918194
42	YGR040W	0.035693750
43	YER177W	0.035499419
44	YNL130C	0.034693936
45	YGL087C	0.034294140
46	YJL206C	0.034274461
47	YLR385C	0.034074348
48	YGR180C	0.033903319
49	YHR030C	0.033894176
50	YGL058W	0.033651264
51	YDR155C	0.032881593
52	YBL005W	0.032760707
53	YLR234W	0.032558846
54	YKL161C	0.031926885
55	YPL154C	0.031804932
56	YDR099W	0.031468364
57	YJR096W	0.031419321
58	YIL132C	0.031130990
59	YJL149W	0.030726189
60	YMR139W	0.030719281
61	YPR054W	0.030496071
62	YDL194W	0.030413787
63	YGR288W	0.030337483
64	YOR179C	0.029400826
65	YGR208W	0.029274415
66	YPL192C	0.029222860
67	YDL170W	0.028603304
68	YPL096C-A	0.028396866
69	YDL236W	0.028315193
70	YBR201W	0.028298528
71	YOR153W	0.028274013
72	YNL209W	0.028219614
73	YBR297W	0.027417613
74	YER044C-A	0.027417095
75	YBR028C	0.027050900
76	YFR046C	0.026854257
77	YER184C	0.026743092
78	YAL027W	0.026521533
79	YGL253W	0.026339086
80	YOL104C	0.026189406
81	YDR334W	0.025985521
82	YGL043W	0.025941704
83	YKL130C	0.025923900
84	YCR091W	0.025905034
85	YGL078C	0.025402872
86	YPL037C	0.025400912
87	YIR005W	0.025338210
88	YNL142W	0.025240385
89	YLL048C	0.025132903
90	YDR022C	0.025079087
91	YLL010C	0.025009322
92	YML123C	0.024830983
93	YFL052W	0.024776531
94	YPR052C	0.024491846
95	YNL311C	0.024439437
96	YPR111W	0.024420403
97	YML076C	0.024402747
98	YGL163C	0.024384720
99	YDL230W	0.023637330
100	YOR339C	0.023593792
101	YFR053C	0.023530227
102	YOR061W	0.023408546
103	YGR067C	0.023242642
104	YLR052W	0.023089419
105	YEL013W	0.023052390
106	YPR196W	0.022518188
107	YIL040W	0.022180790
108	YGR109C	0.022096960
109	YEL066W	0.021969395
110	YHR195W	0.021917603
111	YOR380W	0.021854503
112	YOL089C	0.021805423
113	YEL018W	0.021797634
114	YPR149W	0.021791961
115	YBR240C	0.021700343
116	YGR275W	0.021407871
117	YLR224W	0.021375988
118	YGR209C	0.021323320
119	YER092W	0.021284965
120	YNR032C-A	0.021243063
121	YPL199C	0.021181465
122	YBR272C	0.021180985
123	YGR003W	0.021098402
124	YPR093C	0.021063849
125	YNL159C	0.021004761
126	YNL288W	0.020910506
127	YPL046C	0.020650033
128	YER089C	0.020531731
129	YNL210W	0.020356037
130	YER143W	0.020266706
131	YML102W	0.020009597
132	YGL237C	0.020007533
133	YGR135W	0.019812321
134	YHR200W	0.019736735
135	YMR080C	0.019723152
136	YHR135C	0.019571078
137	YDL155W	0.019492325
138	YJR073C	0.019397424
139	YGL070C	0.019343605
140	YDR490C	0.019312481
141	YBR278W	0.019283908
142	YIL146C	0.019225880
143	YBL021C	0.018844186
144	YML058W-A	0.018782852
145	YBR114W	0.018773108
146	YCR106W	0.018748091
147	YFR038W	0.018577252
148	YOR191W	0.018540697
149	YDR253C	0.018253148
150	YOR290C	0.018065354
151	YER106W	0.018004368
152	YER179W	0.017751823
153	YLR226W	0.017725793
154	YOL082W	0.017706874
