rank	yeast_gene	ensemble_score
1	YBR245C	0.085095065
2	YPR111W	0.078091743
3	YOR304W	0.068423151
4	YJR035W	0.063585160
5	YER164W	0.062549452
6	YLR398C	0.057811833
7	YLR248W	0.054629594
8	YOL016C	0.051591523
9	YDL194W	0.050807806
10	YDR334W	0.050404554
11	YAL019W	0.041476328
12	YDR490C	0.041470290
13	YML074C	0.035130753
14	YKR039W	0.034739480
15	YHR031C	0.034323954
16	YMR304W	0.034310667
17	YDL138W	0.033957111
18	YBR073W	0.033624377
19	YPL109C	0.032942146
20	YDR507C	0.032665979
21	YDR291W	0.031813191
22	YJL168C	0.031468502
23	YLL048C	0.030946326
24	YHR032W	0.030906273
25	YBR274W	0.030550007
26	YOL113W	0.028797482
27	YOR290C	0.027874816
28	YBL056W	0.027629288
29	YER176W	0.027595492
30	YNL227C	0.027432541
31	YKR001C	0.027119773
32	YML061C	0.027077907
33	YFR038W	0.026737482
34	YFR014C	0.025227684
35	YIR002C	0.024886960
36	YPL274W	0.024593025
37	YMR100W	0.023980894
38	YNR031C	0.023728002
39	YGR134W	0.023680671
40	YLR221C	0.022993294
41	YBR028C	0.022950945
42	YCL024W	0.022862498
43	YDR263C	0.022731883
44	YGR270W	0.022516493
45	YML072C	0.022263040
46	YDR523C	0.022144511
47	YKR093W	0.021517828
48	YOR351C	0.021064140
49	YER089C	0.020451572
50	YDR477W	0.020029540
51	YJL098W	0.019505980
52	YNL106C	0.019336882
53	YKR067W	0.019023073
54	YPL140C	0.018856578
55	YAL024C	0.018850097
56	YHR004C	0.018386667
57	YAL011W	0.018281150
58	YNR004W	0.018152293
59	YPL216W	0.018080365
60	YMR080C	0.017807978
61	YER030W	0.017186105
62	YKL166C	0.017024575
63	YDL035C	0.016850543
64	YDL036C	0.016713478
65	YDR219C	0.016598728
66	YIL033C	0.016588214
67	YLR253W	0.016400962
68	YJL115W	0.016112011
69	YAL017W	0.015868551
70	YCR091W	0.015797220
71	YNL032W	0.015791980
72	YFR046C	0.015738848
73	YIR026C	0.015690371
74	YDL188C	0.015560967
75	YAR018C	0.014917368
76	YNL082W	0.014748760
77	YMR285C	0.014128041
78	YIL112W	0.013765397
79	YLR449W	0.013690385
80	YBL052C	0.013685513
81	YKL091C	0.013584182
82	YDL019C	0.013409078
83	YOR153W	0.013332711
84	YLR014C	0.013132320
85	YIL107C	0.013043501
86	YLL040C	0.013008776
87	YDR026C	0.012791305
88	YFR040W	0.012377911
89	YLR433C	0.012373268
90	YOL054W	0.012313281
91	YNL299W	0.012214957
92	YLR210W	0.012072358
93	YMR039C	0.012056571
94	YBR058C	0.011673809
95	YDR074W	0.011410545
96	YMR186W	0.011359414
97	YDR110W	0.011099018
98	YJL106W	0.010982183
99	YER051W	0.010629377
100	YOR171C	0.010612269
101	YOL045W	0.010611064
102	YNL229C	0.010566514
103	YMR224C	0.010549182
104	YML011C	0.010475972
105	YBR140C	0.010445512
106	YPR152C	0.010442503
107	YOL115W	0.010433838
108	YNR032W	0.010416426
109	YAR042W	0.010412131
110	YKR028W	0.010369674
111	YMR044W	0.010311422
112	YDR181C	0.010078222
113	YCR073C	0.010075990
114	YCL011C	0.010034838
115	YOL117W	0.010013882
116	YML109W	0.009956530
117	YML097C	0.009948710
118	YOR001W	0.009701250
119	YPL154C	0.009622004
120	YLR133W	0.009381944
