rank	yeast_gene	ensemble_score
1	YOR185C	0.019923166
2	YGL070C	0.017710069
3	YNL209W	0.017330667
4	YLR234W	0.016554045
5	YDR139C	0.016414099
6	YGL058W	0.016405443
7	YDR155C	0.014499229
8	YIL132C	0.014229523
9	YML102W	0.013583134
10	YHL006C	0.013122897
11	YPL096C-A	0.013052025
12	YMR116C	0.012844609
13	YER177W	0.011912841
14	YEL066W	0.011652698
15	YLR385C	0.011111550
16	YKL190W	0.010584617
17	YFL052W	0.010438560
18	YGR288W	0.010392780
19	YGR209C	0.010142330
20	YMR274C	0.009398234
21	YNR063W	0.008723558
22	YOR295W	0.008691152
23	YJL030W	0.008649994
24	YLR019W	0.008360468
25	YJR021C	0.008294541
26	YGL168W	0.008256273
27	YBR297W	0.007739550
28	YBR240C	0.007736033
29	YLR043C	0.007425755
30	YHR200W	0.007395581
31	YER179W	0.007023974
32	YNL307C	0.006873448
33	YDL197C	0.006809766
34	YLR258W	0.006792760
35	YDR252W	0.006758470
36	YPL144W	0.006653941
37	YEL037C	0.006611862
38	YPL038W	0.006226304
39	YOR339C	0.006171530
40	YAL009W	0.006039475
41	YML011C	0.006010524
42	YJL210W	0.006002540
43	YPL203W	0.005849002
44	YBR089C-A	0.005844157
45	YCR020C-A	0.005751690
46	YKL067W	0.005729283
47	YBL003C	0.005642512
48	YDR488C	0.005533791
49	YBL021C	0.005456651
50	YKL130C	0.005425063
51	YER184C	0.005367230
52	YLR364W	0.005125456
53	YPL031C	0.005118004
54	YLR329W	0.005048249
55	YOR298C-A	0.005045950
56	YKR057W	0.005009700
57	YPR173C	0.004855558
58	YML124C	0.004840525
59	YGR003W	0.004828851
60	YJR096W	0.004794791
61	YOL016C	0.004777376
62	YIL146C	0.004770062
63	YMR186W	0.004713349
64	YGL043W	0.004607912
65	YLR342W	0.004477622
66	YBL078C	0.004461549
67	YPR199C	0.004327614
68	YGL211W	0.004315781
69	YMR276W	0.004183526
70	YKL002W	0.004091111
71	YGR135W	0.004083212
72	YHR193C	0.004044530
73	YLR180W	0.003986034
74	YLR224W	0.003867721
75	YEL018W	0.003837624
76	YHR195W	0.003827231
77	YJR014W	0.003764337
78	YFR014C	0.003753767
79	YKL009W	0.003712389
80	YDR260C	0.003678224
81	YKR059W	0.003673496
82	YCR106W	0.003663905
