rank	yeast_gene	ensemble_score
1	YLR234W	0.016877388
2	YNL209W	0.014609933
3	YDR155C	0.013663692
4	YGL043W	0.012457756
5	YER177W	0.011384869
6	YGL070C	0.011283262
7	YDR139C	0.010763572
8	YPL203W	0.010712889
9	YOR185C	0.009911957
10	YGL058W	0.009661275
11	YBR028C	0.009627493
12	YIL132C	0.009500844
13	YKL190W	0.009120509
14	YLR019W	0.008705305
15	YML102W	0.008644679
16	YGL216W	0.008524335
17	YNR032W	0.008308420
18	YMR116C	0.008196145
19	YBR278W	0.007354709
20	YDR099W	0.007111444
21	YJL030W	0.006724170
22	YEL066W	0.006704382
23	YAL009W	0.006687980
24	YER179W	0.006310894
25	YIL146C	0.005986647
26	YPR173C	0.005986260
27	YBL021C	0.005946802
28	YGL078C	0.005921101
29	YLR258W	0.005734014
30	YNL307C	0.005595189
31	YLR262C	0.005471690
32	YMR274C	0.005346559
33	YOR191W	0.004859743
34	YOL016C	0.004781705
35	YNL130C	0.004675770
36	YGR003W	0.004671919
37	YML124C	0.004670278
38	YJR127C	0.004595171
39	YNR063W	0.004556288
40	YKL067W	0.004549088
41	YGL062W	0.004505372
42	YHR200W	0.004493905
43	YMR306W	0.004438295
44	YER031C	0.004407342
45	YKL034W	0.004376656
46	YGR209C	0.004259804
47	YBR201W	0.004127013
48	YHL006C	0.004095661
49	YFR015C	0.004048693
50	YLR342W	0.004031062
51	YDR488C	0.003944579
52	YAL053W	0.003869027
53	YJL210W	0.003852039
54	YLR180W	0.003797154
55	YIL030C	0.003763440
56	YMR276W	0.003724844
57	YNL241C	0.003724547
58	YEL037C	0.003643449
59	YOR039W	0.003624705
60	YDR075W	0.003622606
61	YPL199C	0.003617635
62	YOR295W	0.003612743
63	YMR019W	0.003560329
64	YMR186W	0.003559477
65	YKR057W	0.003516537
66	YML068W	0.003513227
67	YOR298C-A	0.003512855
68	YDL134C	0.003485764
69	YDR253C	0.003470884
70	YLL010C	0.003447103
71	YBR218C	0.003444963
72	YDR059C	0.003435082
73	YNL204C	0.003428986
74	YER184C	0.003417466
75	YDL149W	0.003269441
76	YPR155C	0.003217042
77	YOR027W	0.003195820
78	YBR089C-A	0.003191126
79	YPR149W	0.003171632
80	YPL096C-A	0.003132052
81	YGR157W	0.003020263
82	YML075C	0.003009166
83	YBL078C	0.002943837
84	YPL038W	0.002930044
85	YPL176C	0.002919320
86	YOL089C	0.002906893
87	YJL153C	0.002855753
88	YPL144W	0.002843292
89	YMR302C	0.002832978
90	YCL010C	0.002777156
91	YDR265W	0.002774856
92	YLR384C	0.002708816
93	YPR160W	0.002661295
94	YPR052C	0.002638061
95	YLR381W	0.002636479
96	YBR272C	0.002632539
97	YLR207W	0.002606945
98	YBR009C	0.002595687
99	YLR018C	0.002594817
100	YNL323W	0.002563834
101	YBL024W	0.002562040
102	YGL253W	0.002553551
103	YKL002W	0.002552691
104	YNL138W	0.002545032
105	YJR021C	0.002531376
106	YBR290W	0.002514908
107	YGR180C	0.002511970
108	YBR175W	0.002448747
109	YBR082C	0.002431116
110	YOL013C	0.002406345
111	YER174C	0.002393260
112	YOR290C	0.002391895
113	YAL039C	0.002387788
114	YFR053C	0.002368371
115	YDL230W	0.002355905
116	YKR059W	0.002283799
117	YPR075C	0.002279681
118	YBR150C	0.002238637
119	YKL009W	0.002232534
120	YDL188C	0.002228039
121	YOR209C	0.002183567
122	YJR014W	0.002167885
123	YMR026C	0.002147694
124	YHR193C	0.002118606
125	YBR165W	0.002115736
126	YOR339C	0.002108014
127	YGR097W	0.002096611
128	YDR158W	0.002072375
129	YGR173W	0.002069439
130	YPL123C	0.002035199
131	YBR001C	0.002033618
132	YCR020C-A	0.002026240
133	YFR038W	0.002004195
134	YDR022C	0.002001516
135	YOR101W	0.001998526
136	YGL211W	0.001980408
137	YJL137C	0.001976812
138	YLR043C	0.001954926
139	YDR263C	0.001945816
140	YJR084W	0.001942569
141	YNL330C	0.001931547
142	YLR228C	0.001929647
143	YMR119W	0.001909671
144	YGL019W	0.001852026
145	YKL041W	0.001850721
146	YIL153W	0.001841041
147	YMR065W	0.001833471
148	YCR077C	0.001832047
149	YAL046C	0.001814277
150	YJR066W	0.001804076
151	YMR293C	0.001797660
152	YLL039C	0.001782065
153	YDL170W	0.001776204
154	YDR213W	0.001774048
155	YER027C	0.001769018
156	YCR014C	0.001751634
157	YDR392W	0.001709101
158	YCR073C	0.001708259
159	YPR184W	0.001702807
160	YER028C	0.001702682
161	YER110C	0.001684827
162	YDL190C	0.001670918
163	YPR093C	0.001657144
164	YKL212W	0.001651683
165	YJL110C	0.001645211
166	YGL208W	0.001605475
167	YBR240C	0.001591798
168	YGL254W	0.001569568
169	YNL008C	0.001567578
170	YLR427W	0.001550669
171	YLR319C	0.001549589
172	YML111W	0.001549347
173	YHL020C	0.001545788
174	YML034W	0.001534904
175	YKL029C	0.001521248
