rank	yeast_gene	ensemble_score
1	YPL086C	0.081794243
2	YOR197W	0.065332287
3	YGL062W	0.060907015
4	YBR218C	0.060096154
5	YPL203W	0.056089590
6	YLR258W	0.054521492
7	YPL042C	0.052926409
8	YMR069W	0.052845552
9	YKL198C	0.052274934
10	YAL021C	0.051565376
11	YKL029C	0.051206532
12	YNL076W	0.050103831
13	YKR059W	0.050057342
14	YCL040W	0.048572541
15	YOR185C	0.048057950
16	YAR035W	0.048006189
17	YMR205C	0.047287276
18	YEL013W	0.046988801
19	YLR113W	0.046796462
20	YML075C	0.045882814
21	YHR127W	0.045434783
22	YMR202W	0.044870904
23	YNR032C-A	0.043883136
24	YER177W	0.043725230
25	YEL018W	0.043665089
26	YHR033W	0.043023607
27	YLR234W	0.041738899
28	YHR202W	0.040702972
29	YOR298C-A	0.040459780
30	YHL025W	0.040061155
31	YBR059C	0.039933858
32	YNL154C	0.039391447
33	YDR099W	0.038994945
34	YJL164C	0.038874704
35	YNL209W	0.038299997
36	YPR173C	0.037110665
37	YOR061W	0.036643763
38	YER179W	0.036640854
39	YNL009W	0.036609590
40	YJL141C	0.035922931
41	YPL199C	0.035637481
42	YGR180C	0.035536823
43	YGL066W	0.035467082
44	YKL190W	0.035300711
45	YDR277C	0.034401092
46	YJL083W	0.034358974
47	YFR015C	0.033873159
48	YHR135C	0.033281765
49	YDR001C	0.033132017
50	YPL037C	0.033065707
51	YGR240C	0.032323774
52	YNL098C	0.032300670
53	YLR352W	0.032263732
54	YJR059W	0.032083650
55	YIL146C	0.031805060
56	YHR030C	0.031558398
57	YDR490C	0.031538275
58	YLR052W	0.031493611
59	YOR290C	0.031227189
60	YBL007C	0.030784253
61	YML102W	0.030777495
62	YER007C-A	0.030718471
63	YLR048W	0.030533953
64	YHR200W	0.030220720
65	YBR125C	0.030136556
66	YNL314W	0.029538397
67	YBR203W	0.029257117
68	YHR032W	0.029149056
69	YLR342W	0.028721396
70	YNL323W	0.028393911
71	YKL139W	0.028316690
72	YGL222C	0.028304993
73	YLR438W	0.027617801
74	YDR101C	0.027570066
75	YGL070C	0.027291405
76	YPL187W	0.027250121
77	YMR074C	0.027052671
78	YER089C	0.027041665
79	YOR153W	0.027028177
80	YBR114W	0.026799964
81	YIL153W	0.026743829
82	YGR247W	0.026694752
83	YLR006C	0.026692119
84	YKR057W	0.026546267
85	YPR075C	0.026408525
86	YOL016C	0.026400626
87	YML118W	0.026189256
88	YLR325C	0.025912321
89	YAL039C	0.025689144
90	YIR013C	0.025539503
91	YBR089C-A	0.025452845
92	YLR174W	0.025443379
93	YGR173W	0.025416104
94	YGL089C	0.025366964
95	YNL298W	0.025328617
96	YMR186W	0.025245662
97	YFR053C	0.025192853
98	YDL006W	0.025075686
99	YGL163C	0.024950325
100	YML123C	0.024371287
101	YFR034C	0.024122172
102	YPL154C	0.024103382
103	YNL307C	0.023556557
104	YMR234W	0.023472763
105	YNL199C	0.023458827
106	YGR040W	0.023276313
107	YKL086W	0.023263342
108	YOR113W	0.023224352
109	YPL049C	0.023202265
110	YMR246W	0.022777948
111	YKR019C	0.022765252
112	YBR001C	0.022591911
113	YPR111W	0.022424354
114	YLR018C	0.022372530
115	YPR052C	0.022286255
116	YNR047W	0.022186250
117	YHL006C	0.022156716
118	YBR082C	0.022126915
119	YGL211W	0.022114366
120	YKR039W	0.022041403
121	YJL030W	0.021929920
122	YDL197C	0.021804998
123	YMR276W	0.021712495
124	YBL003C	0.021621484
125	YDR059C	0.021414674
126	YMR116C	0.021366563
127	YJL137C	0.020948878
128	YNL241C	0.020893815
129	YDR155C	0.020796363
130	YMR145C	0.020582813
131	YOR371C	0.020514727
132	YNL142W	0.020487780
133	YLR231C	0.020475582
134	YLL002W	0.020432687
135	YLR224W	0.020301846
136	YKL113C	0.020244208
137	YOR047C	0.020225167
138	YML113W	0.020133927
