rank	yeast_gene	ensemble_score
1	YPL203W	0.108264050
2	YKL166C	0.101022121
3	YPL031C	0.093232561
4	YKR059W	0.083416583
5	YJL164C	0.076863877
6	YKR039W	0.072909360
7	YNL098C	0.067691225
8	YOR185C	0.066540844
9	YOL016C	0.063541138
10	YFR014C	0.061211180
11	YPL274W	0.059671389
12	YLR329W	0.059199738
13	YGR152C	0.058569329
14	YGL168W	0.058445069
15	YLR019W	0.058182866
16	YNL307C	0.057072667
17	YDR252W	0.056942075
18	YMR019W	0.055737727
19	YDL134C	0.055321601
20	YKL190W	0.053827344
21	YDL006W	0.050140068
22	YER031C	0.048802281
23	YDL188C	0.048534799
24	YKL161C	0.046431885
25	YLR385C	0.046240134
26	YKR093W	0.045391614
27	YDR139C	0.043647829
28	YLR234W	0.043611570
29	YNL209W	0.043100542
30	YAL027W	0.042719956
31	YER177W	0.042475446
32	YDL138W	0.042136742
33	YOR101W	0.042056263
34	YOR179C	0.041810694
35	YHR032W	0.041779516
36	YDR075W	0.041561933
37	YLR113W	0.041547988
38	YPL096C-A	0.040319728
39	YNR032C-A	0.039867740
40	YNR032W	0.039693343
41	YBR082C	0.038674549
42	YNR063W	0.038622069
43	YGR288W	0.038381915
44	YPR173C	0.037860912
45	YMR274C	0.036827483
46	YDR155C	0.036788203
47	YMR246W	0.036470237
48	YHR195W	0.035903380
49	YGR180C	0.035877016
50	YPL192C	0.035774643
51	YGL058W	0.035709073
52	YGL087C	0.034997211
53	YKL130C	0.034294070
54	YPL037C	0.034114279
55	YDR059C	0.033822466
56	YLR224W	0.033689916
57	YML001W	0.033635641
58	YML058W-A	0.032532112
59	YFL052W	0.031948228
60	YHR030C	0.031626406
61	YPR054W	0.031549645
62	YIL132C	0.030966719
63	YGR209C	0.030939267
64	YGR275W	0.030713878
65	YLR262C	0.030289280
66	YGR040W	0.030233739
67	YEL066W	0.030231061
68	YDR099W	0.030071876
69	YBR297W	0.029832722
70	YNL130C	0.029653858
71	YEL013W	0.029306656
72	YGR208W	0.029290388
73	YDR022C	0.029260960
74	YOR197W	0.029249121
75	YOR339C	0.029037384
76	YER044C-A	0.028981179
77	YOL104C	0.028821155
78	YFR046C	0.028564167
79	YBL006C	0.028345043
80	YBL005W	0.028070574
81	YJR096W	0.028004787
82	YCR091W	0.027582348
83	YPL154C	0.027416595
84	YGR067C	0.027356654
85	YGL253W	0.027174179
86	YDR260C	0.026678937
87	YDL079C	0.026468128
88	YGL070C	0.026429635
89	YBR240C	0.026385409
90	YER035W	0.026328979
91	YML123C	0.026030652
92	YFR053C	0.025996030
93	YEL018W	0.025265617
94	YBR201W	0.025205578
95	YML102W	0.025182318
96	YER184C	0.025175219
97	YER179W	0.025041013
98	YJL149W	0.024775665
99	YOR153W	0.024739830
100	YOR295W	0.024033580
101	YPR052C	0.024017877
102	YLR021W	0.023942226
103	YER092W	0.023941567
104	YPR093C	0.023608664
105	YGL237C	0.023603790
106	YNL142W	0.023591842
107	YBL021C	0.023394665
108	YOR061W	0.023318349
109	YDL076C	0.023264718
110	YLR043C	0.023077608
111	YPL046C	0.022990116
112	YPR149W	0.022784133
113	YOL082W	0.022716175
114	YDL194W	0.022693157
115	YPL199C	0.022507870
116	YHR200W	0.022308777
117	YLR052W	0.022228182
118	YJL206C	0.022212073
119	YMR116C	0.022181808
120	YNL210W	0.022171814
121	YNL311C	0.021746014
122	YBR089C-A	0.021567251
123	YDR079C-A	0.021553116
124	YGL078C	0.021523915
125	YCR020C-A	0.021462002
126	YDR488C	0.021454719
127	YGR135W	0.021290570
128	YIR005W	0.021113714
129	YJR021C	0.020641476
130	YDL197C	0.020502984
131	YGL043W	0.020419124
132	YMR139W	0.020315249
133	YDL230W	0.020229076
134	YHL006C	0.020109954
135	YIR013C	0.020092109
136	YPL038W	0.020033223
137	YDL170W	0.020021623
138	YOR380W	0.020018537
139	YBR175W	0.019868838
140	YDL236W	0.019865030
141	YML076C	0.019674496
142	YML011C	0.019525998
143	YBR285W	0.019463691
144	YER089C	0.019193017
145	YDR334W	0.018931861
146	YPR196W	0.018927374
147	YGL220W	0.018733258
148	YNL159C	0.018663263
149	YKR054C	0.018540303
150	YPL086C	0.018377898
151	YGR134W	0.018315697
152	YDR156W	0.018259165
153	YJL030W	0.018130028
154	YEL037C	0.017999474
155	YGR003W	0.017910732
156	YLL002W	0.017817541
157	YLR094C	0.017790531
158	YAL046C	0.017719947
159	YPR111W	0.017618416
160	YER110C	0.017575644
161	YHR033W	0.017560256
162	YBR165W	0.017537161
163	YOR189W	0.017473050
164	YGL163C	0.017212939
165	YMR080C	0.017158665
166	YLL010C	0.017077683
167	YDR513W	0.016996916
168	YER106W	0.016826779
169	YBR272C	0.016803170
170	YCR106W	0.016652483
171	YBR028C	0.016595908
172	YIL146C	0.016589051
173	YNL288W	0.016436265
174	YNR034W	0.016262919
175	YER174C	0.016070436
176	YLR154C	0.016032767
177	YLR364W	0.015924330
178	YER143W	0.015920709
179	YLR315W	0.015870928
180	YML124C	0.015731045
181	YJR073C	0.015695656
182	YBR188C	0.015656495
183	YOL081W	0.015624611
184	YBR114W	0.015554173
185	YLL048C	0.015552149
186	YDR490C	0.015458224
187	YKL067W	0.015445551
188	YNL241C	0.015433897
189	YCL040W	0.015428627
190	YDL155W	0.015388422
191	YOR351C	0.015368518
192	YGL216W	0.015335570
193	YAL054C	0.015282639
194	YAL055W	0.015103959
195	YGR109C	0.015065934
196	YJL137C	0.014997394
197	YBL057C	0.014980442
198	YPL033C	0.014859527
199	YOR027W	0.014757628
200	YLR258W	0.014726940
201	YCR020W-B	0.014687176
202	YBR107C	0.014685939
203	YHR135C	0.014659177
204	YIL040W	0.014650271
205	YJR127C	0.014634324
206	YLR445W	0.014524199
207	YBL078C	0.014500631
208	YGL211W	0.014341580
209	YDR253C	0.014306490
210	YOL080C	0.014265977
211	YGL062W	0.014230611
212	YHR004C	0.014228477
213	YLR438W	0.014204737
214	YDR273W	0.014094168
215	YMR223W	0.013979343
216	YCL010C	0.013961994
217	YOR191W	0.013814091
218	YLR216C	0.013701701
219	YPR040W	0.013640011
220	YIR025W	0.013633147
221	YFR036W	0.013596623
222	YDR120C	0.013511133
223	YOR290C	0.013476868
224	YPR199C	0.013394915
225	YML068W	0.013388556
226	YBR140C	0.013364743
227	YDR223W	0.013362279
228	YPR101W	0.013355432
229	YOR313C	0.013244221
230	YNL330C	0.013231098
231	YDR216W	0.013226125
232	YMR315W	0.013182416
233	YNL154C	0.013150636
234	YMR022W	0.013027653
235	YPL144W	0.012981371
236	YKL091C	0.012880567
237	YOL013C	0.012876663
238	YPR164W	0.012875889
239	YGR206W	0.012837322
240	YDR263C	0.012828260
241	YDR213W	0.012817692
242	YKR017C	0.012774005
243	YMR276W	0.012769809
244	YMR293C	0.012767175
245	YLR368W	0.012716918
246	YFR038W	0.012713398
247	YMR182C	0.012622027
248	YBL003C	0.012600548
249	YDL080C	0.012599236
250	YMR219W	0.012592893
251	YBR112C	0.012581113
252	YLL046C	0.012527790
253	YBR218C	0.012417694
254	YLL039C	0.012385844
255	YDR131C	0.012383549
256	YLR048W	0.012373357
257	YBL024W	0.012346194
258	YKL214C	0.012193423
259	YDR375C	0.012144116
260	YLR433C	0.012117778
261	YBR034C	0.012075049
262	YLL062C	0.012058261
263	YOR358W	0.012020780
264	YIL009C-A	0.011948453
