rank	yeast_gene	ensemble_score
1	YJL210W	0.034866606
2	YHL006C	0.034299396
3	YGL070C	0.029716107
4	YGL058W	0.028691548
5	YML102W	0.026680158
6	YDR139C	0.025593572
7	YLR234W	0.024792961
8	YDR488C	0.023805893
9	YOL086W-A	0.022568379
10	YJR127C	0.022393635
11	YDL197C	0.021879469
12	YPL031C	0.021563315
13	YMR274C	0.021435468
14	YPL096C-A	0.021358369
15	YMR293C	0.020132357
16	YJL030W	0.019555722
17	YCR020C-A	0.018515328
18	YNL307C	0.018395060
19	YNL314W	0.018189217
20	YJR084W	0.018090882
21	YDR155C	0.017116834
22	YKL086W	0.016726255
23	YEL018W	0.016546743
24	YBL078C	0.016165052
25	YIL132C	0.015601746
26	YML124C	0.015262811
27	YGR180C	0.014382088
28	YHR200W	0.014283796
29	YHL002W	0.013761124
30	YGL043W	0.013443534
31	YBR009C	0.012828658
32	YMR069W	0.012756186
33	YDR213W	0.012614332
34	YPL144W	0.012455749
35	YGL211W	0.012453670
36	YIL146C	0.012248188
37	YPL038W	0.012182769
38	YER179W	0.011959011
39	YHL022C	0.011936292
40	YMR182C	0.011207462
41	YBL021C	0.011011264
42	YBL003C	0.010997575
43	YOR251C	0.010845958
44	YPL203W	0.010750693
45	YMR019W	0.009981069
46	YGL254W	0.009332655
47	YOR113W	0.009247317
48	YJR021C	0.009185462
49	YEL066W	0.008658656
50	YGL220W	0.008524515
51	YLR385C	0.008489713
52	YFL052W	0.008437619
53	YLL062C	0.008286187
54	YER184C	0.008275733
55	YBR112C	0.008268681
56	YOR185C	0.008083441
57	YKL198C	0.008030347
58	YNL098C	0.007919835
59	YBR175W	0.007911621
60	YKL002W	0.007859702
61	YKL214C	0.007791527
62	YNL288W	0.007710804
63	YLR048W	0.007688703
64	YJL137C	0.007567409
65	YBR082C	0.007555252
66	YNL199C	0.007454355
67	YMR234W	0.007453192
68	YGR135W	0.007446544
69	YLR315W	0.007419702
70	YLR226W	0.007185831
71	YLR224W	0.007148653
72	YIR013C	0.007117079
73	YLR258W	0.007072413
74	YCL010C	0.007027797
75	YBL006C	0.006967549
76	YNR063W	0.006921570
77	YKL067W	0.006824515
78	YBR201W	0.006693401
79	YLR052W	0.006549853
80	YBL024W	0.006539320
81	YDR253C	0.006500089
82	YPL187W	0.006492180
83	YDR216W	0.006399940
84	YMR026C	0.006382802
85	YPR173C	0.006283073
86	YLR228C	0.006245860
87	YGR209C	0.006195617
88	YBR089C-A	0.006158851
89	YOR290C	0.005792249
90	YOR106W	0.005788583
91	YAL044W-A	0.005778411
92	YJR096W	0.005748697
93	YNL159C	0.005670020
94	YOL012C	0.005656629
