rank	yeast_gene	ensemble_score
1	YOR185C	0.081593407
2	YKR059W	0.078349778
3	YER031C	0.072374621
4	YPL203W	0.071289308
5	YNL098C	0.070927040
6	YKR039W	0.070423280
7	YPR173C	0.066621392
8	YJL164C	0.064421293
9	YPL031C	0.063886424
10	YLR113W	0.062598083
11	YPL274W	0.061528575
12	YML123C	0.060634074
13	YML001W	0.060362557
14	YHR032W	0.059447005
15	YEL013W	0.056725866
16	YCR020C-A	0.056668839
17	YMR080C	0.054402338
18	YFR014C	0.054364198
19	YGR152C	0.054238925
20	YPL154C	0.053521897
21	YPR149W	0.053370412
22	YKL190W	0.051351522
23	YGR209C	0.049584901
24	YMR116C	0.049061180
25	YMR274C	0.048497774
26	YLR043C	0.048350209
27	YER177W	0.048346165
28	YGL087C	0.047394297
29	YDL138W	0.047088080
30	YDR099W	0.045983391
31	YKL222C	0.045205627
32	YNL130C	0.044565086
33	YOL016C	0.043931361
34	YDL006W	0.043833412
35	YBR082C	0.042171341
36	YNL209W	0.041787522
37	YDR490C	0.041681341
38	YMR246W	0.041612895
39	YGL078C	0.041170486
40	YCR106W	0.040271253
41	YHR030C	0.039039582
42	YHR178W	0.038491805
43	YOR380W	0.038351693
44	YDR059C	0.038281910
45	YLR052W	0.036473747
46	YOR172W	0.034984750
47	YLR234W	0.034037257
48	YOR162C	0.033995413
49	YDL194W	0.033476532
50	YMR019W	0.033123564
51	YPL037C	0.032724077
52	YHR120W	0.032203618
53	YIR005W	0.031953958
54	YDR155C	0.031928673
55	YJL210W	0.031646427
56	YIL040W	0.031626422
57	YLR262C	0.030761839
58	YKL166C	0.030679970
59	YBR089C-A	0.030641551
60	YHR127W	0.030596740
61	YJL137C	0.030289721
62	YDR252W	0.029851485
63	YOR101W	0.029611232
64	YPR052C	0.029470699
65	YLL048C	0.029464106
66	YMR306W	0.029027817
67	YGR040W	0.028930794
68	YLR266C	0.028652664
69	YOR197W	0.028566261
70	YPL199C	0.028393479
71	YDL035C	0.028206535
72	YNL307C	0.027413885
73	YBL003C	0.027299465
74	YOR061W	0.027157705
75	YDR477W	0.026965877
76	YFR032C	0.026537221
77	YJR073C	0.026428148
78	YMR315W	0.026320454
79	YHR200W	0.025845026
80	YMR291W	0.025784692
81	YOR313C	0.025157802
82	YLL054C	0.025147161
83	YPL226W	0.025025090
84	YLR342W	0.024914966
85	YML102W	0.024899086
86	YER110C	0.024715640
87	YHL006C	0.024694434
88	YHL002W	0.024689432
89	YHR135C	0.024565018
90	YGL058W	0.024492048
91	YEL018W	0.024231381
92	YIL033C	0.024169642
93	YHR192W	0.024067797
94	YDR513W	0.023972454
95	YCL011C	0.023919779
96	YML099C	0.023856668
97	YLR248W	0.023855285
98	YMR276W	0.023826128
99	YNL008C	0.023571165
100	YNL154C	0.023421646
101	YEL066W	0.023415987
102	YLR098C	0.023324300
103	YAL051W	0.023163735
104	YDL197C	0.023113565
105	YMR205C	0.022866597
106	YOR027W	0.022854913
107	YFL028C	0.022554039
108	YPL096C-A	0.022411456
109	YIL042C	0.022177264
110	YJL206C	0.022054121
111	YKL034W	0.021847260
112	YNL314W	0.021683581
113	YCL040W	0.021540296
114	YAL053W	0.021184687
115	YDR156W	0.021161077
