rank	yeast_gene	ensemble_score
1	YKL166C	0.112171955
2	YPL203W	0.107275132
3	YPL031C	0.099649123
4	YKR039W	0.099151644
5	YJL164C	0.086466974
6	YKR059W	0.077398990
7	YPL274W	0.074361629
8	YDL134C	0.071474359
9	YER031C	0.070702309
10	YNL098C	0.068159356
11	YOL016C	0.066859892
12	YDL188C	0.063813838
13	YNL307C	0.062852766
14	YDL138W	0.060170461
15	YDR075W	0.059708738
16	YFR014C	0.059479167
17	YGR152C	0.059290451
18	YLR262C	0.058180679
19	YML001W	0.056833070
20	YKR093W	0.056664880
21	YNR032W	0.054734124
22	YMR019W	0.054392391
23	YDL006W	0.054365079
24	YMR246W	0.052741916
25	YGL168W	0.051420791
26	YOR101W	0.048797828
27	YOR185C	0.048717949
28	YLR019W	0.048363744
29	YLR329W	0.047671870
30	YLR113W	0.045994950
31	YKL190W	0.045687323
32	YKL161C	0.043714779
33	YPR054W	0.043319142
34	YHR032W	0.043280662
35	YGR180C	0.042303433
36	YNR063W	0.041767200
37	YDL079C	0.041292949
38	YDL194W	0.039350380
39	YGR040W	0.039174972
40	YGL087C	0.037579363
41	YOR153W	0.037514400
42	YPL154C	0.037014440
43	YDL236W	0.036567164
44	YNL130C	0.036504112
45	YOR197W	0.035931204
46	YBR082C	0.035798537
47	YDR252W	0.035689448
48	YJL206C	0.033623537
49	YJR096W	0.033603213
50	YMR274C	0.033039324
51	YDR059C	0.032779509
52	YMR139W	0.032390807
53	YPR173C	0.032191706
54	YNL142W	0.031808787
55	YGR208W	0.030581995
56	YDR139C	0.030558013
57	YLR385C	0.030491342
58	YML123C	0.030484330
59	YCR091W	0.030126598
60	YLL048C	0.030094420
61	YPL192C	0.029980719
62	YOR179C	0.029876609
63	YHR030C	0.029823748
64	YBL005W	0.029646238
65	YEL013W	0.029239986
66	YJL149W	0.029227176
67	YBR201W	0.029148056
68	YML076C	0.028163217
69	YER044C-A	0.028075994
70	YBR028C	0.027254487
71	YAL027W	0.027195334
72	YOR061W	0.027169572
73	YOL104C	0.026928314
74	YGL253W	0.026835888
75	YDR334W	0.026649352
76	YPL037C	0.026341769
77	YIL132C	0.026279847
78	YER089C	0.025848567
79	YDR099W	0.025750437
80	YOL089C	0.025499226
81	YGL043W	0.025413192
82	YGR288W	0.025211804
83	YOR380W	0.025107215
84	YER177W	0.024753064
85	YBR297W	0.024675449
86	YGR109C	0.024419200
87	YPR111W	0.024028639
88	YPL046C	0.023987686
89	YFR046C	0.023916068
90	YFR053C	0.023890458
91	YGR135W	0.023853131
92	YDL170W	0.023616584
93	YGL237C	0.023507262
94	YLR052W	0.023505825
95	YER184C	0.023457481
96	YPL096C-A	0.023365371
97	YLR226W	0.023215257
98	YLL010C	0.023194626
99	YKL091C	0.023170960
100	YIR005W	0.023020014
101	YGL058W	0.022724185
102	YKL130C	0.022690221
103	YDR022C	0.022566077
104	YER143W	0.022527052
105	YMR080C	0.022526065
106	YGR275W	0.022478094
107	YBR114W	0.022454555
108	YGR067C	0.022328078
109	YGR209C	0.022264331
110	YOR339C	0.022184010
111	YEL018W	0.022002247
112	YFL052W	0.021989606
113	YLR234W	0.021891798
114	YNL209W	0.021890418
115	YAL054C	0.021746509
116	YGL163C	0.021709428
117	YPR149W	0.021469585
118	YGL078C	0.021459096
119	YPR196W	0.021414625
120	YDR155C	0.021351615
121	YDL230W	0.021264614
122	YGR003W	0.021252743
123	YIL040W	0.021048218
124	YMR223W	0.020726091
125	YNL159C	0.020443757
126	YBR272C	0.020346239
127	YBL057C	0.020342057
128	YOL080C	0.020275862
129	YOR290C	0.020131508
130	YNR032C-A	0.020013413
131	YMR022W	0.019977253
132	YJR073C	0.019741822
133	YFR038W	0.019727422
134	YNR034W	0.019388679
