rank	yeast_gene	ensemble_score
1	YHR032W	0.093830397
2	YKL166C	0.087912088
3	YGR040W	0.083160801
4	YDL194W	0.079720854
5	YDL138W	0.078463203
6	YKR039W	0.076173636
7	YPL031C	0.075976930
8	YOR351C	0.075963719
9	YPL274W	0.073826174
10	YGR152C	0.072221378
11	YOR380W	0.071901530
12	YMR080C	0.064977506
13	YJL164C	0.061741036
14	YLR113W	0.061666667
15	YPL203W	0.058581396
16	YML123C	0.058531746
17	YOR061W	0.056451370
18	YPR111W	0.055803745
19	YOR185C	0.055685629
20	YFR014C	0.055241576
21	YOL016C	0.053427039
22	YKR059W	0.051730732
23	YDR490C	0.050833518
24	YNL098C	0.050336600
25	YLL048C	0.049561009
26	YDL006W	0.047949822
27	YBR114W	0.047505103
28	YML001W	0.047425656
29	YHR030C	0.046746506
30	YDL035C	0.045597850
31	YOL113W	0.044971993
32	YEL013W	0.044921141
33	YLR248W	0.043962849
34	YKL161C	0.043818873
35	YLR253W	0.043268809
36	YJL206C	0.043198292
37	YDR477W	0.042952747
38	YIL035C	0.040715741
39	YPR173C	0.040108780
40	YOR101W	0.038342424
41	YJL128C	0.038325776
42	YCR008W	0.037914997
43	YHR178W	0.037127159
44	YKL222C	0.036869969
45	YLR014C	0.036129221
46	YNL154C	0.035992795
47	YIR005W	0.035938709
48	YCL011C	0.035699151
49	YPL236C	0.035212471
50	YMR274C	0.034957699
51	YLR451W	0.034835110
52	YHR135C	0.034554029
53	YOL068C	0.034444599
54	YHR127W	0.034304991
55	YKR093W	0.034176537
56	YDR375C	0.033787336
57	YGL078C	0.033401847
58	YMR138W	0.032989726
59	YDR523C	0.032374768
60	YMR258C	0.032318086
61	YPL154C	0.032076544
62	YER031C	0.031979289
63	YAR018C	0.031736695
64	YBR245C	0.031527105
65	YCR106W	0.031506280
66	YAL019W	0.031482690
67	YOR304W	0.031459708
68	YNL130C	0.031258293
69	YDR291W	0.030939117
70	YML099C	0.030720715
71	YDR334W	0.030670436
72	YHR004C	0.030615928
73	YBR028C	0.030276004
74	YNL021W	0.029066808
75	YMR246W	0.028967501
76	YMR285C	0.028387213
77	YIL113W	0.028282727
78	YPR054W	0.027344587
79	YJL149W	0.026599382
80	YGL100W	0.026351260
81	YBR274W	0.026350930
82	YDL079C	0.026302043
83	YJR035W	0.026265657
84	YLR262C	0.026113572
85	YMR019W	0.025893643
86	YGL087C	0.025742664
87	YNL307C	0.025581973
88	YGL168W	0.025223459
89	YHR031C	0.025130669
90	YKL015W	0.025118090
91	YFL052W	0.025020783
92	YKL027W	0.024985406
93	YGR288W	0.024824210
94	YOR153W	0.024816176
95	YGL252C	0.024541048
96	YPL037C	0.024398754
97	YDR147W	0.024200678
98	YDL101C	0.024126495
99	YER164W	0.024021895
100	YNL229C	0.023938645
101	YDR131C	0.023776791
102	YKL034W	0.023574414
103	YLL054C	0.023434824
104	YLL046C	0.022562133
105	YOR172W	0.022557988
106	YAL059W	0.022434737
107	YJL106W	0.022377526
108	YBR073W	0.022125536
109	YOL080C	0.022054065
110	YPR196W	0.022035732
111	YMR306W	0.021991165
112	YOR197W	0.021981090
113	YHR003C	0.021942141
114	YKL214C	0.021809275
115	YKR001C	0.021707473
116	YER089C	0.021688728
117	YGR044C	0.021575309
118	YNL008C	0.021207321
119	YDR001C	0.020623609
120	YFR038W	0.020432161
121	YDL155W	0.020362729
122	YBR297W	0.020360526
123	YOL090W	0.020336859
124	YMR177W	0.020328995
125	YER176W	0.020249573
126	YGL115W	0.020236315
127	YKL190W	0.020198667
128	YOR360C	0.019874517
129	YCR020C-A	0.019636746
130	YDL188C	0.019633535
131	YAL054C	0.019508829
132	YMR291W	0.019447547
133	YDL134C	0.019427091
134	YDR075W	0.019247772
135	YPL140C	0.019182325
136	YGL163C	0.019134776
137	YML118W	0.018996389
138	YIL130W	0.018879123
139	YIL033C	0.018565442
140	YPL042C	0.018561811
141	YNL311C	0.018280975
142	YLR352W	0.018189753
