rank	yeast_gene	ensemble_score
1	YPL203W	0.118478261
2	YKL166C	0.113716356
3	YPL031C	0.107032967
4	YKR039W	0.096909633
5	YJL164C	0.081955558
6	YKR059W	0.073206944
7	YNL307C	0.070210314
8	YDL134C	0.068874226
9	YPL274W	0.068246374
10	YNL098C	0.068225249
11	YOL016C	0.064720400
12	YDL188C	0.060894269
13	YDR075W	0.060809157
14	YER031C	0.060379172
15	YGR152C	0.056339909
16	YDL138W	0.056179633
17	YMR019W	0.055954606
18	YFR014C	0.055773810
19	YNR032W	0.055432108
20	YDL006W	0.054298256
21	YLR019W	0.050364795
22	YLR262C	0.050336700
23	YOR185C	0.050237373
24	YKR093W	0.049223201
25	YMR246W	0.047950925
26	YHR032W	0.047555628
27	YLR329W	0.047159142
28	YKL190W	0.046272755
29	YML001W	0.045881596
30	YOR101W	0.045355870
31	YGR180C	0.044398657
32	YNL130C	0.044158865
33	YLR113W	0.043124965
34	YOR197W	0.043112747
35	YGL168W	0.042310371
36	YNR063W	0.041680340
37	YDL079C	0.041169724
38	YGL087C	0.040141206
39	YBR201W	0.037276431
40	YMR274C	0.037153987
41	YOR153W	0.036766256
42	YBR082C	0.035864807
43	YPR054W	0.035447354
44	YDL236W	0.034880460
45	YDR059C	0.034545318
46	YDL194W	0.034497272
47	YGR040W	0.034169214
48	YLR234W	0.033686463
49	YNL142W	0.033606295
50	YDR252W	0.033233950
51	YJR096W	0.033025584
52	YLR385C	0.032446853
53	YGL253W	0.032384417
54	YER177W	0.031462832
55	YML076C	0.031168831
56	YJL206C	0.031094919
57	YBR028C	0.031060606
58	YPL154C	0.030769422
59	YDR139C	0.030761697
60	YJL149W	0.030742063
61	YHR030C	0.030503171
62	YIL132C	0.030044170
63	YMR139W	0.030007712
64	YPR173C	0.029886936
65	YGL043W	0.029725794
66	YCR091W	0.029569484
67	YGR208W	0.029530122
68	YKL161C	0.029148866
69	YDL230W	0.029094094
70	YOR179C	0.028970027
71	YGL058W	0.028914828
72	YIL040W	0.028564202
73	YPL192C	0.028466880
74	YDR099W	0.028262290
75	YBL005W	0.027731599
76	YOR380W	0.027222210
77	YPL037C	0.027041003
78	YNL159C	0.026814025
79	YLL048C	0.026761791
80	YER089C	0.026653879
81	YPR111W	0.026348334
82	YER184C	0.026236551
83	YML123C	0.026120659
84	YOL089C	0.025921641
85	YFR046C	0.025372433
86	YFR053C	0.025146764
87	YDL170W	0.025029365
88	YBR297W	0.025016843
89	YGL163C	0.024508825
90	YEL018W	0.024491857
91	YOR061W	0.024266820
92	YPL096C-A	0.024164765
93	YPR149W	0.024156101
94	YGR288W	0.024002580
95	YPR196W	0.023690262
96	YAL027W	0.023590376
97	YEL066W	0.023346597
98	YGL237C	0.023213601
99	YLL010C	0.023095840
100	YBR165W	0.023027130
101	YER143W	0.023001141
102	YLR052W	0.022951900
103	YGR135W	0.022898145
104	YOL104C	0.022699538
105	YDR155C	0.022683345
106	YDR490C	0.022638802
107	YDR334W	0.022571843
108	YJR073C	0.022521726
109	YOR290C	0.022486754
110	YEL013W	0.022411484
111	YPL046C	0.022340138
112	YGR109C	0.022315894
113	YGR209C	0.022273562
114	YFL052W	0.022069641
115	YLR226W	0.022054335
116	YMR080C	0.022052341
117	YOR339C	0.021650636
118	YNL209W	0.021549202
119	YGR003W	0.021418953
120	YPL199C	0.021082578
121	YBR240C	0.020970387
122	YBL057C	0.020754725
123	YPR093C	0.020543484
124	YNL288W	0.020212766
125	YKL091C	0.020193571
126	YDR263C	0.019920032
127	YGL216W	0.019820793
128	YAL046C	0.019570656
129	YDR022C	0.019431077
130	YMR182C	0.019415095
131	YNR034W	0.019349510
132	YER044C-A	0.019301604
133	YBL021C	0.019193613
134	YNL311C	0.019144888
135	YHR200W	0.019007273
136	YBR150C	0.018959578
137	YBR114W	0.018928821
138	YLR224W	0.018803133
139	YBR034C	0.018767816
140	YGR275W	0.018667830
141	YDL155W	0.018631197
142	YBR278W	0.018587108
143	YFR038W	0.018532267
144	YGL078C	0.018501552
145	YMR022W	0.018340121
146	YKL130C	0.018237730
147	YGR067C	0.018068505
148	YER092W	0.018002621
149	YAL054C	0.017975274
150	YEL037C	0.017877646
151	YOL013C	0.017790792
152	YDR260C	0.017786909
153	YIR005W	0.017755255
154	YBR188C	0.017700621
155	YDR120C	0.017674101
156	YDR156W	0.017567483
157	YDR131C	0.017475040
158	YNL330C	0.017233780
159	YHL022C	0.017053223
160	YBR272C	0.016968656
161	YGL070C	0.016935037
162	YPL042C	0.016907582
163	YOR191W	0.016858517
164	YJR127C	0.016777742
165	YDR488C	0.016734928
166	YML011C	0.016500437
167	YHR135C	0.016451527
168	YJR021C	0.016373621
169	YER110C	0.016369736
170	YER035W	0.016362069
171	YML102W	0.016354724
172	YCL040W	0.016223351
173	YER179W	0.016101431
174	YLR216C	0.016082698
175	YMR223W	0.016072688
176	YOL080C	0.015982516
177	YBR107C	0.015980089
178	YNL154C	0.015972669
179	YML124C	0.015915268
180	YDR513W	0.015912713
181	YLR364W	0.015822772
182	YKL114C	0.015763469
183	YLR043C	0.015655814
184	YGR134W	0.015643393
185	YGL013C	0.015579605
186	YLR059C	0.015547924
187	YOR295W	0.015416223
188	YDR375C	0.015412056
189	YMR293C	0.015381702
190	YML058W-A	0.015327894
191	YFR036W	0.015246113
192	YIL146C	0.015243315
193	YML068W	0.015227911
194	YML057W	0.015200695
195	YIR025W	0.015129945
196	YCR106W	0.015034383
197	YPL179W	0.015027303
198	YDL076C	0.014894557
199	YDR001C	0.014817865
200	YLR154C	0.014732050
201	YPL164C	0.014667004
202	YLR433C	0.014561659
203	YHR031C	0.014529798
204	YDR216W	0.014498460
205	YNR047W	0.014481500
206	YLR438W	0.014411658
207	YNL241C	0.014373423
208	YDR477W	0.014166143
209	YML081W	0.014102214
210	YMR315W	0.014055219
211	YCR020C-A	0.014047589
212	YGL220W	0.014018201
213	YJL030W	0.014010008
214	YNR032C-A	0.013950977
215	YAL055W	0.013944708
216	YOR027W	0.013849782
217	YNL210W	0.013778801
218	YJL073W	0.013772268
219	YKL127W	0.013757533
220	YPL248C	0.013748423
221	YLR381W	0.013741855
222	YNL021W	0.013730265
223	YLR094C	0.013653922
224	YBL006C	0.013636950
225	YDR213W	0.013553086
226	YPL033C	0.013548121
227	YOL042W	0.013476839
228	YNL072W	0.013467513
229	YDR265W	0.013368028
230	YLR098C	0.013339729
231	YHR004C	0.013277169
232	YPR052C	0.013273732
233	YIL130W	0.013218804
234	YBL024W	0.013154504
235	YOL081W	0.013138846
236	YDL080C	0.013091570
237	YOR313C	0.012841984
238	YHR033W	0.012820010
239	YLR368W	0.012817820
240	YNL323W	0.012815665
241	YOL082W	0.012813081
242	YHL025W	0.012795589
243	YGL100W	0.012670412
244	YLR233C	0.012641310
245	YOR337W	0.012521417
246	YKR017C	0.012462229
247	YIR026C	0.012381264
248	YHR195W	0.012344715
249	YPL086C	0.012335134
250	YBR175W	0.012238259
251	YOR358W	0.012193109
252	YAL019W	0.012190323
253	YER174C	0.012107091
254	YLR021W	0.012066026
255	YER106W	0.012015106
256	YMR138W	0.012004623
257	YKL214C	0.011980083
258	YOR106W	0.011968978
259	YOR351C	0.011947946
260	YMR105C	0.011917395
261	YMR030W	0.011909751
262	YAL021C	0.011903559
263	YOR363C	0.011870453
264	YLL054C	0.011838087
265	YPR199C	0.011786253
266	YMR191W	0.011777767
267	YLR445W	0.011762403
268	YPL038W	0.011753662
269	YMR136W	0.011695817
270	YMR119W	0.011677757
271	YKR054C	0.011575349
272	YPL180W	0.011572410
273	YDR079C-A	0.011545299
274	YBR112C	0.011543191
275	YDL197C	0.011520737
276	YPR101W	0.011498604
277	YMR258C	0.011425961
278	YDR110W	0.011380807
279	YMR234W	0.011299110
280	YBR285W	0.011293648
281	YHL006C	0.011289419
282	YPL144W	0.011287003
283	YLR210W	0.011282477
284	YHR127W	0.011260415
285	YKL017C	0.011247036
286	YKL067W	0.011246207
287	YDR098C	0.011227599
288	YGL240W	0.011210672
289	YDR291W	0.011164585
290	YIR013C	0.011158406
291	YNL204C	0.011076140
292	YPR125W	0.011061028
293	YDR253C	0.011055671
294	YLL002W	0.011023888
295	YOL090W	0.011016218
296	YDR518W	0.010983941
297	YLR376C	0.010969618
298	YLR266C	0.010959912
299	YPR120C	0.010920069
300	YBR089C-A	0.010902441
301	YML029W	0.010892278
302	YGL037C	0.010803503
303	YLR389C	0.010779426
304	YGL252C	0.010766573
305	YAL053W	0.010755435
306	YAL044W-A	0.010749079
307	YBR275C	0.010709883
308	YDR448W	0.010648221
309	YCL010C	0.010641691
310	YCR008W	0.010595764
311	YMR276W	0.010571867
312	YMR205C	0.010568011
313	YKL222C	0.010557779
314	YKR067W	0.010552279
315	YPR040W	0.010541587
316	YBL078C	0.010526793
317	YLR398C	0.010510356
318	YLL062C	0.010499582
319	YCR020W-B	0.010424836
320	YLL040C	0.010389523
321	YPR015C	0.010357931
322	YMR306W	0.010319499
323	YEL012W	0.010307462
324	YMR224C	0.010305272
325	YJL137C	0.010291677
326	YPL213W	0.010260016
327	YDR179C	0.010244566
328	YDR074W	0.010237617
329	YJR084W	0.010220228
330	YFR010W	0.010209443
331	YGL062W	0.010205105
332	YGL211W	0.010195492
333	YBR073W	0.010192057
334	YHL002W	0.010092215
335	YGR133W	0.010088226
336	YLR342W	0.010057917
337	YLR048W	0.010031435
338	YKR064W	0.010019263
339	YPR164W	0.010002537
340	YIR002C	0.009987010
341	YLR258W	0.009959897
342	YMR202W	0.009927152
343	YHR178W	0.009887873
344	YCR014C	0.009887453
345	YBR218C	0.009842045
346	YLR453C	0.009830133
347	YJR035W	0.009763775
348	YOR304W	0.009752139
349	YOR113W	0.009713767
350	YJL210W	0.009709486
351	YLR018C	0.009684204
352	YJL056C	0.009629627
353	YDR523C	0.009611924
354	YIL073C	0.009594548
355	YER028C	0.009584306
356	YMR219W	0.009539381
357	YBR140C	0.009519349
358	YNL199C	0.009515711
359	YPL015C	0.009512967
360	YOR368W	0.009502250
361	YDR466W	0.009467419
362	YMR190C	0.009441736
363	YDL101C	0.009437298
364	YBL056W	0.009429362
365	YLR228C	0.009424948
366	YKL198C	0.009414701
367	YIL035C	0.009356240
368	YPR119W	0.009333751
369	YKL139W	0.009307535
370	YGR071C	0.009307045
371	YMR145C	0.009247792
372	YBR009C	0.009215511
373	YKL213C	0.009208535
374	YDL090C	0.009207493
375	YPL212C	0.009196805
376	YLR174W	0.009178989
377	YDR181C	0.009148644
378	YLR315W	0.009109979
379	YMR285C	0.009092375
380	YNL138W	0.009088118
381	YCL011C	0.009081121
382	YLL046C	0.009078202
383	YNL008C	0.009077121
384	YHR111W	0.009035899
385	YFR015C	0.009018479
386	YMR116C	0.009016333
387	YKL015W	0.008994239
388	YEL061C	0.008989931
389	YOR189W	0.008966216
390	YBL007C	0.008960331
391	YBR245C	0.008944736
392	YPL226W	0.008941792
393	YPL273W	0.008928505
394	YLR102C	0.008902029
395	YGR021W	0.008896305
396	YBL088C	0.008843240
397	YER120W	0.008832823
398	YPL187W	0.008779394
399	YDR219C	0.008767503
400	YLR320W	0.008742013
401	YLR192C	0.008696284
402	YGR247W	0.008692540
403	YDR009W	0.008685484
404	YHR167W	0.008631221
405	YGL209W	0.008620730
406	YLR248W	0.008591955
407	YPL018W	0.008572802
408	YDR273W	0.008572056
409	YGL115W	0.008566767
410	YJL065C	0.008531974
411	YIL033C	0.008501999
412	YDR395W	0.008493567
413	YGR200C	0.008482673
414	YLL022C	0.008480254
415	YGR206W	0.008474481
416	YBR228W	0.008456617
417	YBR125C	0.008442252
418	YLR035C	0.008427508
419	YDR158W	0.008425780
420	YGR276C	0.008410813
421	YLR253W	0.008397190
422	YLL039C	0.008379054
423	YER142C	0.008349237
424	YIL010W	0.008346784
425	YFL021W	0.008344519
426	YIL009C-A	0.008324529
427	YLR263W	0.008320599
428	YHR119W	0.008320342
429	YNL076W	0.008291622
430	YER176W	0.008271493
431	YJR069C	0.008242462
432	YOL108C	0.008238782
433	YKL002W	0.008237669
434	YDL135C	0.008227002
435	YJL128C	0.008210803
436	YOR243C	0.008198485
437	YMR167W	0.008180649
438	YOR172W	0.008179501
439	YDR457W	0.008161349
440	YMR263W	0.008152679
441	YBR182C	0.008103896
442	YLR278C	0.008100923
443	YNR074C	0.008076003
444	YNR015W	0.008074905
445	YOR032C	0.008043147
446	YJL092W	0.008039013
447	YML113W	0.008028417
448	YNL097C	0.007971515
449	YOR047C	0.007931882
450	YNL016W	0.007888311
451	YBR058C	0.007841912
452	YGR108W	0.007835129
453	YBR001C	0.007817179
454	YMR021C	0.007810243
455	YDL077C	0.007802080
456	YPL047W	0.007784771
457	YER164W	0.007775095
458	YDR378C	0.007768191
