rank	yeast_gene	ensemble_score
1	YDL006W	0.090880893
2	YPL274W	0.080367586
3	YGR288W	0.079279190
4	YHR032W	0.078303063
5	YFL052W	0.076820311
6	YOR351C	0.072881623
7	YPR196W	0.070682746
8	YML001W	0.070468214
9	YML123C	0.070394482
10	YKR059W	0.070223670
11	YOR380W	0.069450501
12	YBR297W	0.068737060
13	YDL138W	0.067948718
14	YMR080C	0.066974536
15	YDL194W	0.066766859
16	YEL013W	0.061444278
17	YKR039W	0.055185076
18	YMR100W	0.054748636
19	YOL068C	0.054193043
20	YKL161C	0.054188060
21	YGR152C	0.053371628
22	YKL222C	0.050466952
23	YKL190W	0.049464116
24	YOR185C	0.049198878
25	YFR014C	0.049132594
26	YCR106W	0.048612487
27	YOR172W	0.048532403
28	YLR329W	0.046726810
29	YIR005W	0.046490471
30	YCR008W	0.045555939
31	YMR138W	0.044562990
32	YLR262C	0.043531513
33	YGR040W	0.043353892
34	YNL142W	0.041876152
35	YNL130C	0.041583294
36	YGL252C	0.041097985
37	YOR061W	0.040413114
38	YHR178W	0.040091670
39	YLR451W	0.039957478
40	YGL087C	0.039791633
41	YNL098C	0.039722560
42	YLL048C	0.038262015
43	YBR062C	0.037885594
44	YLR248W	0.036954174
45	YPR093C	0.036893012
46	YHR030C	0.036787857
47	YNR063W	0.036762073
48	YKL166C	0.036715109
49	YMR019W	0.036698970
50	YDL035C	0.036058991
51	YLR014C	0.035917363
52	YER031C	0.035850864
53	YPL031C	0.035579154
54	YOL016C	0.035271036
55	YLR368W	0.034778878
56	YPR054W	0.034434152
57	YDL079C	0.034144867
58	YJL206C	0.033160910
59	YOR101W	0.033001685
60	YIR026C	0.032790019
61	YIL035C	0.032067789
62	YER116C	0.031990721
63	YJL115W	0.031395035
64	YLL054C	0.031278818
65	YNR032W	0.031221556
66	YOL113W	0.030768013
67	YOL080C	0.030757060
68	YOL013C	0.030632163
69	YLR113W	0.030614369
70	YLR253W	0.030480269
71	YMR258C	0.030474428
72	YJL128C	0.030225685
73	YLL046C	0.030101233
74	YAL059W	0.029671513
75	YJL124C	0.029597519
76	YOR162C	0.029349732
77	YML068W	0.029113584
78	YPR111W	0.028974062
79	YHR195W	0.028107283
80	YMR119W	0.027577328
81	YPR152C	0.027475240
82	YPL236C	0.027422527
83	YMR306W	0.027043040
84	YLR233C	0.026729313
85	YDR131C	0.026676714
86	YAL055W	0.026503333
87	YCL011C	0.026332203
88	YPL154C	0.026210756
89	YKR064W	0.025916422
90	YDR110W	0.025815957
91	YOL104C	0.025737359
92	YHR003C	0.025682430
93	YOR363C	0.025609835
94	YGL168W	0.025589122
95	YNL307C	0.024871615
96	YIL009C-A	0.024713175
97	YER184C	0.024546115
98	YBL002W	0.024138239
99	YCR020C-A	0.024119656
100	YKR093W	0.023814456
101	YLR266C	0.023814149
102	YJL149W	0.023669114
103	YDR334W	0.023631061
104	YHR031C	0.023587344
105	YAR018C	0.023538143
106	YHR004C	0.023497143
107	YAL053W	0.023459507
108	YNL021W	0.023227435
109	YDL134C	0.023209740
110	YPL192C	0.023167291
111	YJR073C	0.023163022
112	YKL015W	0.023148543
113	YDR477W	0.022993673
114	YPR173C	0.022974673
115	YPL164C	0.022619778
116	YDL188C	0.022566426
117	YPR149W	0.022553243
118	YER176W	0.022514706
119	YBR073W	0.022387425
120	YKL034W	0.022217477
121	YOR179C	0.022120047
122	YPL194W	0.021641766
123	YOL054W	0.021334391
124	YER089C	0.021322064
125	YDL230W	0.020944823
126	YDL170W	0.020872950
127	YLR224W	0.020794572
128	YIL030C	0.020498084
129	YFR032C	0.020495451
130	YNL008C	0.020413205
131	YIL008W	0.020385619
132	YDR156W	0.020361907
133	YGL179C	0.020063066
134	YIL017C	0.020012697
135	YBR114W	0.019835372
136	YMR246W	0.019765028
