rank	yeast_gene	ensemble_score
1	YPL203W	0.118976836
2	YKL166C	0.107114625
3	YPL031C	0.095598456
4	YJL164C	0.095410691
5	YKR059W	0.085221348
6	YKR039W	0.078294574
7	YNL098C	0.069445552
8	YNL307C	0.065281330
9	YDL134C	0.064821090
10	YPL274W	0.062938913
11	YGR152C	0.061457319
12	YOL016C	0.059780206
13	YDL138W	0.058605566
14	YER031C	0.056042473
15	YDL188C	0.055677656
16	YFR014C	0.053133641
17	YDR075W	0.052850242
18	YKL190W	0.052817382
19	YOR185C	0.052453552
20	YMR019W	0.052440081
21	YLR329W	0.052155926
22	YOR101W	0.050972491
23	YLR113W	0.049270243
24	YDL006W	0.049164034
25	YLR019W	0.047257866
26	YHR032W	0.046339564
27	YGL168W	0.045112716
28	YKR093W	0.044556808
29	YMR246W	0.043090570
30	YNR032W	0.042973396
31	YER177W	0.042175904
32	YDL194W	0.041937617
33	YDL079C	0.040814480
34	YLR234W	0.040742646
35	YPR173C	0.039135621
36	YDR139C	0.039009675
37	YDR252W	0.038743680
38	YNR063W	0.038699502
39	YBR082C	0.037822677
40	YLR262C	0.037730227
41	YGR040W	0.037655803
42	YPL192C	0.037515816
43	YNL209W	0.037423140
44	YDR155C	0.036832002
45	YDR099W	0.036551547
46	YDR059C	0.036310062
47	YML001W	0.035988180
48	YMR274C	0.034765104
49	YKL161C	0.033882784
50	YHR030C	0.033605343
51	YBL005W	0.033585107
52	YNL130C	0.033571941
53	YJL206C	0.033251495
54	YGL078C	0.031822706
55	YLR385C	0.031817785
56	YDR334W	0.031767729
57	YML076C	0.031586267
58	YNR032C-A	0.030983888
59	YPR054W	0.030928407
60	YEL013W	0.030907897
61	YOR179C	0.030867243
62	YPL037C	0.030147519
63	YOR153W	0.030100587
64	YOR197W	0.029943467
65	YGL087C	0.029484557
66	YPL154C	0.029307515
67	YPR052C	0.029260131
68	YEL066W	0.029169080
69	YDL236W	0.028677853
70	YGR180C	0.028558256
71	YJR096W	0.028414540
72	YJL149W	0.028361329
73	YFR046C	0.028225303
74	YOL104C	0.027889762
75	YGL253W	0.027591589
76	YGR208W	0.027423402
77	YGR067C	0.027306696
78	YPR111W	0.027202760
79	YER184C	0.026767532
80	YGL058W	0.026751266
81	YLL048C	0.026722684
82	YOL089C	0.026684350
83	YGL163C	0.026575944
84	YGL043W	0.026499638
85	YPL096C-A	0.026456741
86	YBR201W	0.026332286
87	YFR053C	0.025340212
88	YOR061W	0.025112972
89	YKL130C	0.024938454
90	YAL027W	0.024885819
91	YBR089C-A	0.024866310
92	YDR490C	0.024799579
93	YOR191W	0.024597412
94	YMR139W	0.024268806
95	YER044C-A	0.024201964
96	YGR209C	0.024082282
97	YIL132C	0.023981972
98	YBR297W	0.023853706
99	YEL018W	0.023848469
100	YLR052W	0.023746468
101	YBR028C	0.023641740
102	YNL311C	0.023433228
103	YDR022C	0.023097537
104	YML123C	0.023059440
105	YFL052W	0.023017690
106	YCR020C-A	0.023008242
107	YGL070C	0.022910314
108	YOR290C	0.022829147
109	YGL013C	0.022458323
110	YML102W	0.022411988
111	YFR038W	0.022395832
112	YBR240C	0.022342701
113	YER179W	0.022284410
114	YGR288W	0.022183283
115	YBR272C	0.022123672
116	YBR150C	0.022111994
117	YNL142W	0.021906116
118	YHR195W	0.021879477
119	YDR216W	0.021865411
120	YDL230W	0.021827667
121	YDL170W	0.021773714
122	YGR275W	0.021704356
123	YPL199C	0.021530349
124	YML058W-A	0.020793337
125	YNL159C	0.020744172
126	YPR149W	0.020561687
127	YPL086C	0.020373392
128	YHR200W	0.020207998
129	YPR093C	0.020195842
130	YGR134W	0.020178836
131	YCR106W	0.020153913
132	YLR043C	0.020103125
133	YGR109C	0.019730113
134	YOR380W	0.019502262
135	YBR114W	0.019488836
136	YDL155W	0.019481583
137	YHR127W	0.019424281
138	YOL080C	0.019302402
139	YER035W	0.019242044
140	YMR293C	0.019134814
141	YGR003W	0.018949280
142	YEL037C	0.018686219
143	YPR196W	0.018646114
144	YPL046C	0.018602976
145	YIL040W	0.018600786
146	YMR116C	0.018571497
147	YCR091W	0.018468449
148	YER089C	0.018426039
149	YNL288W	0.018415762
