rank	yeast_gene	ensemble_score
1	YNR032C-A	0.051158874
2	YLR385C	0.038014156
3	YLR329W	0.036208924
4	YDR252W	0.029745495
5	YPL086C	0.029743705
6	YEL018W	0.029570995
7	YAL027W	0.028471025
8	YOR061W	0.027805002
9	YCR020W-B	0.026968688
10	YML123C	0.026720448
11	YKL161C	0.026525930
12	YBL006C	0.026206067
13	YDR260C	0.025970455
14	YGL237C	0.025493302
15	YPR101W	0.024399314
16	YLR113W	0.024354883
17	YOL104C	0.024250334
18	YPL096C-A	0.023867712
19	YGL168W	0.023423989
20	YEL066W	0.022436119
21	YHL025W	0.021903361
22	YER044C-A	0.021462995
23	YOL081W	0.020250708
24	YDL076C	0.020064201
25	YPR040W	0.019740908
26	YER035W	0.019676560
27	YPR054W	0.018862993
28	YML058W-A	0.018373535
29	YLL002W	0.017956088
30	YPR093C	0.017793208
31	YBR140C	0.016603834
32	YMR274C	0.016578572
33	YBR010W	0.016532864
34	YNL209W	0.016279768
35	YLR445W	0.015888327
36	YGR040W	0.015587787
37	YDL080C	0.015465731
38	YFL052W	0.015014112
39	YIR025W	0.014985919
40	YGL062W	0.014638666
41	YMR191W	0.014526282
42	YPL037C	0.014412459
43	YNL159C	0.014110255
44	YLR234W	0.013705661
45	YGR288W	0.013167039
46	YHR157W	0.013042437
47	YOR153W	0.012962029
48	YER092W	0.012921710
49	YOR179C	0.012919778
50	YER179W	0.012769136
51	YDR155C	0.012388533
52	YER177W	0.012265244
53	YHR032W	0.011939897
54	YOR298C-A	0.011871397
55	YGR206W	0.011760224
56	YLR224W	0.011757458
57	YBR201W	0.011692858
58	YGR067C	0.011528857
59	YBR297W	0.011485816
60	YAL054C	0.011353591
61	YBL003C	0.011317055
62	YKR093W	0.011270116
63	YBR218C	0.011248598
64	YGR134W	0.011112181
65	YGL070C	0.010782630
66	YMR019W	0.010554758
67	YLR102C	0.010457660
68	YGR275W	0.010244045
69	YPR015C	0.010149078
70	YKR054C	0.009977410
71	YBL078C	0.009953096
72	YER007C-A	0.009623864
73	YLR438W	0.009564637
74	YIR013C	0.009563504
75	YKL067W	0.009389109
76	YKL190W	0.009210109
77	YDR079C-A	0.008874643
78	YHR195W	0.008807585
79	YJR069C	0.008774649
80	YHR030C	0.008691446
81	YLR052W	0.008629993
82	YLR021W	0.008550439
83	YBR059C	0.008498322
84	YBR107C	0.008434525
85	YML036W	0.008288145
86	YNL142W	0.008273403
87	YHL006C	0.008239348
88	YDR156W	0.008121180
89	YGR019W	0.008110664
90	YHR200W	0.008086673
91	YBL088C	0.008080229
92	YBR285W	0.008023905
93	YBR089C-A	0.007950877
94	YKL130C	0.007893880
95	YGL240W	0.007876422
96	YKR059W	0.007832790
97	YBR165W	0.007816330
98	YBR009C	0.007666184
99	YDR158W	0.007459551
100	YLR315W	0.007333336
101	YFR046C	0.007246781
102	YML113W	0.007236523
103	YOR047C	0.006947425
104	YBR240C	0.006916883
105	YEL037C	0.006717883
106	YHR033W	0.006716097
107	YBR082C	0.006561889
108	YLR453C	0.006544869
109	YLR377C	0.006520939
110	YKL198C	0.006453148
111	YDR216W	0.006379181
112	YBR112C	0.006214074
113	YBR182C	0.006161207
114	YOL012C	0.006121241
115	YBL005W	0.005989078
116	YML058W	0.005965097
117	YOL086W-A	0.005961737
118	YDR457W	0.005955981
119	YLR231C	0.005883816
120	YMR069W	0.005854433
121	YGR173W	0.005795428
122	YKL002W	0.005753141
123	YBR188C	0.005715203
124	YGL248W	0.005567164
125	YPR052C	0.005562004
126	YDL197C	0.005560910
127	YCR020C-A	0.005545387
128	YDR099W	0.005503154
129	YHL027W	0.005500832
130	YKR057W	0.005321483
131	YLR154C	0.005308836
132	YNL314W	0.005264509
133	YNR004W	0.005247703
134	YML102W	0.005230463
135	YEL013W	0.005123058
136	YLR325C	0.005064713
137	YOR360C	0.005025820
138	YDR110W	0.004962095
139	YGL211W	0.004935834
140	YMR116C	0.004911688
141	YDR181C	0.004899702
142	YNL330C	0.004739790
143	YPL144W	0.004626871
144	YPR164W	0.004541760
145	YBL039C	0.004521766
146	YFR053C	0.004513369
147	YDR223W	0.004457181
148	YDR488C	0.004431107
149	YJR021C	0.004410171
150	YMR182C	0.004359170
151	YGL096W	0.004347731
152	YDR059C	0.004331402
153	YBL002W	0.004248419
154	YFR036W	0.004204960
155	YPR196W	0.004178995
156	YJL030W	0.003869071
157	YHR202W	0.003810130
158	YBR175W	0.003807252
159	YDR482C	0.003796581
160	YDR123C	0.003715981
161	YMR055C	0.003619583
162	YNL241C	0.003600393
163	YNL130C	0.003569825
164	YKL127W	0.003545861
165	YGL115W	0.003538748
166	YML011C	0.003462208
167	YGL013C	0.003446268
168	YLR288C	0.003419906
169	YAL044W-A	0.003361864
170	YKL009W	0.003354170
171	YKL086W	0.003330791
172	YNL210W	0.003318237
173	YGL220W	0.003309839
174	YER028C	0.003309198
175	YBR275C	0.003113852
176	YPR173C	0.003008846
177	YGL253W	0.003006751
178	YKL041W	0.002949793
179	YMR030W	0.002843236
180	YIL133C	0.002772734
181	YNL025C	0.002730643
182	YBR033W	0.002715231
183	YOR368W	0.002707294
184	YJR073C	0.002704733
185	YDL214C	0.002682739
186	YIL122W	0.002654202
187	YIL009C-A	0.002646158
188	YLR074C	0.002633475
189	YLR119W	0.002606923
190	YER174C	0.002572305
191	YNL204C	0.002555179
192	YDL154W	0.002487336
193	YGR180C	0.002474704
194	YPL033C	0.002466254
195	YLR013W	0.002432652
196	YBL024W	0.002376760
197	YNL288W	0.002371824
198	YGL209W	0.002338219
199	YDL179W	0.002260516
200	YMR276W	0.002235467
201	YLL039C	0.002165824
202	YDR035W	0.002151648
203	YHR193C	0.002141705
204	YPL021W	0.002119355
205	YJL110C	0.002113650
206	YMR042W	0.002107295
207	YGL181W	0.002080895
208	YPL049C	0.002041709
209	YBR195C	0.002034493
210	YMR105C	0.002032285
211	YMR264W	0.002018127
212	YPL212C	0.001981511
213	YPL149W	0.001954475
214	YJR014W	0.001934149
215	YJL073W	0.001889218
216	YOR027W	0.001865935
217	YNL289W	0.001859334
218	YPL236C	0.001844406
219	YMR136W	0.001841860
220	YKL113C	0.001839912
221	YGR232W	0.001807577
222	YOR358W	0.001752682
223	YDL090C	0.001743522
224	YHR167W	0.001675017
225	YGR071C	0.001636737
