rank	yeast_gene	ensemble_score
1	YNL154C	0.117380952
2	YJL164C	0.110269360
3	YHR135C	0.103888889
4	YLR113W	0.103029739
5	YPL203W	0.097160821
6	YHR030C	0.093232561
7	YDR490C	0.086609687
8	YPL042C	0.080247588
9	YIL033C	0.074155134
10	YNL098C	0.073491561
11	YBR059C	0.071035911
12	YFR014C	0.068811203
13	YOL016C	0.065877260
14	YDL194W	0.057433817
15	YKL166C	0.057289377
16	YML057W	0.057041162
17	YGR152C	0.056823551
18	YJL128C	0.056136740
19	YPR111W	0.053967136
20	YJL141C	0.053843064
21	YDR477W	0.053810528
22	YDL138W	0.053610464
23	YCR008W	0.052438309
24	YPR173C	0.052280399
25	YGR040W	0.051501938
26	YOR153W	0.050379256
27	YNR047W	0.048090165
28	YOR185C	0.047377659
29	YNL298W	0.047163788
30	YOR290C	0.046519317
31	YHR032W	0.044858555
32	YLR433C	0.044319801
33	YNL307C	0.044111291
34	YAL021C	0.042780968
35	YMR139W	0.042119059
36	YBR114W	0.041696433
37	YNL020C	0.040820029
38	YJR059W	0.039688428
39	YER143W	0.039618005
40	YGL163C	0.039423220
41	YIL107C	0.039110145
42	YER031C	0.037681159
43	YDL188C	0.037541297
44	YML001W	0.036941348
45	YOR197W	0.036705470
46	YOR061W	0.036596810
47	YDL134C	0.035812054
48	YML123C	0.035617580
49	YHL002W	0.035260410
50	YMR080C	0.035086916
51	YIR023W	0.034178693
52	YIL095W	0.033697574
53	YER089C	0.033651170
54	YNL288W	0.033530739
55	YDR466W	0.032235750
56	YHL025W	0.032045242
57	YLR398C	0.031991675
58	YNL076W	0.031638674
59	YPL031C	0.031194775
60	YBL007C	0.030879556
61	YMR291W	0.030615813
62	YKR039W	0.030377394
63	YOR304W	0.029557370
64	YEL018W	0.029358553
65	YDL035C	0.029328806
66	YHR206W	0.029181604
67	YBR245C	0.028684844
68	YPL140C	0.028587165
69	YBR028C	0.028104977
70	YHR031C	0.028087353
71	YGL087C	0.027982773
72	YDR523C	0.027873625
73	YDR448W	0.027830779
74	YOR101W	0.027604283
75	YDL079C	0.027587886
76	YIL035C	0.027368863
77	YML011C	0.027258737
78	YKL139W	0.027161654
79	YPL213W	0.027154201
80	YGL237C	0.027152309
81	YPL226W	0.026999317
82	YEL013W	0.026860510
83	YDR507C	0.026700948
84	YKR059W	0.026436446
85	YGL180W	0.025963529
86	YOR358W	0.025912640
87	YJR091C	0.025883890
88	YDR375C	0.025752186
89	YFL033C	0.025123263
90	YAL017W	0.024417351
91	YPL199C	0.024006009
92	YLR055C	0.023774696
93	YJL106W	0.023712574
94	YAL019W	0.023436477
95	YOR231W	0.022902997
96	YER123W	0.022538312
97	YLL019C	0.022518330
98	YDR099W	0.022189938
99	YPR125W	0.022140553
100	YGL043W	0.022117909
101	YGR135W	0.022069208
102	YLL048C	0.022029555
103	YKL190W	0.021940889
104	YLR248W	0.021752777
105	YBR188C	0.021624318
106	YOR113W	0.021592466
107	YCL010C	0.021532217
108	YAR018C	0.021491450
109	YKR093W	0.021466437
110	YOR233W	0.021449564
111	YDL155W	0.021441876
112	YLR006C	0.021232704
113	YLR192C	0.021203729
114	YDR075W	0.021159058
115	YNL229C	0.020981824
116	YCR091W	0.020855170
117	YPL037C	0.020815069
118	YLR052W	0.020755258
119	YDR291W	0.020694694
120	YGR180C	0.020682825
121	YMR030W	0.020642185
122	YMR246W	0.020568229
123	YGR202C	0.020535604
124	YCL011C	0.020430658
125	YNR032W	0.020429724
126	YIL040W	0.020283454
127	YHR200W	0.020265877
128	YDR001C	0.020246085
129	YPL179W	0.019968920
130	YLR278C	0.019904524
131	YCL024W	0.019855399
132	YBL051C	0.019766865
133	YMR224C	0.019736157
134	YGL014W	0.019450650
135	YDR179C	0.019414589
136	YBR112C	0.019229930
137	YOR106W	0.019222702
138	YIR002C	0.018714555
139	YBR057C	0.018298634
140	YNL016W	0.018237135
141	YGL066W	0.018152082
142	YMR074C	0.018036132
143	YBR073W	0.018033032
144	YPR022C	0.017994174
145	YPL109C	0.017933504
146	YDR074W	0.017736686
147	YOL045W	0.017718372
148	YKL161C	0.017711437
149	YKL032C	0.017354717
150	YJR035W	0.017304575
151	YIL130W	0.017298126
152	YML061C	0.017290770
153	YLR253W	0.017212745
154	YDR334W	0.017203424
155	YGL208W	0.017154160
156	YMR070W	0.017049407
157	YGL115W	0.017009731
158	YER164W	0.016939729
159	YKR067W	0.016748757
160	YPL184C	0.016729434
161	YLR451W	0.016714603
162	YBL057C	0.016509881
163	YKL041W	0.016442347
164	YER132C	0.016394494
165	YLR429W	0.016388237
166	YLR216C	0.016375630
167	YMR205C	0.016274889
168	YNL097C	0.016274001
169	YDR083W	0.016202548
170	YPR054W	0.016192675
171	YGL100W	0.016175856
172	YBR258C	0.016170467
173	YPR120C	0.016097535
174	YGR097W	0.016084373
175	YLR262C	0.016062281
176	YER027C	0.016028003
177	YOL113W	0.016008540
178	YFR010W	0.015960176
179	YJR050W	0.015842525
180	YLR210W	0.015824067
181	YJL073W	0.015595659
182	YJL168C	0.015578996
183	YKR072C	0.015479549
184	YOL080C	0.015417279
185	YJL124C	0.015302414
186	YCR020W-B	0.015216452
187	YOR140W	0.015095251
188	YLR226W	0.015050565
189	YKL038W	0.014995364
190	YLR059C	0.014918023
191	YHR108W	0.014896262
192	YMR273C	0.014854599
193	YKL091C	0.014845938
194	YBR274W	0.014835041
195	YMR285C	0.014762608
196	YLR019W	0.014719239
197	YLR014C	0.014610767
198	YGR229C	0.014597047
199	YDL197C	0.014595023
200	YAL054C	0.014574530
201	YOR313C	0.014478021
202	YAR042W	0.014436595
203	YNL323W	0.014420462
204	YLR256W	0.014343584
205	YBR201W	0.014328652
206	YNR034W	0.014282996
207	YPL086C	0.014266054
208	YKL113C	0.014138380
209	YGL078C	0.014114622
210	YLR234W	0.014108233
211	YKL101W	0.014071976
212	YBR082C	0.014002013
213	YDR293C	0.013993668
214	YDR181C	0.013979431
215	YFR046C	0.013930924
216	YLR385C	0.013913956
217	YML072C	0.013900379
218	YGL181W	0.013892920
219	YBR289W	0.013837584
220	YDL006W	0.013773903
221	YPL274W	0.013746653
222	YBL056W	0.013606306
223	YPL015C	0.013603001
224	YPL180W	0.013589399
225	YFR038W	0.013416674
226	YGL197W	0.013312135
227	YBL066C	0.013303405
228	YMR280C	0.013294084
229	YKL198C	0.013286403
230	YJR060W	0.013272139
231	YNR031C	0.013246064
232	YOL051W	0.013188349
233	YMR172W	0.013185418
234	YNL068C	0.013148744
235	YPL154C	0.013141604
236	YGL252C	0.013137281
237	YMR202W	0.013090937
238	YML100W	0.012976893
239	YBR212W	0.012926319
240	YOL090W	0.012897938
241	YAL011W	0.012706238
242	YIR025W	0.012669066
243	YCL032W	0.012650150
244	YAL053W	0.012580057
245	YIR005W	0.012565492
246	YBR001C	0.012524720
247	YBL021C	0.012517582
248	YLR384C	0.012408182
249	YNL142W	0.012389168
250	YDR120C	0.012377737
251	YDR059C	0.012312826
252	YKL002W	0.012279174
253	YER177W	0.012263507
254	YFR015C	0.012236586
255	YOR107W	0.012233529
256	YBR125C	0.012210888
257	YMR177W	0.012188057
258	YMR304W	0.012159515
259	YOL067C	0.012089560
260	YHR082C	0.012082001
261	YJL030W	0.012078479
262	YLR403W	0.012077069
263	YDR392W	0.012065407
264	YIR026C	0.011989529
265	YOR380W	0.011924459
266	YDL056W	0.011903487
267	YLR342W	0.011824796
268	YPL212C	0.011783671
269	YDR219C	0.011777703
270	YBL024W	0.011728102
271	YDL036C	0.011652076
272	YAR035W	0.011632296
273	YLL013C	0.011590298
274	YDR421W	0.011540171
275	YMR016C	0.011516209
276	YDL101C	0.011491728
277	YNL147W	0.011474663
278	YLR119W	0.011452728
279	YMR145C	0.011399628
280	YER092W	0.011375581
281	YMR022W	0.011353185
282	YNL032W	0.011289687
283	YLR357W	0.011278694
284	YFR053C	0.011278308
285	YLR018C	0.011223955
286	YMR216C	0.011221021
287	YGR240C	0.011216049
288	YER179W	0.011186554
289	YHR193C	0.011180854
290	YGL253W	0.011179185
291	YHR178W	0.011143460
292	YJL095W	0.011065870
293	YOR091W	0.011051282
294	YDR006C	0.011031437
295	YDR244W	0.011004244
296	YCL040W	0.011001077
297	YOR351C	0.010954912
298	YPL046C	0.010902558
299	YOR243C	0.010772537
300	YBR218C	0.010747648
301	YOL068C	0.010718641
302	YOR027W	0.010715630
303	YPR042C	0.010714165
304	YER088C	0.010702820
305	YNL082W	0.010674937
306	YDL019C	0.010672010
307	YML074C	0.010649824
308	YNL330C	0.010624918
309	YLR048W	0.010619796
310	YMR263W	0.010616862
311	YEL066W	0.010585956
312	YLR258W	0.010558759
313	YLL010C	0.010544159
314	YGR208W	0.010515958
315	YML121W	0.010508965
316	YMR037C	0.010485180
317	YGL209W	0.010479632
318	YKL062W	0.010453390
319	YDL149W	0.010427123
320	YDR378C	0.010420799
321	YIL030C	0.010408724
322	YHR033W	0.010373793
323	YNL199C	0.010320371
324	YMR190C	0.010290809
