rank	yeast_gene	ensemble_score
1	YDR075W	0.017977620
2	YLR262C	0.016602199
3	YDL134C	0.016210135
4	YGR180C	0.016143877
5	YNR032W	0.016023046
6	YKR039W	0.014099273
7	YBR201W	0.012352927
8	YKL166C	0.011762689
9	YNL142W	0.011394258
10	YDL188C	0.010811169
11	YOR197W	0.010320466
12	YPL031C	0.009057390
13	YDL236W	0.007778911
14	YAL009W	0.007525099
15	YPR054W	0.007412311
16	YBR272C	0.007167307
17	YNR063W	0.007128875
18	YDL170W	0.007091947
19	YAL053W	0.006931968
20	YGL087C	0.006890737
21	YPL274W	0.006525220
22	YER031C	0.006464353
23	YJR073C	0.006337889
24	YBR034C	0.006260934
25	YGR003W	0.006191676
26	YMR306W	0.006093290
27	YJR096W	0.006093211
28	YOL089C	0.006088203
29	YIL132C	0.005793020
30	YLR019W	0.005751746
31	YMR246W	0.005567770
32	YDL230W	0.005487439
33	YMR223W	0.005436985
34	YDR179C	0.005394188
35	YKL034W	0.005324888
36	YBR278W	0.005268023
37	YOR339C	0.005235824
38	YJL149W	0.005143198
39	YDR001C	0.005076964
40	YDL006W	0.005050791
41	YLL010C	0.004981122
42	YFR036W	0.004876847
43	YBR275C	0.004814091
44	YBR001C	0.004792864
45	YLR342W	0.004777603
46	YOR295W	0.004760495
47	YIL030C	0.004732267
48	YBL057C	0.004638243
49	YKR067W	0.004515850
50	YDL149W	0.004462331
51	YNL323W	0.004336639
52	YPL046C	0.004219149
53	YGR135W	0.004159100
54	YNL330C	0.004140013
55	YML075C	0.004121141
56	YGL168W	0.004113202
57	YGR157W	0.004103548
58	YKR093W	0.004026115
59	YOL016C	0.004008727
60	YIR025W	0.003976579
61	YDR265W	0.003933731
62	YLR376C	0.003933238
63	YKL114C	0.003826894
64	YKL091C	0.003815096
65	YMR022W	0.003806863
66	YPL176C	0.003725319
67	YIL040W	0.003673482
68	YER143W	0.003641435
69	YOR039W	0.003631778
70	YNR034W	0.003603989
71	YPR155C	0.003599033
72	YFR015C	0.003514165
73	YOR209C	0.003481240
74	YDR263C	0.003461405
75	YNL130C	0.003332156
76	YBR290W	0.003315771
77	YMR302C	0.003229220
78	YOL080C	0.003227453
79	YML068W	0.003216730
80	YLR207W	0.003185127
81	YPL033C	0.003155143
82	YLR381W	0.003152875
83	YMR119W	0.003110534
84	YML001W	0.003079458
85	YMR202W	0.003076695
86	YJR066W	0.003064024
87	YDR022C	0.003043796
88	YOR380W	0.003009739
89	YPR160W	0.002968557
90	YLR226W	0.002908510
91	YOL013C	0.002872776
92	YMR139W	0.002832122
93	YPL179W	0.002831873
94	YDR120C	0.002809085
95	YBR188C	0.002804358
96	YEL012W	0.002794540
97	YPR075C	0.002780512
98	YPL123C	0.002776575
99	YDL077C	0.002753949
100	YGL060W	0.002753904
101	YLR024C	0.002709374
102	YOL081W	0.002680375
103	YGR208W	0.002678436
104	YMR080C	0.002637758
105	YPL164C	0.002624385
106	YLL040C	0.002581658
107	YGL253W	0.002535261
108	YGL043W	0.002445684
109	YGR097W	0.002440852
110	YDL190C	0.002357323
111	YOL042W	0.002351902
112	YOR153W	0.002338460
113	YLR180W	0.002284746
114	YGR109C	0.002282967
115	YIL073C	0.002260350
116	YPR184W	0.002254094
117	YGL229C	0.002218638
118	YCR073C	0.002167688
119	YNL307C	0.002165880
120	YLR018C	0.002139231
121	YMR065W	0.002133780
122	YDL080C	0.002101933
123	YFR019W	0.002100068
124	YNL257C	0.002095148
125	YBL039C	0.002090604
126	YAL039C	0.002090200
127	YGL252C	0.002086645
128	YMR284W	0.002059193
129	YNL021W	0.002058567
130	YCR077C	0.002037853
131	YGR184C	0.002022569
132	YNR031C	0.001930325
133	YJL153C	0.001890519
134	YAL002W	0.001877078
135	YDR375C	0.001875188
136	YLL048C	0.001861124
137	YML103C	0.001859553
138	YHR202W	0.001847404
139	YFL007W	0.001844663
140	YPL154C	0.001840377
141	YMR182C	0.001835718
142	YLR253W	0.001831103
143	YIL153W	0.001823303
144	YML111W	0.001804396
145	YDR335W	0.001799870
146	YML034W	0.001776813
147	YGL019W	0.001773775
148	YER027C	0.001759156
149	YFR040W	0.001753313
150	YNL072W	0.001747034
151	YFR010W	0.001735966
152	YDR213W	0.001717941
153	YJL178C	0.001715943
154	YLR319C	0.001715418
155	YMR275C	0.001698807
156	YDR006C	0.001695908
157	YPR125W	0.001685565
158	YJL073W	0.001672750
159	YLR427W	0.001671928
160	YGR276C	0.001655690
161	YGL173C	0.001643427
162	YPL045W	0.001641579
163	YCR014C	0.001632224
164	YKL212W	0.001621182
165	YIL128W	0.001614918
166	YHL020C	0.001608318
167	YDR395W	0.001601113
168	YPL273W	0.001593557
169	YGL037C	0.001584406
170	YOR113W	0.001580884
171	YGL197W	0.001580507
172	YNL159C	0.001573702
173	YKL029C	0.001567815
174	YNL273W	0.001560826
175	YGL194C	0.001560570
176	YOR014W	0.001554861
177	YGL208W	0.001551061
178	YOL068C	0.001544986
179	YKL010C	0.001533340
180	YNL288W	0.001525288
181	YPL167C	0.001520895
182	YOR368W	0.001517779
183	YOL117W	0.001514937
184	YKR017C	0.001509881
185	YPL125W	0.001498414
186	YKL027W	0.001493458
187	YMR025W	0.001492778
188	YDL171C	0.001492622
189	YGR233C	0.001488018
190	YGL125W	0.001462738
191	YMR219W	0.001461603
192	YKR082W	0.001459425
193	YPL065W	0.001448337
194	YDR448W	0.001444866
195	YMR070W	0.001442768
196	YGL110C	0.001441935
197	YLL062C	0.001438597
198	YLR403W	0.001432463
199	YJR140C	0.001429393
200	YLR389C	0.001419771
201	YJL204C	0.001415188
202	YJR031C	0.001414512
203	YPR179C	0.001410060
204	YDR057W	0.001406537
205	YCL055W	0.001402442
206	YPR164W	0.001400112
207	YJR119C	0.001398677
208	YDR259C	0.001397195
209	YDR096W	0.001395034
210	YAL054C	0.001389290
211	YBR058C	0.001381024
212	YJL083W	0.001370417
213	YOL004W	0.001359767
214	YML124C	0.001357948
215	YPR196W	0.001355078
216	YHR077C	0.001350563
217	YLR233C	0.001338268
218	YNL008C	0.001328586
219	YDR005C	0.001309211
220	YMR136W	0.001299133
221	YOR191W	0.001296349
222	YMR224C	0.001293468
223	YBL079W	0.001288997
224	YEL061C	0.001280274
225	YBR097W	0.001279931
226	YLR258W	0.001276661
227	YPL109C	0.001274520
228	YDR518W	0.001266515
229	YDR315C	0.001257843
230	YJR091C	0.001254241
231	YMR026C	0.001253129
232	YLR148W	0.001251768
233	YBL063W	0.001251084
234	YKR019C	0.001248175
235	YKL127W	0.001248126
236	YHR187W	0.001242938
237	YLR216C	0.001238985
238	YML076C	0.001231495
239	YJL098W	0.001226106
240	YKR028W	0.001214794
241	YMR037C	0.001195065
