rank	yeast_gene	ensemble_score
1	YPL046C	0.058668745
2	YKR017C	0.049087230
3	YDR523C	0.046612414
4	YOR107W	0.045519542
5	YBL056W	0.043185957
6	YPR152C	0.042519242
7	YPL109C	0.042135086
8	YER030W	0.041068876
9	YKL166C	0.040408364
10	YHR195W	0.040163881
11	YJL115W	0.038657340
12	YPR031W	0.038302024
13	YLR253W	0.037843287
14	YKL161C	0.037135909
15	YDR022C	0.035245396
16	YLL022C	0.034737611
17	YDL188C	0.033455073
18	YOL054W	0.030108056
19	YOR360C	0.029263228
20	YDR147W	0.029021978
21	YCR091W	0.026548433
22	YPL181W	0.026346939
23	YMR100W	0.025100187
24	YML074C	0.024545551
25	YDR375C	0.024302806
26	YGR040W	0.024180675
27	YER089C	0.024057384
28	YBR188C	0.022303814
29	YGL100W	0.021900375
30	YGL229C	0.021635937
31	YNR032W	0.020720612
32	YDL134C	0.020656056
33	YCR008W	0.020604144
34	YBR285W	0.020598367
35	YDL216C	0.020508590
36	YOR295W	0.020301734
37	YPR093C	0.020177953
38	YNL021W	0.019935908
39	YHR031C	0.019408827
40	YDR291W	0.018999699
41	YMR138W	0.018842926
42	YMR080C	0.018697113
43	YMR216C	0.018167329
44	YPR054W	0.017645022
45	YDR334W	0.017348579
46	YBR073W	0.017210543
47	YER116C	0.016853299
48	YJL206C	0.016521094
49	YLR433C	0.015688605
50	YNL201C	0.015655080
51	YDR247W	0.014892709
52	YOL113W	0.014886752
53	YNL032W	0.014564083
54	YKR092C	0.014497935
55	YBR114W	0.014399253
56	YPL026C	0.014210975
57	YLR221C	0.014093315
58	YHR135C	0.013703202
59	YLR445W	0.013669434
60	YIL035C	0.013249497
61	YOR351C	0.013051028
62	YJL128C	0.012973442
63	YLR248W	0.012911902
64	YMR159C	0.012723231
65	YER106W	0.012708286
66	YNL215W	0.012687784
67	YLR449W	0.012660495
68	YKL160W	0.012531372
69	YNL136W	0.012403147
70	YDR423C	0.012333159
71	YGR152C	0.012218154
72	YGR108W	0.012091884
73	YDL155W	0.011998966
74	YBR297W	0.011996792
75	YFR014C	0.011949699
76	YOR189W	0.011515164
77	YNL154C	0.011416985
78	YOR380W	0.011377859
79	YDR074W	0.011187360
80	YGR288W	0.011105697
81	YBR258C	0.011105193
82	YOR064C	0.010819269
83	YAR018C	0.010697583
84	YAL055W	0.010549376
85	YDL090C	0.010475021
86	YML068W	0.010466554
87	YOR368W	0.010433916
88	YER092W	0.010350907
89	YMR224C	0.010323605
90	YKR093W	0.010212201
91	YML062C	0.010200672
92	YPR196W	0.010133083
93	YMR039C	0.009788274
94	YJL098W	0.009664682
95	YPR111W	0.009571394
96	YDR263C	0.009386875
97	YKR001C	0.009361950
98	YBR278W	0.009342684
99	YPL033C	0.009253406
100	YML011C	0.009102950
101	YOR339C	0.009085825
102	YNL229C	0.008850304
103	YDR477W	0.008845281
104	YLR094C	0.008710589
105	YHR157W	0.008679764
106	YLR210W	0.008605927
107	YMR019W	0.008599967
108	YBR186W	0.008585062
109	YBR274W	0.008499799
110	YOR101W	0.008479391
111	YBR231C	0.008456133
112	YOR304W	0.008376391
113	YFR036W	0.008317949
114	YDR223W	0.008298427
115	YLR102C	0.008230662
116	YMR022W	0.008130446
117	YFL052W	0.007944569
118	YKR028W	0.007881797
119	YJR119C	0.007787116
120	YGL251C	0.007754455
121	YGR071C	0.007657354
122	YLL010C	0.007507460
123	YKL015W	0.007506955
124	YDR458C	0.007368439
125	YFR040W	0.007168423
126	YML057W	0.006834463
127	YOL016C	0.006809070
128	YIR002C	0.006727978
129	YDR179C	0.006664706
130	YGR109C	0.006525167
131	YDL214C	0.006523358
132	YNL223W	0.006511604
133	YOL090W	0.006432688
134	YLR119W	0.006400565
135	YBR034C	0.006244144
136	YPR199C	0.006183325
137	YMR044W	0.006182102
138	YER184C	0.006126717
139	YIR026C	0.006099717
140	YBR062C	0.006080674
141	YBR245C	0.006016472
142	YPL186C	0.006006617
143	YDR469W	0.005982378
144	YDR219C	0.005921071
145	YDL079C	0.005901859
146	YOL068C	0.005849289
147	YNL299W	0.005820137
148	YDL002C	0.005768428
149	YPL166W	0.005763648
150	YAR042W	0.005701900
151	YAL011W	0.005646493
152	YHR003C	0.005601315
153	YNL082W	0.005471030
154	YNL286W	0.005384189
155	YGL019W	0.005288501
156	YHL020C	0.005244452
157	YGL115W	0.005197157
158	YKL091C	0.005149470
159	YOL028C	0.005131898
160	YLR016C	0.005125350
161	YHR030C	0.005117396
162	YLR055C	0.005089439
163	YDR273W	0.005036891
164	YGL208W	0.004940827
165	YDR075W	0.004896311
166	YBR001C	0.004795689
167	YIL113W	0.004777547
168	YPL216W	0.004774585
169	YKR036C	0.004696865
170	YDR383C	0.004668431
171	YMR021C	0.004600024
172	YGL216W	0.004560933
173	YDR026C	0.004542987
174	YIL130W	0.004509889
175	YML097C	0.004341315
176	YDL154W	0.004326586
177	YOL080C	0.004274709
178	YBL052C	0.004208978
179	YKL010C	0.004118625
180	YGL090W	0.004108880
181	YLR451W	0.004095583
182	YBR273C	0.003986729
183	YOL082W	0.003982764
184	YDR110W	0.003934729
185	YNL227C	0.003852608
186	YLR059C	0.003797921
187	YDR163W	0.003735918
188	YOR001W	0.003712485
189	YOL115W	0.003655781
190	YER051W	0.003635488
191	YBL057C	0.003606792
192	YDR495C	0.003600731
193	YEL012W	0.003551458
194	YLR019W	0.003522242
195	YER164W	0.003505436
196	YLR014C	0.003475627
197	YDR289C	0.003410929
198	YDR097C	0.003381984
199	YDR363W-A	0.003317967
200	YDL077C	0.003261428
201	YLR024C	0.003206693
202	YBR028C	0.003181124
203	YOL108C	0.003093240
204	YPR120C	0.003072086
205	YMR167W	0.003006535
206	YPL236C	0.002987805
207	YKL190W	0.002965979
208	YKL048C	0.002964035
209	YIR018W	0.002938675
210	YPL184C	0.002907330
211	YGR200C	0.002902502
212	YDR363W	0.002901001
213	YOR233W	0.002866626
214	YMR219W	0.002838726
215	YPL008W	0.002831438
216	YDL101C	0.002790396
217	YLR455W	0.002773177
218	YJL036W	0.002772900
219	YMR304W	0.002751189
220	YGL163C	0.002744022
221	YGL175C	0.002718770
222	YCL029C	0.002710161
223	YGL248W	0.002688092
224	YDL170W	0.002665706
225	YBL019W	0.002662819
226	YNL106C	0.002624873
227	YOL001W	0.002623407
228	YDL019C	0.002600347
229	YML082W	0.002599723
230	YER049W	0.002593537
231	YIL112W	0.002508144
232	YIL033C	0.002462630
233	YHR108W	0.002437230
234	YPL167C	0.002409616
235	YDR181C	0.002376718
236	YOL017W	0.002365265
237	YER143W	0.002354869
238	YPR023C	0.002304407
239	YOR042W	0.002294969
240	YGL131C	0.002285972
241	YHR156C	0.002264990
242	YGR133W	0.002242346
243	YBR058C	0.002232200
244	YJL168C	0.002229155
245	YCL032W	0.002226308
246	YBR217W	0.002225112
247	YCR014C	0.002208490
248	YGR276C	0.002201787
249	YJL105W	0.002197173
250	YGR229C	0.002193801
251	YMR233W	0.002187541
252	YDR283C	0.002180026
253	YDR004W	0.002144520
254	YKR058W	0.002135909
255	YLR098C	0.002115037
256	YDR066C	0.002112752
257	YNL155W	0.002090152
258	YOR033C	0.002083019
259	YGL252C	0.002071416
260	YMR137C	0.002069963
261	YDR080W	0.002056481
262	YLR247C	0.002033608
263	YHR167W	0.002018160
264	YPL164C	0.001981576
265	YLR133W	0.001893646
266	YER139C	0.001873525
267	YHR146W	0.001864376
268	YLR431C	0.001855247
269	YGR270W	0.001801123
270	YBL008W	0.001795999
271	YOR358W	0.001773831
272	YKL005C	0.001769717
273	YDL194W	0.001769550
274	YKR064W	0.001760486
275	YHR207C	0.001744372
276	YDR191W	0.001743900
277	YLR389C	0.001739848
278	YNL206C	0.001730784
279	YJR135C	0.001726591
280	YMR273C	0.001724224
281	YDR330W	0.001720062
282	YLR398C	0.001705837
283	YPR119W	0.001705086
284	YPL022W	0.001702125
285	YMR025W	0.001700830
286	YJL103C	0.001642456
287	YJR021C	0.001627046
288	YLR032W	0.001624924
289	YOR123C	0.001624792
290	YDR386W	0.001622683
291	YKL116C	0.001621972
292	YKR048C	0.001596579
293	YMR042W	0.001575921
294	YNL204C	0.001554830
295	YPL015C	0.001543527
296	YOR078W	0.001520664
297	YDL138W	0.001502027
298	YHR079C	0.001479472
299	YHL009C	0.001467219
300	YDR358W	0.001436698
301	YMR176W	0.001431570
302	YBR103W	0.001412878
303	YGR225W	0.001411620
304	YLR435W	0.001398503
305	YAL013W	0.001396153
306	YNL049C	0.001394249
307	YOL117W	0.001380185
308	YMR285C	0.001369510
309	YOR014W	0.001367200
310	YHL010C	0.001336284
311	YDR485C	0.001303105
312	YNL224C	0.001286081
313	YHR004C	0.001283291
314	YPL116W	0.001270408
315	YNL288W	0.001269888
316	YCR092C	0.001259426
317	YPL194W	0.001232756
318	YAL024C	0.001190155
319	YHR006W	0.001154618
320	YDR364C	0.001141159
321	YBR150C	0.001125232
322	YER064C	0.001076668
323	YOR025W	0.001071293
324	YOR171C	0.001038734
325	YOR279C	0.001036995
326	YDR448W	0.001034608
327	YOL045W	0.001028942
328	YHR134W	0.000995592
329	YJL176C	0.000991612
330	YFR046C	0.000981425
331	YLR260W	0.000969240
332	YJL048C	0.000963626
333	YKR029C	0.000952601
334	YLR182W	0.000949321
335	YGL033W	0.000943262
336	YOR005C	0.000937974
337	YML061C	0.000896469
338	YPL064C	0.000888706
339	YMR269W	0.000881894
340	YPL133C	0.000879247
341	YML109W	0.000870786
342	YJR030C	0.000867120
