rank	yeast_gene	ensemble_score
1	YLR329W	0.087319743
2	YLR385C	0.076898327
3	YNL307C	0.072851782
4	YHR030C	0.058495884
5	YJL210W	0.056742037
6	YDL076C	0.056431452
7	YOR380W	0.056321275
8	YLR224W	0.055652874
9	YNL288W	0.054345306
10	YFL052W	0.054306147
11	YHL006C	0.053848072
12	YAL027W	0.053427689
13	YGR288W	0.053281673
14	YPL031C	0.052228225
15	YNL323W	0.050700669
16	YLR154C	0.050383290
17	YDR252W	0.050093962
18	YGR247W	0.049430803
19	YBR240C	0.049286321
20	YIR026C	0.049124401
21	YDR260C	0.047927933
22	YMR180C	0.047520550
23	YMR019W	0.046985772
24	YPL037C	0.045631378
25	YMR069W	0.045407829
26	YLR021W	0.043486706
27	YPL042C	0.043363073
28	YBR297W	0.043251393
29	YPL096C-A	0.043192749
30	YGL240W	0.042394282
31	YDR488C	0.042199467
32	YJR084W	0.041449512
33	YOR185C	0.040774988
34	YDR490C	0.040286731
35	YCR020C-A	0.040171014
36	YLL002W	0.039186314
37	YNL159C	0.038848229
38	YLR342W	0.038811783
39	YLR368W	0.038652482
40	YGL163C	0.037995313
41	YPR196W	0.037934905
42	YOR358W	0.037755001
43	YCR020W-B	0.037518888
44	YER184C	0.037068720
45	YCL010C	0.036863998
46	YKL161C	0.036808756
47	YPR040W	0.035985573
48	YOR339C	0.035814926
49	YLR052W	0.035443496
50	YOR179C	0.035223931
51	YER092W	0.035173160
52	YPL203W	0.035056791
53	YMR191W	0.034951898
54	YGR206W	0.034857768
55	YBL021C	0.034568323
56	YNR063W	0.034335738
57	YBR107C	0.033867561
58	YGL058W	0.033655039
59	YML102W	0.033636767
60	YHR202W	0.033262207
61	YLR258W	0.032710850
62	YEL018W	0.032463971
63	YOL104C	0.032403107
64	YCR106W	0.032356291
65	YMR274C	0.031878523
66	YPR164W	0.031495926
67	YJL030W	0.031007170
68	YIL009C-A	0.030986186
69	YML058W-A	0.030527211
70	YGL087C	0.030519481
71	YHR041C	0.030409985
72	YDR079C-A	0.030255307
73	YML068W	0.030175689
74	YIL132C	0.030081759
75	YBR228W	0.030054284
76	YDL080C	0.029757831
77	YGR275W	0.029594553
78	YER044C-A	0.029218869
79	YBR201W	0.028965142
80	YLR019W	0.028652623
81	YBL005W	0.028208769
82	YFR015C	0.027664109
83	YGL168W	0.027618493
84	YOL086W-A	0.027241296
85	YKL222C	0.027183927
86	YPL144W	0.026820698
87	YMR202W	0.026637710
88	YNL311C	0.026546893
89	YER035W	0.026343025
90	YDL230W	0.026245487
91	YNL098C	0.026210939
92	YLR113W	0.026190476
93	YPL154C	0.025555922
94	YLR364W	0.025552608
95	YOR213C	0.025439206
96	YMR263W	0.025415229
97	YJL206C	0.025289152
98	YIL042C	0.025255275
99	YFR014C	0.024837777
100	YHR032W	0.024793338
101	YHR200W	0.024756859
102	YAL054C	0.024544818
103	YDR131C	0.024481291
104	YNR004W	0.024209997
105	YPL015C	0.024126159
106	YLR048W	0.023844843
107	YJL065C	0.023517885
108	YOR172W	0.022977344
109	YHL002W	0.022842414
110	YML011C	0.022828300
111	YMR080C	0.022774369
112	YNL154C	0.022721526
113	YGR202C	0.022671479
114	YBR062C	0.022646211
115	YML124C	0.022577525
116	YPR101W	0.022525433
117	YGL220W	0.022426831
118	YHL022C	0.022143447
119	YJL164C	0.022073839
120	YBR112C	0.021868593
121	YMR306W	0.021740431
122	YML123C	0.021678861
123	YNL008C	0.021576749
124	YNL314W	0.021552344
125	YDR265W	0.020853859
126	YOR061W	0.020851253
127	YOR197W	0.020761480
128	YJL073W	0.020705038
129	YIL040W	0.020690972
130	YPL213W	0.020583696
131	YDL197C	0.020568097
132	YBL003C	0.020425278
133	YML099C	0.020234596
134	YDR110W	0.020229432
135	YNL130C	0.020222289
136	YMR258C	0.020170769
137	YIR025W	0.020109365
138	YLL054C	0.019912233
139	YNL142W	0.019656604
140	YHR135C	0.019436580
141	YAL039C	0.019382103
142	YLR398C	0.019294930
143	YMR285C	0.019274714
144	YHL025W	0.019198687
145	YKR039W	0.019144297
146	YOR360C	0.019051980
147	YGR040W	0.018843998
