rank	yeast_gene	ensemble_score
1	YEL013W	0.064409660
2	YGL087C	0.053908939
3	YKR059W	0.052162784
4	YMR080C	0.051028436
5	YML001W	0.040439520
6	YML123C	0.038109091
7	YER031C	0.034453572
8	YOR185C	0.032937184
9	YOR380W	0.030885644
10	YDL006W	0.030624183
11	YKL222C	0.028558585
12	YGR152C	0.028070303
13	YKL190W	0.026874909
14	YLR043C	0.026777841
15	YNL098C	0.025593122
16	YPL154C	0.025441555
17	YLR113W	0.024311469
18	YGR209C	0.022559407
19	YHR032W	0.022181524
20	YDL194W	0.021155844
21	YLR248W	0.020352492
22	YMR258C	0.020090454
23	YHR178W	0.019690129
24	YOR172W	0.019509839
25	YIR005W	0.019477045
26	YFR014C	0.018367734
27	YPR149W	0.018283107
28	YDR477W	0.017486920
29	YDL138W	0.017106532
30	YDR099W	0.017005604
31	YPR173C	0.016934247
32	YDL035C	0.016886548
33	YCR106W	0.016637044
34	YIL017C	0.016507510
35	YCR020C-A	0.016452949
36	YKR039W	0.015774690
37	YDR520C	0.015652534
38	YOL068C	0.015430972
39	YDR490C	0.015319503
40	YFR032C	0.015260958
41	YOR351C	0.014857332
42	YAL059W	0.014680471
43	YJL128C	0.014611902
44	YPL037C	0.014529377
45	YLR262C	0.014428276
46	YHR120W	0.014326992
47	YHR207C	0.013551145
48	YBR082C	0.013452822
49	YOR162C	0.012838296
50	YGL078C	0.012271192
51	YLR052W	0.012164584
52	YMR306W	0.011866505
53	YMR177W	0.011749824
54	YJR073C	0.011726946
55	YMR291W	0.011554589
56	YPL274W	0.011486494
57	YMR287C	0.011436028
58	YFL028C	0.011127661
59	YHL034C	0.011003117
60	YJL106W	0.010826059
61	YPR052C	0.010697545
62	YKR001C	0.010667354
63	YJL124C	0.010556675
64	YBL002W	0.010495314
65	YDR059C	0.010322768
66	YKR064W	0.010223341
67	YLR266C	0.010214998
68	YPL192C	0.009824718
69	YDR156W	0.009739890
70	YIL009C-A	0.009601826
71	YMR276W	0.009584688
72	YOL136C	0.009480048
73	YDR079C-A	0.009455574
74	YBL003C	0.009339596
75	YKL034W	0.009310157
76	YGR044C	0.009307872
77	YPL194W	0.009233047
78	YGL179C	0.009217981
79	YOR061W	0.009085841
80	YLR352W	0.009022634
81	YPL226W	0.008819174
82	YHR127W	0.008747466
83	YPL186C	0.008663449
84	YLL046C	0.008651248
85	YKL214C	0.008631006
86	YER177W	0.008617380
87	YDR375C	0.008590950
88	YIL030C	0.008585906
89	YCL040W	0.008507649
90	YCL011C	0.008256729
91	YDR252W	0.008065864
92	YNL130C	0.007754626
93	YHR167W	0.007714479
94	YKL015W	0.007584236
95	YOR313C	0.007570307
96	YIL113W	0.007492220
97	YOR208W	0.007392667
98	YMR022W	0.007250755
99	YBR089C-A	0.007208678
100	YLR021W	0.007181145
101	YJL137C	0.006901210
102	YLR451W	0.006767947
103	YAL051W	0.006732771
104	YMR116C	0.006620946
105	YAR018C	0.006565160
106	YAL056W	0.006515649
107	YOR101W	0.006327649
108	YJL149W	0.006277217
109	YGL252C	0.006260405
110	YIL008W	0.006213642
111	YGL208W	0.006176367
112	YDR123C	0.006166476
113	YIL035C	0.006108857
114	YOL012C	0.006104440
115	YLR182W	0.005975698
116	YDR131C	0.005937361
117	YER035W	0.005917731
118	YGR229C	0.005772601
119	YLR014C	0.005708973
120	YLL054C	0.005686857
121	YMR280C	0.005669029
122	YMR274C	0.005540679
123	YER027C	0.005446185
124	YNL299W	0.005384122
125	YNL186W	0.005297911
126	YOL113W	0.005240089
127	YOR205C	0.005136091
128	YPR057W	0.005129038
129	YOR371C	0.005112187
130	YER092W	0.005036538
131	YMR138W	0.004987043
132	YMR100W	0.004768266
133	YDR383C	0.004714192
134	YPR009W	0.004642258
135	YKL086W	0.004595955
136	YCR008W	0.004555340
137	YOR189W	0.004553524
138	YPL199C	0.004541099
139	YLR120C	0.004510444
140	YGR275W	0.004457300
141	YBR114W	0.004453171
142	YPL140C	0.004398094
143	YNR034W	0.004387410
144	YMR285C	0.004378233
145	YGR240C	0.004373468
146	YER142C	0.004356934
147	YER176W	0.004356774
148	YMR246W	0.004268743
149	YMR315W	0.004238812
150	YKL027W	0.004180650
151	YGL180W	0.004091009
152	YLR055C	0.004054207
153	YGR247W	0.003990607
154	YBR276C	0.003940156
155	YDR421W	0.003927395
156	YOR344C	0.003913728
157	YOR363C	0.003893248
158	YFR053C	0.003838137
159	YLR059C	0.003789253
160	YBR010W	0.003765083
161	YBR062C	0.003759792
162	YML118W	0.003668093
163	YMR205C	0.003663121
164	YNL021W	0.003642553
165	YJL164C	0.003547718
166	YLR364W	0.003508100
167	YLR278C	0.003423645
168	YER110C	0.003376801
169	YDL213C	0.003301973
170	YDR318W	0.003287771
171	YNL004W	0.003283440
172	YJL206C	0.003252388
173	YGL243W	0.003180879
174	YGL241W	0.003140793
175	YHR154W	0.003119865
176	YLR342W	0.003114323
177	YOL090W	0.003062599
178	YOL115W	0.003050928
179	YDR306C	0.003013970
180	YPR111W	0.003009128
181	YOR027W	0.003001169
182	YDR513W	0.002994502
183	YLR233C	0.002943848
184	YNL016W	0.002897868
185	YOR231W	0.002832666
186	YLR224W	0.002791557
187	YPL202C	0.002751854
188	YPL015C	0.002741139
189	YLR142W	0.002728614
190	YFR023W	0.002722940
191	YCR028C-A	0.002687342
192	YOL016C	0.002625542
193	YOL017W	0.002582546
194	YER064C	0.002527329
195	YNL314W	0.002513156
196	YNR074C	0.002434277
197	YLR199C	0.002434227
198	YKL017C	0.002364976
199	YDR378C	0.002357412
200	YMR199W	0.002271847
201	YGL197W	0.002227822
202	YLR368W	0.002209064
203	YIL010W	0.002181448
204	YOR197W	0.002176989
205	YHR015W	0.002127779
206	YOR229W	0.002123673
