rank	yeast_gene	ensemble_score
1	YNL323W	0.083468770
2	YGL019W	0.065109108
3	YLR433C	0.065107492
4	YGR180C	0.063902280
5	YML124C	0.059380070
6	YKR067W	0.056501363
7	YML057W	0.046134159
8	YNR032W	0.043410032
9	YKL029C	0.042511617
10	YDL188C	0.041185888
11	YOR039W	0.040694595
12	YLR342W	0.039255852
13	YNL330C	0.038366546
14	YKR093W	0.037722405
15	YOR358W	0.037023484
16	YDL149W	0.036822217
17	YNL142W	0.036515020
18	YJR073C	0.035589830
19	YFR015C	0.034852130
20	YLR258W	0.034558862
21	YGL163C	0.032836221
22	YDR120C	0.029922703
23	YLR019W	0.027104973
24	YNL307C	0.026957513
25	YOR339C	0.026008858
26	YDR265W	0.025132474
27	YDL134C	0.024808350
28	YNL288W	0.023843840
29	YAL039C	0.023446580
30	YOL006C	0.023027129
31	YBL052C	0.022640342
32	YLR398C	0.021636160
33	YKL067W	0.021499997
34	YIR025W	0.021114856
35	YGR184C	0.020747343
36	YBR201W	0.019990761
37	YKL212W	0.019885279
38	YMR306W	0.019884386
39	YGL237C	0.019768587
40	YAL021C	0.019242804
41	YMR180C	0.018711929
42	YPL042C	0.018665445
43	YMR263W	0.018663989
44	YJR050W	0.018420497
45	YNL130C	0.018326523
46	YKR048C	0.018321279
47	YPR125W	0.018145571
48	YDR179C	0.018048754
49	YOR153W	0.017852917
50	YJL030W	0.017691526
51	YBR228W	0.017673881
52	YDR458C	0.016924020
53	YGL043W	0.016913073
54	YGL173C	0.016306859
55	YNL159C	0.016267713
56	YPL167C	0.015803195
57	YGL058W	0.015713517
58	YOR213C	0.015643095
59	YPL179W	0.015373708
60	YLR018C	0.015345240
61	YGR135W	0.015307799
62	YLL010C	0.015019275
63	YGL066W	0.014318398
64	YGL246C	0.014124569
65	YGL240W	0.014042087
66	YNL072W	0.013977850
67	YKL009W	0.013863421
68	YDR392W	0.013848183
69	YLR226W	0.013711453
70	YKL043W	0.013628468
71	YMR186W	0.013571318
72	YLR024C	0.013280771
73	YGR202C	0.013067127
74	YIR026C	0.012966979
75	YGR157W	0.012437338
76	YOR107W	0.012436535
77	YFR014C	0.012241227
78	YPL015C	0.012174409
79	YER162C	0.012082906
80	YPL089C	0.011924767
81	YDR110W	0.011832650
82	YNR004W	0.011734335
83	YER106W	0.011725914
84	YOR209C	0.011255744
85	YMR030W	0.011055163
86	YPL049C	0.010966299
87	YMR127C	0.010839566
88	YBR188C	0.010728967
89	YGL209W	0.010665308
90	YGL181W	0.010511948
91	YMR119W	0.010236334
92	YPL213W	0.010230495
93	YPL055C	0.010061772
94	YLR234W	0.009714024
95	YBR290W	0.009705719
96	YKR017C	0.009561463
97	YPR160W	0.009384195
98	YIL153W	0.009310770
99	YBR285W	0.009107489
100	YPR031W	0.009090780
101	YMR070W	0.009058657
102	YNL008C	0.008996793
103	YGR276C	0.008988645
104	YLR418C	0.008982604
105	YHR066W	0.008962343
106	YEL012W	0.008880714
107	YOR032C	0.008774470
108	YGL253W	0.008515544
109	YOL016C	0.008510489
110	YMR224C	0.008462645
111	YML068W	0.008346075
112	YLR384C	0.008331444
113	YDL080C	0.008261674
114	YHR030C	0.008165373
115	YPR008W	0.008022059
116	YHR033W	0.007961660
117	YPL216W	0.007885867
118	YOR091W	0.007834276
119	YER044C-A	0.007820360
120	YJR119C	0.007802342
121	YDR312W	0.007730635
122	YHL025W	0.007728444
123	YDL230W	0.007706193
124	YOL080C	0.007668681
125	YML058W	0.007624067
126	YGL037C	0.007564494
127	YKL091C	0.007546341
128	YAL053W	0.007454909
129	YFL007W	0.007421152
130	YLR389C	0.007397214
131	YNL059C	0.007360507
132	YNL076W	0.007089307
133	YAL024C	0.006993643
134	YKR019C	0.006842861
135	YCR065W	0.006831116
136	YKL062W	0.006690225
137	YDR219C	0.006677646
138	YER100W	0.006603329
139	YBR107C	0.006413592
140	YGL220W	0.006405918
141	YDL076C	0.006386836
142	YMR016C	0.006300029
143	YDR480W	0.006282775
144	YFR046C	0.006208884
145	YER179W	0.006147935
146	YGR134W	0.006103702
147	YDR075W	0.006092232
148	YHR034C	0.006089719
149	YIL122W	0.006032055
150	YBL021C	0.005953160
151	YML113W	0.005942940
152	YGL194C	0.005812102
153	YNR047W	0.005807084
154	YFR053C	0.005795969
155	YOR113W	0.005782940
156	YNL009W	0.005643041
157	YDL170W	0.005617073
158	YOR295W	0.005579863
159	YPL109C	0.005520261
160	YDR213W	0.005499773
161	YER040W	0.005387253
162	YLR421C	0.005356924
163	YKL149C	0.005348120
164	YMR273C	0.005339760
165	YBL039C	0.005337030
166	YDR386W	0.005321784
167	YPL002C	0.005266484
168	YOL004W	0.005193248
169	YCR091W	0.005175025
170	YER092W	0.005112786
171	YBL103C	0.005089245
172	YKL041W	0.005080272
173	YPL096C-A	0.004982613
174	YPR164W	0.004932863
175	YDR482C	0.004899863
176	YGL211W	0.004859882
177	YBL057C	0.004776649
178	YGR003W	0.004769502
179	YJR084W	0.004715619
