rank	yeast_gene	ensemble_score
1	YGR180C	0.013508277
2	YOL104C	0.012149985
3	YNR032C-A	0.011127063
4	YER044C-A	0.010792428
5	YGL253W	0.010641394
6	YKL166C	0.010118644
7	YLR102C	0.009442347
8	YBL006C	0.009341151
9	YKL161C	0.009288653
10	YAL027W	0.009126257
11	YHR195W	0.008534979
12	YGR208W	0.008156231
13	YPR054W	0.008050993
14	YDR252W	0.007995927
15	YKR059W	0.007985972
16	YOL081W	0.007972202
17	YNL209W	0.007330492
18	YMR246W	0.007214814
19	YGR109C	0.006778010
20	YKL130C	0.006753684
21	YGR067C	0.006719351
22	YBR140C	0.006544908
23	YIR013C	0.006539119
24	YER177W	0.006477975
25	YLR094C	0.006273265
26	YLR445W	0.006255892
27	YBR285W	0.006250903
28	YDR059C	0.006171798
29	YGL237C	0.005954892
30	YAL009W	0.005881705
31	YER179W	0.005751726
32	YDR022C	0.005708698
33	YPL203W	0.005679219
34	YLR385C	0.005641050
35	YOR189W	0.005623887
36	YPL086C	0.005585908
37	YDR099W	0.005575839
38	YER035W	0.005468317
39	YDL236W	0.005411908
40	YBR082C	0.005303928
41	YGL168W	0.005294371
42	YOR179C	0.005251609
43	YOR153W	0.005167367
44	YER106W	0.005162044
45	YKR039W	0.004938756
46	YGR134W	0.004932472
47	YGR275W	0.004915357
48	YNL241C	0.004797967
49	YDR001C	0.004740648
50	YDL076C	0.004653153
51	YDL006W	0.004615860
52	YDR273W	0.004524021
53	YLR438W	0.004514505
54	YGR152C	0.004468622
55	YGL062W	0.004424068
56	YML036W	0.004240727
57	YPR093C	0.004167794
58	YBR218C	0.004102047
59	YML058W-A	0.003953528
60	YKL127W	0.003859468
61	YFR053C	0.003785750
62	YBL088C	0.003711672
63	YKR054C	0.003656498
64	YBR275C	0.003654248
65	YAL053W	0.003578376
66	YHL025W	0.003534590
67	YOL082W	0.003506268
68	YDR223W	0.003456314
69	YBR107C	0.003432540
70	YML076C	0.003368772
71	YMR105C	0.003334357
72	YDL079C	0.003250088
73	YML075C	0.003198528
74	YLR342W	0.003183949
75	YAL055W	0.003141064
76	YKL034W	0.003133994
77	YDR155C	0.003091783
78	YPL033C	0.003081690
79	YLR329W	0.003080998
80	YFR046C	0.003076611
81	YDR079C-A	0.003075051
82	YBR001C	0.003045428
83	YLR180W	0.003041739
84	YOR039W	0.003020507
85	YNL142W	0.002994052
86	YLR021W	0.002965493
87	YDR457W	0.002961924
88	YJL164C	0.002938580
89	YKL067W	0.002929435
90	YFR015C	0.002911818
91	YOR209C	0.002898696
92	YIL030C	0.002885155
93	YHR033W	0.002881151
94	YDL149W	0.002868923
95	YMR306W	0.002839317
96	YGL013C	0.002811393
97	YLR453C	0.002808163
98	YBL039C	0.002784615
99	YBR201W	0.002776091
100	YDR075W	0.002676614
101	YJL153C	0.002672152
102	YER092W	0.002668553
103	YPR155C	0.002640309
104	YNL330C	0.002636326
105	YEL013W	0.002622510
106	YPR160W	0.002611250
107	YPL176C	0.002598092
108	YMR202W	0.002533674
109	YNR034W	0.002531523
110	YDR158W	0.002516919
111	YJR021C	0.002503302
112	YLR304C	0.002501941
113	YMR302C	0.002438008
114	YML011C	0.002431607
115	YOR368W	0.002428125
116	YDL188C	0.002374505
117	YDR260C	0.002330443
118	YER184C	0.002330176
119	YBR290W	0.002287380
120	YNL210W	0.002262377
121	YFL007W	0.002205491
122	YPL199C	0.002157983
123	YGR157W	0.002152657
124	YLR258W	0.002138358
125	YJR066W	0.002126330
126	YOR047C	0.002121834
127	YBR165W	0.002119171
128	YGL175C	0.002058312
129	YPR075C	0.002044454
130	YDR181C	0.002038524
131	YJR096W	0.002009185
132	YPL123C	0.001994133
133	YFR036W	0.001944502
134	YMR315W	0.001922181
135	YGR097W	0.001901690
136	YDR035W	0.001870372
137	YLR024C	0.001857690
138	YPL192C	0.001854354
139	YGL019W	0.001850106
140	YJR073C	0.001823205
141	YPR184W	0.001808885
142	YBR188C	0.001795625
143	YDL080C	0.001789945
144	YKL190W	0.001784402
145	YNL204C	0.001751546
146	YDL171C	0.001747175
147	YBR182C	0.001736059
148	YIR025W	0.001727408
149	YAL039C	0.001688790
150	YKR067W	0.001686219
151	YKL029C	0.001642549
152	YNL257C	0.001639728
153	YDL190C	0.001631917
154	YPL167C	0.001629611
155	YKL212W	0.001596284
156	YGR206W	0.001583575
157	YDR179C	0.001565955
158	YHL027W	0.001560988
159	YGR184C	0.001544777
160	YKR093W	0.001538046
161	YGR173W	0.001500805
162	YGL060W	0.001500426
163	YLR013W	0.001495724
164	YKR057W	0.001473854
165	YCR077C	0.001456181
166	YLR207W	0.001438724
167	YLR376C	0.001427604
168	YDR139C	0.001418825
169	YPR031W	0.001395072
170	YLR433C	0.001388841
171	YGL229C	0.001377135
172	YML111W	0.001373833
173	YKL091C	0.001362813
174	YCR053W	0.001361844
175	YCR073C	0.001358839
176	YFR019W	0.001352096
177	YNR031C	0.001336304
178	YGR003W	0.001327719
179	YMR275C	0.001320483
180	YDR006C	0.001317152
181	YER007C-A	0.001315821
182	YER174C	0.001302941
183	YPR101W	0.001295235
184	YLR263W	0.001293425
185	YHL020C	0.001291153
186	YDL135C	0.001262820
187	YNL323W	0.001241315
188	YGL125W	0.001235487
189	YIL010W	0.001228246
190	YLR427W	0.001228202
191	YLL040C	0.001224543
192	YGL194C	0.001190945
193	YLR319C	0.001162253
194	YML034W	0.001156455
195	YHR202W	0.001147592
196	YBR195C	0.001139160
197	YGL037C	0.001138959
198	YER027C	0.001136230
199	YKL009W	0.001126355
200	YPL212C	0.001126205
201	YJR031C	0.001120173
202	YGL173C	0.001117746
203	YLR403W	0.001112881
204	YER110C	0.001108045
205	YMR219W	0.001107330
206	YGL197W	0.001103894
207	YLR174W	0.001102575
208	YOL004W	0.001092270
209	YKL010C	0.001091098
210	YGR108W	0.001087085
211	YML082W	0.001084309
212	YJL178C	0.001082730
213	YOR014W	0.001078839
214	YOL117W	0.001060973
215	YPL065W	0.001060781
216	YDR098C	0.001051992
217	YPR179C	0.001047144
218	YMR205C	0.001046492
219	YKR082W	0.001043832
220	YDR335W	0.001040662
221	YHR157W	0.001040649
222	YFR040W	0.001037501
223	YCL055W	0.001036732
224	YNR004W	0.001035880
225	YLR231C	0.001035026
226	YLR384C	0.001031006
227	YIL153W	0.001030494
228	YJL083W	0.001019088
229	YEL066W	0.001003010
230	YLR377C	0.000986074
231	YBR097W	0.000979596
232	YDR005C	0.000971320
233	YML103C	0.000960033
234	YMR167W	0.000957306
235	YPR164W	0.000956924
236	YKL114C	0.000938977
237	YML070W	0.000933554
238	YJL098W	0.000932625
239	YNL273W	0.000926660
