rank	yeast_gene	ensemble_score
1	YDL134C	0.014926967
2	YIL132C	0.014513671
3	YPL046C	0.014108789
4	YGL058W	0.013209824
5	YDR022C	0.013115527
6	YKL190W	0.012847106
7	YDR139C	0.012352075
8	YLR329W	0.011788645
9	YAL046C	0.011680750
10	YBR297W	0.010829133
11	YOR339C	0.010743172
12	YFL052W	0.010713443
13	YPL096C-A	0.010600621
14	YER184C	0.010225876
15	YPL031C	0.009967981
16	YGL087C	0.009775535
17	YDR075W	0.009265591
18	YLR094C	0.009237548
19	YLR234W	0.009011877
20	YLR019W	0.008843485
21	YFR036W	0.008746813
22	YBL021C	0.008491347
23	YNR032W	0.008398640
24	YNR063W	0.008173096
25	YJR021C	0.007886821
26	YER177W	0.007818621
27	YHL006C	0.007790989
28	YBR082C	0.007636392
29	YKL161C	0.007522026
30	YPR199C	0.007313774
31	YDL188C	0.007215338
32	YDR079C-A	0.007014236
33	YGR180C	0.006918341
34	YAL009W	0.006887452
35	YGL168W	0.006584819
36	YBR240C	0.006247863
37	YPR164W	0.006239962
38	YDR059C	0.006207912
39	YGR288W	0.006046779
40	YGL070C	0.005994203
41	YBR165W	0.005984731
42	YML124C	0.005741977
43	YLR445W	0.005563747
44	YOL082W	0.005445583
45	YGR003W	0.005444796
46	YPL033C	0.005290668
47	YLR376C	0.005226248
48	YOL104C	0.005174717
49	YBL057C	0.004999409
50	YLR258W	0.004950547
51	YOR295W	0.004876012
52	YEL066W	0.004606916
53	YML058W-A	0.004601437
54	YBR285W	0.004589342
55	YPR196W	0.004567577
56	YNL330C	0.004479474
57	YJL030W	0.004397455
58	YPR015C	0.004396034
59	YPL038W	0.004371059
60	YJR073C	0.004351134
61	YOR179C	0.004264469
62	YFR015C	0.004211340
63	YER028C	0.004173572
64	YNL288W	0.004092429
65	YLR342W	0.004057589
66	YGL237C	0.004045487
67	YDR155C	0.004034931
68	YPR054W	0.003931231
69	YHR195W	0.003892102
70	YLR102C	0.003888160
71	YLL062C	0.003865568
72	YML102W	0.003843987
73	YOR197W	0.003811105
74	YOR039W	0.003654884
75	YDR260C	0.003634039
76	YER179W	0.003608280
77	YDR179C	0.003561268
78	YAL055W	0.003505267
79	YKR017C	0.003446887
80	YCR020C-A	0.003352020
81	YAL053W	0.003244340
82	YDR265W	0.003239459
83	YDR488C	0.003235546
84	YIR025W	0.003171440
85	YKL034W	0.003149830
86	YDR099W	0.003148159
87	YML068W	0.003141233
88	YBR175W	0.003074593
89	YNL323W	0.003052582
90	YKR054C	0.002988404
91	YBR201W	0.002972235
92	YLR385C	0.002969803
93	YNL210W	0.002962154
94	YMR306W	0.002957715
95	YDL170W	0.002955031
96	YML076C	0.002945714
97	YLR180W	0.002939014
98	YPL144W	0.002883324
99	YGL013C	0.002871428
100	YGR135W	0.002829246
101	YGL253W	0.002825334
102	YPR160W	0.002745159
103	YHR200W	0.002742539
104	YPR155C	0.002732546
105	YBL078C	0.002721198
106	YBR290W	0.002714127
107	YJL210W	0.002713244
108	YLR207W	0.002709969
109	YOR209C	0.002699950
110	YDL149W	0.002682544
111	YPL176C	0.002681953
112	YPL164C	0.002678998
113	YDL080C	0.002642094
114	YML075C	0.002622080
115	YDL230W	0.002606717
116	YMR182C	0.002580917
117	YIL030C	0.002556007
118	YMR019W	0.002541607
119	YMR302C	0.002519639
120	YLR315W	0.002517396
121	YBR034C	0.002503379
122	YDL006W	0.002442812
123	YAL039C	0.002419637
124	YJL153C	0.002350036
125	YDR223W	0.002349949
126	YMR258C	0.002338486
127	YML011C	0.002317338
128	YJR066W	0.002315172
129	YGL248W	0.002290239
130	YLR364W	0.002272784
131	YGL019W	0.002258274
132	YKL067W	0.002248920
133	YBR001C	0.002193522
134	YBR182C	0.002193152
135	YGR157W	0.002187317
136	YLR381W	0.002166668
137	YPL187W	0.002099698
138	YPL199C	0.002090995
139	YER092W	0.002081872
140	YPR075C	0.002072498
141	YPL123C	0.002060426
142	YMR202W	0.001957405
143	YHR033W	0.001920509
144	YBR272C	0.001917261
145	YIL153W	0.001916969
146	YBR218C	0.001912554
147	YJR135C	0.001881104
148	YGR097W	0.001865012
149	YFR053C	0.001861102
150	YGL208W	0.001856774
151	YOR358W	0.001840703
152	YDR213W	0.001828378
153	YKL002W	0.001821365
154	YNL159C	0.001804697
155	YJL103C	0.001796918
156	YNL314W	0.001794626
157	YGR173W	0.001793421
158	YHL022C	0.001785428
159	YGL254W	0.001760088
160	YCL010C	0.001747618
161	YKL009W	0.001745912
162	YAL002W	0.001744847
163	YEL037C	0.001730186
164	YGL037C	0.001710935
165	YGL062W	0.001691130
166	YOL081W	0.001686287
167	YPL149W	0.001677540
168	YLR384C	0.001659468
169	YPR184W	0.001652825
170	YEL012W	0.001649660
171	YMR276W	0.001646846
172	YKL212W	0.001640645
173	YJR084W	0.001636539
174	YDR001C	0.001623235
175	YLR018C	0.001618411
176	YBR033W	0.001609353
177	YJR030C	0.001601427
178	YLR233C	0.001588898
179	YKL130C	0.001585346
180	YOR368W	0.001582683
181	YJL110C	0.001565749
182	YER027C	0.001563463
183	YKL029C	0.001560152
184	YFR046C	0.001524152
185	YDR216W	0.001523467
186	YCR077C	0.001501880
187	YNL257C	0.001500899
188	YKR057W	0.001494277
189	YOR032C	0.001493446
190	YHR202W	0.001490240
191	YBR140C	0.001480531
192	YIR019C	0.001468324
193	YFR019W	0.001458522
194	YML113W	0.001456041
195	YML111W	0.001440535
196	YER035W	0.001437807
197	YDL190C	0.001435873
198	YIL042C	0.001399341
199	YDR392W	0.001392837
200	YCL040W	0.001389421
201	YLR035C	0.001380610
202	YPR046W	0.001379611
203	YBL039C	0.001377016
204	YGR071C	0.001372678
